rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/clip_range_vf,train/entropy_loss,train/value_loss,train/std,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance,train/policy_gradient_loss
7.522604942321777,1,11868,177.58,131072,11,,,,,,,,,,,,
6.622945785522461,2,9980,166.38,262144,26,10,0.2,37.84083126783371,2.6884737787768245,0.05019569396972656,1e-05,5.13962459564209,0.15013427734375,0.1,0.0034955312,-0.05004739761352539,-0.0011890193876752165
6.5313873291015625,3,9652,160.72,393216,40,20,0.2,37.6525933355093,0.9894308642018587,0.05056651681661606,1e-05,2.8485655784606934,0.138250732421875,0.1,0.003118175,-0.22419416904449463,-0.001702427846066712
5.944690704345703,4,9514,148.6,524288,55,30,0.2,37.47000563144684,0.8778359281364828,0.05095521733164787,1e-05,2.7022178173065186,0.1381500244140625,0.1,0.003126613,-0.020531058311462402,-0.0013661018573657203
6.246427059173584,5,9395,157.65,655360,69,40,0.2,37.283441436290744,0.7822709316853433,0.05135532468557358,1e-05,2.6350414752960205,0.14014129638671874,0.1,0.0032049285,0.11615419387817383,-0.0014432056012083194
6.687149524688721,6,9279,174.62,786432,84,50,0.2,37.09333316385746,0.7371715710032731,0.05176803469657898,1e-05,2.573162317276001,0.13956375122070314,0.1,0.0031757187,0.2112438678741455,-0.0013997505366205587
6.353990077972412,7,9243,158.2,917504,99,60,0.2,36.900950947403906,0.7163111467845737,0.052184395492076874,1e-05,2.533442497253418,0.13831634521484376,0.1,0.0031884555,0.265466570854187,-0.0014306453703284206
6.313272476196289,8,9234,159.86,1048576,113,70,0.2,36.709952703118326,0.7048794118221849,0.052599068731069565,1e-05,2.529517889022827,0.139013671875,0.1,0.0032999322,0.33125150203704834,-0.001427758579120564
6.254554271697998,9,9197,159.97,1179648,128,80,0.2,36.52041767537594,0.7084333167877048,0.05301671475172043,1e-05,2.518526554107666,0.13497543334960938,0.1,0.0031340532,0.3858606219291687,-0.0014322209254714834
6.413702011108398,10,9190,162.88,1310720,142,90,0.2,36.328915724158286,0.6922202186658979,0.053443871438503265,1e-05,2.497988224029541,0.13503494262695312,0.1,0.0031061377,0.4409348964691162,-0.0013740358243012451
6.352927207946777,11,9186,161.89,1441792,156,100,0.2,36.135761606693265,0.6790172118227928,0.05387617275118828,1e-05,2.5217225551605225,0.13555526733398438,0.1,0.0031592338,0.5006881952285767,-0.0014931755446013994
