train/action_std_05,train/action_std_18,train/action_std_03,rollout/recovery_left,train/action_std_08,rollout/force_direction_mean,train/action_std_16,train/action_std_04,rollout/recovery_back,train/action_std_02,train/action_std_17,rollout/recovery_fwd,train/action_std_01,train/std_min,train/action_std_13,rollout/episodes_down,train/action_std_24,rollout/ep_len_mean,time/iterations,rollout/action_saturation_fraction,train/action_std_21,train/action_std_23,train/action_std_22,train/action_std_12,rollout/episodes_left,train/action_std_06,rollout/ep_rew_mean,rollout/recovery_up,train/action_std_07,rollout/force_requested_impulse_mean,time/time_elapsed,train/action_std_09,train/action_std_15,rollout/recovery_right,rollout/episodes_fwd,rollout/episodes_back,rollout/episodes_right,rollout/force_onset_mean,train/action_std_10,rollout/episodes_up,train/std_max,train/action_std_20,train/action_std_11,train/action_std_19,time/fps,rollout/recovery_down,time/total_timesteps,train/action_std_00,train/action_std_14,rollout/is_timeout_mean,rollout/is_fall_mean,train/clip_range,rollout/episodes_noforce,train/explained_variance,train/value_loss,train/loss,rollout/timeout_without_onset_fraction,train/entropy_loss,rollout/recovery_noforce,train/policy_gradient_loss,train/approx_kl,train/std,train/clip_range_vf,train/n_updates,train/clip_fraction,train/learning_rate,rollout/timeouts
0.08914025127887726,0.08815278857946396,0.09125185757875443,0.0,0.09002682566642761,2.327731092436975,0.08975659310817719,0.08769518882036209,0.0,0.08883100003004074,0.09168760478496552,0.0,0.09163190424442291,0.08674445748329163,0.08674445748329163,30,0.0915672779083252,310.66,1,0.0,0.08898065239191055,0.0900103896856308,0.08928269147872925,0.09137305617332458,57,0.09076288342475891,201.6412353515625,0.0,0.08856526017189026,3.805881361421782,23,0.09080807864665985,0.09032973647117615,0.0,31,51,37,1.4115546218487405,0.08803611248731613,32,0.09168760478496552,0.08996237069368362,0.09134966135025024,0.09096547961235046,5667,0.0,131072,0.08820841461420059,0.0882166400551796,0.0,1.0,,,,,,,,,,,,,,,,
0.08932450413703918,0.08835379034280777,0.09134918451309204,0.05128205128205128,0.09019239991903305,2.320634920634921,0.08995943516492844,0.08787493407726288,0.015625,0.08911000937223434,0.09186521917581558,0.03389830508474576,0.09183957427740097,0.08687325567007065,0.08687325567007065,43,0.09169906377792358,487.07,2,0.0,0.08917774260044098,0.09008634090423584,0.08943900465965271,0.09169743955135345,39,0.09087536484003067,318.3606872558594,0.019230769230769232,0.08882670104503632,3.748868618841317,49,0.091049924492836,0.09048580378293991,0.017857142857142856,59,64,56,1.4161396825396835,0.08819912374019623,52,0.09186521917581558,0.09007903933525085,0.09158831089735031,0.09115531295537949,5267,0.023255813953488372,262144,0.08834852278232574,0.08827439695596695,0.02857142857142857,0.9714285714285714,0.1,2,0.7571694254875183,1.7723405362106859,1.7498536109924316,0.0,24.775469551980496,0.5,-0.0033179530504639843,0.0020141394,0.08990897983312607,0.2,2770,0.08997039794921875,1e-05,9
0.08953610807657242,0.0885041356086731,0.09156433492898941,0.057692307692307696,0.0903952345252037,2.2315112540192925,0.09022361040115356,0.08815480023622513,0.05263157894736842,0.08925780653953552,0.09205783158540726,0.019230769230769232,0.09199383109807968,0.08703462779521942,0.08703462779521942,46,0.09183661639690399,426.75,3,0.0,0.08929148316383362,0.09030319005250931,0.08954636752605438,0.09189736098051071,52,0.09093165397644043,277.889404296875,0.02702702702702703,0.08896666020154953,3.776944726341011,76,0.09120923280715942,0.0905751958489418,0.021739130434782608,52,76,46,1.4131318327974285,0.08841797709465027,37,0.09205783158540726,0.0903683677315712,0.09182818233966827,0.09128081798553467,5129,0.043478260869565216,393216,0.08854343742132187,0.08843982219696045,0.04501607717041801,0.954983922829582,0.1,2,0.7815952301025391,1.7806542889215051,2.0833816528320312,0.0,24.726479755342005,1.0,-0.0035123527371979436,0.0020650285,0.09008634090423584,0.2,2780,0.09218826293945312,1e-05,14
0.08965412527322769,0.08863604813814163,0.09185052663087845,0.0196078431372549,0.09057407826185226,2.3133333333333335,0.0905158743262291,0.0883093774318695,0.014705882352941176,0.08944512158632278,0.09221555292606354,0.043478260869565216,0.09224411845207214,0.08717058598995209,0.08717058598995209,41,0.09208030998706818,447.83,4,0.0,0.08951200544834137,0.09062274545431137,0.08976045995950699,0.0922514870762825,51,0.09114307910203934,293.97442626953125,0.05660377358490566,0.08918765187263489,3.729026973975779,103,0.09148819744586945,0.09072873741388321,0.10810810810810811,46,68,37,1.4185600000000012,0.08849415183067322,53,0.0922514870762825,0.09048277884721756,0.09200502187013626,0.09148243814706802,5059,0.024390243902439025,524288,0.08859624713659286,0.0886005386710167,0.05,0.95,0.1,4,0.7830778360366821,1.5653278529644012,1.777649998664856,0.0,24.674248050153256,0.75,-0.0035906169750887784,0.0020787765,0.09028206020593643,0.2,2790,0.09528045654296875,1e-05,15
0.08974247425794601,0.08875025808811188,0.09200394153594971,0.03508771929824561,0.09076590836048126,2.3457943925233646,0.09074195474386215,0.08861462026834488,0.05660377358490566,0.08961619436740875,0.09236819297075272,0.03225806451612903,0.09243336319923401,0.0873396173119545,0.0873396173119545,54,0.09217669814825058,423.9,5,0.0,0.08972751349210739,0.09083513915538788,0.0899965688586235,0.09245050698518753,57,0.09135628491640091,281.0459289550781,0.06382978723404255,0.08928181976079941,3.750250081397183,130,0.0917900800704956,0.09098155051469803,0.0,62,53,44,1.4185919003115277,0.08872327208518982,47,0.09245050698518753,0.09073278307914734,0.09212920814752579,0.09163587540388107,5012,0.05555555555555555,655360,0.08878821134567261,0.08878497034311295,0.04984423676012461,0.9501557632398754,0.1,4,0.7860347032546997,1.4718072776682676,1.6122432947158813,0.0,24.621043974161147,0.75,-0.0033209055951374466,0.0020242084,0.09047067165374756,0.2,2800,0.09041900634765625,1e-05,16
0.09001383930444717,0.08893969655036926,0.09213345497846603,0.017241379310344827,0.09087704122066498,2.4254658385093166,0.0910235270857811,0.08883551508188248,0.0,0.08973179757595062,0.09261486679315567,0.061224489795918366,0.09271787106990814,0.0875469520688057,0.0875469520688057,48,0.09234566986560822,372.24,6,0.0,0.08986710757017136,0.09108371287584305,0.0902332216501236,0.09260374307632446,58,0.09153122454881668,246.24789428710938,0.0,0.08948693424463272,3.6783841497378096,157,0.09191898256540298,0.09124750643968582,0.0425531914893617,49,62,47,1.411583850931678,0.08902623504400253,56,0.09271787106990814,0.09086715430021286,0.0924157127737999,0.09186314046382904,4980,0.0625,786432,0.0890214741230011,0.08894894272089005,0.034161490683229816,0.9658385093167702,0.1,2,0.7757136225700378,1.524423976521939,1.6329455375671387,0.0,24.56644227206707,1.0,-0.003346433514616365,0.002089086,0.09067580848932266,0.2,2810,0.09548492431640625,1e-05,11
0.09015269577503204,0.08908139914274216,0.0923403650522232,0.058823529411764705,0.09105122834444046,2.230769230769231,0.09121594578027725,0.08898487687110901,0.027777777777777776,0.08984202146530151,0.09283854812383652,0.05263157894736842,0.09285622090101242,0.08772426098585129,0.08772426098585129,46,0.09252655506134033,437.02,7,0.0,0.09024634212255478,0.09122051298618317,0.09041185677051544,0.09269954264163971,51,0.0916350930929184,289.31109619140625,0.11363636363636363,0.08959940075874329,3.6418168626500047,185,0.09215158224105835,0.09142065048217773,0.1,57,72,50,1.4199384615384625,0.08915884047746658,44,0.09285622090101242,0.09101604670286179,0.09259100258350372,0.09199605137109756,4953,0.021739130434782608,917504,0.0891956016421318,0.08912834525108337,0.07076923076923076,0.9292307692307692,0.1,5,0.7868402004241943,1.4233232823200523,1.5029892921447754,0.0,24.515761788189412,0.8,-0.0033592477705497005,0.0020554054,0.09084340184926987,0.2,2820,0.09504165649414062,1e-05,23
0.09025552868843079,0.08936640620231628,0.0924435406923294,0.06382978723404255,0.09127417951822281,2.3333333333333335,0.09131606668233871,0.08924857527017593,0.06557377049180328,0.08996977657079697,0.09302249550819397,0.022727272727272728,0.09298848360776901,0.08790827542543411,0.08790827542543411,41,0.09273769706487656,425.76,8,0.0,0.09044899791479111,0.09141962230205536,0.09058979153633118,0.0928453728556633,47,0.09181980043649673,281.687255859375,0.10256410256410256,0.08978746086359024,3.74251326695054,212,0.09244740009307861,0.09162412583827972,0.017241379310344827,44,61,58,1.4190136054421778,0.08934761583805084,39,0.09302249550819397,0.09123808890581131,0.09278911352157593,0.09207148849964142,4937,0.024390243902439025,1048576,0.08932366967201233,0.08931630849838257,0.05782312925170068,0.9421768707482994,0.1,4,0.7807587385177612,1.4009557474870236,1.8225783109664917,0.0,24.467660467326642,0.75,-0.003314006895197963,0.0020969156,0.0910239964723587,0.2,2830,0.09742813110351563,1e-05,17
0.09052781015634537,0.08955388516187668,0.09259296953678131,0.03571428571428571,0.0913950577378273,2.3289902280130295,0.09160259366035461,0.0893409475684166,0.016666666666666666,0.09007073193788528,0.09320629388093948,0.061224489795918366,0.09312392771244049,0.08809070289134979,0.08809070289134979,51,0.09300289303064346,444.15,9,0.0,0.09061932563781738,0.09142117202281952,0.09094841033220291,0.09304656088352203,56,0.09186510741710663,292.2838439941406,0.023255813953488372,0.08987928181886673,3.7667661968701838,239,0.09257684648036957,0.09186666458845139,0.04878048780487805,49,60,41,1.418612377850164,0.08959952741861343,43,0.09320629388093948,0.09141415357589722,0.09305430203676224,0.09224968403577805,4922,0.0784313725490196,1179648,0.08949562162160873,0.08966626226902008,0.06514657980456026,0.9348534201954397,0.1,7,0.77894526720047,1.2426321804989129,1.299147129058838,0.0,24.417318788170814,1.0,-0.0032674167672666955,0.0021120613,0.09120842814445496,0.2,2840,0.09903030395507813,1e-05,20
0.09063047915697098,0.08976905047893524,0.09284419566392899,0.0,0.09168128669261932,2.3063973063973062,0.09174513816833496,0.08956924080848694,0.04918032786885246,0.09024670720100403,0.09351013600826263,0.1,0.09335888177156448,0.08832834661006927,0.08832834661006927,45,0.09320257604122162,432.66,10,0.0,0.09084508568048477,0.09162082523107529,0.09120388329029083,0.09325436502695084,37,0.09212704002857208,286.2803039550781,0.04081632653061224,0.08999371528625488,3.751396771192675,266,0.09276904910802841,0.09208336472511292,0.043478260869565216,50,61,46,1.4091649831649842,0.08969531953334808,49,0.09351013600826263,0.0915769711136818,0.09314986318349838,0.09259219467639923,4911,0.022222222222222223,1310720,0.0897131860256195,0.08986980468034744,0.0707070707070707,0.9292929292929293,0.1,9,0.7833226919174194,1.1734809904824943,1.7850500345230103,0.0,24.363112050294877,0.8888888888888888,-0.003435103526499006,0.0022323937,0.09141523391008377,0.2,2850,0.10244216918945312,1e-05,21
