train/action_std_23,train/action_std_02,train/action_std_13,train/action_std_00,rollout/episodes_noforce,train/action_std_12,train/action_std_21,train/action_std_18,train/action_std_17,rollout/ep_rew_mean,train/action_std_07,time/time_elapsed,rollout/force_direction_mean,train/action_std_19,train/action_std_10,rollout/force_onset_mean,train/action_std_01,train/action_std_16,rollout/ep_len_mean,time/fps,train/action_std_22,train/action_std_08,rollout/is_timeout_mean,time/iterations,train/action_std_06,train/action_std_09,train/action_std_20,train/action_std_04,train/action_std_03,time/total_timesteps,train/std_min,train/action_std_15,train/action_std_14,train/action_std_24,rollout/is_fall_mean,train/action_std_05,train/std_max,rollout/recovery_noforce,rollout/action_saturation_fraction,rollout/force_requested_impulse_mean,train/action_std_11,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,train/clip_range_vf,rollout/timeouts,train/std,train/entropy_loss,rollout/timeout_without_onset_fraction,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss
0.05970626324415207,0.0593256950378418,0.0594773031771183,0.0589294396340847,32,0.05903838574886322,0.05920073390007019,0.05990845710039139,0.05923885479569435,240.79403686523438,0.05963565409183502,40,-1.0,0.05996396020054817,0.059425242245197296,1.404312500000001,0.05908426269888878,0.05963872745633125,375.75,3208,0.0589229092001915,0.05910798907279968,0.0,1,0.059371259063482285,0.05952510982751846,0.05915794149041176,0.059904057532548904,0.059870120137929916,131072,0.0589229092001915,0.05926106125116348,0.05935836210846901,0.059608034789562225,1.0,0.060112640261650085,0.060112640261650085,0.0,0.0,0.0,0.059605106711387634,,,,,,,,,,,,,,
0.059730011969804764,0.05933619290590286,0.05948986858129501,0.05894903093576431,235,0.05904942378401756,0.059214454144239426,0.05992491543292999,0.05924977362155914,661.4855346679688,0.059646107256412506,100,-1.0,0.05997731536626816,0.05944037437438965,1.4044085106382989,0.05910990759730339,0.059649791568517685,1000.0,2601,0.05892432853579521,0.05912663787603378,0.7319148936170212,2,0.059381239116191864,0.05954388901591301,0.059176068753004074,0.059915341436862946,0.0598902627825737,262144,0.05892432853579521,0.05926503241062164,0.059369444847106934,0.059624653309583664,0.2680851063829787,0.06012636050581932,0.06012636050581932,0.7319148936170212,0.0,0.0,0.059627678245306015,0.029482269287109376,0.6646500825881958,0.0012959379,0.873367428779602,1e-06,0.2,172,0.05946952477097511,35.08722382485867,0.0,1550,0.3342373432358727,0.1,-0.0025068545386602637
0.059739481657743454,0.059343889355659485,0.05949360132217407,0.058965813368558884,65,0.059066955000162125,0.05921998992562294,0.05994531884789467,0.05927010625600815,506.7427673339844,0.059671081602573395,160,-1.0,0.05998925492167473,0.059448666870594025,1.40843076923077,0.05911057069897652,0.05966603383421898,774.38,2457,0.05894017592072487,0.059143245220184326,0.3230769230769231,3,0.059399448335170746,0.05956128239631653,0.059199295938014984,0.05994020402431488,0.059906698763370514,393216,0.05894017592072487,0.0592757873237133,0.05937713384628296,0.05964496731758118,0.676923076923077,0.06014631688594818,0.06014631688594818,0.3230769230769231,0.0,0.0,0.05964236706495285,0.0309478759765625,0.7970188856124878,0.0013121751,0.895366907119751,1e-06,0.2,21,0.05948430672287941,35.08109683990479,0.0,1560,0.4249245513929054,0.1,-0.0023496778335811543
0.059753499925136566,0.059368498623371124,0.05951637029647827,0.05897686630487442,213,0.059078022837638855,0.059237077832221985,0.059960756450891495,0.05927421897649765,642.7938842773438,0.059683434665203094,220,-1.0,0.06000285968184471,0.05946773290634155,1.412187793427231,0.05913129076361656,0.05967404320836067,971.93,2372,0.058950167149305344,0.059158746153116226,0.6901408450704225,4,0.05941915139555931,0.059581026434898376,0.05920848250389099,0.059944890439510345,0.05992518365383148,524288,0.058950167149305344,0.05929338559508324,0.059382371604442596,0.059661198407411575,0.30985915492957744,0.060173194855451584,0.060173194855451584,0.6901408450704225,0.0,0.0,0.05965067073702812,0.026071929931640626,0.769651472568512,0.0012346181,0.8792069554328918,1e-06,0.2,147,0.05949892848730087,35.074912852048875,0.0,1570,0.3690884914249182,0.1,-0.002224771359396982
0.0597657673060894,0.0593842975795269,0.05953165516257286,0.05899960547685623,88,0.05909521132707596,0.059249717742204666,0.05998227745294571,0.05927824601531029,487.0323791503906,0.05969466269016266,280,-1.0,0.060019128024578094,0.05947960168123245,1.3724545454545465,0.05915497988462448,0.05968230962753296,747.46,2333,0.05896995961666107,0.0591801293194294,0.4431818181818182,5,0.05944513902068138,0.059579845517873764,0.05923456326127052,0.059970393776893616,0.059932585805654526,655360,0.05896995961666107,0.05930224806070328,0.05938940867781639,0.05967603623867035,0.5568181818181818,0.060201436281204224,0.060201436281204224,0.4431818181818182,0.0,0.0,0.05966351553797722,0.027093505859375,0.7995172739028931,0.0012471243,0.9028058648109436,1e-06,0.2,39,0.05951450765132904,35.06856990754604,0.0,1580,0.43466295695398005,0.1,-0.002206694277401766
0.05977465957403183,0.05940878018736839,0.05954430252313614,0.05901581421494484,205,0.059119731187820435,0.05927301570773125,0.059997979551553726,0.05929580330848694,600.5302124023438,0.059705935418605804,341,-1.0,0.0600251667201519,0.05949440971016884,1.4055317073170743,0.05916754528880119,0.059703145176172256,908.83,2301,0.05896890535950661,0.05920472741127014,0.6731707317073171,6,0.05945610627532005,0.05959651246666908,0.059249408543109894,0.05998846888542175,0.059937044978141785,786432,0.05896890535950661,0.05932420864701271,0.05940403789281845,0.05969369411468506,0.32682926829268294,0.060215648263692856,0.060215648263692856,0.6731707317073171,0.0,0.0,0.05967102572321892,0.0283905029296875,0.7882060408592224,0.0012577502,0.872699499130249,1e-06,0.2,138,0.059529438614845276,35.06216246783733,0.0,1590,0.40803673141635954,0.1,-0.0022762406836591255
0.05980037525296211,0.05941613391041756,0.05955864116549492,0.05903113633394241,112,0.05913025885820389,0.05928385630249977,0.060011643916368484,0.05931135639548302,495.27374267578125,0.05971766635775566,401,-1.0,0.06003601476550102,0.05951007083058357,1.412250000000001,0.059177011251449585,0.05972232297062874,756.94,2283,0.058984823524951935,0.05923058092594147,0.5,7,0.05948557332158089,0.059614188969135284,0.059262022376060486,0.05999099835753441,0.059957269579172134,917504,0.058984823524951935,0.05933832749724388,0.05942525714635849,0.05970385670661926,0.5,0.06022227928042412,0.06022227928042412,0.5,0.0,0.0,0.059693578630685806,0.030265045166015626,0.7399286031723022,0.0013394321,0.8919970393180847,1e-06,0.2,56,0.05954461172223091,35.05579453706741,0.0,1600,0.4370479422621429,0.1,-0.0024320325288954337
0.05981781333684921,0.05943625047802925,0.059570569545030594,0.059042565524578094,187,0.05914578586816788,0.05930759385228157,0.06002970412373543,0.05931971222162247,606.15283203125,0.05973583459854126,463,-1.0,0.060051001608371735,0.05953015014529228,1.4017433155080226,0.05919109657406807,0.05973600596189499,920.59,2264,0.05899418890476227,0.05923875793814659,0.7486631016042781,8,0.059501826763153076,0.05962004512548447,0.05926566943526268,0.06001606583595276,0.05998437851667404,1048576,0.05899418890476227,0.05935468524694443,0.059437625110149384,0.05972088500857353,0.25133689839572193,0.060231830924749374,0.060231830924749374,0.7486631016042781,0.0,0.0,0.05971471965312958,0.032251739501953126,0.6668308973312378,0.0013507096,0.8839939832687378,1e-06,0.2,140,0.059559792280197144,35.04945324659347,0.0,1610,0.40143760866485534,0.1,-0.002393983166257385
0.059827711433172226,0.05945619195699692,0.05958420783281326,0.059053998440504074,122,0.05915839225053787,0.059321749955415726,0.06004271283745766,0.05932442098855972,535.5150756835938,0.059751104563474655,523,-1.0,0.06006069481372833,0.059547822922468185,1.4019672131147551,0.05921219661831856,0.059741947799921036,814.15,2253,0.05901245027780533,0.05925719067454338,0.5655737704918032,9,0.05951405689120293,0.05963696166872978,0.05927030369639397,0.06004004925489426,0.05999789386987686,1179648,0.05901245027780533,0.059368327260017395,0.05945586785674095,0.05974240228533745,0.4344262295081967,0.06023411452770233,0.06023411452770233,0.5655737704918032,0.0,0.0,0.05972703546285629,0.02945404052734375,0.7321010828018188,0.0012885879,0.8990363478660583,1e-06,0.2,69,0.059573594480752945,35.04335245788097,0.0,1620,0.37589741065166893,0.1,-0.002384462742247706
0.059843119233846664,0.059469860047101974,0.05960688367486,0.05907188355922699,175,0.059175532311201096,0.05934101715683937,0.060063302516937256,0.059338368475437164,608.9088745117188,0.05976253002882004,584,-1.0,0.060074202716350555,0.0595661960542202,1.401737142857144,0.059227120131254196,0.059744879603385925,924.88,2243,0.05902867391705513,0.059269584715366364,0.7085714285714285,10,0.059525154531002045,0.05966082587838173,0.05928293988108635,0.06006231531500816,0.060008008033037186,1310720,0.05902867391705513,0.059384819120168686,0.05946625769138336,0.05975163355469704,0.2914285714285714,0.060253992676734924,0.060253992676734924,0.7085714285714285,0.0,0.0,0.05974264442920685,0.028966522216796874,0.7245299816131592,0.0012724544,0.8824675679206848,1e-06,0.2,124,0.05958887189626694,35.037253433465956,0.0,1630,0.369551192491781,0.1,-0.002208459118060091
