rollout/force_direction_mean,train/action_std_21,train/action_std_01,train/std_max,train/action_std_17,rollout/recovery_noforce,train/action_std_00,train/action_std_15,rollout/ep_len_mean,rollout/action_saturation_fraction,time/time_elapsed,train/action_std_02,time/iterations,train/action_std_05,train/action_std_07,train/action_std_10,train/action_std_20,train/action_std_24,time/fps,train/action_std_06,rollout/is_timeout_mean,train/action_std_12,rollout/is_fall_mean,train/std_min,train/action_std_04,time/total_timesteps,train/action_std_09,rollout/force_requested_impulse_mean,rollout/episodes_noforce,train/action_std_19,rollout/ep_rew_mean,train/action_std_11,train/action_std_08,train/action_std_22,train/action_std_16,train/action_std_18,train/action_std_23,rollout/force_onset_mean,train/action_std_03,train/action_std_13,train/action_std_14,train/n_updates,rollout/timeouts,train/value_loss,train/loss,train/clip_range,train/explained_variance,train/approx_kl,rollout/timeout_without_onset_fraction,train/entropy_loss,train/std,train/clip_fraction,train/clip_range_vf,train/policy_gradient_loss,train/learning_rate
-1.0,0.05808131396770477,0.05790386721491814,0.05893613025546074,0.0581108033657074,0.0,0.057808466255664825,0.05812671035528183,360.4761904761905,0.0,41,0.05811762064695358,1,0.05893613025546074,0.058428917080163956,0.05828987434506416,0.058011412620544434,0.058389630168676376,3127,0.05823301896452904,0.0,0.05796440690755844,1.0,0.057785797864198685,0.05873468145728111,131072,0.05838274210691452,0.0,42,0.05876734480261803,227.45401000976562,0.058372776955366135,0.05798364803195,0.057785797864198685,0.05843918398022652,0.05869437754154205,0.0585663765668869,1.360904761904763,0.05871135741472244,0.05821244791150093,0.058204952627420425,,,,,,,,,,,,,,
-1.0,0.05809260159730911,0.05791793391108513,0.05895692855119705,0.058119285851716995,0.6460176991150443,0.0578259602189064,0.05813240632414818,991.62,0.0,102,0.058135539293289185,2,0.05895692855119705,0.05844183266162872,0.05830267444252968,0.05803018435835838,0.0584033727645874,2559,0.05824705958366394,0.6460176991150443,0.057974912226200104,0.35398230088495575,0.05779799446463585,0.05874176695942879,262144,0.05839855596423149,0.0,226,0.058779384940862656,655.1207275390625,0.05839361250400543,0.05799586698412895,0.05779799446463585,0.058454010635614395,0.058718159794807434,0.058578819036483765,1.4045575221238948,0.058724235743284225,0.058232005685567856,0.05822395533323288,780,146,0.3807030999101698,0.7810603380203247,0.1,0.8864428997039795,0.0013221286,0.0,35.581735745072365,0.05830475687980652,0.03177719116210938,0.2,-0.0024299637563672148,1e-06
-1.0,0.05811210721731186,0.0579371340572834,0.05897028371691704,0.05813261494040489,0.34444444444444444,0.05784447863698006,0.05814313516020775,708.84,0.0,162,0.058144453912973404,3,0.05897028371691704,0.058460451662540436,0.05830463394522667,0.05804786831140518,0.058425601571798325,2415,0.0582646019756794,0.34444444444444444,0.05798523500561714,0.6555555555555556,0.05781183019280434,0.05876011773943901,393216,0.05840752273797989,0.0,90,0.0587894469499588,456.1014099121094,0.05841794237494469,0.05801816284656525,0.05781183019280434,0.05845994874835014,0.058732468634843826,0.058594368398189545,1.3916222222222232,0.05874951183795929,0.05824408680200577,0.058241281658411026,790,31,0.45470262262970207,0.777603268623352,0.1,0.8947480320930481,0.0013344294,0.0,35.57539336681366,0.058319974690675735,0.03289108276367188,0.2,-0.002471335404607089,1e-06
-1.0,0.0581209734082222,0.05795018747448921,0.058987610042095184,0.05815182998776436,0.6414141414141414,0.05785612016916275,0.058151744306087494,974.5,0.0,223,0.05815383791923523,4,0.058987610042095184,0.05846660956740379,0.058306846767663956,0.05805717036128044,0.058440495282411575,2341,0.05828245356678963,0.6414141414141414,0.05799838528037071,0.35858585858585856,0.057833459228277206,0.05878468230366707,524288,0.05842341482639313,0.0,198,0.05880286172032356,639.187744140625,0.05843473970890045,0.058028772473335266,0.057833459228277206,0.05846631899476051,0.058737244457006454,0.05860360339283943,1.3909292929292938,0.05876052379608154,0.05825400352478027,0.058245740830898285,800,127,0.39827164196176457,0.8138090968132019,0.1,0.8930139541625977,0.0012420823,0.0,35.569571253657344,0.05833198502659798,0.02758331298828125,0.2,-0.00228184958878046,1e-06
-1.0,0.05814337357878685,0.05796321853995323,0.05900776386260986,0.058171823620796204,0.4330708661417323,0.057884540408849716,0.05816613882780075,744.03,0.0,284,0.05817364156246185,5,0.05900776386260986,0.058482084423303604,0.05832461267709732,0.058073919266462326,0.058460772037506104,2300,0.05829857662320137,0.4330708661417323,0.05800344794988632,0.5669291338582677,0.05784377455711365,0.05880224332213402,655360,0.05844941362738609,0.0,127,0.05882159620523453,480.79998779296875,0.05843666195869446,0.058046042919158936,0.05784377455711365,0.05848214030265808,0.05874210223555565,0.058612752705812454,1.4094173228346465,0.058778710663318634,0.05826636403799057,0.05825982242822647,810,55,0.4773717085365206,0.8350481986999512,0.1,0.8966537117958069,0.0012620307,0.0,35.56360021829605,0.05834782496094704,0.028025054931640626,0.2,-0.0023922481699628407,1e-06
-1.0,0.058154989033937454,0.05799270421266556,0.05901852995157242,0.058186598122119904,0.5842696629213483,0.05788116157054901,0.058186374604701996,874.91,0.0,345,0.05818803980946541,6,0.05901852995157242,0.05850675702095032,0.058342598378658295,0.0580923818051815,0.05847126618027687,2273,0.05831038951873779,0.5842696629213483,0.05802213400602341,0.4157303370786517,0.05786379054188728,0.05880727618932724,786432,0.05846404656767845,0.0,178,0.058836646378040314,573.695556640625,0.05844870209693909,0.05806432664394379,0.05786379054188728,0.05849258601665497,0.05876123905181885,0.058620747178792953,1.3822921348314616,0.058787230402231216,0.05827496573328972,0.05828402563929558,820,104,0.48790193123277276,0.86573725938797,0.1,0.890046238899231,0.0012587039,0.0,35.55708763301372,0.05836237594485283,0.028521728515625,0.2,-0.002322382664624456,1e-06
-1.0,0.05816831439733505,0.058009322732686996,0.059031784534454346,0.05820295587182045,0.5069444444444444,0.05789714306592941,0.05819948762655258,796.08,0.0,406,0.05821332335472107,7,0.059031784534454346,0.05852077901363373,0.05834852159023285,0.05810674652457237,0.05848788842558861,2255,0.05833793804049492,0.5069444444444444,0.058037906885147095,0.4930555555555556,0.05787688121199608,0.05882755666971207,917504,0.05848544463515282,0.0,144,0.05885174125432968,513.2171630859375,0.05846893787384033,0.05807988718152046,0.05787688121199608,0.05850877985358238,0.05877117067575455,0.058636851608753204,1.3757222222222234,0.05880255252122879,0.05829118192195892,0.05829475447535515,830,73,0.46330870655365286,0.7553629279136658,0.1,0.8897374868392944,0.0012865439,0.0,35.55051904916763,0.05837831646203995,0.03011474609375,0.2,-0.002342536798732908,1e-06
-1.0,0.05818680673837662,0.05802297592163086,0.059048548340797424,0.05820877104997635,0.5575757575757576,0.057908933609724045,0.05822402238845825,844.12,0.0,467,0.058220233768224716,8,0.059048548340797424,0.0585290789604187,0.058368127793073654,0.05812700465321541,0.0584978424012661,2240,0.05833667144179344,0.5575757575757576,0.058053046464920044,0.44242424242424244,0.0578925758600235,0.05883925408124924,1048576,0.05849720165133476,0.0,165,0.05885550007224083,551.6239013671875,0.058489419519901276,0.058091092854738235,0.0578925758600235,0.05851893499493599,0.058788858354091644,0.05864546447992325,1.355272727272728,0.05882197245955467,0.058303385972976685,0.058311112225055695,840,92,0.48280310253612696,0.8857887983322144,0.1,0.8867133855819702,0.0013251044,0.0,35.54431073069573,0.058391474187374115,0.031778717041015626,0.2,-0.0024235677196884353,1e-06
-1.0,0.05819225683808327,0.05804569646716118,0.0590599961578846,0.05822986736893654,0.6312056737588653,0.05793064087629318,0.05822502449154854,844.94,0.0,528,0.0582287460565567,9,0.0590599961578846,0.05855075642466545,0.05839361250400543,0.05812924727797508,0.058498553931713104,2232,0.05834741145372391,0.6312056737588653,0.05806933715939522,0.36879432624113473,0.05790967866778374,0.05885931849479675,1179648,0.0585150420665741,0.0,141,0.0588725246489048,550.298095703125,0.05850742757320404,0.05811580643057823,0.05790967866778374,0.05853399261832237,0.05880644917488098,0.05865560099482536,1.4010638297872349,0.058828312903642654,0.05832161009311676,0.05833212286233902,850,89,0.45176920886151495,0.8143463134765625,0.1,0.883638322353363,0.0013115564,0.0,35.538309323787686,0.05840635672211647,0.031316375732421874,0.2,-0.002439806451002369,1e-06
-1.0,0.0582103505730629,0.058065421879291534,0.05907668545842171,0.05824517086148262,0.5555555555555556,0.057951390743255615,0.05823973938822746,826.62,0.0,589,0.058236852288246155,10,0.05907668545842171,0.058563683182001114,0.05840753763914108,0.0581454373896122,0.05850555747747421,2221,0.058368127793073654,0.5555555555555556,0.05808110907673836,0.4444444444444444,0.057922810316085815,0.05887666717171669,1310720,0.05853724479675293,0.0,180,0.05888590216636658,539.7382202148438,0.05852203443646431,0.058131396770477295,0.057922810316085815,0.05854923278093338,0.058809999376535416,0.058680612593889236,1.4050000000000011,0.05883409082889557,0.05833759158849716,0.05834519863128662,860,100,0.4042483439901844,0.6483280062675476,0.1,0.8949052095413208,0.0013199326,0.0,35.5319404065609,0.058421190828084946,0.029974365234375,0.2,-0.002383304284285259,1e-06
