time/fps,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/clip_range_vf,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/std
10588,1,131072,12,5.1264567375183105,128.32,,,,,,,,,,,,
9477,2,262144,27,5.275164604187012,127.45,10,1e-07,0.1,7.62939453125e-06,5.3700642585754395,0.0001247426,0.2,2.920633015036583,-0.0005126228343215189,-0.06471681594848633,37.94547336101532,0.04978707432746887
9172,3,393216,42,5.4622063636779785,133.98,20,1e-07,0.1,0.0,3.148555040359497,9.451358e-05,0.2,1.2714911078102886,-0.00042890987033388227,-0.27902114391326904,37.94547185301781,0.04978708550333977
9020,4,524288,58,5.6542816162109375,139.82,30,1e-07,0.1,0.0,3.0468826293945312,0.00011451705,0.2,1.224029735289514,-0.00045493768438973345,-0.23667144775390625,37.945465087890625,0.049787089228630066
8952,5,655360,73,5.538342475891113,135.71,40,1e-07,0.1,0.0,3.0849361419677734,9.861986e-05,0.2,1.200714730285108,-0.00045955636269354725,-0.1936652660369873,37.945465087890625,0.049787089228630066
8890,6,786432,88,5.681949615478516,139.8,50,1e-07,0.1,0.0,3.0339009761810303,8.950423e-05,0.2,1.1690641026943922,-0.0004566335897834506,-0.14046084880828857,37.94545898735523,0.049787115305662155
8865,7,917504,103,5.388418197631836,131.34,60,1e-07,0.1,0.0,3.0263726711273193,9.224765e-05,0.2,1.1715767210349441,-0.0004475329039451026,-0.13537085056304932,37.94545027911663,0.049787115305662155
8848,8,1048576,118,5.5591654777526855,140.22,70,1e-07,0.1,0.0,3.0710268020629883,9.2413844e-05,0.2,1.1632758473977447,-0.000401876386058575,-0.08960855007171631,37.945444917678834,0.04978713393211365
