time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_range_vf,train/std,train/loss,train/explained_variance,train/clip_fraction
24,33.497642517089844,3145728,1208,2603,789.64,5e-06,19.96099762916565,0.1,0.0020803297,-0.00244801629196445,1000,0.7142141820164397,0.2,0.10557030886411667,1.7442928552627563,0.7513769268989563,0.07665252685546875
25,35.04008483886719,3276800,1258,2602,824.55,5e-06,19.85148755759001,0.1,0.0020395364,-0.0023054406181245214,1010,0.6830968199996278,0.2,0.10604526847600937,1.5899927616119385,0.7481149435043335,0.07140579223632812
26,33.36161422729492,3407872,1309,2601,785.25,5e-06,19.740516170859337,0.1,0.002044812,-0.0023095256399756183,1020,0.7029347104718908,0.2,0.10654731839895248,1.6616497039794922,0.7198163866996765,0.07152175903320312
27,33.18828201293945,3538944,1360,2600,779.6,5e-06,19.62981307953596,0.1,0.0019811618,-0.0023222845067721208,1030,0.7162472931900993,0.2,0.10703108459711075,1.6096980571746826,0.755911111831665,0.07060470581054687
28,35.685630798339844,3670016,1411,2600,837.43,5e-06,19.522723630070686,0.1,0.0020109247,-0.0022639902309947503,1040,0.6879985234932974,0.2,0.10750409960746765,1.6327590942382812,0.7554482221603394,0.072186279296875
29,34.02913284301758,3801088,1462,2598,798.17,5e-06,19.41414897441864,0.1,0.0020760545,-0.002303461233168491,1050,0.7461301848990842,0.2,0.1080002561211586,1.667236089706421,0.70451819896698,0.07321090698242187
30,33.06651306152344,3932160,1513,2597,779.33,5e-06,19.302379459142685,0.1,0.0020979154,-0.0024496634753177204,1060,0.7103787390515208,0.2,0.10850896686315536,1.5479137897491455,0.730514407157898,0.07547149658203126
31,34.386505126953125,4063232,1564,2597,802.74,5e-06,19.191270451247693,0.1,0.0020428894,-0.0024668131445196194,1070,0.7178108443738893,0.2,0.10900748521089554,1.7053782939910889,0.7576258778572083,0.07275161743164063
32,34.851016998291016,4194304,1615,2596,811.87,5e-06,19.080785398185252,0.1,0.0021002567,-0.002663400800247473,1080,0.6697013570461422,0.2,0.10951114445924759,1.5469329357147217,0.7476661801338196,0.07818679809570313
33,34.52412033081055,4325376,1666,2595,806.75,5e-06,18.97078295350075,0.1,0.002075914,-0.002477317023840442,1090,0.7099220785079524,0.2,0.11001182347536087,1.5653361082077026,0.736376166343689,0.07564163208007812
34,36.203834533691406,4456448,1717,2595,846.62,5e-06,18.859897804260253,0.1,0.0020600436,-0.0024689136554115975,1100,0.7099670187802986,0.2,0.11052718758583069,1.8610299825668335,0.7240384817123413,0.07305831909179687
35,34.051353454589844,4587520,1767,2595,795.82,5e-06,18.748800069093704,0.1,0.002015741,-0.0022805656691161857,1110,0.7174384417245164,0.2,0.11103686690330505,1.585044026374817,0.703365683555603,0.07183380126953125
36,36.684444427490234,4718592,1818,2594,847.94,5e-06,18.63918318450451,0.1,0.0020074896,-0.0024182222957279008,1120,0.6960537404287607,0.2,0.11154043674468994,1.5726616382598877,0.7291511297225952,0.07152099609375
37,35.23213195800781,4849664,1869,2593,825.69,5e-06,18.529439289867877,0.1,0.0021454354,-0.002462555593092475,1130,0.7294554280582816,0.2,0.11205633729696274,1.6263372898101807,0.6839454770088196,0.07907028198242187
38,35.50217819213867,4980736,1920,2593,832.68,5e-06,18.41869651675224,0.1,0.0020359568,-0.0024965693501599164,1140,0.7064283002633601,0.2,0.11257511377334595,1.7768583297729492,0.7211927175521851,0.073486328125
39,34.77535629272461,5111808,1971,2592,812.29,5e-06,18.30782582759857,0.1,0.0020931186,-0.0024283772956096073,1150,0.6875648821005598,0.2,0.11309731006622314,1.5473833084106445,0.7001587748527527,0.07520980834960937
40,35.81303024291992,5242880,2022,2592,834.43,5e-06,18.19625393897295,0.1,0.0020877258,-0.0024305728279614414,1160,0.7556405703769997,0.2,0.1136259064078331,1.563199758529663,0.7265236377716064,0.07594375610351563
41,34.56220626831055,5373952,2073,2591,805.01,5e-06,18.086245730519295,0.1,0.0021694936,-0.0025365626808252274,1170,0.6962801538174972,0.2,0.11414005607366562,1.5267088413238525,0.7306027412414551,0.0800048828125
42,33.279388427734375,5505024,2124,2591,783.97,5e-06,17.97856050878763,0.1,0.002052435,-0.0023299002029034455,1180,0.7318323512328788,0.2,0.11465083807706833,1.5408647060394287,0.7276648879051208,0.07299728393554687
43,34.79462814331055,5636096,2175,2591,814.81,5e-06,17.869947028160095,0.1,0.0021498282,-0.0025574410012723092,1190,0.7226979513652623,0.2,0.11517699807882309,1.6507474184036255,0.7644859552383423,0.07772369384765625
44,35.73585510253906,5767168,2225,2590,827.53,5e-06,17.758465546369553,0.1,0.0021240173,-0.002644647363013064,1200,0.689553136867471,0.2,0.11571923643350601,1.5476138591766357,0.7278239130973816,0.07729644775390625
45,35.00377655029297,5898240,2276,2590,812.93,5e-06,17.646753358840943,0.1,0.0020608194,-0.0022999642069407855,1210,0.746901567815803,0.2,0.1162557601928711,1.5552079677581787,0.6933403015136719,0.07230606079101562
46,36.502967834472656,6029312,2327,2590,844.63,5e-06,17.535449093580247,0.1,0.002141343,-0.002491986943914526,1220,0.6794908146839589,0.2,0.11679766327142715,1.5315508842468262,0.7264590263366699,0.07667922973632812
47,34.96582794189453,6160384,2378,2590,819.58,5e-06,17.4255719140172,0.1,0.0021071683,-0.002541140286302834,1230,0.757634732639417,0.2,0.1173270121216774,1.492260217666626,0.7269923090934753,0.07382049560546874
48,36.903934478759766,6291456,2429,2589,850.07,5e-06,17.316807210445404,0.1,0.0020254792,-0.002378694758454003,1240,0.6965766884153709,0.2,0.11785921454429626,1.6686208248138428,0.7442967295646667,0.07300872802734375
49,35.894020080566406,6422528,2479,2589,830.11,5e-06,17.207434102892876,0.1,0.0021860837,-0.002541050851095861,1250,0.7062744825845584,0.2,0.11840081214904785,1.6471681594848633,0.7112410068511963,0.07851333618164062
50,37.95077133178711,6553600,2530,2590,867.55,5e-06,17.097649486362933,0.1,0.0020663633,-0.002427919123169886,1260,0.6769138263072818,0.2,0.11894338577985764,1.519634485244751,0.7107772827148438,0.0712066650390625
51,36.46943664550781,6684672,2581,2589,837.94,5e-06,16.987121687829493,0.1,0.0020824664,-0.002237247988705349,1270,0.7695573531556874,0.2,0.11949501186609268,1.6731171607971191,0.6431107521057129,0.07323074340820312
52,35.84206008911133,6815744,2632,2589,825.65,5e-06,16.876236222684383,0.1,0.0021022488,-0.0024117220199514123,1280,0.6740206379676238,0.2,0.12004872411489487,1.3959647417068481,0.6941506862640381,0.0749267578125
53,36.16407775878906,6946816,2682,2589,831.83,5e-06,16.76524306833744,0.1,0.0021829954,-0.0024919417348428395,1290,0.7598860160913319,0.2,0.12060534954071045,1.7230823040008545,0.6573941707611084,0.07937393188476563
54,36.065284729003906,7077888,2733,2588,833.61,5e-06,16.655753986537455,0.1,0.0020544613,-0.0024731521611101926,1300,0.6995921962196008,0.2,0.12115169316530228,1.350748062133789,0.6921292543411255,0.07239303588867188
55,34.79331970214844,7208960,2784,2588,812.03,5e-06,16.54749630689621,0.1,0.0021261452,-0.0023393509054585593,1310,0.7516179889673367,0.2,0.12169736623764038,1.707254409790039,0.7000201940536499,0.0732696533203125
56,34.11400604248047,7340032,2835,2588,792.54,5e-06,16.438493672013283,0.1,0.002161191,-0.0024269151114822305,1320,0.727713342406787,0.2,0.1222543716430664,1.344706654548645,0.7276955246925354,0.07557296752929688
57,34.71508026123047,7471104,2886,2588,807.64,5e-06,16.32941340059042,0.1,0.0020963543,-0.002503048663447771,1330,0.6993667727103456,0.2,0.12280913442373276,1.469177484512329,0.7133848667144775,0.07266082763671874
58,37.987308502197266,7602176,2937,2588,873.86,5e-06,16.2197492107749,0.1,0.002035903,-0.002388519305804948,1340,0.7838328272802755,0.2,0.12337742000818253,1.4730920791625977,0.666102945804596,0.0722259521484375
59,40.04291915893555,7733248,2988,2587,912.8,5e-06,16.109213222563266,0.1,0.002086614,-0.002387442958570318,1350,0.6812057335628197,0.2,0.1239456906914711,1.5202820301055908,0.659673273563385,0.07117385864257812
60,38.16389465332031,7864320,3039,2587,876.71,5e-06,15.998494435101748,0.1,0.0022055272,-0.0023720001222500287,1360,0.7727537985891104,0.2,0.1245201826095581,1.546957015991211,0.6074395775794983,0.081005859375
61,37.29469299316406,7995392,3090,2587,856.92,5e-06,15.887378745526075,0.1,0.002158828,-0.002581626622713884,1370,0.6729355368763208,0.2,0.12509974837303162,1.4465134143829346,0.674875020980835,0.07445297241210938
62,38.08871841430664,8126464,3141,2587,877.81,5e-06,15.77637384608388,0.1,0.002040084,-0.0023291854690342005,1380,0.7674843383720145,0.2,0.12567780911922455,1.4406025409698486,0.6723898649215698,0.07103042602539063
63,35.96506881713867,8257536,3191,2587,832.3,5e-06,15.666205863654614,0.1,0.0021582148,-0.002338726172274619,1390,0.6881365762092173,0.2,0.1262531727552414,1.4892419576644897,0.6807174682617188,0.075274658203125
64,36.024986267089844,8388608,3242,2587,830.87,5e-06,15.55618179216981,0.1,0.0021377187,-0.002623902070172335,1400,0.7702546193031594,0.2,0.12683553993701935,1.4471162557601929,0.681896984577179,0.07646713256835938
65,39.85655212402344,8519680,3292,2587,908.2,5e-06,15.446258418262005,0.1,0.001958753,-0.0021967448027226054,1410,0.7368769453139976,0.2,0.12741641700267792,1.4306854009628296,0.7129204869270325,0.06496124267578125
66,37.47089385986328,8650752,3343,2587,855.7,5e-06,15.335132820904255,0.1,0.002164169,-0.0024016349958401405,1420,0.7393152322154493,0.2,0.12801142036914825,1.673604130744934,0.659480094909668,0.07554550170898437
67,36.103145599365234,8781824,3394,2587,829.6,5e-06,15.223016526550055,0.1,0.0021400214,-0.0023724308545752136,1430,0.7098983303643763,0.2,0.12861268222332,1.269759178161621,0.6384806632995605,0.07445297241210938
68,36.00635528564453,8912896,3445,2587,823.48,5e-06,15.111004904657602,0.1,0.0019976979,-0.002473995259674666,1440,0.8163355422904714,0.2,0.1292128711938858,1.6820642948150635,0.6416071653366089,0.06865768432617188
69,37.948360443115234,9043968,3495,2586,856.39,5e-06,15.00032623782754,0.1,0.0021441872,-0.00242225859183236,1450,0.6655821830499917,0.2,0.12980560958385468,1.3595967292785645,0.6823925375938416,0.07695541381835938
70,36.75041198730469,9175040,3546,2586,842.48,5e-06,14.889142645150423,0.1,0.0021227172,-0.0025766868238861207,1460,0.8061890792800114,0.2,0.13041366636753082,1.371212124824524,0.6479811668395996,0.07526016235351562
71,39.554351806640625,9306112,3597,2587,890.73,5e-06,14.776868821680546,0.1,0.002118875,-0.0024273737326893753,1470,0.6721258778590709,0.2,0.1310284435749054,1.282421588897705,0.7101266384124756,0.07407302856445312
72,37.98723602294922,9437184,3648,2586,863.8,5e-06,14.665402971208096,0.1,0.0020993766,-0.0021872054701361776,1480,0.7818097128765658,0.2,0.1316307634115219,1.3108139038085938,0.600827693939209,0.07238616943359374
73,37.73627853393555,9568256,3698,2586,861.8,5e-06,14.552282660454512,0.1,0.0020820845,-0.002276336218255892,1490,0.7850142764160409,0.2,0.13226602971553802,1.3285629749298096,0.6182966232299805,0.0716278076171875
74,39.54036331176758,9699328,3749,2586,896.69,5e-06,14.441219512373209,0.1,0.0020664195,-0.0021353088726755232,1500,0.7514053486287594,0.2,0.13286036252975464,1.5056757926940918,0.6203203201293945,0.0691864013671875
75,39.33504867553711,9830400,3799,2587,894.21,5e-06,14.331499931961298,0.1,0.0022294326,-0.0025097192617977273,1510,0.7479721282143146,0.2,0.13347843289375305,1.5784294605255127,0.6030528545379639,0.07963409423828124
76,39.02872848510742,9961472,3850,2587,883.68,5e-06,14.219932882487774,0.1,0.002163246,-0.002388122483580446,1520,0.7221274289302528,0.2,0.13410048186779022,1.5389728546142578,0.6069625616073608,0.07761611938476562
77,38.22688293457031,10092544,3900,2587,870.6,5e-06,14.110425493121147,0.1,0.0020778468,-0.0023134140223191936,1530,0.7372746888315305,0.2,0.1347053050994873,1.3634445667266846,0.6336290240287781,0.07498703002929688
78,37.92127227783203,10223616,3951,2587,863.86,5e-06,14.000503985583782,0.1,0.002212169,-0.0024961531678854955,1540,0.7700952229788527,0.2,0.13533176481723785,1.4755808115005493,0.6565687656402588,0.07856063842773438
79,38.84425735473633,10354688,4002,2587,885.13,5e-06,13.8877434104681,0.1,0.0020978537,-0.0025444354370847575,1550,0.7271538144676015,0.2,0.13597409427165985,1.3021960258483887,0.673336923122406,0.07357711791992187
80,37.91542434692383,10485760,4053,2587,863.48,5e-06,13.777486186474562,0.1,0.002096195,-0.002338883732591057,1560,0.75531960001681,0.2,0.13658544421195984,1.4684754610061646,0.6576335430145264,0.0728302001953125
81,39.05735778808594,10616832,4103,2587,886.43,5e-06,13.668515542149544,0.1,0.0020642118,-0.0023544451006273447,1570,0.7668036652496084,0.2,0.13721302151679993,1.3613471984863281,0.6754776239395142,0.07094268798828125
82,39.95988082885742,10747904,4154,2586,900.83,5e-06,13.55805567279458,0.1,0.002043139,-0.002405470149551547,1580,0.6422413353342563,0.2,0.1378505378961563,1.1791634559631348,0.6683080196380615,0.07040328979492187
83,41.05841827392578,10878976,4205,2587,917.83,5e-06,13.446507639437915,0.1,0.0020871789,-0.0022419218636059667,1590,0.8055131478933617,0.2,0.1384921818971634,1.5887670516967773,0.598990261554718,0.0718505859375
84,39.767208099365234,11010048,4255,2587,899.3,5e-06,13.334553847461939,0.1,0.002203288,-0.0024489344590620022,1600,0.6977226953487843,0.2,0.13914208114147186,1.411182165145874,0.5889075994491577,0.07722396850585937
85,37.959564208984375,11141120,4306,2586,859.16,5e-06,13.221950148791075,0.1,0.0020782468,-0.0023939462897942577,1610,0.8131172517547384,0.2,0.1397993117570877,1.5378217697143555,0.647717297077179,0.07171173095703125
86,40.220680236816406,11272192,4357,2587,912.11,5e-06,13.110340582579374,0.1,0.002065922,-0.002501332642441412,1620,0.6661923190811649,0.2,0.140442356467247,1.2755136489868164,0.6787072420120239,0.07291107177734375
87,38.55428695678711,11403264,4407,2587,867.39,5e-06,12.998778615146875,0.1,0.002132656,-0.0024404753579801764,1630,0.8157409873558208,0.2,0.14110365509986877,1.6812796592712402,0.5612177848815918,0.07744140625
88,40.399681091308594,11534336,4458,2587,904.95,5e-06,12.887447191774845,0.1,0.0020620744,-0.002314947682316415,1640,0.745066626672633,0.2,0.14175252616405487,1.2543760538101196,0.6273741722106934,0.069610595703125
89,40.700531005859375,11665408,4508,2587,917.32,5e-06,12.776937215030193,0.1,0.0021520662,-0.002499464397533302,1650,0.7439445836702362,0.2,0.1424102783203125,1.4004318714141846,0.6156405806541443,0.07490463256835937
90,39.941673278808594,11796480,4559,2587,904.27,5e-06,12.666825895011424,0.1,0.0020505372,-0.0022728220470071394,1660,0.7613013347843662,0.2,0.1430598348379135,1.2403497695922852,0.59356689453125,0.07028656005859375
91,41.090789794921875,11927552,4610,2587,914.01,5e-06,12.556421052664518,0.1,0.002088711,-0.0023855353345425103,1670,0.7383032176876441,0.2,0.14372409880161285,1.176692247390747,0.590533971786499,0.07083816528320312
92,40.99858093261719,12058624,4660,2587,916.74,5e-06,12.445111356675625,0.1,0.00209797,-0.0021456286901866406,1680,0.7809454758651555,0.2,0.14439181983470917,1.4994959831237793,0.5370681285858154,0.07075576782226563
93,39.89726257324219,12189696,4711,2587,892.7,5e-06,12.334205940365791,0.1,0.0021759388,-0.00248891937121698,1690,0.7467952922452241,0.2,0.1450609713792801,1.2505381107330322,0.6270647644996643,0.07944488525390625
94,39.77275085449219,12320768,4761,2587,896.08,5e-06,12.22438940703869,0.1,0.0021180809,-0.0023707767635642086,1700,0.7862637993413955,0.2,0.1457212120294571,1.4187488555908203,0.602962076663971,0.07338104248046876
95,40.86830139160156,12451840,4812,2587,912.59,5e-06,12.113407808542252,0.1,0.001999082,-0.002298816502639056,1710,0.7327365367906168,0.2,0.1464071422815323,1.2214162349700928,0.6184925436973572,0.065234375
96,40.753108978271484,12582912,4863,2587,906.21,5e-06,12.002037680894137,0.1,0.002167021,-0.0023140470932958125,1720,0.7851544574135915,0.2,0.1470799297094345,1.3243918418884277,0.5927120447158813,0.07681045532226563
