rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/std,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range_vf,train/clip_range,train/approx_kl,train/learning_rate
34.29623794555664,8,131072,14952,1,363.8421052631579,,,,,,,,,,,,
42.23100662231445,21,262144,12448,2,738.3,0.14751739501953126,0.05020435154438019,37.839166936278346,-0.0010730937987318613,3.1351168549619617,5.370518207550049,-0.33024561405181885,10,0.2,0.1,0.0035542143,1e-05
24.746925354003906,33,393216,11906,3,556.74,0.132794189453125,0.05060615390539169,37.639613130688666,-0.0016497280530529679,1.2921437053009868,3.1773436069488525,-0.9568785429000854,20,0.2,0.1,0.0032347953,1e-05
24.927810668945312,44,524288,11662,4,580.25,0.13319778442382812,0.05101491138339043,37.4465304851532,-0.001701261663401965,1.2518792131915688,3.0862464904785156,-0.6421061754226685,30,0.2,0.1,0.0031567481,1e-05
25.351665496826172,56,655360,11535,5,592.19,0.13269577026367188,0.05142107605934143,37.25523352324963,-0.0018548648036812664,1.0845192542299629,2.9193084239959717,-0.07119691371917725,40,0.2,0.1,0.0032035476,1e-05
22.575712203979492,68,786432,11420,6,525.11,0.137347412109375,0.05184483528137207,37.06050054430962,-0.0022204986886208643,0.9997078755870461,2.834566354751587,-0.04806053638458252,50,0.2,0.1,0.003367756,1e-05
23.699419021606445,80,917504,11376,7,549.81,0.134832763671875,0.05227130651473999,36.8637718975544,-0.001938162126680254,0.9323012595996261,2.742206573486328,0.12148064374923706,60,0.2,0.1,0.0032486925,1e-05
24.38532257080078,92,1048576,11330,8,567.02,0.13041915893554687,0.05270075425505638,36.66749154925346,-0.0020091143225727135,0.8311968860216439,2.629927158355713,0.2947753071784973,70,0.2,0.1,0.0032127057,1e-05
24.711782455444336,104,1179648,11298,9,590.79,0.13082351684570312,0.05311862751841545,36.475441706180575,-0.001862542806793499,0.7681085726711899,2.5651724338531494,0.36095958948135376,80,0.2,0.1,0.003171415,1e-05
27.92169761657715,116,1310720,11268,10,656.66,0.12999191284179687,0.05354590341448784,36.284241938591,-0.001970988726770884,0.6839157321956009,2.4986724853515625,0.4736117720603943,90,0.2,0.1,0.0032047294,1e-05
26.112266540527344,128,1441792,11239,11,616.86,0.13022308349609374,0.053986188024282455,36.08949062526226,-0.002059854499748326,0.6279111759737134,2.4160735607147217,0.5233105421066284,100,0.2,0.1,0.0031957333,1e-05
25.211776733398438,140,1572864,11204,12,594.13,0.13218536376953124,0.05442982167005539,35.892999762296675,-0.0020642120224692918,0.5915013419929892,2.3463706970214844,0.6256237030029297,110,0.2,0.1,0.0032464392,1e-05
25.015718460083008,152,1703936,11204,13,589.31,0.12778091430664062,0.05486704036593437,35.69900572001934,-0.001946498830238852,0.5487189398612827,2.302966833114624,0.6574726700782776,120,0.2,0.1,0.003135894,1e-05
