time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/clip_fraction,train/clip_range_vf,train/std,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/entropy_loss,train/approx_kl,train/explained_variance
16384,1,13.308801651000977,150.17045454545453,3,5173,,,,,,,,,,,,
32768,2,5.728750228881836,148.83,6,5082,0.1,0.175372314453125,0.2,0.049849800765514374,1e-05,10,2.9555029183626176,-0.010027124185580761,4.831071853637695,37.9306339263916,0.0038252722,-0.22432148456573486
49152,3,6.115034103393555,157.89,10,4873,0.1,0.168023681640625,0.2,0.049911968410015106,1e-05,20,0.9811954133212566,-0.012203569049597717,2.827841281890869,37.90069992542267,0.0038880007,-0.22407734394073486
65536,4,6.590290546417236,167.09,13,4862,0.1,0.16136474609375,0.2,0.049972400069236755,1e-05,30,0.9199827335774898,-0.011616874160245061,2.761172294616699,37.87108733654022,0.0037796632,0.09027659893035889
81920,5,5.716473579406738,142.4,16,4845,0.1,0.162811279296875,0.2,0.05003146827220917,1e-05,40,0.8085262041538954,-0.011278053469141014,2.635067939758301,37.84247553348541,0.0037784718,0.33029258251190186
98304,6,6.419294357299805,163.18,20,4757,0.1,0.159051513671875,0.2,0.050094809383153915,1e-05,50,0.7600931145250798,-0.011743255009059794,2.6187891960144043,37.81311173439026,0.003757839,0.44497203826904297
114688,7,6.632113456726074,170.08,24,4767,0.1,0.1646728515625,0.2,0.050155188888311386,1e-05,60,0.7263691086322069,-0.01169171635992825,2.591792583465576,37.78337469100952,0.0037016727,0.5309858918190002
131072,8,5.930970668792725,151.57,27,4789,0.1,0.164971923828125,0.2,0.05021662637591362,1e-05,70,0.6894502487033606,-0.012150033679790794,2.5110204219818115,37.7543384552002,0.0037786374,0.5883656740188599
147456,9,5.468222141265869,140.65,31,4732,0.1,0.1614990234375,0.2,0.05027773976325989,1e-05,80,0.6664396703243256,-0.011398336740967352,2.5032405853271484,37.72492847442627,0.003659246,0.5984145402908325
163840,10,5.733219146728516,147.54,34,4728,0.1,0.156451416015625,0.2,0.050335343927145004,1e-05,90,0.5613215645775199,-0.011669281711510849,2.382478713989258,37.69653525352478,0.0034635414,0.6414655447006226
180224,11,6.13175106048584,153.61,38,4715,0.1,0.16156005859375,0.2,0.05039384216070175,1e-05,100,0.6169838912785053,-0.0119706272642361,2.4354166984558105,37.669013714790346,0.0035251807,0.6332312822341919
196608,12,7.098763942718506,179.9,41,4727,0.1,0.14453125,0.2,0.05045168846845627,1e-05,110,0.5917258806526661,-0.011114487175655085,2.3984243869781494,37.641176152229306,0.0032692805,0.6902347207069397
212992,13,6.728250503540039,170.94,44,4789,0.1,0.16807861328125,0.2,0.05050983652472496,1e-05,120,0.6955719210207463,-0.012488311041670386,2.5267090797424316,37.61354546546936,0.0037323332,0.6263250112533569
229376,14,6.494474411010742,163.69,47,4782,0.1,0.153765869140625,0.2,0.05057000741362572,1e-05,130,0.6352046016603708,-0.011612003164191264,2.4878787994384766,37.58544969558716,0.003550605,0.6449469327926636
245760,15,6.168768405914307,152.86,51,4763,0.1,0.153302001953125,0.2,0.05062900111079216,1e-05,140,0.6205776024609804,-0.011806532727496233,2.4384994506835938,37.557290172576906,0.0034806158,0.6577866077423096
262144,16,6.055070400238037,150.88,55,4757,0.1,0.151678466796875,0.2,0.050689857453107834,1e-05,150,0.5794506814330816,-0.011415494450193363,2.3945982456207275,37.52894217967987,0.003441678,0.6797013282775879
278528,17,6.093072891235352,154.85,58,4773,0.1,0.146954345703125,0.2,0.05074557289481163,1e-05,160,0.5785407725721597,-0.010958351427689195,2.373556613922119,37.50112555027008,0.0033171312,0.6778905987739563
294912,18,6.132047176361084,158.99,62,4754,0.1,0.156793212890625,0.2,0.05080311745405197,1e-05,170,0.5386387355625629,-0.012102451402461157,2.3443117141723633,37.47440676689148,0.0036246409,0.6819356679916382
311296,19,6.245965480804443,160.13,65,4747,0.1,0.1660400390625,0.2,0.05086108297109604,1e-05,180,0.5569119475781917,-0.012992155499523506,2.391195297241211,37.44706764221191,0.0036871238,0.6315383911132812
327680,20,6.625442981719971,165.87,68,4754,0.1,0.154852294921875,0.2,0.05092315003275871,1e-05,190,0.5376835722476244,-0.011759525691741147,2.3665611743927,37.418890380859374,0.0034253935,0.669274091720581
344064,21,6.20650577545166,155.37,72,4747,0.1,0.155169677734375,0.2,0.05098411440849304,1e-05,200,0.5936364486813546,-0.011668515202472918,2.4329442977905273,37.38983557224274,0.0034924196,0.6468476057052612
360448,22,6.072406768798828,157.2,75,4743,0.1,0.149993896484375,0.2,0.05104931443929672,1e-05,210,0.5278005776926875,-0.011808932686108164,2.336256742477417,37.36023530960083,0.0034309095,0.6844652891159058
376832,23,5.870659828186035,149.99,79,4749,0.1,0.165362548828125,0.2,0.05111079663038254,1e-05,220,0.5348024750128388,-0.012944733945187182,2.3800504207611084,37.330377626419065,0.0036436955,0.6801180839538574
393216,24,6.154809474945068,155.86,82,4757,0.1,0.169024658203125,0.2,0.05116646736860275,1e-05,230,0.529974009655416,-0.01257215929508675,2.382460594177246,37.30282158851624,0.003734172,0.6670017242431641
409600,25,6.44289493560791,163.91,86,4754,0.1,0.15556640625,0.2,0.05122782289981842,1e-05,240,0.5214247848838568,-0.012083202165376861,2.379103660583496,37.275497031211856,0.0035660258,0.6848061084747314
425984,26,5.863864898681641,153.12,89,4767,0.1,0.15718994140625,0.2,0.05128932744264603,1e-05,250,0.5819582205265761,-0.012097480910597369,2.4864447116851807,37.24661087989807,0.0035095534,0.644384503364563
442368,27,5.658758640289307,142.79,92,4779,0.1,0.15462646484375,0.2,0.051350414752960205,1e-05,260,0.5578633841127157,-0.011588519709766843,2.422685146331787,37.217924332618715,0.0034162828,0.6570116281509399
458752,28,5.675468921661377,143.32,96,4773,0.1,0.144775390625,0.2,0.0514107309281826,1e-05,270,0.5627627225592733,-0.011610242500319145,2.3783822059631348,37.18964231014252,0.0034298059,0.6662489175796509
475136,29,6.421365737915039,165.25,99,4763,0.1,0.145574951171875,0.2,0.051469527184963226,1e-05,280,0.571523155644536,-0.011877706668747124,2.4110043048858643,37.16184763908386,0.0034001027,0.6860449910163879
491520,30,6.203588962554932,156.9,103,4755,0.1,0.157818603515625,0.2,0.05152937024831772,1e-05,290,0.582851979508996,-0.012655983709555585,2.4018166065216064,37.134201765060425,0.0034961682,0.6379375457763672
507904,31,6.201171875,159.7,106,4748,0.1,0.15572509765625,0.2,0.05159454792737961,1e-05,300,0.5944369949400425,-0.012175504605693277,2.413182258605957,37.105013608932495,0.0035688656,0.6411285400390625
524288,32,6.4330644607543945,165.9,110,4733,0.1,0.160125732421875,0.2,0.05165472254157066,1e-05,310,0.5905793540179729,-0.012645523691026029,2.480050563812256,37.07578177452088,0.0035711173,0.6478227376937866
540672,33,6.226369857788086,156.44,114,4727,0.1,0.152764892578125,0.2,0.051717232912778854,1e-05,320,0.6084454968571663,-0.012192460044752806,2.4539294242858887,37.047443175315856,0.0035204063,0.6333102583885193
557056,34,5.931891918182373,150.71,117,4723,0.1,0.165478515625,0.2,0.051776256412267685,1e-05,330,0.5938600119203329,-0.01269339258724358,2.4151248931884766,37.019144558906554,0.0036721432,0.6719632744789124
573440,35,6.3561811447143555,160.59,121,4727,0.1,0.141796875,0.2,0.051836561411619186,1e-05,340,0.6022302556782961,-0.011607473238836975,2.4587721824645996,36.99154889583588,0.0032097353,0.6553242802619934
589824,36,6.376509189605713,158.98,124,4740,0.1,0.157769775390625,0.2,0.0519053116440773,1e-05,350,0.6557677328586579,-0.01259149283869192,2.4659576416015625,36.96172559261322,0.0036872926,0.6290276050567627
606208,37,6.979791641235352,177.96,127,4739,0.1,0.151885986328125,0.2,0.05196605250239372,1e-05,360,0.6496129233390093,-0.012123323896958027,2.4392411708831787,36.93170335292816,0.003548008,0.6531107425689697
622592,38,6.387043476104736,161.78,131,4746,0.1,0.161090087890625,0.2,0.05202241986989975,1e-05,370,0.6248812980949878,-0.01239755057176808,2.4173450469970703,36.90466139316559,0.0036187088,0.6330490112304688
638976,39,5.919028282165527,149.63,134,4750,0.1,0.15462646484375,0.2,0.05208810418844223,1e-05,380,0.6227222431451083,-0.012202805775450543,2.4675846099853516,36.87664194107056,0.0035966125,0.675539493560791
655360,40,6.4520063400268555,160.55,137,4758,0.1,0.15313720703125,0.2,0.052155494689941406,1e-05,390,0.6699455972760916,-0.012074339104583488,2.534616231918335,36.84592914581299,0.0034214146,0.6516222357749939
671744,41,6.244112491607666,157.56,140,4767,0.1,0.14312744140625,0.2,0.05221981927752495,1e-05,400,0.6581892620772123,-0.011715352734609042,2.5147461891174316,36.81543853282928,0.0033882577,0.6648321151733398
688128,42,6.938297271728516,173.82,144,4765,0.1,0.149468994140625,0.2,0.052283674478530884,1e-05,410,0.6569618321955204,-0.012194650190940593,2.3843822479248047,36.786154222488406,0.0034553856,0.6335937976837158
704512,43,6.7173380851745605,174.2,147,4763,0.1,0.15682373046875,0.2,0.0523492693901062,1e-05,420,0.6219035681337118,-0.012463182309875264,2.494843006134033,36.7564124584198,0.003589198,0.6736561059951782
720896,44,5.535028457641602,141.44,151,4757,0.1,0.156365966796875,0.2,0.05240853875875473,1e-05,430,0.6513033986091614,-0.012064677369198761,2.4054486751556396,36.7276731967926,0.003429852,0.6360052227973938
737280,45,6.795511245727539,170.14,155,4756,0.1,0.145880126953125,0.2,0.052471473813056946,1e-05,440,0.681151220574975,-0.011626517519471236,2.54268741607666,36.699876403808595,0.0033204444,0.6622030735015869
753664,46,6.491821765899658,158.63,158,4760,0.1,0.153253173828125,0.2,0.052533701062202454,1e-05,450,0.6694285612553358,-0.012063379994651768,2.4987239837646484,36.671179509162904,0.0035235565,0.6536774635314941
770048,47,6.300214767456055,158.76,161,4756,0.1,0.154351806640625,0.2,0.0525989830493927,1e-05,460,0.7278880849480629,-0.012164359900634737,2.518638849258423,36.641958713531494,0.0036062845,0.6517531275749207
786432,48,6.487795829772949,165.06,165,4752,0.1,0.1472900390625,0.2,0.05266634374856949,1e-05,470,0.6544060450047254,-0.012389813852496444,2.423422336578369,36.6118216753006,0.0034818996,0.6809384226799011
802816,49,6.5603461265563965,164.78,169,4749,0.1,0.160052490234375,0.2,0.05273306369781494,1e-05,480,0.6448665466159582,-0.01252553475642344,2.426290512084961,36.581207394599915,0.0035554983,0.6714722514152527
819200,50,6.145359516143799,154.93,172,4753,0.1,0.159625244140625,0.2,0.0527944415807724,1e-05,490,0.6943442299962044,-0.012726127231144347,2.4068636894226074,36.55205583572388,0.0035127369,0.6420366764068604
835584,51,6.400870323181152,160.5,176,4746,0.1,0.153558349609375,0.2,0.05285952612757683,1e-05,500,0.6560049928724766,-0.012428867341077421,2.4660205841064453,36.523331546783446,0.0034985892,0.6587658524513245
851968,52,6.145200252532959,156.89,179,4747,0.1,0.16298828125,0.2,0.05291935056447983,1e-05,510,0.6213272728025914,-0.013254344557935838,2.4326088428497314,36.494980335235596,0.003744238,0.6644022464752197
868352,53,6.227523326873779,155.21,183,4738,0.1,0.148779296875,0.2,0.05298347398638725,1e-05,520,0.6255319327116012,-0.01222901390865445,2.371037483215332,36.466909122467044,0.003532887,0.6889313459396362
884736,54,6.1949310302734375,153.55,186,4734,0.1,0.153912353515625,0.2,0.053050100803375244,1e-05,530,0.718751634657383,-0.011603714982629753,2.5765721797943115,36.4372542142868,0.00357793,0.6225433945655823
901120,55,6.495697021484375,161.88,190,4736,0.1,0.1457763671875,0.2,0.053113903850317,1e-05,540,0.6753705695271492,-0.011873267634655349,2.487741470336914,36.40778193473816,0.0033587897,0.6657455563545227
917504,56,5.982782363891602,151.65,193,4738,0.1,0.16016845703125,0.2,0.053178638219833374,1e-05,550,0.6403695847839117,-0.01304755681194365,2.4904298782348633,36.378844165802,0.0036002994,0.6686590909957886
933888,57,6.409949779510498,163.67,196,4741,0.1,0.153424072265625,0.2,0.053245507180690765,1e-05,560,0.6512405067682266,-0.01219581762998132,2.42455792427063,36.34893202781677,0.0034155366,0.6587812900543213
950272,58,5.717462539672852,143.64,200,4743,0.1,0.14495849609375,0.2,0.0533115528523922,1e-05,570,0.6366280861198902,-0.01170444228919223,2.439162492752075,36.31900646686554,0.0034068758,0.6645971536636353
966656,59,5.9857177734375,153.0,203,4746,0.1,0.156451416015625,0.2,0.05337677523493767,1e-05,580,0.6582918930798769,-0.01221732392150443,2.493839740753174,36.289463019371034,0.0035551433,0.6736463904380798
983040,60,6.527438163757324,163.44,207,4746,0.1,0.15240478515625,0.2,0.053439944982528687,1e-05,590,0.632881760597229,-0.01204756220249692,2.408411979675293,36.260706996917726,0.003440255,0.6394869089126587
999424,61,6.357679843902588,160.81,210,4744,0.1,0.1531494140625,0.2,0.053501278162002563,1e-05,600,0.6299270469695329,-0.011926118735573255,2.3559205532073975,36.2327241897583,0.0035064165,0.6617459058761597
1015808,62,6.4101457595825195,161.95,214,4746,0.1,0.156109619140625,0.2,0.05356776341795921,1e-05,610,0.6323230467736721,-0.012490280985366553,2.4219934940338135,36.204080772399905,0.0034798826,0.6783093810081482
1032192,63,5.8984246253967285,147.57,217,4738,0.1,0.1498291015625,0.2,0.05363010615110397,1e-05,620,0.637325095385313,-0.01207718907680828,2.4137463569641113,36.17502365112305,0.0034421561,0.6806608438491821
1048576,64,6.3339033126831055,158.94,221,4741,0.1,0.146588134765625,0.2,0.05369920656085014,1e-05,630,0.6187626209110022,-0.011847424579900689,2.4064178466796875,36.14580545425415,0.0034514456,0.6967712044715881
1064960,65,6.310466289520264,157.21,224,4738,0.1,0.152166748046875,0.2,0.05376782268285751,1e-05,640,0.598196430504322,-0.01254879524203716,2.3957762718200684,36.115031886100766,0.0035640346,0.6852710843086243
