train/action_std_17,train/action_std_11,train/action_std_04,train/action_std_24,train/action_std_06,train/std_max,train/action_std_12,rollout/is_timeout_mean,train/action_std_15,train/action_std_23,train/action_std_16,rollout/force_direction_mean,rollout/ep_rew_mean,rollout/force_requested_impulse_mean,time/total_timesteps,time/fps,train/action_std_05,rollout/episodes_noforce,train/action_std_13,train/std_min,rollout/recovery_noforce,train/action_std_01,rollout/force_onset_mean,rollout/ep_len_mean,rollout/action_saturation_fraction,train/action_std_14,time/time_elapsed,train/action_std_09,train/action_std_08,train/action_std_20,train/action_std_02,train/action_std_19,time/iterations,train/action_std_22,train/action_std_18,train/action_std_03,rollout/is_fall_mean,train/action_std_00,train/action_std_21,train/action_std_10,train/action_std_07,rollout/timeouts,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/approx_kl,rollout/timeout_without_onset_fraction,train/explained_variance,train/clip_fraction,train/clip_range,train/clip_range_vf,train/value_loss,train/loss,train/learning_rate,train/std
0.07202810794115067,0.07115757465362549,0.07148910313844681,0.07221079617738724,0.07200703024864197,0.07306970655918121,0.0723932608962059,0.0,0.07138694077730179,0.07203009724617004,0.07228698581457138,-1.0,187.39016723632812,0.0,131072,5903,0.07220128923654556,4,0.07133106887340546,0.07021524012088776,0.0,0.07140941172838211,1.4395000000000011,261.75,0.0,0.07118961215019226,22,0.07244773954153061,0.0713871642947197,0.07080148160457611,0.07091910392045975,0.07138814777135849,1,0.0711565762758255,0.07021524012088776,0.07306970655918121,1.0,0.07058914750814438,0.07116883993148804,0.07150007784366608,0.07168803364038467,,,,,,,,,,,,,,
0.07212220132350922,0.07129323482513428,0.07165049016475677,0.07236842811107635,0.07216119766235352,0.07316141575574875,0.07263346761465073,0.9523809523809523,0.0715639516711235,0.07217352837324142,0.07244041562080383,-1.0,742.8473510742188,0.0,262144,5356,0.0723513662815094,252,0.07145477831363678,0.07039020955562592,0.9523809523809523,0.07162512838840485,1.4407936507936518,1000.0,0.0,0.0712970495223999,48,0.07260491698980331,0.07154378294944763,0.07094570249319077,0.07106778025627136,0.0715012326836586,2,0.07124878466129303,0.07039020955562592,0.07316141575574875,0.047619047619047616,0.07079228013753891,0.07139240205287933,0.07158355414867401,0.07178526371717453,240,-0.003234531173893629,3080,30.423103047907354,0.0023500302,0.0,0.8357178568840027,0.1198089599609375,0.1,0.2,0.08644247310003265,0.38669729232788086,1e-05,0.07172609865665436
0.07232767343521118,0.071414515376091,0.07177776098251343,0.07256238162517548,0.0723680630326271,0.07335442304611206,0.07283153384923935,0.35714285714285715,0.07174096256494522,0.07246867567300797,0.0725439116358757,-1.0,702.683837890625,0.0,393216,5250,0.07247470319271088,14,0.0716995969414711,0.07053600251674652,0.35714285714285715,0.07177877426147461,1.4165714285714297,946.83,0.0,0.07143500447273254,74,0.07275740802288055,0.07180056720972061,0.07116062939167023,0.07118567079305649,0.07158070057630539,3,0.07150916755199432,0.07053600251674652,0.07335442304611206,0.6428571428571429,0.0709729939699173,0.07158806174993515,0.07173169404268265,0.07191871106624603,5,-0.0037298014598491137,3090,30.367865224182605,0.002353666,0.0,0.8237488865852356,0.11642303466796874,0.1,0.2,0.14027828027319628,0.410687118768692,1e-05,0.07190077751874924
0.07247479259967804,0.07164399325847626,0.07193586230278015,0.0727408155798912,0.0724894106388092,0.07336898893117905,0.0731164962053299,0.9382716049382716,0.071967214345932,0.07263293117284775,0.07272280752658844,-1.0,748.9229125976562,0.0,524288,5147,0.07265953719615936,243,0.07185473293066025,0.07071913778781891,0.9382716049382716,0.07199402153491974,1.4372427983539107,1000.0,0.0,0.07155420631170273,101,0.07303088158369064,0.07202813774347305,0.07130996882915497,0.07133810967206955,0.07182922959327698,4,0.07166606932878494,0.07071913778781891,0.07336898893117905,0.06172839506172839,0.07105978578329086,0.07172490656375885,0.07188211381435394,0.07212825864553452,228,-0.003802610490038205,3100,30.306776340305806,0.0023371044,0.0,0.8056839108467102,0.117950439453125,0.1,0.2,0.13300382868910673,0.3811921775341034,1e-05,0.07207489758729935
0.07262329012155533,0.07181189954280853,0.07207389920949936,0.07286564260721207,0.07269793003797531,0.07357387244701385,0.07328839600086212,0.56,0.0721328854560852,0.07276308536529541,0.07291050255298615,-1.0,694.9939575195312,0.0,655360,5119,0.07283338904380798,25,0.07201972603797913,0.07087355107069016,0.56,0.07211537659168243,1.4192800000000012,929.14,0.0,0.07165426015853882,128,0.07321570813655853,0.0721660852432251,0.07141337543725967,0.07151975482702255,0.07206691056489944,5,0.07190883159637451,0.07087355107069016,0.07357387244701385,0.44,0.07124515622854233,0.07187902927398682,0.07194396108388901,0.0722796767950058,14,-0.0035536983372367104,3110,30.249767969548703,0.0024443658,0.0,0.8518564701080322,0.12285385131835938,0.1,0.2,0.15122116687125525,0.3851824998855591,1e-05,0.07223504781723022
0.07280134409666061,0.07190141081809998,0.07217279076576233,0.07301598787307739,0.07284438610076904,0.07373447716236115,0.07346097379922867,0.9613733905579399,0.07230101525783539,0.07288263738155365,0.07307136058807373,-1.0,746.282470703125,0.0,786432,5067,0.07302077114582062,233,0.07213429361581802,0.07108244299888611,0.9613733905579399,0.07224215567111969,1.4315021459227475,1000.0,0.0,0.07183694839477539,155,0.07336194068193436,0.07222658395767212,0.0715453028678894,0.07169096916913986,0.0722431018948555,6,0.07209232449531555,0.07108244299888611,0.07373447716236115,0.03862660944206009,0.07142076641321182,0.07194863259792328,0.07203449308872223,0.0724198967218399,224,-0.0031131908635870786,3120,30.19646511375904,0.00241165,0.0,0.8022735714912415,0.12225418090820313,0.1,0.2,0.15765869441092945,0.4466823637485504,1e-05,0.07237948477268219
0.07295549660921097,0.0720786452293396,0.07231741398572922,0.07319704443216324,0.07297388464212418,0.07393408566713333,0.0736483484506607,0.6756756756756757,0.07237590104341507,0.07305586338043213,0.07318522036075592,-1.0,698.31884765625,0.0,917504,5053,0.07316529750823975,37,0.07220585644245148,0.07127396762371063,0.6756756756756757,0.07242882996797562,1.4434594594594607,934.54,0.0,0.07194791734218597,181,0.07345996797084808,0.07242438942193985,0.07170510292053223,0.07180027663707733,0.0724291056394577,7,0.07234664261341095,0.07127396762371063,0.07393408566713333,0.32432432432432434,0.07160869985818863,0.07216276228427887,0.0722125694155693,0.07257457822561264,25,-0.003986396738673648,3130,30.143502946197987,0.002482787,0.0,0.8514750003814697,0.12763442993164062,0.1,0.2,0.12290458824427333,0.4381990134716034,1e-05,0.07253871113061905
0.0731545016169548,0.07221289724111557,0.07252828776836395,0.07345384359359741,0.07311991602182388,0.07406605780124664,0.07379356771707535,0.9504504504504504,0.07259984314441681,0.0732763484120369,0.07338522374629974,-1.0,741.9611206054688,0.0,1048576,5023,0.07335764169692993,222,0.07240241020917892,0.07142847031354904,0.9504504504504504,0.072590671479702,1.4343063063063075,996.3,0.0,0.0720897987484932,208,0.07362117618322372,0.07269604504108429,0.07179924845695496,0.07207680493593216,0.07260791212320328,8,0.07251615822315216,0.07142847031354904,0.07406605780124664,0.04954954954954955,0.07169084995985031,0.07232333719730377,0.072301484644413,0.07265845686197281,211,-0.0038928953907088728,3140,30.087014769017696,0.0025158096,0.0,0.8122056722640991,0.12799606323242188,0.1,0.2,0.1546262277959613,0.45901042222976685,1e-05,0.07271003723144531
0.07333025336265564,0.07235357910394669,0.07266871631145477,0.07362107187509537,0.07329653203487396,0.07429434359073639,0.07395047694444656,0.7906976744186046,0.07274959236383438,0.07341835647821426,0.07364322990179062,-1.0,702.522705078125,0.0,1179648,5012,0.07359553873538971,43,0.07257729023694992,0.0715278685092926,0.7906976744186046,0.07277665287256241,1.42632558139535,941.84,0.0,0.07224182784557343,235,0.07372929155826569,0.07285760343074799,0.07197415083646774,0.07217047363519669,0.07282394915819168,9,0.0726870447397232,0.0715278685092926,0.07429434359073639,0.20930232558139536,0.07183992862701416,0.07252557575702667,0.07250135391950607,0.07285206019878387,34,-0.0035229830513344496,3150,30.028465400636197,0.0024122815,0.0,0.8265295624732971,0.12004928588867188,0.1,0.2,0.14743913222046104,0.4536603093147278,1e-05,0.07288026809692383
0.07356303185224533,0.07250066101551056,0.07285883277654648,0.07376528531312943,0.07349015772342682,0.07436694949865341,0.07411696016788483,0.9488372093023256,0.07290973514318466,0.07360145449638367,0.07392536103725433,-1.0,738.8958740234375,0.0,1310720,4992,0.0737767368555069,215,0.07280412316322327,0.07171415537595749,0.9488372093023256,0.0729459896683693,1.4332093023255823,989.43,0.0,0.07237152010202408,262,0.07392150163650513,0.07293429970741272,0.07203757017850876,0.07239291816949844,0.07306096702814102,10,0.07281674444675446,0.07171415537595749,0.07436694949865341,0.05116279069767442,0.07203280925750732,0.07269243896007538,0.07265092432498932,0.07300590723752975,204,-0.003315083843517641,3160,29.969271659851074,0.0023616892,0.0,0.7686606645584106,0.12328948974609374,0.1,0.2,0.14059034833335318,0.44667449593544006,1e-05,0.07305027544498444
