rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/clip_range,train/approx_kl,train/adaptive_lr,train/value_loss,train/clip_range_vf,train/n_updates,train/std,train/loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss
17.13483238220215,380.54,131072,1,2719,48,,,,,,,,,,,,,
17.850440979003906,365.66,262144,2,2254,116,0.07381973266601563,0.1,0.0018525755,1.5000000000000002e-05,2.128431949578226,0.2,3070,0.0970175564289093,2.1353538036346436,22.87969405353069,1e-05,0.6564676761627197,-0.006721497576745605
18.825782775878906,366.27,393216,3,2097,187,0.104449462890625,0.1,0.0023075857,2.2500000000000005e-05,3.3142007388174535,0.2,3080,0.09726575762033463,3.4349958896636963,22.81353354305029,1.5000000000000002e-05,0.575049638748169,-0.0042156903597060594
18.577829360961914,368.02,524288,4,2029,258,0.14272842407226563,0.1,0.0030418066,3.375000000000001e-05,2.611910600960255,0.2,3090,0.09761524945497513,2.8040082454681396,22.730872310698032,2.2500000000000005e-05,0.6259357929229736,-0.006320667449108442
16.925151824951172,333.48,655360,5,1985,330,0.19302291870117189,0.1,0.004141735,5e-05,2.3855399334803224,0.2,3100,0.0979374498128891,2.8513200283050537,22.639542067050932,3.375000000000001e-05,0.7046830654144287,-0.0060650649304079705
17.35015106201172,336.46,786432,6,1959,401,0.2645576477050781,0.1,0.0057732896,5e-05,2.4582490355707707,0.2,3110,0.09831824898719788,2.833090305328369,22.53992827683687,5e-05,0.684951663017273,-0.0042032254749756245
19.957582473754883,393.96,917504,7,1942,472,0.2644004821777344,0.1,0.0054259533,5e-05,2.3468676653690634,0.2,3120,0.0986613854765892,2.8448266983032227,22.452787087857722,5e-05,0.7154031991958618,-0.0028101208536099875
19.934541702270508,403.52,1048576,8,1932,542,0.2616737365722656,0.1,0.005719714,5e-05,1.6133288216777146,0.2,3130,0.09901855140924454,1.8454316854476929,22.361661386489867,5e-05,0.7528367042541504,-0.004202572461781529
18.019634246826172,366.76,1179648,9,1920,614,0.2696319580078125,0.1,0.005676713,5e-05,1.587593951076269,0.2,3140,0.09933765232563019,1.6267330646514893,22.279267039895057,5e-05,0.7684990763664246,-0.0037310435825929746
18.629446029663086,368.19,1310720,10,1907,687,0.26812896728515623,0.1,0.0059278877,5e-05,1.5095069881528616,0.2,3150,0.0996757224202156,1.6769790649414062,22.195427317917346,5e-05,0.8067246675491333,-0.004611947028706709
