train/action_std_20,train/std_max,time/fps,train/action_std_13,train/action_std_14,train/action_std_18,time/total_timesteps,train/action_std_08,rollout/force_direction_mean,train/action_std_04,train/action_std_24,train/action_std_11,train/action_std_21,train/action_std_12,rollout/ep_rew_mean,train/action_std_23,train/action_std_15,train/action_std_17,rollout/is_fall_mean,rollout/force_onset_mean,rollout/recovery_left,train/action_std_19,time/time_elapsed,rollout/ep_len_mean,train/action_std_16,rollout/episodes_left,train/action_std_00,train/action_std_02,train/std_min,train/action_std_06,train/action_std_09,rollout/action_saturation_fraction,train/action_std_05,train/action_std_10,time/iterations,train/action_std_07,train/action_std_22,train/action_std_01,rollout/force_requested_impulse_mean,train/action_std_03,rollout/is_timeout_mean,train/entropy_loss,train/clip_range,rollout/timeouts,train/loss,train/clip_range_vf,rollout/episodes_back,rollout/timeout_without_onset_fraction,train/explained_variance,rollout/episodes_right,train/std,rollout/episodes_up,train/clip_fraction,train/value_loss,rollout/episodes_fwd,train/approx_kl,rollout/episodes_noforce,train/policy_gradient_loss,rollout/recovery_right,rollout/recovery_up,rollout/recovery_down,rollout/recovery_fwd,rollout/episodes_down,rollout/recovery_noforce,train/learning_rate,train/n_updates,rollout/recovery_back
0.08996237069368362,0.09168760478496552,5965,0.08674445748329163,0.0882166400551796,0.08815278857946396,131072,0.09002682566642761,2.0,0.08769518882036209,0.0915672779083252,0.09134966135025024,0.08898065239191055,0.09137305617332458,127.0455551147461,0.0900103896856308,0.09032973647117615,0.09168760478496552,1.0,1.426000000000001,0.0,0.09096547961235046,21,194.0,0.08975659310817719,3,0.08820841461420059,0.08883100003004074,0.08674445748329163,0.09076288342475891,0.09080807864665985,0.0,0.08914025127887726,0.08803611248731613,1,0.08856526017189026,0.08928269147872925,0.09163190424442291,1.679614160697476,0.09125185757875443,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.09014690667390823,0.09191357344388962,5416,0.08691176772117615,0.08844823390245438,0.08835019171237946,262144,0.09024857729673386,1.8537549407114624,0.08784462511539459,0.09176076203584671,0.0916021317243576,0.08911991119384766,0.09160040318965912,708.740966796875,0.09027828276157379,0.09054289758205414,0.09191357344388962,0.07509881422924901,1.4162529644268784,0.71875,0.09110964089632034,48,1000.0,0.08998081833124161,32,0.08819493651390076,0.08899586647748947,0.08691176772117615,0.0909358412027359,0.09104688465595245,0.0,0.08936885744333267,0.08824790269136429,2,0.08882444351911545,0.08952363580465317,0.09181181341409683,1.083584426301881,0.09136468917131424,0.924901185770751,24.773389922082423,0.1,234,0.3284672796726227,0.2,34,0.0,0.7253084778785706,36,0.08992694318294525,47,0.114105224609375,0.06381286154646659,29,0.0023803362,50,-0.0029994217948114965,0.8055555555555556,1.0,1.0,0.896551724137931,25,1.0,1e-05,2770,1.0
0.09038055688142776,0.09212767332792282,5314,0.0871373638510704,0.08866925537586212,0.08853363990783691,393216,0.09037736803293228,2.25,0.08797033131122589,0.09192218631505966,0.09186762571334839,0.08927340805530548,0.09181757271289825,702.8135986328125,0.09040302038192749,0.09074561297893524,0.0920800268650055,0.25,1.4860000000000013,0.5,0.09129472821950912,73,992.31,0.09012417495250702,2,0.08843149244785309,0.0891425609588623,0.0871373638510704,0.0912032499909401,0.09137637168169022,0.0,0.08966203778982162,0.08851692825555801,3,0.08899953961372375,0.08968302607536316,0.09212767332792282,1.520397066443701,0.09153956174850464,0.75,24.71967912465334,0.1,3,0.3308006227016449,0.2,1,0.0,0.8656288981437683,,0.09013116359710693,1,0.11710739135742188,0.09646597223327262,,0.0023701917,,-0.003690018838915421,,1.0,,,,,1e-05,2780,1.0
0.0905800312757492,0.09241419285535812,5206,0.08734241127967834,0.08869127184152603,0.08880007266998291,524288,0.09061036258935928,1.9407114624505928,0.08819718658924103,0.09219740331172943,0.09210512042045593,0.08937563002109528,0.09212055802345276,710.8390502929688,0.09057893604040146,0.0909382626414299,0.09228938817977905,0.02766798418972332,1.406996047430831,0.9024390243902439,0.09143810719251633,100,1000.0,0.09043418616056442,41,0.08862248808145523,0.08940630406141281,0.08734241127967834,0.09135482460260391,0.09162913262844086,0.0,0.08988843113183975,0.08885786682367325,4,0.08912909030914307,0.08980820327997208,0.09241419285535812,1.0344423827009706,0.0917646512389183,0.9723320158102767,24.66021831929684,0.1,246,0.30566778779029846,0.2,30,0.0,0.7016727924346924,36,0.09034296125173569,36,0.11555938720703125,0.06299561560445,27,0.002407599,48,-0.002942119565250323,0.9166666666666666,1.0,1.0,1.0,35,1.0,1e-05,2790,1.0
0.09071191400289536,0.0926622673869133,5177,0.0875169187784195,0.08887916058301926,0.08891747146844864,655360,0.09084557741880417,2.4285714285714284,0.0883447602391243,0.09243014454841614,0.09228184819221497,0.08952568471431732,0.09212548285722733,642.18994140625,0.09088286757469177,0.09118150919675827,0.09241168200969696,0.6190476190476191,1.3754285714285726,0.0,0.09154311567544937,126,904.7,0.09061852842569351,8,0.08879117667675018,0.08955976366996765,0.0875169187784195,0.09146101772785187,0.09182343631982803,0.0,0.09002356976270676,0.08897972106933594,5,0.08926383405923843,0.08989513665437698,0.0926622673869133,1.5127863026700965,0.09192419797182083,0.38095238095238093,24.609565776586532,0.1,8,0.2863801419734955,0.2,3,0.0,0.8242421746253967,6,0.09050403535366058,,0.10852737426757812,0.03914827327535022,,0.0022529948,1,-0.0034575154835692957,0.16666666666666666,,1.0,,3,1.0,1e-05,2800,1.0
0.09083022177219391,0.0929035171866417,5126,0.08769486099481583,0.08924348652362823,0.08923216909170151,786432,0.09102843701839447,1.9703389830508475,0.08857665210962296,0.09268941730260849,0.0925825834274292,0.08975579589605331,0.09241581708192825,715.4657592773438,0.09120054543018341,0.09138932824134827,0.09269149601459503,0.046610169491525424,1.4151271186440688,0.8571428571428571,0.09171419590711594,153,1000.0,0.09083910286426544,35,0.0891025960445404,0.08974073827266693,0.08769486099481583,0.09162799268960953,0.09208391606807709,0.0,0.09027329087257385,0.08919990062713623,6,0.08950665593147278,0.0902041420340538,0.0929035171866417,1.0341967142617383,0.09214191138744354,0.9533898305084746,24.553300358355045,0.1,225,0.4011487066745758,0.2,23,0.0,0.8292129039764404,41,0.09074674546718597,42,0.11342010498046876,0.12255935245775618,26,0.0023563518,44,-0.003120242294517084,0.8536585365853658,1.0,1.0,1.0,25,1.0,1e-05,2810,1.0
0.09105298668146133,0.09301846474409103,5113,0.0878504291176796,0.08956548571586609,0.08952724188566208,917504,0.0912332609295845,1.5806451612903225,0.08881349116563797,0.09294884651899338,0.09282100200653076,0.08999446779489517,0.09251074492931366,695.7323608398438,0.09145648777484894,0.09160339832305908,0.09295084327459335,0.16129032258064516,1.408516129032259,0.25,0.09199128299951553,179,973.68,0.09096623957157135,4,0.08928215503692627,0.08989131450653076,0.0878504291176796,0.09184541553258896,0.0923754870891571,0.0,0.09041208773851395,0.08937791734933853,7,0.08981850743293762,0.09039650857448578,0.09301846474409103,1.1357349097000353,0.09240707755088806,0.8387096774193549,24.49005128145218,0.1,26,0.26880645751953125,0.2,2,0.0,0.8536529541015625,5,0.0909644365310669,5,0.12294082641601563,0.07381622049579165,7,0.0024938975,6,-0.0031654149331188817,0.6,1.0,1.0,1.0,2,1.0,1e-05,2820,1.0
0.09131702035665512,0.09324783086776733,5079,0.08800820261240005,0.08975689858198166,0.08976348489522934,1048576,0.09149304032325745,1.6140350877192982,0.08904629945755005,0.09324783086776733,0.0930405929684639,0.0902196541428566,0.09262856096029282,717.8165893554688,0.0917697548866272,0.09167975932359695,0.0931873619556427,0.04824561403508772,1.409140350877194,0.8285714285714286,0.09229317307472229,206,1000.0,0.09120628982782364,35,0.0893104076385498,0.09014631062746048,0.08800820261240005,0.09212207049131393,0.09260760247707367,0.0,0.09050150215625763,0.08958681672811508,8,0.09001734107732773,0.09063482284545898,0.09321440011262894,0.9951385170212469,0.09262529015541077,0.9517543859649122,24.43032748699188,0.1,217,0.2749316990375519,0.2,30,0.0,0.6864942312240601,20,0.09117697179317474,29,0.10929031372070312,0.05324165075726341,38,0.0022687297,48,-0.003067805778118782,0.8,1.0,1.0,0.9736842105263158,28,1.0,1e-05,2830,1.0
0.09148060530424118,0.09360538423061371,5073,0.08822625130414963,0.09002965688705444,0.0897943526506424,1179648,0.09172578155994415,2.024390243902439,0.0892782211303711,0.09360538423061371,0.09332352131605148,0.09045781940221786,0.09284631907939911,663.1795043945312,0.0920410007238388,0.09182953089475632,0.09340492635965347,0.2926829268292683,1.4074146341463423,0.3,0.09257305413484573,232,928.09,0.09134390950202942,10,0.08953403681516647,0.09036006778478622,0.08822625130414963,0.09229053556919098,0.09273692220449448,0.0,0.09068846702575684,0.08981449902057648,9,0.09038230776786804,0.09083931893110275,0.09346825629472733,1.1605014155983413,0.09284280240535736,0.7073170731707317,24.372193799912928,0.1,29,0.3153969943523407,0.2,2,0.0,0.8705720901489258,7,0.09139670431613922,3,0.11362228393554688,0.06632288860855624,5,0.0023591234,7,-0.003522473898919998,0.5714285714285714,1.0,1.0,0.6,7,1.0,1e-05,2840,1.0
0.09168155491352081,0.09387453645467758,5049,0.0885733962059021,0.0903223305940628,0.08995814621448517,1310720,0.09197584539651871,1.8623853211009174,0.0894860178232193,0.09387453645467758,0.09352284669876099,0.09054447710514069,0.09308146685361862,712.5106811523438,0.09215139597654343,0.09204591810703278,0.09370698034763336,0.022935779816513763,1.418504587155964,0.8695652173913043,0.0928618460893631,259,999.42,0.09151819348335266,23,0.08974184840917587,0.09057817608118057,0.0885733962059021,0.09262107312679291,0.09305539727210999,0.0,0.09091944247484207,0.0900195986032486,10,0.09060052782297134,0.09106189012527466,0.09372498840093613,1.0432448933849585,0.09307307004928589,0.9770642201834863,24.310352025926115,0.1,213,0.34323185682296753,0.2,35,0.0,0.804362416267395,24,0.09162803739309311,34,0.1184326171875,0.09315165091102244,33,0.0024862776,38,-0.003820805795567139,0.9166666666666666,1.0,1.0,1.0,31,1.0,1e-05,2850,1.0
