train/action_std_21,train/std_min,train/action_std_23,train/action_std_19,train/action_std_07,train/action_std_17,rollout/ep_len_mean,rollout/force_onset_mean,time/total_timesteps,train/action_std_03,rollout/episodes_left,train/action_std_10,train/action_std_18,train/action_std_08,rollout/action_saturation_fraction,rollout/ep_rew_mean,train/action_std_12,rollout/episodes_down,rollout/force_requested_impulse_mean,train/action_std_05,time/fps,train/action_std_20,train/action_std_01,rollout/episodes_right,time/time_elapsed,train/action_std_13,rollout/force_direction_mean,time/iterations,train/std_max,rollout/is_fall_mean,train/action_std_09,rollout/recovery_down,rollout/is_timeout_mean,train/action_std_22,train/action_std_11,train/action_std_15,train/action_std_14,train/action_std_16,train/action_std_00,train/action_std_04,train/action_std_06,rollout/recovery_up,rollout/recovery_left,rollout/recovery_right,train/action_std_24,train/action_std_02,rollout/episodes_up,train/clip_range_vf,rollout/episodes_noforce,rollout/timeout_without_onset_fraction,rollout/recovery_back,train/entropy_loss,train/explained_variance,rollout/recovery_noforce,train/clip_range,rollout/timeouts,train/n_updates,train/std,rollout/episodes_back,train/policy_gradient_loss,train/loss,rollout/recovery_fwd,train/clip_fraction,train/learning_rate,train/value_loss,rollout/episodes_fwd,train/approx_kl
0.08898065239191055,0.08674445748329163,0.0900103896856308,0.09096547961235046,0.08856526017189026,0.09168760478496552,386.42857142857144,1.4105714285714297,131072,0.09125185757875443,4,0.08803611248731613,0.08815278857946396,0.09002682566642761,0.0,255.406005859375,0.09137305617332458,6,2.881263857429698,0.08914025127887726,5797,0.08996237069368362,0.09163190424442291,3,22,0.08674445748329163,3.642857142857143,1,0.09168760478496552,1.0,0.09080807864665985,0.0,0.0,0.08928269147872925,0.09134966135025024,0.09032973647117615,0.0882166400551796,0.08975659310817719,0.08820841461420059,0.08769518882036209,0.09076288342475891,0.0,0.0,0.0,0.0915672779083252,0.08883100003004074,1,,,,,,,,,,,,,,,,,,,,
0.08921986818313599,0.0869726687669754,0.0901704728603363,0.09109131246805191,0.08876634389162064,0.09193731099367142,1000.0,1.4148163265306133,262144,0.09139515459537506,42,0.08809015899896622,0.0884675532579422,0.09017980098724365,0.0,688.9863891601562,0.09160090982913971,25,1.3862945493738552,0.0892588347196579,5281,0.09009246528148651,0.09174586832523346,36,49,0.0869726687669754,1.853061224489796,2,0.09193731099367142,0.1306122448979592,0.0910148099064827,0.88,0.8693877551020408,0.08949504047632217,0.09162864834070206,0.09049131721258163,0.08844439685344696,0.09001892805099487,0.08834312856197357,0.08793037384748459,0.09095854312181473,0.9142857142857143,0.6666666666666666,0.7222222222222222,0.09186280518770218,0.08901797235012054,35,0.2,40,0.0,1.0,24.773561124503612,0.7392117977142334,1.0,0.1,213,2770,0.0899277850985527,37,-0.0037175325962380155,0.4976097047328949,0.9333333333333333,0.114544677734375,1e-05,0.18188708910020068,30,0.0023664127
0.0894538089632988,0.08722054958343506,0.09044712781906128,0.0912979245185852,0.08901265263557434,0.09206799417734146,903.15,1.4086428571428582,393216,0.09162946045398712,9,0.08835726231336594,0.08864632993936539,0.0903809443116188,0.0,621.273681640625,0.09198429435491562,2,1.6885804699849771,0.08937902003526688,5183,0.09033872187137604,0.0920165553689003,7,75,0.08722054958343506,2.2857142857142856,3,0.09206799417734146,0.5,0.09120174497365952,0.5,0.5,0.08973414450883865,0.0920032188296318,0.09069004654884338,0.08857698738574982,0.09020934998989105,0.08854272216558456,0.08823523670434952,0.09123847633600235,0.5,0.2222222222222222,0.5714285714285714,0.09202323108911514,0.08911047875881195,4,0.2,3,0.0,1.0,24.715099516510964,0.8036820888519287,1.0,0.1,14,2780,0.09015192836523056,2,-0.0034590751881296454,0.439787894487381,0.0,0.12039413452148437,1e-05,0.21828352485899813,1,0.0024809148
0.08954940736293793,0.08742549270391464,0.09062902629375458,0.09153157472610474,0.08920866250991821,0.09239275008440018,997.22,1.4110127659574478,524288,0.09179423749446869,24,0.0885949358344078,0.0887909010052681,0.09061077237129211,0.0,692.6190795898438,0.09218508750200272,44,1.4174939165310365,0.08955337852239609,5088,0.09057921916246414,0.09222501516342163,30,103,0.08742549270391464,1.995744680851064,4,0.09239275008440018,0.08085106382978724,0.09140852838754654,0.9772727272727273,0.9191489361702128,0.08987584710121155,0.09220658987760544,0.09083843231201172,0.08882227540016174,0.09035228937864304,0.08871423453092575,0.08847539871931076,0.09143348783254623,0.8709677419354839,0.7083333333333334,0.9,0.09211783856153488,0.08921895921230316,31,0.2,45,0.0,1.0,24.658039686083793,0.7866591215133667,0.9777777777777777,0.1,216,2790,0.09034137427806854,32,-0.003969205510111351,0.39967119693756104,0.896551724137931,0.11095504760742188,1e-05,0.1409637560020201,29,0.0022396455
0.08986946195363998,0.0877854973077774,0.09089597314596176,0.09172600507736206,0.08949600160121918,0.09268812090158463,879.73,1.4209523809523819,655360,0.09205037355422974,5,0.08892299234867096,0.08896457403898239,0.0908573642373085,0.0,602.8759155273438,0.09236909449100494,3,1.4043812359007366,0.08971007913351059,5059,0.09087853133678436,0.09245117008686066,8,129,0.0877854973077774,1.8571428571428572,5,0.09268812090158463,0.4523809523809524,0.09157856553792953,0.3333333333333333,0.5476190476190477,0.0900857225060463,0.09222287684679031,0.09120815992355347,0.08895373344421387,0.09054401516914368,0.08886972814798355,0.08864571154117584,0.09176255017518997,0.25,0.0,0.25,0.0923498123884201,0.08949122577905655,8,0.2,8,0.0,1.0,24.59884465187788,0.8111504912376404,1.0,0.1,23,2800,0.09057509154081345,5,-0.003766980519594654,0.3777543306350708,1.0,0.11522445678710938,1e-05,0.169585042539984,5,0.0024133795
0.09006684273481369,0.0879359245300293,0.09112677723169327,0.09201131761074066,0.0897684320807457,0.09285850077867508,1000.0,1.4114909090909102,786432,0.09220706671476364,31,0.0891231819987297,0.08923500031232834,0.09105800092220306,0.0,691.205322265625,0.0926787257194519,29,1.2456845915968369,0.08994816988706589,5014,0.09109733253717422,0.09283572435379028,29,156,0.0879359245300293,1.6727272727272726,6,0.09285850077867508,0.10454545454545454,0.0918712392449379,0.896551724137931,0.8954545454545455,0.0903163030743599,0.09243020415306091,0.09147663414478302,0.08917398005723953,0.09079045057296753,0.08916281908750534,0.08884528279304504,0.09199637919664383,0.88,0.7419354838709677,0.8620689655172413,0.09262681007385254,0.0896802470088005,25,0.2,47,0.0,1.0,24.533856362104416,0.7839229702949524,1.0,0.1,197,2810,0.09081285446882248,21,-0.003861053816945059,0.416540265083313,0.868421052631579,0.10848922729492187,1e-05,0.15046329050674104,38,0.002292646
0.0904519334435463,0.08815259486436844,0.09148389846086502,0.0923391729593277,0.08999662846326828,0.09315428137779236,896.04,1.4166785714285726,917504,0.09245195984840393,13,0.08921287208795547,0.08957227319478989,0.09128101170063019,0.0,617.3280639648438,0.09292551130056381,9,1.7250310217629854,0.09014523029327393,5000,0.09121163934469223,0.09293703734874725,9,183,0.08815259486436844,2.6785714285714284,7,0.09315428137779236,0.3392857142857143,0.09214074909687042,0.5555555555555556,0.6607142857142857,0.09054259955883026,0.09263774007558823,0.09160883724689484,0.08937279880046844,0.09112951904535294,0.08946174383163452,0.08913730829954147,0.09227493405342102,0.7857142857142857,0.38461538461538464,0.6666666666666666,0.09290555119514465,0.08990733325481415,14,0.2,6,0.0,0.5,24.467579318583013,0.795941174030304,1.0,0.1,37,2820,0.09105740487575531,2,-0.0038979069825472836,0.38958409428596497,1.0,0.11948928833007813,1e-05,0.17912332512205467,3,0.0024349391
0.09065961092710495,0.08831996470689774,0.09163185954093933,0.09257430583238602,0.09005763381719589,0.09326574951410294,998.49,1.4255502392344508,1048576,0.09268840402364731,33,0.08935055881738663,0.08972746878862381,0.09157588332891464,0.0,692.8219604492188,0.09309527277946472,31,1.3880835833059955,0.09032414108514786,4975,0.09128916263580322,0.09298694878816605,24,210,0.08831996470689774,2.062200956937799,8,0.09326574951410294,0.10526315789473684,0.09238841384649277,0.8064516129032258,0.8947368421052632,0.09068678319454193,0.09280272573232651,0.09188679605722427,0.08944382518529892,0.09138540923595428,0.08965303748846054,0.08934001624584198,0.09254831075668335,0.8611111111111112,0.8484848484848485,0.75,0.09305550158023834,0.09011179953813553,36,0.2,33,0.0,1.0,24.41046390235424,0.8003252744674683,1.0,0.1,187,2830,0.0912339836359024,27,-0.0035935653951128187,0.41286802291870117,1.0,0.10870208740234374,1e-05,0.16877704280777833,25,0.002271162
0.0908907949924469,0.08837930858135223,0.09191054850816727,0.09288504719734192,0.09022519737482071,0.09338182955980301,842.08,1.4045194805194814,1179648,0.09288633614778519,18,0.08960610628128052,0.08988139778375626,0.09175962209701538,0.0,580.6700439453125,0.09338784217834473,14,1.705361236203881,0.09053605794906616,4968,0.09152336418628693,0.09335507452487946,15,237,0.08837930858135223,2.4805194805194803,9,0.09338784217834473,0.38961038961038963,0.09272544831037521,0.6428571428571429,0.6103896103896104,0.09087824821472168,0.09301348775625229,0.09206713736057281,0.08956121653318405,0.09165985137224197,0.08987734466791153,0.08955922722816467,0.09275965392589569,0.6666666666666666,0.3333333333333333,0.4,0.09336391091346741,0.09028243273496628,9,0.2,6,0.0,0.9,24.355991148948668,0.8000640869140625,1.0,0.1,47,2840,0.09145425260066986,10,-0.003994410815630544,0.3645346760749817,1.0,0.11083450317382812,1e-05,0.15625486376229675,5,0.0023388066
0.09112780541181564,0.08856499195098877,0.09216948598623276,0.09318478405475616,0.09036844968795776,0.09363678842782974,975.19,1.3912142857142866,1310720,0.0931972861289978,29,0.0898728221654892,0.0900789126753807,0.09192639589309692,0.0,675.4244384765625,0.09363430738449097,22,1.2536622675135267,0.09078307449817657,4949,0.09166400134563446,0.09357918798923492,28,264,0.08856499195098877,1.8061224489795917,10,0.09363678842782974,0.10714285714285714,0.09291787445545197,0.8636363636363636,0.8928571428571429,0.09113023430109024,0.09321455657482147,0.09227357804775238,0.08961070328950882,0.0917932316660881,0.09015359729528427,0.08976755291223526,0.09306473284959793,0.90625,0.7586206896551724,0.7857142857142857,0.09351819008588791,0.09044130146503448,32,0.2,42,0.0,0.9375,24.296531523764134,0.7865839004516602,0.9761904761904762,0.1,175,2850,0.09166695177555084,16,-0.003811925425361551,0.5483838319778442,1.0,0.11660232543945312,1e-05,0.24147277412121185,27,0.0024244108
