time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/value_loss,train/clip_range_vf,train/loss,train/explained_variance,train/n_updates,train/std,train/entropy_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/learning_rate
1203,13631488,24.171995162963867,104,704.21,11330,-0.001626654217216128,0.5005735301412642,0.2,1.2605290412902832,0.7934055328369141,1030,0.12085505574941635,16.75978143662214,0.1,0.12248916625976562,0.003263188,1e-05
1214,13762560,24.17184066772461,105,703.13,11330,-0.0015484489897971798,0.49160971003584564,0.2,1.2975049018859863,0.8034082651138306,1040,0.12192445993423462,16.54855354577303,0.1,0.11446914672851563,0.0032065837,1e-05
1226,13893632,25.475936889648438,106,735.91,11328,-0.0017591299832929509,0.5336684722453355,0.2,1.3668652772903442,0.8258166313171387,1050,0.1229676902294159,16.34096586704254,0.1,0.12014617919921874,0.0031953985,1e-05
1238,14024704,26.224702835083008,107,752.3,11327,-0.0017200549774315731,0.4692089757416397,0.2,1.3563529253005981,0.8268327713012695,1060,0.12404253333806992,16.133959099650383,0.1,0.1219879150390625,0.0032276418,1e-05
1249,14155776,25.825305938720703,108,750.26,11328,-0.0017331693108644686,0.5015753779094666,0.2,1.1849770545959473,0.8044012784957886,1070,0.12511596083641052,15.926273147016763,0.1,0.12310867309570313,0.0032607724,1e-05
1261,14286848,26.293529510498047,109,751.84,11328,-0.0015879039604442368,0.4837901784107089,0.2,1.1853351593017578,0.7937073707580566,1080,0.12620799243450165,15.719097270816565,0.1,0.11888809204101562,0.003242124,1e-05
1272,14417920,25.419939041137695,110,749.14,11330,-0.0014373311772033048,0.4954549429938197,0.2,1.2944937944412231,0.7871415019035339,1090,0.12730303406715393,15.51047074496746,0.1,0.11612930297851562,0.0032386219,1e-05
1284,14548992,25.007471084594727,111,738.27,11328,-0.0016027645482608933,0.5011712746229022,0.2,1.4494845867156982,0.8105624318122864,1100,0.1284167319536209,15.302529993653298,0.1,0.11984024047851563,0.0032087672,1e-05
1295,14680064,26.160249710083008,112,759.67,11329,-0.0015788845306815348,0.5030802029417828,0.2,1.1896860599517822,0.8128846287727356,1110,0.1295323669910431,15.093997541815042,0.1,0.11389846801757812,0.0031279977,1e-05
1307,14811136,26.44403648376465,113,766.04,11330,-0.0015760750355184427,0.47552866337355226,0.2,1.1932446956634521,0.7976313233375549,1120,0.1306762397289276,14.884693463146686,0.1,0.12139053344726562,0.003212539,1e-05
1318,14942208,25.063806533813477,114,729.34,11330,-0.001568575263263483,0.5068411794025451,0.2,1.1987526416778564,0.7894983291625977,1130,0.1317889541387558,14.6777915738523,0.1,0.11796951293945312,0.0031311652,1e-05
1330,15073280,25.183259963989258,115,732.84,11326,-0.001606114052447083,0.49595746484119446,0.2,1.2533634901046753,0.7954035997390747,1140,0.13295304775238037,14.469691803306342,0.1,0.11909408569335937,0.0032425742,1e-05
1342,15204352,23.349328994750977,116,694.67,11326,-0.001478672584380547,0.5126332571497187,0.2,1.208784818649292,0.8304857015609741,1150,0.1340782344341278,14.264142985641957,0.1,0.11023330688476562,0.0030562691,1e-05
1353,15335424,25.942289352416992,117,754.61,11327,-0.001854818886022258,0.470626832684502,0.2,1.3355801105499268,0.8454478979110718,1160,0.13521675765514374,14.060937544703483,0.1,0.12063446044921874,0.0032329727,1e-05
1365,15466496,23.66266441345215,118,702.22,11325,-0.001602527719023783,0.4405935048125684,0.2,1.19459068775177,0.8011406660079956,1170,0.1364213228225708,13.852603298425674,0.1,0.1182098388671875,0.0032771449,1e-05
1377,15597568,23.751056671142578,119,702.23,11325,-0.001633260829567007,0.5432023830944672,0.2,1.3289518356323242,0.8109551072120667,1180,0.1375984400510788,13.643676548451186,0.1,0.11315383911132812,0.0031604874,1e-05
1388,15728640,23.615802764892578,120,700.41,11323,-0.001625663764843921,0.42665869576158,0.2,1.056851863861084,0.8561769127845764,1190,0.1387748122215271,13.438644777983427,0.1,0.1192535400390625,0.0032091273,1e-05
1400,15859712,23.18175506591797,121,694.01,11325,-0.001560086468271038,0.5253525885753334,0.2,1.15328848361969,0.8138837814331055,1200,0.13998784124851227,13.231599240750075,0.1,0.112225341796875,0.003144944,1e-05
1412,15990784,22.766386032104492,122,683.06,11323,-0.0016224576457716466,0.4411403586622328,0.2,0.9679079055786133,0.8394720554351807,1210,0.14117513597011566,13.02649454921484,0.1,0.11336441040039062,0.0031529376,1e-05
1423,16121856,23.191526412963867,123,698.96,11325,-0.0017738511704919802,0.529658773029223,0.2,0.9634798765182495,0.8403914570808411,1220,0.14237217605113983,12.823581276088953,0.1,0.11575546264648437,0.0031106675,1e-05
