train/action_std_14,train/action_std_23,train/action_std_01,train/action_std_20,train/std_max,train/action_std_12,time/total_timesteps,rollout/recovery_noforce,train/action_std_17,rollout/force_requested_impulse_mean,train/action_std_02,train/action_std_11,train/action_std_13,rollout/is_timeout_mean,train/std_min,rollout/action_saturation_fraction,train/action_std_04,train/action_std_24,rollout/force_onset_mean,train/action_std_15,train/action_std_00,time/time_elapsed,rollout/ep_len_mean,train/action_std_22,rollout/force_direction_mean,rollout/episodes_noforce,train/action_std_10,train/action_std_06,train/action_std_21,train/action_std_16,train/action_std_08,time/iterations,train/action_std_19,train/action_std_07,train/action_std_18,train/action_std_05,rollout/is_fall_mean,rollout/ep_rew_mean,time/fps,train/action_std_03,train/action_std_09,train/approx_kl,train/n_updates,train/std,rollout/timeout_without_onset_fraction,train/clip_fraction,train/learning_rate,train/clip_range_vf,train/explained_variance,rollout/timeouts,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/clip_range,train/loss
0.07110735774040222,0.07106851041316986,0.07136692851781845,0.07063653320074081,0.07220251858234406,0.07023707032203674,131072,0.0,0.07050976902246475,0.0,0.07010076195001602,0.07077328115701675,0.07049673795700073,0.0,0.0699111670255661,0.0,0.07220251858234406,0.07045856863260269,1.370800000000001,0.07152560353279114,0.07021693140268326,23,287.2,0.07004494220018387,-1.0,5,0.07087413966655731,0.07122679799795151,0.07129587233066559,0.0699111670255661,0.07084362953901291,1,0.07088402658700943,0.07008197903633118,0.07079794257879257,0.07143145799636841,1.0,190.3923797607422,5492,0.07183901220560074,0.07202886044979095,,,,,,,,,,,,,,
0.07113372534513474,0.07108384370803833,0.07138023525476456,0.07065214961767197,0.07221929728984833,0.07024727016687393,262144,0.9641434262948207,0.0705258920788765,0.0,0.07012970000505447,0.07080036401748657,0.07050817459821701,0.9641434262948207,0.06993059068918228,0.0,0.07221929728984833,0.07047472894191742,1.4080956175298815,0.07154164463281631,0.07023640722036362,52,1000.0,0.07005808502435684,-1.0,251,0.07089391350746155,0.07124805450439453,0.07132808864116669,0.06993059068918228,0.07085168361663818,2,0.07090278714895248,0.07009779661893845,0.07082398980855942,0.07145129144191742,0.035856573705179286,699.7968139648438,4965,0.07186297327280045,0.0720432698726654,0.0012512302,2310,0.07089703530073166,0.0,0.025128936767578124,1e-06,0.2,0.8112270832061768,242,-0.0022644565155133024,30.693930558860302,0.07659884691383922,0.1,0.40568840503692627
0.07115718722343445,0.07110685110092163,0.07140261679887772,0.0706782266497612,0.07224785536527634,0.0702708438038826,393216,0.7142857142857143,0.07055019587278366,0.0,0.07016108185052872,0.07082140445709229,0.07052036374807358,0.7142857142857143,0.06994499266147614,0.0,0.07224785536527634,0.0705019012093544,1.3737142857142868,0.07155115157365799,0.0702657625079155,80,989.7,0.0700729712843895,-1.0,7,0.07090932875871658,0.07125979661941528,0.07134370505809784,0.06994499266147614,0.07087498903274536,3,0.07091514766216278,0.07011210918426514,0.07082440704107285,0.07146841287612915,0.2857142857142857,693.6727294921875,4857,0.07188376039266586,0.07206991314888,0.0013550963,2320,0.07091659307479858,0.0,0.03175201416015625,1e-06,0.2,0.8232012987136841,5,-0.0023426366251442232,30.687282741069794,0.10363885744445725,0.1,0.4189099073410034
0.07117588073015213,0.07112094014883041,0.07143105566501617,0.0706893652677536,0.072252556681633,0.07028860598802567,524288,0.9718875502008032,0.0705651342868805,0.0,0.0701683759689331,0.07083329558372498,0.07053429633378983,0.9718875502008032,0.06996609270572662,0.0,0.072252556681633,0.07051771879196167,1.4052851405622502,0.07157720625400543,0.07027850300073624,110,1000.0,0.0700826644897461,-1.0,249,0.07092848420143127,0.07128094881772995,0.07135719060897827,0.06996609270572662,0.07090058922767639,4,0.07093728333711624,0.07013002783060074,0.07083668559789658,0.07148260623216629,0.028112449799196786,705.7461547851562,4744,0.07190214842557907,0.07209257036447525,0.0012631065,2330,0.07093321532011032,0.0,0.02751007080078125,1e-06,0.2,0.7689560651779175,242,-0.002388158885150915,30.680844853818417,0.0543377455760492,0.1,0.38186129927635193
0.07119063287973404,0.07113590836524963,0.07144881784915924,0.0707051083445549,0.072283536195755,0.0703127533197403,655360,0.4375,0.07058833539485931,0.0,0.0701967105269432,0.07085485756397247,0.07054907828569412,0.4375,0.06998284161090851,0.0,0.072283536195755,0.07055246084928513,1.424000000000001,0.07159487158060074,0.0702967494726181,139,945.49,0.07009820640087128,-1.0,16,0.07095255702733994,0.07128871977329254,0.0713772177696228,0.06998284161090851,0.07091925293207169,5,0.0709611177444458,0.07015103101730347,0.07086443901062012,0.07149240374565125,0.5625,666.386962890625,4705,0.07191740721464157,0.07210543751716614,0.0013477657,2340,0.07095281779766083,0.0,0.02972259521484375,1e-06,0.2,0.8290866613388062,7,-0.0024086776901640406,30.67450208067894,0.10480781736550852,0.1,0.48236775398254395
0.0712054967880249,0.07114870101213455,0.07146736979484558,0.07072275876998901,0.07231108099222183,0.07032167166471481,786432,0.9543568464730291,0.07061700522899628,0.0,0.07020926475524902,0.07088357210159302,0.07057662308216095,0.9543568464730291,0.06999576091766357,0.0,0.07231108099222183,0.07056207209825516,1.3947302904564325,0.07161226868629456,0.07031100988388062,169,1000.0,0.07011079043149948,-1.0,241,0.07097837328910828,0.07130707800388336,0.07139226794242859,0.06999576091766357,0.07093345373868942,6,0.0709686279296875,0.07016386091709137,0.07087985426187515,0.07149475812911987,0.04564315352697095,706.4977416992188,4650,0.07193714380264282,0.07211441546678543,0.0013538497,2350,0.07096900790929794,0.0,0.02991180419921875,1e-06,0.2,0.7827348113059998,230,-0.002352893598981609,30.668181359767914,0.12513319394201972,0.1,0.4622672200202942
0.07122354954481125,0.07115810364484787,0.07150150835514069,0.07073595374822617,0.07231975346803665,0.07033053040504456,917504,0.7391304347826086,0.07063693553209305,0.0,0.07022315263748169,0.07089827209711075,0.07058609277009964,0.7391304347826086,0.07001146674156189,0.0,0.07231975346803665,0.07060030847787857,1.40408695652174,0.07163158059120178,0.07033664733171463,198,959.74,0.07013174146413803,-1.0,23,0.07100577652454376,0.07133588194847107,0.07140633463859558,0.07001146674156189,0.07094968110322952,7,0.07097861170768738,0.07018084824085236,0.07089997828006744,0.07152345776557922,0.2608695652173913,677.5968627929688,4631,0.07196611911058426,0.07214292883872986,0.0014657308,2360,0.07098860293626785,0.0,0.037014007568359375,1e-06,0.2,0.8542349934577942,17,-0.0027187991046957903,30.661901549994944,0.1347874004917685,0.1,0.5093801617622375
0.07124347239732742,0.07116890698671341,0.07151973992586136,0.0707496926188469,0.0723370835185051,0.0703619197010994,1048576,0.9914163090128756,0.07065276801586151,0.0,0.07024094462394714,0.07092253118753433,0.07061021775007248,0.9914163090128756,0.07002996653318405,0.0,0.0723370835185051,0.07061917334794998,1.399725321888413,0.07165082544088364,0.07036080211400986,228,1000.0,0.0701565220952034,-1.0,233,0.07100895792245865,0.07135003805160522,0.07142112404108047,0.07002996653318405,0.0709853321313858,8,0.0709867998957634,0.07020252197980881,0.07092367112636566,0.07155289500951767,0.008583690987124463,707.7302856445312,4589,0.07198336720466614,0.07216107845306396,0.0012756626,2370,0.07100801169872284,0.0,0.02702789306640625,1e-06,0.2,0.7505090236663818,231,-0.002260545288754656,30.655022409558295,0.10014972335193306,0.1,0.39856940507888794
0.07127119600772858,0.07119811326265335,0.0715472474694252,0.07076091319322586,0.07235077768564224,0.07038247585296631,1179648,0.7419354838709677,0.07066638767719269,0.0,0.0702376738190651,0.07094531506299973,0.07062537223100662,0.7419354838709677,0.07003767788410187,0.0,0.07235077768564224,0.0706414058804512,1.4348387096774204,0.07166825234889984,0.07038158923387527,257,954.44,0.07017120718955994,-1.0,31,0.07103734463453293,0.0713738203048706,0.0714334174990654,0.07003767788410187,0.07100263237953186,9,0.070998415350914,0.07022756338119507,0.0709386020898819,0.07156678289175034,0.25806451612903225,675.2567138671875,4578,0.07198256254196167,0.0721738263964653,0.0013641474,2380,0.0710248276591301,0.0,0.03575820922851562,1e-06,0.2,0.7649480104446411,23,-0.0023913298013212626,30.64855186343193,0.04896328151080524,0.1,0.36294522881507874
0.07128885388374329,0.07122288644313812,0.07157210260629654,0.07077819108963013,0.0723750963807106,0.07039672881364822,1310720,0.9867256637168141,0.07069353014230728,0.0,0.0702487975358963,0.07097464054822922,0.07063248008489609,0.9867256637168141,0.0700589045882225,0.0,0.0723750963807106,0.07066185027360916,1.3937433628318594,0.07168847322463989,0.07040572166442871,288,1000.0,0.07020490616559982,-1.0,226,0.07104764133691788,0.07140655070543289,0.07144960016012192,0.0700589045882225,0.07101793587207794,10,0.07101156562566757,0.07024775445461273,0.07097114622592926,0.07157498598098755,0.01327433628318584,703.6786499023438,4536,0.07201077789068222,0.07218726724386215,0.0013541335,2390,0.07104513794183731,0.0,0.030274200439453124,1e-06,0.2,0.7747762799263,223,-0.0023168111865743413,30.642101165652274,0.10262027354328893,0.1,0.4398518204689026
