elapsed_step,reset_marker,body_x,body_y,body_z,quat_w,quat_x,quat_y,quat_z,FR_abad,FR_hip,FR_knee,FL_abad,FL_hip,FL_knee,HR_abad,HR_hip,HR_knee,HL_abad,HL_hip,HL_knee,reward_total,healthy_reward,penalty_base_xvel,penalty_base_zvel,penalty_base_zpos,penalty_base_orientation,penalty_base_straight,penalty_base_linear_accel,penalty_base_angular_vel,penalty_action_smooth,ctrl_cost,contact_cost,is_healthy,x_position,y_position,x_velocity,y_velocity,pBody_des_z,desired_h,cmd_vel_x,cmd_vel_y,cmd_vel_yaw,reward_base_xvel,reward_base_zvel,reward_base_zpos,reward_base_orientation,reward_base_straight,reward_base_linear_accel,reward_base_angular_vel,reward_action_smooth,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20,action_21,action_22,action_23,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45
220,0,0.439414,-0.0129284,0.328898,0.999365,0.00333502,-0.0352916,-0.00348362,0.182121,-1.44157,1.77774,-0.220535,-1.39432,2.36542,0.138089,-1.40023,2.41163,-0.133274,-1.20858,2.09899,0.645946,1,3.76817,0.204955,0.101091,0.031729,0.192104,18.2567,0.51563,0.0628613,4.73189,0,1,0.439414,-0.0129284,1.74394,0.0424872,0.295201,0.332874,3,0,0,0.0230943,0.814684,0.903851,0.968769,0.825221,1.17823e-08,0.597124,0.939074,-0.116913,-0.0636381,0.0243296,-0.0134039,0.0454983,0.0256719,0.0181412,0.0849391,0.00264753,-0.0167492,0.0128591,0.292965,0.0699573,0.024292,0.0245661,0.0180445,0.143084,-0.113899,0.0299549,-0.0155116,0.0619428,-0.0197712,0.151445,0.243527,3,1.73443,0.0537452,-0.191475,-0.186262,0.68214,-0.124986,0.00643601,-0.0706204,-0.00674428,0.181649,-1.4352,1.78171,-0.226543,-1.44799,2.3691,0.14206,-1.46448,2.41699,-0.131985,-1.19296,2.10127,0.194597,-3.32159,-1.87955,2.86862,25.9608,-0.0770964,-1.90645,31.1091,-0.746431,-0.795542,-7.64124,0.372004,1,0,0,1,0.115689,-0.111762,-0.320901,0.247004,0.120205,-0.224804,0.985381,-0.170368
225,0,0.456669,-0.0125363,0.328105,0.99946,0.000943079,-0.03256,-0.00432584,0.187275,-1.47038,1.75474,-0.187206,-1.12961,2.3039,0.125226,-1.07842,2.33754,-0.134329,-1.28061,2.08933,0.643526,1,3.84386,0.289533,0.0956049,0.0270011,0.171274,34.5575,0.540865,0.0555242,2.26164,0,1,0.456669,-0.0125363,1.71871,0.0361974,0.296236,0.332874,3,0,0,0.0214109,0.748613,0.908823,0.97336,0.842591,9.81444e-16,0.582244,0.945989,-0.0870189,-0.0795567,0.0336786,-0.0328231,0.0372928,0.0105498,0.0130725,0.0884352,-0.000935842,-0.0104232,-0.00663029,0.273542,0.0826609,0.0524766,-0.0104638,0.0335164,0.187791,-0.0849817,0.0269517,-0.00638437,0.0102195,-0.0640543,0.168698,0.169574,3,1.70841,0.050743,-0.20824,-0.583196,0.411523,-0.17719,0.00160685,-0.065139,-0.00860395,0.186033,-1.46489,1.75977,-0.193763,-1.18012,2.32097,0.127321,-1.14004,2.35789,-0.135191,-1.26749,2.09514,0.571875,-2.79816,-2.39836,3.33722,26.0944,-7.48629,-1.13361,31.8516,-8.95064,-0.027243,-6.96704,-0.409098,1,0,0,1,0.100482,-0.110668,-0.31802,0.297751,0.124751,-0.238039,0.937675,-0.347514
230,0,0.473875,-0.012247,0.326777,0.999485,-0.00278527,-0.0315151,-0.00538242,0.195398,-1.49624,1.72601,-0.155122,-0.907511,2.19629,0.123736,-0.808654,2.21241,-0.129856,-1.34392,2.07441,0.639158,1,3.81691,0.463873,0.0833994,0.0257549,0.135879,32.587,0.63636,0.0364688,2.73122,0,1,0.473875,-0.012247,1.7277,0.0248814,0.298977,0.332874,3,0,0,0.0219957,0.628843,0.919984,0.974574,0.872948,7.04115e-15,0.529215,0.964188,-0.073773,-0.0965935,0.0521982,-0.0489539,0.0332786,0.0215192,0.0116687,0.0388469,-0.00862904,0.000209839,-0.0127908,0.283773,0.09048,0.0852865,-0.0254002,0.0503741,0.210196,-0.0448175,0.0187942,-0.00841452,-0.0256568,-0.0561018,0.155218,0.116542,3,1.71416,0.0445801,-0.262957,-0.770028,0.0881185,-0.188817,3.13567,-3.07858,3.13064,0.193719,-1.49125,1.73219,-0.16111,-0.947572,2.2199,0.123439,-0.857222,2.23991,-0.13065,-1.33144,2.07619,0.84546,-2.53925,-2.98576,3.12436,21.1311,-11.392,0.0512708,25.6418,-13.2444,0.431272,-6.27297,-1.10662,1,0,0,1,0.0846089,-0.108643,-0.31544,0.341495,0.129493,-0.255112,0.862653,-0.505797
235,0,0.491413,-0.0120198,0.325031,0.99946,-0.00573868,-0.031775,-0.00616499,0.201895,-1.51995,1.69152,-0.137937,-0.739842,2.07774,0.129809,-0.607322,2.07318,-0.127585,-1.40585,2.06831,0.639438,1,3.67873,0.552437,0.0671441,0.027022,0.121743,32.8634,0.283581,0.0951593,3.54781,0,1,0.491413,-0.0120198,1.77376,0.0205479,0.30265,0.332874,3,0,0,0.0252549,0.575546,0.93506,0.97334,0.885376,5.34076e-15,0.753082,0.909228,-0.0654853,-0.0785496,0.0797614,-0.0380702,0.0494876,0.0236622,0.00757405,-0.0689699,-0.0364122,-0.00202365,-0.0180382,0.282727,0.0255102,0.0923178,-0.0125911,0.0210684,0.191609,-0.0155628,0.0296441,-0.00775158,-0.0490051,-0.0367105,0.107706,0.0274255,3,1.75808,0.0450907,-0.296054,-0.506634,-0.122648,-0.108909,3.12971,-3.07811,3.12888,0.200792,-1.51541,1.69889,-0.140271,-0.769497,2.10151,0.128219,-0.642754,2.10114,-0.127889,-1.39355,2.06943,0.595123,-2.32455,-3.56731,1.38267,15.7425,-11.8968,0.725378,18.8399,-13.992,0.181255,-6.176,-0.55207,1,0,0,1,0.0677334,-0.107172,-0.312684,0.377264,0.131829,-0.273435,0.770168,-0.637842
240,0,0.509521,-0.0118589,0.323148,0.999416,-0.00811609,-0.0325284,-0.00657655,0.206986,-1.54052,1.65087,-0.131786,-0.620465,1.96755,0.142073,-0.457039,1.93555,-0.125964,-1.46597,2.06085,0.65419,1,3.4894,0.565908,0.0494642,0.029189,0.0993894,45.6154,0.217898,0.0219486,3.77666,0,1,0.509521,-0.0118589,1.83687,0.0133649,0.30666,0.332874,3,0,0,0.0305192,0.567844,0.951739,0.971233,0.90539,1.54698e-20,0.804208,0.978291,-0.0522973,-0.0820176,0.0954777,-0.029197,0.0334518,0.0380479,0.0142141,-0.100872,-0.0402107,0.00559608,-0.0118478,0.247282,0.0127263,0.102043,-0.00839371,0.0133566,0.220152,0.0151977,0.0173344,-0.0191247,-0.041641,-0.0192294,0.0775337,0.0111681,3,1.82037,0.0414577,-0.307224,-0.43298,-0.168805,-0.0439447,3.12491,-3.07663,3.12789,0.206068,-1.5367,1.65952,-0.132458,-0.640959,1.9886,0.139292,-0.483666,1.96233,-0.126254,-1.45416,2.0627,0.487696,-1.98647,-4.19148,0.45789,11.0432,-10.7811,1.33532,14.1475,-13.6373,0.157461,-5.96419,-0.820661,1,0,0,1,0.0500206,-0.106173,-0.309848,0.404566,0.131471,-0.290881,0.659587,-0.751628
245,0,0.528339,-0.0117547,0.321316,0.999373,-0.00995369,-0.0333234,-0.00667482,0.21083,-1.55718,1.60363,-0.13345,-0.544642,1.87864,0.15801,-0.345715,1.8107,-0.124699,-1.52275,2.04777,0.66573,1,3.26246,0.533192,0.0317259,0.0313617,0.0838544,64.7252,0.122112,0.0171552,4.00124,0,1,0.528339,-0.0117547,1.91251,0.0083603,0.310741,0.332874,3,0,0,0.0382939,0.586729,0.968772,0.969125,0.919565,7.76632e-29,0.885049,0.982991,-0.0397144,-0.0818791,0.10798,-0.0132486,0.0182797,0.040897,0.0112413,-0.118595,-0.045441,0.00835494,-0.0065663,0.205402,-0.010296,0.103819,-0.00266926,0.00885014,0.243644,0.0344694,0.00947001,-0.0340465,-0.0352643,-0.00665881,0.0497562,0.00850388,3,1.89613,0.0385988,-0.304259,-0.312056,-0.156717,0.0131644,3.12121,-3.07507,3.12756,0.210178,-1.5542,1.61364,-0.132625,-0.556662,1.89461,0.154659,-0.36501,1.83393,-0.124911,-1.51172,2.05095,0.355993,-1.58266,-4.86175,-0.306598,6.75941,-8.43068,1.64657,10.3953,-12.1161,0.1169,-5.60037,-1.44101,1,0,0,1,0.0315487,-0.105584,-0.306988,0.422594,0.129235,-0.306335,0.532756,-0.846269
250,0,0.547909,-0.0116729,0.319718,0.999346,-0.0113837,-0.0336831,-0.00662027,0.21363,-1.56892,1.5496,-0.141551,-0.510434,1.82167,0.177677,-0.289275,1.76258,-0.123717,-1.57353,2.02652,0.677837,1,3.06213,0.415266,0.015305,0.0327098,0.0886311,65.875,0.115365,0.015779,4.44968,0,1,0.547909,-0.0116729,1.97929,0.0100889,0.314616,0.332874,3,0,0,0.0467878,0.660165,0.984812,0.967819,0.915183,2.4596e-29,0.89104,0.984345,-0.0305376,-0.0792886,0.119305,0.00794024,0.00362518,0.0384577,0.00166372,-0.121717,-0.0516013,0.00973906,-0.000799275,0.166007,-0.0381873,0.0987312,0.00306842,0.00561213,0.262338,0.0502695,0.00277268,-0.0501553,-0.0257963,0.00752652,0.0270252,0.0177783,3,1.96516,0.0408807,-0.270789,-0.336141,0.0483228,-0.00628427,3.11834,-3.07437,3.12756,0.213028,-1.56712,1.56086,-0.139781,-0.514152,1.83021,0.173581,-0.295225,1.76264,-0.123961,-1.56427,2.03165,0.275426,-1.05449,-5.52667,-0.890006,2.61213,-4.9932,2.06843,4.02551,-1.7357,0.0996998,-4.89721,-2.32259,1,0,0,1,0.0125656,-0.105299,-0.304236,0.430925,0.12539,-0.318532,0.391243,-0.920287
255,0,0.568004,-0.0114951,0.318738,0.99936,-0.0137528,-0.0322725,-0.00701826,0.217212,-1.57316,1.48977,-0.152269,-0.517865,1.80688,0.196285,-0.276879,1.77223,-0.121767,-1.61168,1.99386,0.683641,1,2.89307,0.228986,0.00228813,0.0320081,0.123964,86.0658,0.471504,0.027119,4.96187,0,1,0.568004,-0.0114951,2.03564,0.0221629,0.317975,0.332874,3,0,0,0.0554057,0.79534,0.997714,0.968499,0.883412,4.18898e-38,0.624063,0.973245,-0.0277402,-0.0626395,0.128808,0.0328202,-0.00725929,0.011788,-0.00164974,-0.0952988,-0.0639868,-0.0015061,0.00921057,0.145374,-0.0691349,0.0741427,0.0193305,-0.00541165,0.263224,0.0658468,0.00733674,-0.0831255,-0.0042497,0.0244129,0.0110164,0.0551364,3,2.02597,0.0545779,-0.206435,-0.558763,0.391453,-0.0777966,3.11359,-3.07724,3.12665,0.216441,-1.57292,1.50233,-0.150056,-0.51265,1.80536,0.192935,-0.278724,1.77438,-0.122276,-1.60495,2.00123,0.381019,-0.255145,-6.09942,-1.15041,-1.55182,-0.785668,1.69431,1.21069,-0.226184,0.220404,-3.52934,-3.50583,1,0,0,1,-0.00587161,-0.104614,-0.302315,0.429591,0.121293,-0.325531,0.23405,-0.972224
260,0,0.589032,-0.0112292,0.318075,0.999384,-0.0157052,-0.0305272,-0.00721989,0.219125,-1.57091,1.42024,-0.166162,-0.573887,1.84766,0.213149,-0.296325,1.78473,-0.120157,-1.64273,1.95228,0.696338,1,2.55023,0.181311,0.00693824,0.0307767,0.142498,147.199,0.157961,0.0211402,4.54312,0,1,0.589032,-0.0112292,2.14992,0.028784,0.320388,0.332874,3,0,0,0.078064,0.834176,0.993086,0.969692,0.867189,1.18128e-64,0.853883,0.979082,-0.0269822,-0.0603438,0.131771,0.0532238,-0.0133937,-0.00573129,-0.00771642,-0.0515725,-0.0757856,-0.0127402,0.0182472,0.111902,-0.0931694,0.0529882,0.0288478,-0.00807038,0.253413,0.0452575,0.00843984,-0.0990539,-0.00500205,0.0453905,-0.00498187,0.0712759,3,2.1416,0.0637241,-0.190072,-0.266261,0.294634,0.0160345,3.1097,-3.08077,3.12617,0.219017,-1.57183,1.43514,-0.162707,-0.558832,1.83577,0.209748,-0.287927,1.77723,-0.120329,-1.63682,1.96123,0.119555,0.338601,-7.18897,-1.49141,-6.58899,5.05362,1.69208,-3.02396,2.39187,0.122591,-3.03054,-4.31016,1,0,0,1,-0.0251395,-0.104365,-0.300755,0.417314,0.117211,-0.32443,0.067914,-0.997691
265,0,0.610859,-0.0109019,0.317228,0.999395,-0.0157621,-0.0301247,-0.00727735,0.230436,-1.57976,1.36268,-0.183293,-0.660558,1.90992,0.222913,-0.364167,1.83636,-0.136846,-1.683,1.92203,0.687486,1,2.43961,0.338341,0.0107014,0.0302316,0.159226,54.6352,0.0276551,0.0125846,3.93283,0,1,0.610859,-0.0109019,2.1868,0.0349055,0.313661,0.332874,3,0,0,0.0871951,0.712952,0.989356,0.970221,0.852804,1.87165e-24,0.972724,0.987494,-0.0321413,-0.0568506,0.128394,0.0756873,-0.0236521,-0.00829491,-0.0172752,-0.0308731,-0.0790237,-0.00659938,0.0250852,0.0923449,-0.108327,0.0352469,0.0364096,-0.0138988,0.25072,0.0484656,0.00262586,-0.107651,0.0105127,0.069528,-0.0293216,0.0900994,3,2.17531,0.0722737,-0.242576,0.144586,-0.0705702,-0.0420696,3.10959,-3.08157,3.12607,0.225911,-1.57494,1.36924,-0.180435,-0.642968,1.89866,0.222142,-0.348644,1.82528,-0.130385,-1.67323,1.92494,1.74606,-1.63,-4.70712,-1.54032,-8.73342,5.88688,0.58787,-7.47444,5.10114,-2.5932,-4.54824,-2.28417,0,1,1,0,-0.0450189,-0.103473,-0.296677,0.396428,0.112492,-0.318716,0.103082,0.994673
270,0,0.632621,-0.0105182,0.315606,0.999384,-0.0147332,-0.0309567,-0.00751265,0.262854,-1.62956,1.38589,-0.196287,-0.753185,1.95102,0.223494,-0.446375,1.89845,-0.18053,-1.74004,1.93913,0.650584,1,2.50109,0.586562,0.0194689,0.0308051,0.176111,72.2628,0.0835621,0.173247,3.37117,0,1,0.632621,-0.0105182,2.1663,0.0411735,0.309116,0.332874,3,0,0,0.0819952,0.556236,0.980719,0.969665,0.838525,4.13661e-32,0.919834,0.84093,-0.0435944,-0.0527886,0.109652,0.0379289,-0.0422525,-0.0289921,0.102529,-0.0960696,-0.0509192,0.00112012,0.0623719,0.114074,-0.148108,0.000597625,0.00898993,0.00682122,0.276691,0.0266407,-0.0522946,-0.0637277,0.0252306,0.0646109,0.00738228,0.238713,3,2.14918,0.0813231,-0.32739,0.202792,-0.198356,-0.0556086,3.11162,-3.0799,3.12563,0.255469,-1.61647,1.3741,-0.193893,-0.734597,1.94255,0.223613,-0.429551,1.88555,-0.170789,-1.72768,1.93117,3.52179,-5.81003,4.17752,-1.26229,-9.34656,4.16794,-0.0168621,-8.33763,6.37562,-4.67535,-5.96022,2.8268,0,1,1,0,-0.0550685,-0.0981339,-0.284345,0.372727,0.108711,-0.316578,0.293459,0.955972
275,0,0.654079,-0.0100524,0.313209,0.999361,-0.0138392,-0.0320525,-0.00767162,0.302465,-1.71461,1.4949,-0.205959,-0.844776,1.98667,0.222258,-0.531758,1.96314,-0.231898,-1.80593,2.01355,0.647063,1,2.60195,0.80079,0.0234743,0.0319536,0.202516,53.0498,0.073448,0.0277762,3.70736,0,1,0.654079,-0.0100524,2.13268,0.0507514,0.305384,0.332874,3,0,0,0.0741287,0.448974,0.976799,0.968551,0.816673,9.13614e-24,0.929184,0.972606,-0.0594895,-0.0618616,0.0924418,0.0169625,-0.0516101,-0.0274375,0.152297,-0.0966959,-0.0559205,-0.00626382,0.0772295,0.154273,-0.126869,-0.00220618,0.0254979,0.00561247,0.264677,0.0442091,-0.0533628,-0.0404337,0.0336051,0.0987819,0.0208312,0.262296,3,2.11016,0.0925715,-0.401026,0.158738,-0.217945,-0.0273911,3.11338,-3.0777,3.12534,0.294457,-1.69555,1.46747,-0.204204,-0.826664,1.98005,0.222546,-0.514568,1.95032,-0.22146,-1.7925,1.99437,4.01367,-9.09216,12.4422,-0.912103,-9.17418,3.2098,-0.138666,-8.57218,6.45561,-5.20097,-6.70111,8.57184,0,1,1,0,-0.0491735,-0.0928886,-0.265823,0.349161,0.106055,-0.31399,0.47602,0.879434
280,0,0.675223,-0.00947928,0.310222,0.999334,-0.0132121,-0.0331308,-0.00766744,0.340703,-1.81906,1.6659,-0.214008,-0.932306,2.01978,0.220801,-0.618422,2.02517,-0.281267,-1.86846,2.1362,0.636263,1,2.68546,0.946782,0.0270839,0.0332861,0.232511,18.2307,0.0595339,0.0178035,4.00032,0,1,0.675223,-0.00947928,2.10485,0.061705,0.301194,0.332874,3,0,0,0.0681897,0.387988,0.97328,0.967262,0.792541,1.20922e-08,0.942204,0.982354,-0.0653436,-0.0622576,0.0685173,-0.00139316,-0.0531418,-0.0268937,0.187895,-0.103243,-0.0549309,-0.0140051,0.087874,0.166634,-0.107241,-0.00387633,0.0390697,0.011206,0.238146,0.0524638,-0.0514137,-0.0176868,0.0342049,0.125628,0.0458802,0.27258,3,2.07812,0.103948,-0.452081,0.115592,-0.214783,0.00636348,3.11462,-3.07553,3.12536,0.333477,-1.79759,1.62831,-0.21244,-0.915118,2.01334,0.221102,-0.600964,2.01307,-0.271826,-1.85708,2.10867,3.73928,-10.6774,18.0871,-0.78889,-8.6605,3.28686,-0.147703,-8.6934,6.1317,-4.83993,-6.05622,13.1051,0,1,1,0,-0.0276666,-0.0902694,-0.244145,0.32701,0.104303,-0.310383,0.641169,0.7674
285,0,0.696223,-0.00880485,0.306872,0.999305,-0.0128548,-0.0341773,-0.00755461,0.371147,-1.92292,1.86991,-0.221161,-1.01763,2.04138,0.218577,-0.708918,2.07368,-0.319553,-1.90457,2.28693,0.629341,1,2.69513,1.04569,0.0311304,0.0347721,0.256244,14.8016,0.0457465,0.0141545,4.32856,0,1,0.696223,-0.00880485,2.10162,0.0707399,0.296495,0.332874,3,0,0,0.0675334,0.351449,0.969349,0.965825,0.773953,3.73014e-07,0.955284,0.985945,-0.0652119,-0.052556,0.0469575,-0.0150787,-0.0479431,-0.0250695,0.208042,-0.112861,-0.0495637,-0.0225048,0.0941216,0.1644,-0.092955,-0.00343184,0.0482623,0.021168,0.204199,0.0522577,-0.049415,0.00263346,0.0332444,0.142995,0.0778221,0.268351,3,2.07159,0.113062,-0.488927,0.0620609,-0.203365,0.0231823,3.11532,-3.07343,3.12558,0.36602,-1.90323,1.82776,-0.219724,-1.00058,2.03777,0.219192,-0.690141,2.06637,-0.313094,-1.90097,2.25565,2.82765,-10.2017,20.8407,-0.680747,-8.53703,1.58169,-0.390642,-9.36383,3.11219,-3.54718,-2.83971,15.4498,0,1,1,0,0.00706928,-0.0909496,-0.222278,0.305281,0.102827,-0.307198,0.780367,0.625322
290,0,0.717377,-0.0080754,0.303346,0.999278,-0.0126739,-0.0350412,-0.0074761,0.386134,-2.00268,2.08431,-0.228559,-1.10234,2.06189,0.217172,-0.802991,2.11822,-0.336182,-1.87249,2.43977,0.629839,1,2.61376,1.03145,0.0332747,0.0361232,0.262371,31.0866,0.0197071,0.0217639,6.05199,0,1,0.717377,-0.0080754,2.12875,0.0739979,0.292254,0.332874,3,0,0,0.0732583,0.356489,0.967273,0.964521,0.769226,3.15689e-14,0.980486,0.978471,-0.0590767,-0.0386695,0.0286072,-0.0338041,-0.0376252,-0.0165122,0.236807,-0.127585,-0.0432548,-0.0353402,0.0995213,0.150401,-0.0728178,0.00443037,0.0503865,0.0340668,0.169741,0.0446482,-0.0516735,0.022835,0.0239991,0.166412,0.110573,0.242271,3,2.0981,0.116192,-0.489626,0.0401572,-0.133664,-0.0151086,3.11567,-3.07169,3.12572,0.384686,-1.99015,2.0417,-0.227091,-1.08549,2.0578,0.217371,-0.784184,2.10887,-0.334815,-1.88726,2.41059,1.12569,-7.26281,21.4643,-0.746654,-8.45305,2.09351,-0.101577,-9.4087,4.64296,-1.17322,5.01605,15.0874,0,1,1,0,0.0522767,-0.0948634,-0.202925,0.283686,0.101523,-0.303513,0.886806,0.462142
295,0,0.738959,-0.00736815,0.300337,0.999275,-0.0125414,-0.0350543,-0.0079923,0.378356,-2.02168,2.28746,-0.234538,-1.18507,2.07926,0.215824,-0.896152,2.16188,-0.317661,-1.6989,2.55606,0.64435,1,2.46235,0.786312,0.035849,0.0362624,0.23857,148.186,0.0458933,0.0219164,10.9937,0,1,0.738959,-0.00736815,2.17922,0.067243,0.288387,0.332874,3,0,0,0.0852344,0.455522,0.964786,0.964387,0.787754,4.4005e-65,0.955144,0.978322,-0.0540387,-0.0111752,0.0236877,-0.0404758,-0.0214617,-0.0157084,0.257886,-0.140446,-0.0348124,-0.0440035,0.101134,0.138768,-0.0734396,0.00705591,0.0502001,0.0574002,0.138796,0.0340815,-0.0517017,0.03103,0.0219118,0.205097,0.150967,0.220391,3,2.15415,0.110361,-0.411889,0.0629588,0.118672,-0.166873,3.1159,-3.07168,3.1247,0.382027,-2.02515,2.24896,-0.233452,-1.16881,2.07633,0.216291,-0.877725,2.15386,-0.324349,-1.74858,2.53817,-1.30111,-0.317532,19.9082,-0.554885,-8.21399,1.60977,-0.169064,-9.27961,4.22727,2.63329,20.9045,10.5224,0,1,1,0,0.10544,-0.101175,-0.188724,0.263022,0.100906,-0.29868,0.958612,0.284716
300,0,0.760901,-0.00683812,0.29839,0.999317,-0.0123592,-0.0337122,-0.00875046,0.349413,-1.92337,2.45292,-0.238977,-1.26314,2.08905,0.213665,-0.987375,2.19558,-0.254481,-1.3366,2.57986,0.66755,1,2.41717,0.464089,0.0391375,0.0341576,0.159135,81.8911,0.0984294,0.0564603,11.0957,0,1,0.760901,-0.00683812,2.19428,0.0416481,0.285345,0.332874,3,0,0,0.0891732,0.628708,0.961618,0.966419,0.852881,2.72357e-36,0.90626,0.945104,-0.0342948,0.0278331,0.0262601,-0.0462074,-0.00176929,-0.0120622,0.291856,-0.124445,-0.0241709,-0.0477345,0.0986058,0.0897223,-0.0813066,0.0030869,0.0398416,0.0864165,0.0868313,-0.0121544,-0.0516825,0.0378198,0.00286468,0.259054,0.188082,0.176161,3,2.1778,0.085563,-0.300616,0.0586588,0.298515,-0.0766641,3.11624,-3.07438,3.12323,0.356975,-1.95586,2.42494,-0.238045,-1.24803,2.0879,0.214105,-0.96896,2.18941,-0.269708,-1.42029,2.58469,-3.32509,12.7552,15.4841,-0.450978,-7.6813,0.798901,-0.218548,-9.09624,3.16037,7.13069,39.8736,0.0533341,0,1,1,0,0.164185,-0.108363,-0.181514,0.242995,0.10075,-0.294088,0.994601,0.103771
305,0,0.782534,-0.00658411,0.297216,0.999297,-0.0139502,-0.0338995,-0.00787533,0.307525,-1.64852,2.53301,-0.241444,-1.33477,2.08668,0.217298,-1.08345,2.22431,-0.161808,-0.92262,2.48311,0.670789,1,2.58497,0.303817,0.0406703,0.0351574,0.0901828,52.2676,0.566488,0.104909,7.44042,0,1,0.782534,-0.00658411,2.13834,0.0190874,0.28366,0.332874,3,0,0,0.075398,0.737996,0.960146,0.965453,0.913764,1.99734e-23,0.567515,0.900407,0.00870523,0.0715175,0.0486098,-0.0426763,0.00246242,0.0122372,0.304196,-0.0929492,-0.00936642,-0.0420511,0.0879114,-0.00987958,-0.108349,0.00583998,0.0266129,0.101373,0.051768,-0.125482,-0.0443388,0.029334,-0.0185123,0.272789,0.223679,0.138579,3,2.126,0.0575261,-0.244863,-0.561969,-0.370651,0.336597,3.11311,-3.07401,3.12487,0.317268,-1.71831,2.52701,-0.241307,-1.32097,2.08842,0.215799,-1.06343,2.2186,-0.180773,-0.999311,2.5107,-4.5312,31.5389,5.69387,-0.17817,-7.02267,-0.541674,0.53869,-9.83703,2.88742,9.56208,40.4804,-11.9899,0,1,1,0,0.225359,-0.114426,-0.183659,0.222737,0.100969,-0.290766,0.997197,-0.0748198
310,0,0.803568,-0.00623641,0.296151,0.999103,-0.0174358,-0.0381089,-0.00605104,0.247754,-1.25671,2.48429,-0.241432,-1.40008,2.0686,0.221,-1.18619,2.23567,-0.0770529,-0.617608,2.31446,0.647448,1,2.75542,0.345194,0.0366135,0.0448429,0.179011,50.0971,1.76211,0.0533387,5.90675,0,1,0.803568,-0.00623641,2.08153,0.0492762,0.283946,0.332874,3,0,0,0.0635821,0.708083,0.964049,0.956148,0.836097,1.75021e-22,0.171683,0.948059,0.0167604,0.0858882,0.0621486,-0.0421131,0.0107195,0.0449916,0.33072,-0.125999,0.0163153,-0.0361253,0.0557784,-0.052392,-0.109854,0.0391586,0.0253303,0.098756,0.0757856,-0.187755,-0.0261356,0.0325147,-0.00449089,0.232551,0.225604,0.082753,3,2.06601,0.0811328,-0.270989,-0.700909,-1.06727,0.36299,3.10618,-3.06558,3.12813,0.259698,-1.33425,2.50298,-0.24142,-1.38751,2.07319,0.220051,-1.16528,2.23308,-0.0927703,-0.669389,2.35134,-6.08254,39.8069,-7.36566,0.0290857,-6.3917,-2.12038,0.384212,-10.3904,0.990568,8.19164,27.9673,-17.7811,0,1,1,0,0.286546,-0.120766,-0.19714,0.20098,0.101454,-0.289141,0.970145,-0.242526
315,0,0.824422,-0.00551497,0.294736,0.998885,-0.0191432,-0.0429294,-0.00432537,0.185352,-0.926566,2.34987,-0.245252,-1.45991,2.04124,0.223955,-1.2897,2.25185,-0.0165996,-0.434998,2.13463,0.646594,1,2.69019,0.390972,0.0249251,0.0557338,0.241142,114.636,0.610191,0.0661317,5.9915,0,1,0.824422,-0.00551497,2.10327,0.0711891,0.286427,0.332874,3,0,0,0.0678677,0.676399,0.975383,0.945791,0.78573,1.63684e-50,0.543247,0.936008,-0.014596,0.0616238,0.0664339,-0.0231372,0.0301022,0.0879844,0.319118,-0.162703,0.0328005,-0.0173562,0.0191114,-0.0245382,-0.0435199,0.0699187,0.0245332,0.0789089,0.076459,-0.145965,-0.00707687,0.0246617,0.036699,0.18709,0.208877,0.0416728,3,2.08374,0.0977014,-0.307034,0.0688912,-0.6605,0.411321,3.10283,-3.05589,3.13127,0.198087,-0.984279,2.38008,-0.244242,-1.44913,2.04916,0.223737,-1.2699,2.24913,-0.0260089,-0.45654,2.16793,-6.27823,30.8712,-14.5325,-0.64421,-5.97598,-2.44375,0.196218,-10.2674,1.64535,5.34585,14.8352,-17.387,0,1,1,0,0.342827,-0.128658,-0.216025,0.178898,0.100587,-0.287548,0.91768,-0.39732
