rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range_vf,train/clip_fraction,train/approx_kl,train/clip_range,train/value_loss,train/loss,train/std,train/n_updates
937.18,131072,17,7603,22.2335262298584,1,,,,,,,,,,,,
822.4,262144,34,7512,15.56347942352295,2,-0.0019227659096941352,8.715081882476806,-0.37919771671295166,0.0001,0.3,0.019921875,0.0063854195,0.3,0.9494294494390487,0.7730300426483154,0.1353486031293869,1
784.94,393216,52,7528,10.896583557128906,3,-0.001589950479181676,8.7136529067467,0.15852206945419312,0.0001,0.3,0.012392241379310345,0.004805859,0.3,0.5004810094833374,0.492950439453125,0.13536188006401062,2
808.39,524288,69,7509,10.618117332458496,4,-0.0024258491364033785,8.712462200837976,0.5487109422683716,0.0001,0.3,0.012637867647058824,0.0046750605,0.3,0.31176354604608875,0.33709630370140076,0.13537302613258362,3
740.58,655360,87,7496,9.293465614318848,5,0.0011754166127906905,8.706837124294704,0.7121831774711609,0.0001,0.3,0.025694444444444443,0.00682661,0.3,0.24051792257361942,0.26763489842414856,0.13545288145542145,4
713.94,786432,106,7408,8.898907661437988,6,0.0007823235355317593,8.701011339823404,0.7964633703231812,0.0001,0.3,0.013671875,0.0048602177,0.3,0.24523811539014181,0.2591317296028137,0.13548018038272858,5
720.93,917504,123,7403,9.716452598571777,7,0.0008041715588081967,8.69844084075003,0.8151289224624634,0.0001,0.3,0.023910984848484848,0.0064140433,0.3,0.22864483071096015,0.3027038276195526,0.13551229238510132,6
743.32,1048576,142,7355,11.355445861816406,8,-6.444397350323612e-05,8.694251257797767,0.8215605616569519,0.0001,0.3,0.017241379310344827,0.005517865,0.3,0.2252759995131657,0.310006320476532,0.13555392622947693,7
732.13,1179648,160,7328,12.665030479431152,9,-0.0005069582763573397,8.690062647280486,0.8225634098052979,0.0001,0.3,0.016304347826086956,0.005025532,0.3,0.2275822130234345,0.3044358193874359,0.13558529317378998,8
728.2,1310720,180,7272,13.978338241577148,10,-0.0020219397696631925,8.687507134896737,0.8414562940597534,0.0001,0.3,0.01880787037037037,0.006351859,0.3,0.2703832525897909,0.2717209756374359,0.13559547066688538,9
757.18,1441792,198,7247,15.880017280578613,11,-0.0037128335378807165,8.686138514814706,0.8317797183990479,0.0001,0.3,0.021282327586206896,0.0058424277,0.3,0.2839770240002665,0.3169178068637848,0.13561521470546722,10
750.96,1572864,217,7242,17.86156463623047,12,-0.003980199872915234,8.684249650864373,0.803421676158905,0.0001,0.3,0.017485119047619048,0.005040195,0.3,0.33258069554964703,0.4267512559890747,0.13562583923339844,11
744.08,1703936,235,7242,18.228099822998047,13,-0.0017550423896561067,8.68374772866567,0.7853989005088806,0.0001,0.3,0.025390625,0.0060937474,0.3,0.3943706961969535,0.3867344856262207,0.1356276571750641,12
716.34,1835008,253,7242,18.045696258544922,14,-0.0001573588466271758,8.682931184768677,0.7840700745582581,0.0001,0.3,0.016796875,0.005076385,0.3,0.4162189543247223,0.38901397585868835,0.13563571870326996,13
807.19,1966080,271,7245,20.927322387695312,15,-0.0006742620607838035,8.682119941711425,0.7930108308792114,0.0001,0.3,0.019140625,0.0055008275,0.3,0.44459443390369413,0.4743421971797943,0.13564424216747284,14
751.24,2097152,289,7238,19.16070556640625,16,0.0020151400110787815,8.681192963211625,0.7908637523651123,0.0001,0.3,0.02199074074074074,0.006978471,0.3,0.42008902022132166,0.7306298613548279,0.13566440343856812,15
777.3,2228224,307,7241,20.116931915283203,17,0.003450832456688989,8.67774434523149,0.7822243571281433,0.0001,0.3,0.01953125,0.0059482236,0.3,0.46394575184041803,0.46962136030197144,0.13569283485412598,16
788.76,2359296,325,7246,21.03512954711914,18,0.00331985665899184,8.67466891253436,0.7720053195953369,0.0001,0.3,0.02459490740740741,0.0065317606,0.3,0.4186523269723963,0.4411604702472687,0.13571961224079132,17
797.27,2490368,343,7252,21.645597457885742,19,0.00032640799569586915,8.672114928563436,0.7611753940582275,0.0001,0.3,0.0234375,0.006032784,0.3,0.4059770318369071,0.4666328430175781,0.13574431836605072,18
788.85,2621440,361,7259,21.480257034301758,20,0.0037370561980284178,8.669463304372934,0.7607042193412781,0.0001,0.3,0.025240384615384616,0.0066092247,0.3,0.45241695642471313,0.41355448961257935,0.13576216995716095,19
795.76,2752512,378,7267,22.19039535522461,21,-0.001323759054335264,8.667949859912579,0.7766231894493103,0.0001,0.3,0.024338942307692308,0.0061760475,0.3,0.43892964262228745,0.5838214159011841,0.1357768177986145,20
825.03,2883584,396,7267,23.12905502319336,22,0.002472250536084175,8.667569955190023,0.8019346594810486,0.0001,0.3,0.021614583333333333,0.006304301,0.3,0.3789079114794731,0.4698658287525177,0.13576559722423553,21
798.17,3014656,414,7264,22.248497009277344,23,0.0008203025259401487,8.667767441791037,0.7824945449829102,0.0001,0.3,0.01970108695652174,0.0060270163,0.3,0.4458511212597723,0.4197693467140198,0.13577470183372498,22
816.55,3145728,433,7260,23.49090576171875,24,-0.0005136231041472892,8.66671661708666,0.794399082660675,0.0001,0.3,0.01936141304347826,0.0054095513,0.3,0.42951748163803766,0.3690614700317383,0.13578681647777557,23
