train/action_std_07,train/action_std_00,rollout/is_fall_mean,train/action_std_17,time/time_elapsed,rollout/ep_len_mean,train/action_std_16,train/action_std_20,time/fps,train/action_std_09,train/std_max,train/action_std_01,time/iterations,rollout/recovery_right,rollout/force_direction_mean,rollout/force_requested_impulse_mean,rollout/episodes_left,train/action_std_04,train/action_std_06,train/action_std_18,train/std_min,rollout/recovery_left,train/action_std_05,train/action_std_02,train/action_std_19,rollout/recovery_fwd,rollout/recovery_down,rollout/episodes_back,train/action_std_15,train/action_std_24,rollout/episodes_fwd,rollout/force_onset_mean,time/total_timesteps,train/action_std_03,rollout/is_timeout_mean,rollout/recovery_back,rollout/action_saturation_fraction,train/action_std_22,rollout/episodes_right,train/action_std_08,rollout/episodes_up,rollout/ep_rew_mean,train/action_std_10,train/action_std_21,rollout/episodes_down,train/action_std_14,train/action_std_11,train/action_std_12,train/action_std_13,rollout/recovery_up,train/action_std_23,rollout/timeout_without_onset_fraction,train/explained_variance,rollout/recovery_noforce,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/std,train/clip_range,rollout/timeouts,train/approx_kl,train/entropy_loss,rollout/episodes_noforce,train/policy_gradient_loss,train/n_updates,train/clip_range_vf
0.056915391236543655,0.056588854640722275,1.0,0.056648802012205124,22,340.11,0.05714968964457512,0.05697356536984444,5716,0.05731123313307762,0.05731123313307762,0.05699291452765465,1,0.0,1.958762886597938,2.989661667781668,40,0.05619281530380249,0.057200320065021515,0.0564500167965889,0.05601786449551582,0.0,0.05655568838119507,0.05689471587538719,0.057255957275629044,0.0,0.0,32,0.05668531730771065,0.05696316435933113,47,1.3922474226804136,131072,0.05729932710528374,0.0,0.0,0.0,0.056376971304416656,44,0.05641506612300873,19,231.26585388183594,0.05601786449551582,0.056659527122974396,12,0.05626126751303673,0.056602995842695236,0.05700726434588432,0.056168440729379654,0.0,0.05713804066181183,,,,,,,,,,,,,,,,
0.05703400820493698,0.05668441578745842,0.8936170212765957,0.05671875551342964,49,622.08,0.057325731962919235,0.05709248036146164,5303,0.05751514434814453,0.05751514434814453,0.05710940435528755,2,0.045454545454545456,1.8368794326241136,2.965653005430458,39,0.056309282779693604,0.05736703798174858,0.0565909706056118,0.05609462037682533,0.1282051282051282,0.05665656924247742,0.05699831247329712,0.057435013353824615,0.046153846153846156,0.25,70,0.05678997188806534,0.057070717215538025,65,1.4100851063829798,262144,0.05740392208099365,0.10638297872340426,0.1,0.0,0.056520331650972366,44,0.056527502834796906,46,430.3743896484375,0.05609462037682533,0.05680204927921295,12,0.056316301226615906,0.056761231273412704,0.05715549737215042,0.056293752044439316,0.08695652173913043,0.05725131556391716,0.0,0.6865768432617188,1.0,2.3485093116760254,1.6780189904384315,0.110125732421875,1e-05,0.05687297135591507,0.1,30,0.002384969,36.22562021911144,6,-0.004498176655397401,630,0.2
0.057204972952604294,0.05674926936626434,0.9098360655737705,0.05684870854020119,75,481.5,0.05745252966880798,0.0572529174387455,5175,0.05764701962471008,0.05764701962471008,0.05718101188540459,3,0.05660377358490566,1.9631147540983607,2.912355128227812,35,0.0564301572740078,0.05750146508216858,0.05668449401855469,0.056220557540655136,0.11428571428571428,0.05673739314079285,0.05706161633133888,0.05757054314017296,0.02040816326530612,0.17647058823529413,55,0.05693957954645157,0.05725134536623955,49,1.3874262295081978,393216,0.05758721008896828,0.09016393442622951,0.07272727272727272,0.0,0.05666186287999153,53,0.05659351125359535,29,327.1742248535156,0.056220557540655136,0.056907616555690765,17,0.05645787715911865,0.05688631907105446,0.057371754199266434,0.056419435888528824,0.10344827586206896,0.05737859383225441,0.0,0.7277699708938599,0.6666666666666666,1.947367548942566,1.7470671638846398,0.106512451171875,1e-05,0.05699991062283516,0.1,22,0.0023155878,36.17022753953934,6,-0.004528312580805505,640,0.2
0.05729677528142929,0.05687747895717621,0.8565737051792829,0.05695994570851326,102,496.27,0.057552263140678406,0.05735137686133385,5101,0.05776791647076607,0.05776791647076607,0.05732515826821327,4,0.11363636363636363,2.143426294820717,2.85144539324545,46,0.0565706305205822,0.05757523700594902,0.05684676766395569,0.05629521235823631,0.06521739130434782,0.05684511736035347,0.05720001831650734,0.05771896243095398,0.041666666666666664,0.3333333333333333,43,0.05712096393108368,0.05736367031931877,48,1.3978007968127502,524288,0.05768287554383278,0.14342629482071714,0.16279069767441862,0.0,0.056806597858667374,44,0.056662917137145996,43,339.51922607421875,0.05629521235823631,0.0570339672267437,21,0.05652930587530136,0.0569721981883049,0.05755581706762314,0.056580815464258194,0.13953488372093023,0.05752049759030342,0.0,0.7157216668128967,1.0,2.0159013271331787,1.579750885721296,0.111041259765625,1e-05,0.05712049454450607,0.1,36,0.0023375256,36.115484988689424,6,-0.004077823584702855,650,0.2
0.05735858529806137,0.05702624097466469,0.85,0.05704447627067566,129,495.26,0.05763997137546539,0.05743920058012009,5053,0.05786591023206711,0.05786591023206711,0.057434216141700745,5,0.10416666666666667,2.023076923076923,2.805781390642439,33,0.05672432854771614,0.057687416672706604,0.056969545781612396,0.056455470621585846,0.15151515151515152,0.05693041533231735,0.05733773112297058,0.057833049446344376,0.06779661016949153,0.3333333333333333,44,0.057259947061538696,0.0574793815612793,59,1.4005153846153855,655360,0.05782077834010124,0.15,0.13636363636363635,0.0,0.056984029710292816,48,0.05682548135519028,48,334.086181640625,0.056455470621585846,0.05714286491274834,18,0.056562360376119614,0.057150743901729584,0.05766744911670685,0.05665655434131622,0.10416666666666667,0.05768613517284393,0.0,0.7207788228988647,0.8,2.0832929611206055,1.4770551624707877,0.11124114990234375,1e-05,0.057239286601543427,0.1,39,0.002342155,36.063008072972295,10,-0.004036559370433679,660,0.2
0.05750662088394165,0.05713711678981781,0.8669354838709677,0.057148467749357224,156,454.76,0.05774611979722977,0.05757976695895195,5019,0.05799819156527519,0.05799819156527519,0.05751224234700203,6,0.05128205128205128,1.7137096774193548,2.866899645225321,30,0.05685380473732948,0.057839419692754745,0.05707377940416336,0.056576523929834366,0.13333333333333333,0.057109758257865906,0.057526569813489914,0.057972464710474014,0.09230769230769231,0.2,51,0.05743072181940079,0.05763903632760048,65,1.3984354838709687,786432,0.057959750294685364,0.13306451612903225,0.1568627450980392,0.0,0.057132214307785034,39,0.05696464702486992,40,309.0963134765625,0.056576523929834366,0.057301610708236694,10,0.056682780385017395,0.05724894255399704,0.057761598378419876,0.05680453032255173,0.05,0.05775902047753334,0.0,0.7532585859298706,0.6923076923076923,1.6363167762756348,1.3434208065737039,0.11397933959960938,1e-05,0.0573706217110157,0.1,33,0.0023855704,36.00821666419506,13,-0.004219068288603012,670,0.2
0.057693496346473694,0.05723175033926964,0.8395522388059702,0.05731991305947304,183,520.26,0.05782092735171318,0.05773394927382469,4986,0.058128830045461655,0.058128830045461655,0.05763417109847069,7,0.07692307692307693,1.8246268656716418,2.81840549201567,36,0.05696747079491615,0.0579015351831913,0.05716555565595627,0.056711602956056595,0.19444444444444445,0.05716461315751076,0.05766685679554939,0.05802639201283455,0.0547945205479452,0.26666666666666666,44,0.05751406028866768,0.057735394686460495,73,1.4000149253731353,917504,0.05809120461344719,0.16044776119402984,0.11363636363636363,0.0,0.05724218860268593,52,0.05704548582434654,38,358.2052001953125,0.056711602956056595,0.057436708360910416,15,0.05684766545891762,0.05740070715546608,0.057916540652513504,0.05691014230251312,0.23684210526315788,0.057833269238471985,0.0,0.7612922191619873,1.0,1.5987694263458252,1.2922316176816822,0.11466293334960938,1e-05,0.05748561769723892,0.1,43,0.0023751168,35.95523836612701,10,-0.0041424860699407874,680,0.2
0.05778605863451958,0.05739676579833031,0.8620689655172413,0.05741167068481445,211,520.07,0.05797795206308365,0.05792905017733574,4966,0.05818432196974754,0.05826173722743988,0.057703305035829544,8,0.045454545454545456,1.9846743295019158,2.7920908882396267,42,0.057129159569740295,0.05799074098467827,0.05730912461876869,0.056702110916376114,0.19047619047619047,0.05727601423859596,0.05774057283997536,0.05820513516664505,0.04081632653061224,0.5,56,0.05757208541035652,0.05786885321140289,49,1.3936858237547904,1048576,0.05826173722743988,0.13793103448275862,0.07142857142857142,0.0,0.05731809139251709,44,0.05715296417474747,44,351.3024597167969,0.056702110916376114,0.057568952441215515,16,0.0569622777402401,0.05749412998557091,0.058047883212566376,0.05697116628289223,0.11363636363636363,0.05791005119681358,0.0,0.7618488073348999,0.7,1.5145829916000366,1.2279079378116875,0.10759811401367188,1e-05,0.05759480223059654,0.1,36,0.0023107447,35.906873962283136,10,-0.004007847330194636,690,0.2
0.05792372301220894,0.05756038799881935,0.876984126984127,0.057556092739105225,238,467.44,0.0580904558300972,0.058101482689380646,4951,0.05832332372665405,0.05839775130152702,0.057827506214380264,9,0.07547169811320754,2.2023809523809526,2.8871087561960747,29,0.05729074031114578,0.05814388394355774,0.05737929046154022,0.05685005336999893,0.10344827586206896,0.05739855766296387,0.057852644473314285,0.05839775130152702,0.044444444444444446,0.2,49,0.057753320783376694,0.057961300015449524,45,1.393277777777779,1179648,0.05838605388998985,0.12301587301587301,0.061224489795918366,0.0,0.057430438697338104,53,0.05732179805636406,49,318.04107666015625,0.05685005336999893,0.05766187980771065,20,0.057072218507528305,0.05758528783917427,0.058188121765851974,0.057065319269895554,0.1836734693877551,0.05796562135219574,0.0,0.7648391723632812,0.8571428571428571,1.41914963722229,1.251933605130762,0.10850601196289063,1e-05,0.05772349238395691,0.1,31,0.0022950186,35.85463348329067,7,-0.003914252937192941,700,0.2
0.05801381915807724,0.05770852044224739,0.8171641791044776,0.057667557150125504,265,510.14,0.05814795941114426,0.05819027125835419,4935,0.058470625430345535,0.05855236202478409,0.05792967230081558,10,0.18604651162790697,1.8843283582089552,2.8674911317321996,34,0.057367801666259766,0.05824903026223183,0.0575135163962841,0.0569281242787838,0.08823529411764706,0.05753117799758911,0.05798932537436485,0.05855236202478409,0.0625,0.28,50,0.05793754756450653,0.05804475396871567,64,1.4082089552238817,1310720,0.05850328505039215,0.1828358208955224,0.06,0.0,0.05753343924880028,43,0.0574316568672657,37,346.9310302734375,0.0569281242787838,0.057820942252874374,25,0.05717310681939125,0.05770402029156685,0.05830219015479088,0.057177767157554626,0.2702702702702703,0.058033935725688934,0.0,0.7561758160591125,0.9333333333333333,1.4568449258804321,1.180351302260533,0.1135528564453125,1e-05,0.05783689394593239,0.1,49,0.002367281,35.80252495110035,15,-0.0040214567575276305,710,0.2
