time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/n_updates,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/loss,train/std,train/explained_variance,train/clip_range_vf,train/entropy_loss,train/value_loss,train/approx_kl
131072,15034,291.37,8.483704566955566,1,8,,,,,,,,,,,,
262144,12846,763.9,29.207111358642578,2,20,1540,0.01078033447265625,0.1,-0.0012969063813216054,1e-06,0.8317614793777466,0.17681662738323212,0.8661454916000366,0.2,7.542132199928164,0.5248547470662743,0.0007830407
393216,12336,486.19,17.002296447753906,3,31,1550,0.01086578369140625,0.1,-0.0013099975629302207,1e-06,0.9751907587051392,0.17698511481285095,0.8400711417198181,0.2,7.519397239387035,0.618973814882338,0.0008382806
524288,12159,582.37,21.150094985961914,4,43,1560,0.010483551025390624,0.1,-0.0014453205969402916,1e-06,1.0216482877731323,0.17715677618980408,0.843870997428894,0.2,7.496300260722637,0.6623975967522711,0.0009312462
655360,11980,470.3,16.3507080078125,5,54,1570,0.00802764892578125,0.1,-0.0012585786746967642,1e-06,1.0532891750335693,0.17732225358486176,0.8454278111457825,0.2,7.4735651325434445,0.6394315391080454,0.00078610005
786432,11776,441.89,14.753120422363281,6,66,1580,0.0091400146484375,0.1,-0.001451239920424996,1e-06,1.0012342929840088,0.1774895191192627,0.8536031246185303,0.2,7.451000344753266,0.6209106247406453,0.0008908973
917504,11574,435.47,14.042803764343262,7,79,1590,0.006574249267578125,0.1,-0.0013768746033747449,1e-06,0.9150623083114624,0.17765283584594727,0.8800724744796753,0.2,7.428642962500453,0.5818276199512183,0.0008542841
1048576,11371,469.55,15.468267440795898,8,92,1600,0.0053802490234375,0.1,-0.0012894333936856127,1e-06,0.9261993765830994,0.17782360315322876,0.8848223090171814,0.2,7.406063250079751,0.5517847459763289,0.00081700424
1179648,11352,402.58,12.795058250427246,9,103,1610,0.0072021484375,0.1,-0.001375897182697372,1e-06,0.9345600008964539,0.17798763513565063,0.8739517331123352,0.2,7.383494252711534,0.5815331372665241,0.0008959208
1310720,11366,531.02,18.719526290893555,10,115,1620,0.006816864013671875,0.1,-0.0013998265229020034,1e-06,0.9362884759902954,0.17815671861171722,0.8855474591255188,0.2,7.360978642478585,0.5374910672428086,0.00086795015
1441792,11349,561.3,19.680316925048828,11,127,1630,0.009938812255859375,0.1,-0.0015041735680824786,1e-06,0.8714953064918518,0.1783302277326584,0.8614310026168823,0.2,7.3378603253513575,0.5510751012479886,0.0009502152
1572864,11325,514.79,17.304729461669922,12,138,1640,0.00899810791015625,0.1,-0.0014226900667381414,1e-06,1.0274862051010132,0.17849671840667725,0.8724439144134521,0.2,7.315052996948362,0.5657884753774851,0.00093026005
1703936,11321,518.16,17.722959518432617,13,150,1650,0.00478363037109375,0.1,-0.0013538131544919452,1e-06,0.7752985954284668,0.1786632239818573,0.8930326700210571,0.2,7.292709740996361,0.5106656745076179,0.00080939784
