rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/clip_fraction,train/clip_range,train/value_loss,train/policy_gradient_loss,train/std,train/clip_range_vf,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,train/n_updates
35.78839111328125,5,6298,1,32768,884.15625,,,,,,,,,,,,
27.867231369018555,10,6189,2,65536,935.123076923077,8.713604397243923,0.03269675925925926,0.3,1.2949469288190205,-0.0017422609100187266,0.13536986708641052,0.3,0.007874855,-0.5838818550109863,0.0001,1.1968247890472412,1
26.141599655151367,16,6113,3,98304,897.7319587628866,8.709812981741768,0.02299107142857143,0.3,0.4821182378700801,-0.0031830917511667524,0.13540491461753845,0.3,0.0065589994,-1.4730749130249023,0.0001,0.44858354330062866,2
20.23587417602539,21,6092,4,131072,867.73,8.705376316519345,0.013556985294117647,0.3,0.4857694077141145,-0.0004994123352362829,0.13545627892017365,0.3,0.004913032,-0.39733266830444336,0.0001,0.4996528625488281,3
18.28081703186035,27,6067,5,163840,876.83,8.699138592451046,0.0234375,0.3,0.4471173125963945,0.0004725203825495182,0.13550899922847748,0.3,0.006226473,0.3814106583595276,0.0001,0.43650054931640625,4
17.090774536132812,32,6064,6,196608,805.05,8.695280392964682,0.023697916666666666,0.3,0.3305195634563764,-0.0006266005802899599,0.135527104139328,0.3,0.0062828786,0.5372516512870789,0.0001,0.3790993094444275,5
15.6859130859375,37,6043,7,229376,807.9,8.693916593279157,0.021651785714285714,0.3,0.3191116145678929,-0.0019853044633886645,0.13555088639259338,0.3,0.00609154,0.7384896278381348,0.0001,0.30922800302505493,6
16.046724319458008,43,6029,8,262144,791.93,8.688669177464076,0.02388392857142857,0.3,0.34959574384348735,-0.0016322041595620768,0.13561242818832397,0.3,0.006273173,0.7508755922317505,0.0001,0.4011898636817932,7
17.19373893737793,49,6008,9,294912,794.59,8.683746506186093,0.01953125,0.3,0.3679221176049289,-0.00033546869149979423,0.1356373280286789,0.3,0.0061941682,0.7589145302772522,0.0001,0.42764949798583984,8
17.826147079467773,54,6004,10,327680,767.16,8.680942217508951,0.020543981481481483,0.3,0.39373113711675006,-0.0015561576173813254,0.13565786182880402,0.3,0.006355288,0.7593897581100464,0.0001,0.4012114405632019,9
17.84271812438965,60,6003,11,360448,742.03,8.678797028281473,0.018110795454545456,0.3,0.4207219305363568,-7.048668339848518e-05,0.1356886774301529,0.3,0.005258783,0.7760265469551086,0.0001,0.39249807596206665,10
19.87699317932129,65,6004,12,393216,784.51,8.674426949542502,0.008831521739130434,0.3,0.46479721043420874,-0.002183279690697141,0.13572844862937927,0.3,0.0042097783,0.8052092790603638,0.0001,0.47852545976638794,11
19.642940521240234,70,6000,13,425984,740.73,8.671783477067947,0.028564453125,0.3,0.45568337477743626,-0.00014298093446996063,0.13573986291885376,0.3,0.0068667056,0.7493578791618347,0.0001,0.5780836939811707,12
20.983407974243164,76,5991,14,458752,754.79,8.669064985002791,0.027232142857142858,0.3,0.46555461883544924,0.0014172054428075041,0.1357768326997757,0.3,0.0068560857,0.8424118161201477,0.0001,0.4918404221534729,13
21.505382537841797,82,5990,15,491520,758.02,8.665479513315054,0.029447115384615384,0.3,0.5508213444398,-0.0021723091351584746,0.13580748438835144,0.3,0.007206439,0.7993590831756592,0.0001,0.5379230976104736,14
20.937175750732422,87,5991,16,524288,735.24,8.662190950833834,0.018028846153846152,0.3,0.4999370322777675,-0.0023878889086727914,0.13583189249038696,0.3,0.0058233473,0.8106625080108643,0.0001,0.7401831150054932,15
21.485551834106445,92,5994,17,557056,751.17,8.660530461205376,0.026475694444444444,0.3,0.47229501273896957,0.0001981799335529407,0.1358419507741928,0.3,0.0062912083,0.8421524167060852,0.0001,0.4402642846107483,16
22.675870895385742,98,5991,18,589824,775.51,8.658689181009928,0.025752314814814815,0.3,0.5754519049768094,0.0010042658972519416,0.13586263358592987,0.3,0.0058471793,0.7979580163955688,0.0001,0.7574371099472046,17
23.22149658203125,103,5989,19,622592,788.02,8.657342630274156,0.01332720588235294,0.3,0.5801300984971663,-0.0025780081255909275,0.13586555421352386,0.3,0.0041846577,0.8083853721618652,0.0001,0.4124235510826111,18
23.487071990966797,109,5986,20,655360,787.06,8.656809594896105,0.0234375,0.3,0.494620230462816,-0.0028851694013509485,0.13587789237499237,0.3,0.006252277,0.8208017349243164,0.0001,0.39826613664627075,19
24.001317977905273,114,5987,21,688128,799.56,8.654954671859741,0.01953125,0.3,0.5433340057730675,-0.0017957450705580412,0.1358993500471115,0.3,0.004748536,0.8048804402351379,0.0001,1.027062177658081,20
23.22179412841797,120,5985,22,720896,779.05,8.651701582802666,0.026041666666666668,0.3,0.5553736148609055,0.0026559036664871704,0.13592448830604553,0.3,0.007320339,0.7824260592460632,0.0001,0.45163238048553467,21
24.43773651123047,125,5982,23,753664,811.51,8.650738447904587,0.02734375,0.3,0.5380182145163417,0.0034678907541092485,0.13592389225959778,0.3,0.007486506,0.8245092034339905,0.0001,0.6953118443489075,22
24.704490661621094,131,5982,24,786432,814.09,8.649426803588867,0.0121875,0.3,0.5141355073451996,-0.0011141717154532671,0.13594625890254974,0.3,0.00487658,0.8129832148551941,0.0001,0.48186683654785156,23
24.778059005737305,136,5980,25,819200,811.47,8.64721045955535,0.020161290322580645,0.3,0.47608390835023695,0.0009178168651077055,0.13596731424331665,0.3,0.0063517783,0.8300967812538147,0.0001,0.44414663314819336,24
