train/action_std_10,train/action_std_24,train/action_std_04,train/action_std_18,rollout/episodes_left,train/action_std_14,train/action_std_08,rollout/episodes_noforce,time/iterations,time/time_elapsed,rollout/recovery_fwd,train/action_std_03,train/action_std_15,rollout/force_onset_mean,train/action_std_02,rollout/force_direction_mean,rollout/is_fall_mean,rollout/force_requested_impulse_mean,train/action_std_09,train/action_std_20,train/action_std_21,train/action_std_16,rollout/recovery_noforce,train/action_std_00,rollout/episodes_fwd,time/fps,rollout/action_saturation_fraction,train/action_std_23,time/total_timesteps,train/action_std_22,train/std_min,train/action_std_19,train/action_std_06,train/action_std_11,train/action_std_07,rollout/recovery_right,train/action_std_17,train/action_std_12,rollout/recovery_left,rollout/episodes_right,train/std_max,rollout/is_timeout_mean,rollout/ep_len_mean,train/action_std_01,train/action_std_13,train/action_std_05,rollout/ep_rew_mean,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/clip_fraction,rollout/episodes_back,rollout/timeout_without_onset_fraction,train/loss,train/value_loss,rollout/recovery_back,rollout/timeouts,rollout/episodes_up,train/entropy_loss,rollout/recovery_up,train/learning_rate,rollout/episodes_down,train/clip_range_vf,train/std,rollout/recovery_down
0.06966498494148254,0.07134207338094711,0.06933474540710449,0.06980252265930176,22,0.06984469294548035,0.07075809687376022,1,1,22,0.0,0.07104150950908661,0.07044991850852966,1.3920540540540551,0.07076199352741241,2.135135135135135,1.0,1.6617567569527127,0.0709521472454071,0.06985167413949966,0.06983865052461624,0.07091144472360611,0.0,0.0700322836637497,2,5851,0.0,0.07127172499895096,131072,0.07018375396728516,0.06859532743692398,0.07174679636955261,0.07119496166706085,0.07110799849033356,0.07080021500587463,0.0,0.0718613788485527,0.07142754644155502,0.0,12,0.0718613788485527,0.0,316.35135135135135,0.07129916548728943,0.06859532743692398,0.07033946365118027,209.7967071533203,,,,,,,,,,,,,,,,,,,,
0.06971126794815063,0.07152637094259262,0.06942305713891983,0.06992089003324509,45,0.06996141374111176,0.07089318335056305,37,2,48,0.8387096774193549,0.0711888000369072,0.07061003148555756,1.4086991150442487,0.07089930772781372,1.8097345132743363,0.1902654867256637,1.1453049836643767,0.07110271602869034,0.07004792988300323,0.06998636573553085,0.07109799981117249,1.0,0.07008398324251175,31,5367,0.0,0.0713966116309166,262144,0.07032717019319534,0.06867185980081558,0.07190784066915512,0.07132907956838608,0.07134025543928146,0.07092098146677017,0.5142857142857142,0.07204083353281021,0.0715891495347023,0.5777777777777777,35,0.07204083353281021,0.8097345132743363,1000.0,0.07152817398309708,0.06867185980081558,0.07050647586584091,698.1994018554688,1700,0.0020416412,-0.002951506157114636,0.1,0.7842584252357483,0.10001602172851562,27,0.0,0.46081531047821045,0.19351404923363588,0.9629629629629629,183,31,30.777028171718122,0.967741935483871,1e-05,20,0.2,0.07072047144174576,1.0
0.06984034925699234,0.07154137641191483,0.0695352852344513,0.07011159509420395,14,0.07007306814193726,0.07113621383905411,1,3,74,0.5714285714285714,0.07137356698513031,0.07077061384916306,1.3930461538461547,0.07106207311153412,2.3076923076923075,0.5384615384615384,1.493587131755555,0.07125062495470047,0.07025899738073349,0.07013429701328278,0.07121185213327408,1.0,0.0702468529343605,7,5251,0.0,0.07157889008522034,393216,0.07055623084306717,0.068785659968853,0.07210200279951096,0.07147904485464096,0.07156366109848022,0.07094109058380127,0.32142857142857145,0.07216297090053558,0.07182525843381882,0.07142857142857142,28,0.07216297090053558,0.46153846153846156,803.71,0.0718085914850235,0.068785659968853,0.07060055434703827,555.611572265625,1710,0.0022155815,-0.002893339162983466,0.1,0.7859808206558228,0.10423507690429687,8,0.0,0.5158306956291199,0.20174780989764257,1.0,30,4,30.723414166271688,1.0,1e-05,3,0.2,0.07087802141904831,1.0
0.07003854960203171,0.07163979113101959,0.06967251002788544,0.0702529028058052,30,0.07017426937818527,0.07135351747274399,32,4,101,0.9629629629629629,0.07157355546951294,0.07102324813604355,1.3999519230769242,0.07132992893457413,2.0961538461538463,0.15865384615384615,1.0883057268404153,0.07132624089717865,0.07045893371105194,0.07026989012956619,0.0713106095790863,1.0,0.07042160630226135,27,5164,0.0,0.07176532596349716,524288,0.07074100524187088,0.06892111152410507,0.07232185453176498,0.07165031880140305,0.07185015827417374,0.07104938477277756,0.5882352941176471,0.07231920212507248,0.07201896607875824,0.4666666666666667,34,0.07232185453176498,0.8413461538461539,983.02,0.07189357280731201,0.06892111152410507,0.0707792416214943,694.48681640625,1720,0.0023143936,-0.003223488186176837,0.1,0.7674051523208618,0.11226425170898438,25,0.0,0.487843781709671,0.20093252583174034,0.96,175,19,30.665651988983154,0.9473684210526315,1e-05,41,0.2,0.07104622572660446,1.0
0.07026712596416473,0.07189294695854187,0.06976190954446793,0.07027477771043777,16,0.07028719037771225,0.07153346389532089,10,5,127,0.7647058823529411,0.07172861695289612,0.07114167511463165,1.4120493827160503,0.07145944982767105,1.8641975308641976,0.345679012345679,1.2131218116020284,0.07153022289276123,0.0706273689866066,0.07047052681446075,0.07145338505506516,1.0,0.07047958672046661,17,5123,0.0,0.07198628038167953,655360,0.07086890190839767,0.06913667172193527,0.07249286770820618,0.07181482017040253,0.0719917044043541,0.07121200859546661,0.2,0.07241736352443695,0.07220251858234406,0.3125,15,0.07249286770820618,0.654320987654321,817.84,0.07204988598823547,0.06913667172193527,0.07088334858417511,571.43408203125,1730,0.0022572596,-0.0028962273549950623,0.1,0.8074815273284912,0.10831451416015625,6,0.0,0.45542773604393005,0.1732555692025926,0.8333333333333334,53,7,30.609907042980193,1.0,1e-05,10,0.2,0.07119858264923096,1.0
0.07044713199138641,0.07209399342536926,0.06996912509202957,0.0705738291144371,34,0.0704164132475853,0.07168596237897873,42,6,154,0.9130434782608695,0.07190962135791779,0.07133178412914276,1.40931937172775,0.07165275514125824,1.712041884816754,0.17801047120418848,1.0429634442767428,0.07171302288770676,0.07072030007839203,0.07067182660102844,0.07162442803382874,1.0,0.07063698768615723,23,5084,0.0,0.07216047495603561,786432,0.0710892528295517,0.06932254135608673,0.072781041264534,0.07196428626775742,0.07210326939821243,0.07132644206285477,0.6129032258064516,0.07256428897380829,0.0723709836602211,0.4117647058823529,31,0.072781041264534,0.8219895287958116,985.91,0.07234738767147064,0.06932254135608673,0.07098688930273056,695.8301391601562,1740,0.0021767095,-0.0030653844345579274,0.1,0.8050474524497986,0.10460205078125,18,0.0,0.44198077917099,0.1538036007026676,1.0,157,25,30.551123723387718,1.0,1e-05,18,0.2,0.07137855887413025,1.0
0.07061368227005005,0.0724208652973175,0.07012294232845306,0.07066275924444199,25,0.07059190422296524,0.07179097831249237,13,7,181,0.7142857142857143,0.07206050306558609,0.07141468673944473,1.400680851063831,0.07181940227746964,2.127659574468085,0.26595744680851063,1.1375576622332528,0.07187040895223618,0.07086040824651718,0.07071473449468613,0.07173586636781693,1.0,0.07072542607784271,7,5064,0.0,0.07231567054986954,917504,0.07121660560369492,0.06943447887897491,0.07291454821825027,0.07217786461114883,0.07228705286979675,0.07156573981046677,0.5454545454545454,0.07283686101436615,0.07252497225999832,0.52,22,0.07291454821825027,0.7340425531914894,867.2,0.07244215905666351,0.06943447887897491,0.07104233652353287,609.2324829101562,1750,0.0023108963,-0.002829787592236244,0.1,0.8364517092704773,0.11183547973632812,7,0.0,0.4692179560661316,0.15734798531630076,1.0,69,10,30.49442456662655,0.9,1e-05,10,0.2,0.07152651995420456,1.0
0.07075166702270508,0.0725727304816246,0.0703708603978157,0.07076609134674072,30,0.0707189217209816,0.07202504575252533,30,8,208,0.9130434782608695,0.07225431501865387,0.07154902070760727,1.4170813953488384,0.07200600206851959,1.8372093023255813,0.11627906976744186,1.0537528789621282,0.07196901738643646,0.07096933573484421,0.07089067250490189,0.07189463824033737,1.0,0.0709238201379776,23,5040,0.0,0.07246275246143341,1048576,0.07132916152477264,0.06948614865541458,0.07305629551410675,0.07227392494678497,0.07245226204395294,0.07174888253211975,0.6,0.07302811741828918,0.07266228646039963,0.7,20,0.07305629551410675,0.8837209302325582,987.06,0.07255706936120987,0.06948614865541458,0.07130031287670135,687.6935424804688,1760,0.0023149473,-0.0027933188996030365,0.1,0.8015143871307373,0.11388626098632812,23,0.0,0.4707949161529541,0.1619246454210952,1.0,152,27,30.44121059924364,0.9629629629629629,1e-05,19,0.2,0.07168077677488327,1.0
0.07099003344774246,0.0727773979306221,0.07048659026622772,0.07089158147573471,34,0.07088859379291534,0.07216818630695343,17,9,234,0.8333333333333334,0.07241588085889816,0.07173698395490646,1.4039338842975218,0.07209359854459763,1.7355371900826446,0.33884297520661155,1.2110459032501528,0.07197286188602448,0.07113905251026154,0.07097803056240082,0.07210590690374374,0.8823529411764706,0.0710672065615654,12,5029,0.0,0.07256481796503067,1179648,0.07149090617895126,0.06959149241447449,0.07323719561100006,0.07234113663434982,0.07264108955860138,0.07189609855413437,0.5652173913043478,0.07304584980010986,0.07282888144254684,0.20588235294117646,23,0.07323719561100006,0.6611570247933884,833.87,0.0727224051952362,0.06959149241447449,0.0714382752776146,582.7944946289062,1770,0.002239854,-0.0029467437107996374,0.1,0.7982597351074219,0.11035308837890626,20,0.0,0.45211803913116455,0.1625105119892396,1.0,80,5,30.390341441333295,1.0,1e-05,10,0.2,0.07182040065526962,1.0
0.07113109529018402,0.07284367084503174,0.07068531960248947,0.0710156112909317,38,0.07102228701114655,0.07229568809270859,24,10,261,0.9090909090909091,0.07273246347904205,0.07191117107868195,1.3931515151515161,0.07219182699918747,2.012121212121212,0.2,1.1450852090593664,0.07216360419988632,0.07130192965269089,0.07109298557043076,0.07215777039527893,1.0,0.07122862339019775,22,5013,0.0,0.0726662427186966,1310720,0.07171910256147385,0.06977507472038269,0.0734601616859436,0.0725216343998909,0.07279721647500992,0.07209526747465134,0.5806451612903226,0.07331424206495285,0.0729852095246315,0.5526315789473685,31,0.0734601616859436,0.8,937.47,0.07292214781045914,0.06977507472038269,0.07157547771930695,657.7103271484375,1780,0.0024277505,-0.0029930315677120234,0.1,0.825384259223938,0.12210769653320312,9,0.0,0.4849604368209839,0.2122582805226557,1.0,132,27,30.33730486780405,0.9629629629629629,1e-05,14,0.2,0.07198423147201538,1.0
