time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_fraction,train/clip_range,train/approx_kl,train/std,train/value_loss,train/explained_variance,train/clip_range_vf,train/entropy_loss,train/learning_rate
131072,1,8,15548,338.9,10.35316276550293,,,,,,,,,,,,
262144,2,20,13099,927.37,35.889617919921875,-0.0001412254061506246,4600,0.49055832624435425,0.0,0.1,1.1363205e-05,0.2080630362033844,0.3208651465945877,0.9271389842033386,0.2,3.627535484172404,1e-07
393216,3,30,12698,627.43,22.93243408203125,-0.00012569919499583193,4610,0.9102009534835815,0.0,0.1,1.3205437e-05,0.2080889195203781,0.5870188719127327,0.8248116970062256,0.2,3.6246298206970096,1e-07
524288,4,42,12467,745.91,28.347759246826172,-0.00012725287060675328,4620,0.6703939437866211,0.0,0.1,1.50135165e-05,0.2081163376569748,0.5641097128391266,0.865367591381073,0.2,3.621556282415986,1e-07
655360,5,53,12258,586.69,21.597606658935547,-0.00013372293433349113,4630,0.7965899705886841,0.0,0.1,1.4342731e-05,0.2081432193517685,0.5612474658992141,0.8430740833282471,0.2,3.6184436053037645,1e-07
786432,6,64,12127,576.91,20.116300582885742,-0.00014789548722546897,4640,0.728434681892395,0.0,0.1,2.461109e-05,0.20816880464553833,0.6738111197249964,0.8351774215698242,0.2,3.615431529469788,1e-07
917504,7,75,12097,668.76,23.74831771850586,-0.0001293814353630296,4650,0.7864278554916382,0.0,0.1,1.1307878e-05,0.20819434523582458,0.55325481898617,0.8749148845672607,0.2,3.612467038631439,1e-07
1048576,8,87,12029,588.6,19.650014877319336,-0.00012509521138781565,4660,0.7215762734413147,0.0,0.1,1.2823806e-05,0.20822076499462128,0.5570764049189165,0.8649477362632751,0.2,3.6094717502593996,1e-07
1179648,9,98,11930,624.08,21.697233200073242,-0.0001228476009600854,4670,0.7541159987449646,0.0,0.1,1.0210542e-05,0.20824682712554932,0.5354768020799383,0.8808463215827942,0.2,3.6064482424408197,1e-07
