rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/learning_rate,train/entropy_loss,train/std,train/loss,train/clip_range_vf,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/approx_kl
296.0,10.725642204284668,30,131072,4249,1,,,,,,,,,,,,
1000.0,43.681636810302734,80,262144,3264,2,3470,5e-06,-5.2078937597572805,0.30120840668678284,-0.16565436124801636,0.2,0.10293431952013635,-0.002543453119596961,0.5277814865112305,0.1,0.05244522094726563,0.0016513387
993.66,43.36192321777344,129,393216,3039,3,3480,5e-06,-5.310775387659669,0.3025607764720917,0.7865035533905029,0.2,0.9531603840645403,-0.0019003460145086137,0.24259591102600098,0.1,0.04708404541015625,0.0016851755
1000.0,42.40085983276367,179,524288,2915,4,3490,5e-06,-5.416726840659976,0.3038790225982666,-0.07966668903827667,0.2,0.19052045822609215,-0.0023569815100017875,0.5212340354919434,0.1,0.053018951416015626,0.0017037585
995.19,42.25472640991211,229,655360,2860,5,3500,5e-06,-5.522710975632071,0.3052436113357544,0.7933254241943359,0.2,0.93173508211039,-0.002340525426552631,0.5757075548171997,0.1,0.0513946533203125,0.0017266874
1000.0,42.726341247558594,280,786432,2804,6,3510,5e-06,-5.630842022970318,0.3066146671772003,-0.16269589960575104,0.2,0.13518691762001253,-0.0031421572431099775,0.6700592041015625,0.1,0.0756439208984375,0.0019829667
987.52,42.258392333984375,330,917504,2777,7,3520,5e-06,-5.739493548870087,0.3080286383628845,0.7461287975311279,0.2,1.0019315738696606,-0.002443114114976197,0.6000322103500366,0.1,0.053607940673828125,0.0018091358
1000.0,43.201961517333984,381,1048576,2746,8,3530,5e-06,-5.848745397105813,0.309417724609375,-0.12433470785617828,0.2,0.13792737080948428,-0.002581560831549723,0.5747079849243164,0.1,0.06297454833984376,0.0018203317
929.32,39.755638122558594,432,1179648,2728,9,3540,5e-06,-5.959535204991698,0.310889333486557,0.9380494356155396,0.2,1.1434430041350425,-0.002122806066972771,0.3944888114929199,0.1,0.050283050537109374,0.0017435906
994.11,42.4219856262207,483,1310720,2711,10,3550,5e-06,-6.067163959890604,0.31221482157707214,-0.03593394160270691,0.2,0.2630982777802274,-0.0026210652284134996,0.7682579159736633,0.1,0.05419158935546875,0.0017111966
849.57,35.480587005615234,534,1441792,2697,11,3560,5e-06,-6.174207362160087,0.31367215514183044,0.9179145097732544,0.2,1.141030268324539,-0.0021861429943783152,0.3835631012916565,0.1,0.04777450561523437,0.0017617189
995.37,41.662025451660156,585,1572864,2685,12,3570,5e-06,-6.28340362906456,0.31506291031837463,0.05505982041358948,0.2,0.37014399096369743,-0.002523248023180713,0.7897062301635742,0.1,0.049725341796875,0.0017179938
708.88,28.365812301635742,637,1703936,2672,13,3580,5e-06,-6.392313844710588,0.31652259826660156,0.7602924704551697,0.2,0.855005927477032,-0.0021243444478386666,0.681241512298584,0.1,0.05737380981445313,0.0018944247
793.33,31.272706985473633,689,1835008,2661,14,3590,5e-06,-6.500862334296107,0.31793853640556335,0.30060645937919617,0.2,0.6144226226955652,-0.0025267699442565574,0.7795562744140625,0.1,0.05213623046875,0.0017721369
621.71,23.989702224731445,741,1966080,2653,15,3600,5e-06,-6.609610864520073,0.3193979859352112,0.3847091794013977,0.2,0.7723750229924917,-0.0024198489249556586,0.8059648871421814,0.1,0.05005035400390625,0.0017477972
729.05,28.426528930664062,792,2097152,2646,16,3610,5e-06,-6.717555324360728,0.32081326842308044,0.16844317317008972,0.2,0.5315006216987967,-0.0023920439572975736,0.8699975609779358,0.1,0.0491546630859375,0.0016896732
711.26,27.542648315429688,844,2228224,2639,17,3620,5e-06,-6.825350459292531,0.32227185368537903,0.21245425939559937,0.2,0.6329566604224965,-0.0021960643247439294,0.8528437614440918,0.1,0.043413543701171876,0.0016045022
731.03,28.656761169433594,896,2359296,2631,18,3630,5e-06,-6.935997522994876,0.32378068566322327,0.07330164313316345,0.2,0.48685141222085804,-0.002504325982658884,0.8626479506492615,0.1,0.04642791748046875,0.0016877928
691.45,26.376089096069336,948,2490368,2625,19,3640,5e-06,-7.0452373620122675,0.32522645592689514,0.140099436044693,0.2,0.5977781130932271,-0.002476757828026166,0.8864071369171143,0.1,0.047857666015625,0.0017332179
620.75,23.412099838256836,1000,2621440,2619,20,3650,5e-06,-7.150889887288213,0.3266483247280121,0.2978357672691345,0.2,0.6172021023230627,-0.0023787559550328295,0.8629919290542603,0.1,0.043280029296875,0.0016602967
536.04,20.316009521484375,1053,2752512,2613,21,3660,5e-06,-7.256865950673818,0.32810547947883606,0.1466314196586609,0.2,0.6246508843731136,-0.002488666235376513,0.8832253217697144,0.1,0.047693634033203126,0.0017229281
550.23,20.9465274810791,1105,2883584,2609,22,3670,5e-06,-7.365660539269447,0.3296186625957489,0.17500638961791992,0.2,0.6049878131365404,-0.0025500831930457936,0.8939558863639832,0.1,0.046282958984375,0.0016616144
574.7,21.807884216308594,1157,3014656,2604,23,3680,5e-06,-7.475132090970874,0.331113338470459,0.1973487138748169,0.2,0.5915592227131128,-0.0024249740167761047,0.8949510455131531,0.1,0.044515228271484374,0.0016659378
545.73,20.495126724243164,1209,3145728,2600,24,3690,5e-06,-7.5834852933883665,0.33261069655418396,0.10622808337211609,0.2,0.6424377223011106,-0.0024382594321650684,0.8799835443496704,0.1,0.045721435546875,0.001675166
576.2,21.70541763305664,1262,3276800,2595,25,3700,5e-06,-7.692653154954314,0.33413466811180115,0.2640684247016907,0.2,0.6195100672077387,-0.0021259177840875056,0.89030921459198,0.1,0.04073410034179688,0.0016128346
495.03,18.45464515686035,1314,3407872,2592,26,3710,5e-06,-7.8008884023875,0.33563411235809326,0.23609846830368042,0.2,0.6685444506118075,-0.0021090742093747396,0.8912367820739746,0.1,0.0428009033203125,0.0016189583
509.66,18.933467864990234,1366,3538944,2590,27,3720,5e-06,-7.909480929002166,0.33716490864753723,0.1369711458683014,0.2,0.6815818614326418,-0.002456827152172991,0.8859621286392212,0.1,0.047602081298828126,0.0017166637
523.96,19.38483238220215,1417,3670016,2588,28,3730,5e-06,-8.017945428565145,0.33867931365966797,0.13958558440208435,0.2,0.6480938469525427,-0.0025124667571617466,0.8923367261886597,0.1,0.049771881103515624,0.0017094146
549.19,20.55536460876465,1468,3801088,2588,29,3740,5e-06,-8.124871026724577,0.34018704295158386,0.15105724334716797,0.2,0.6021983309881762,-0.002239094214110082,0.897832453250885,0.1,0.04425506591796875,0.0016329227
559.12,21.041976928710938,1519,3932160,2587,30,3750,5e-06,-8.232278244197369,0.3417206108570099,0.2716115117073059,0.2,0.595381399593316,-0.0026735053039601553,0.8873838186264038,0.1,0.0535400390625,0.0017561654
508.16,18.943309783935547,1571,4063232,2586,31,3760,5e-06,-8.34117923527956,0.3432823717594147,0.14644533395767212,0.2,0.6032468290068209,-0.0024470187353472284,0.8914188146591187,0.1,0.04787750244140625,0.0017019559
504.12,18.76630210876465,1622,4194304,2585,32,3770,5e-06,-8.447998604923487,0.34478700160980225,0.18653535842895508,0.2,0.62799114480149,-0.002366189790291173,0.8918543457984924,0.1,0.04646987915039062,0.0016794021
543.86,19.92770767211914,1673,4325376,2584,33,3780,5e-06,-8.554913572967052,0.346345454454422,0.19847846031188965,0.2,0.5956661745905876,-0.0023761194996041015,0.8927294015884399,0.1,0.04580230712890625,0.0016813627
564.49,21.19620132446289,1724,4456448,2583,34,3790,5e-06,-8.664197742938995,0.34793898463249207,0.16494810581207275,0.2,0.5533958488376811,-0.0026027011249880163,0.8976890444755554,0.1,0.0468780517578125,0.0017099606
536.83,20.21314239501953,1776,4587520,2582,35,3800,5e-06,-8.77112651988864,0.34945639967918396,0.11972498893737793,0.2,0.5457001943606883,-0.0024527504510842846,0.899360179901123,0.1,0.04847640991210937,0.0017048845
614.74,23.241065979003906,1827,4718592,2582,36,3810,5e-06,-8.87682685032487,0.35101327300071716,0.010973185300827026,0.2,0.5272842810954899,-0.0023858248843680483,0.8991276621818542,0.1,0.0460968017578125,0.0016556389
623.64,23.489046096801758,1877,4849664,2582,37,3820,5e-06,-8.98285637050867,0.3525611460208893,0.060416609048843384,0.2,0.5448867604834959,-0.0025138679416386368,0.8880624771118164,0.1,0.04843215942382813,0.0016862287
632.33,24.198625564575195,1928,4980736,2582,38,3830,5e-06,-9.090443318337202,0.35416916012763977,0.05735141038894653,0.2,0.5443540026899427,-0.0024226020378591783,0.8796865940093994,0.1,0.044765472412109375,0.0016377692
582.22,21.816987991333008,1979,5111808,2582,39,3840,5e-06,-9.198832991719247,0.35576167702674866,0.10909664630889893,0.2,0.5698341945419088,-0.0022011314149494865,0.8801483511924744,0.1,0.04357223510742188,0.0016289335
588.02,21.970909118652344,2030,5242880,2582,40,3850,5e-06,-9.306231291592121,0.3573559522628784,0.07833936810493469,0.2,0.5544088159687817,-0.0023764774521623623,0.8898699283599854,0.1,0.04445037841796875,0.0016470908
574.59,21.49380874633789,2081,5373952,2581,41,3860,5e-06,-9.41406186670065,0.3589700162410736,0.18691644072532654,0.2,0.5970185766695068,-0.0023031442079627595,0.8860245943069458,0.1,0.046099853515625,0.001667425
501.17,18.994342803955078,2132,5505024,2581,42,3870,5e-06,-9.523422212153672,0.3606248199939728,0.20288324356079102,0.2,0.623217330663465,-0.002267090682471462,0.8889338970184326,0.1,0.0431884765625,0.0016755363
543.44,20.490882873535156,2183,5636096,2581,43,3880,5e-06,-9.63301587626338,0.3622717559337616,0.07278323173522949,0.2,0.6139588361606002,-0.002403718445702907,0.8924171924591064,0.1,0.0480743408203125,0.0017015026
523.49,19.71673011779785,2233,5767168,2581,44,3890,5e-06,-9.741632132977248,0.3639014959335327,0.056867361068725586,0.2,0.5777489443076774,-0.0022575913701530226,0.9027708768844604,0.1,0.047228240966796876,0.0016730251
513.57,19.182401657104492,2284,5898240,2581,45,3900,5e-06,-9.850010664016008,0.36555662751197815,0.10885748267173767,0.2,0.609336749301292,-0.0022629319842963013,0.8947871923446655,0.1,0.04476852416992187,0.001665952
541.03,20.346555709838867,2335,6029312,2582,46,3910,5e-06,-9.957590795308352,0.36719051003456116,0.060205042362213135,0.2,0.5845573195954785,-0.0023566033200040693,0.8960849046707153,0.1,0.0457489013671875,0.0016668689
523.16,19.475078582763672,2385,6160384,2582,47,3920,5e-06,-10.064786911010742,0.36882564425468445,0.044788360595703125,0.2,0.5878349129576236,-0.0025057413278318564,0.8985615968704224,0.1,0.048612213134765624,0.001725327
525.57,19.403644561767578,2436,6291456,2582,48,3930,5e-06,-10.172666109353305,0.3705073893070221,0.0861557126045227,0.2,0.6224962495733053,-0.0022903106782905525,0.8892609477043152,0.1,0.043019866943359374,0.0016653576
502.29,18.636808395385742,2487,6422528,2582,49,3940,5e-06,-10.280629328638316,0.37216436862945557,-0.05273348093032837,0.2,0.6285402927082032,-0.0021083525530229963,0.8878556489944458,0.1,0.04011993408203125,0.0016127768
503.8,18.507795333862305,2538,6553600,2582,50,3950,5e-06,-10.387716817110777,0.3738269805908203,0.12724244594573975,0.2,0.6014526337152347,-0.00220247728866525,0.8890094757080078,0.1,0.04451675415039062,0.001628255
526.36,19.42332649230957,2589,6684672,2581,51,3960,5e-06,-10.495922257751227,0.3755326271057129,0.08342009782791138,0.2,0.6455276352819055,-0.002230855191828596,0.8796560764312744,0.1,0.0415191650390625,0.0016299046
499.98,18.341825485229492,2640,6815744,2581,52,3970,5e-06,-10.604914081096648,0.3772370517253876,0.0011240243911743164,0.2,0.6217675992054865,-0.002150157946925901,0.8799675703048706,0.1,0.040743255615234376,0.0016369112
509.9,18.5028018951416,2690,6946816,2581,53,3980,5e-06,-10.713845270127058,0.3789597749710083,0.10212475061416626,0.2,0.6240480955457315,-0.0022473382310636224,0.8775776624679565,0.1,0.04222946166992188,0.0016373531
515.1,18.527992248535156,2741,7077888,2581,54,3990,5e-06,-10.822367806732654,0.3806619942188263,-0.07067149877548218,0.2,0.5982026780257002,-0.002287999910504368,0.8863467574119568,0.1,0.043169403076171876,0.0016544486
