time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/entropy_loss,train/clip_fraction,train/clip_range_vf,train/explained_variance,train/value_loss,train/approx_kl,train/std,train/n_updates,train/policy_gradient_loss,train/loss
6205,164.03,32768,1,5,8.005267143249512,,,,,,,,,,,,
5795,170.96,65536,2,11,6.830829620361328,0.1,1e-05,37.91629083156586,0.154852294921875,0.2,-0.1080089807510376,2.73328606300056,0.003202308,0.04990769550204277,10,-0.006569780530116987,4.254188060760498
5817,167.97,98304,3,16,6.6079206466674805,0.1,1e-05,37.85979820489884,0.1440673828125,0.2,0.018683016300201416,0.9825766013935209,0.0029803491,0.05002176761627197,20,-0.0077280189652810805,2.841294288635254
5756,160.6,131072,4,22,6.423936367034912,0.1,1e-05,37.80378910303116,0.1476165771484375,0.2,0.26960569620132446,0.8412998596206307,0.0031803218,0.050141483545303345,30,-0.007631587177456822,2.695702075958252
5877,171.17,163840,5,27,6.871791839599609,0.1,1e-05,37.74669058322907,0.1476654052734375,0.2,0.39377206563949585,0.7978309575468302,0.0031339135,0.050260029733181,40,-0.0074295407939644065,2.6226022243499756
6008,159.52,196608,6,32,6.378958225250244,0.1,1e-05,37.68940197229385,0.141156005859375,0.2,0.49225789308547974,0.727886581979692,0.0029402326,0.050381794571876526,50,-0.007335616946511437,2.5529260635375977
