time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/value_loss,train/std,train/n_updates,train/learning_rate,train/adaptive_lr,train/loss,train/clip_range_vf,train/clip_range
38,1,424.4736842105263,131072,37.62744140625,3445,,,,,,,,,,,,,
98,2,721.41,262144,42.571571350097656,2656,-0.0013245129207462014,0.11577224731445312,-0.051818013191223145,39.50279589295387,0.002296523,2.7692015269771217,0.04987217113375664,10,1e-05,1.5000000000000002e-05,3.6303842067718506,0.2,0.1
162,3,550.87,393216,22.136587142944336,2416,-0.0024054678784523275,0.14416427612304689,-0.22413218021392822,39.44515419602394,0.0028442033,1.0806770518887787,0.05000205338001251,20,1.5000000000000002e-05,2.2500000000000005e-05,1.451442837715149,0.2,0.1
227,4,478.54,524288,19.347755432128906,2302,-0.0008584181337027985,0.17830734252929686,-0.051479220390319824,39.36853149831295,0.0034908494,0.9067372399382293,0.05015437677502632,30,2.2500000000000005e-05,3.375000000000001e-05,1.2891852855682373,0.2,0.1
293,5,482.87,655360,18.817569732666016,2233,0.0008022289444852504,0.25019989013671873,0.18360596895217896,39.28922475874424,0.0051223543,0.800263663334772,0.05030421167612076,40,3.375000000000001e-05,3.375000000000001e-05,1.183480143547058,0.2,0.1
358,6,541.02,786432,21.18886947631836,2194,0.0009888386462080234,0.23520050048828126,0.30774664878845215,39.20896690785885,0.004973364,0.7490845324005931,0.050466932356357574,50,3.375000000000001e-05,5e-05,1.1204774379730225,0.2,0.1
424,7,466.88,917504,18.374162673950195,2159,0.00412024043225756,0.31643524169921877,0.4682481288909912,39.127045929431915,0.0070325965,0.5948539154604078,0.05062301456928253,60,5e-05,5e-05,0.9901527762413025,0.2,0.1
490,8,563.75,1048576,21.844030380249023,2139,0.003610572664092615,0.3057281494140625,0.555072009563446,39.04773920476437,0.0067676683,0.5925031828228384,0.050782542675733566,70,5e-05,5e-05,0.9792647957801819,0.2,0.1
556,9,572.41,1179648,22.378211975097656,2120,0.003704673748916321,0.30064849853515624,0.6120878458023071,38.971427449584006,0.006508592,0.5626425550784916,0.050939276814460754,80,5e-05,5e-05,0.9387789964675903,0.2,0.1
621,10,531.07,1310720,20.7867431640625,2107,0.0035237529227288176,0.3060821533203125,0.6782605648040771,38.89573425650597,0.0066169733,0.49907899140380324,0.0510881133377552,90,5e-05,5e-05,0.8743002414703369,0.2,0.1
688,11,531.14,1441792,20.773704528808594,2092,0.003328238563517516,0.30523529052734377,0.7147939801216125,38.82217942774296,0.006730186,0.47054112625774,0.05124381184577942,100,5e-05,5e-05,0.8475472927093506,0.2,0.1
756,12,502.37,1572864,19.642818450927734,2079,0.0033743946579306793,0.30449371337890624,0.7715482115745544,38.74705889225006,0.006831563,0.42982470474671575,0.051391616463661194,110,5e-05,5e-05,0.8173712491989136,0.2,0.1
