time/fps,train/action_std_19,rollout/force_onset_mean,train/action_std_05,time/iterations,train/action_std_14,train/action_std_06,train/action_std_11,train/action_std_15,train/action_std_18,rollout/episodes_left,train/action_std_23,train/action_std_08,train/action_std_09,train/action_std_03,train/action_std_00,train/action_std_22,train/action_std_20,rollout/recovery_left,rollout/is_fall_mean,rollout/is_timeout_mean,rollout/ep_len_mean,train/action_std_16,train/action_std_21,rollout/action_saturation_fraction,time/total_timesteps,rollout/recovery_fwd,train/action_std_12,train/action_std_04,train/std_max,train/action_std_17,train/action_std_02,train/std_min,time/time_elapsed,rollout/force_requested_impulse_mean,rollout/force_direction_mean,rollout/episodes_fwd,rollout/ep_rew_mean,train/action_std_01,train/action_std_07,train/action_std_10,train/action_std_24,train/action_std_13,train/clip_range_vf,train/n_updates,rollout/episodes_down,rollout/timeouts,rollout/timeout_without_onset_fraction,train/clip_range,rollout/recovery_right,rollout/episodes_up,rollout/recovery_noforce,train/learning_rate,rollout/episodes_back,rollout/recovery_back,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,rollout/recovery_up,rollout/episodes_noforce,train/std,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,rollout/episodes_right,rollout/recovery_down
5868,0.09096547961235046,1.3290000000000008,0.08914025127887726,1,0.0882166400551796,0.09076288342475891,0.09134966135025024,0.09032973647117615,0.08815278857946396,3,0.0900103896856308,0.09002682566642761,0.09080807864665985,0.09125185757875443,0.08820841461420059,0.08928269147872925,0.08996237069368362,0.0,1.0,0.0,225.25,0.08975659310817719,0.08898065239191055,0.0,131072,0.0,0.09137305617332458,0.08769518882036209,0.09168760478496552,0.09168760478496552,0.08883100003004074,0.08674445748329163,22,1.806206925776051,1.5,1,138.42617797851562,0.09163190424442291,0.08856526017189026,0.08803611248731613,0.0915672779083252,0.08674445748329163,,,,,,,,,,,,,,,,,,,,,,,,
5344,0.09121407568454742,1.417968253968255,0.08936971426010132,2,0.0884234607219696,0.09085842221975327,0.09156389534473419,0.09056244045495987,0.08841334283351898,33,0.09035683423280716,0.09027524292469025,0.09110251814126968,0.0914352759718895,0.0882096141576767,0.08945058286190033,0.09014531970024109,0.7272727272727273,0.05952380952380952,0.9404761904761905,1000.0,0.08999177813529968,0.0890987291932106,0.0,262144,1.0,0.09169571846723557,0.08785780519247055,0.09194967150688171,0.09194967150688171,0.08900445699691772,0.08690592646598816,49,1.0715509576204116,1.8531746031746033,27,714.8519287109375,0.09179157018661499,0.08873991668224335,0.08821024745702744,0.09179174154996872,0.08690592646598816,0.2,2770,23,237,0.0,0.1,0.8571428571428571,49,1.0,1e-05,35,1.0,0.11252365112304688,0.0022854963,-0.0029817289412676475,0.9795918367346939,50,0.08993673324584961,24.771786664426326,0.34510111808776855,0.7945982217788696,0.06802119209751253,35,1.0
5248,0.09135569632053375,1.447750000000001,0.08959824591875076,3,0.08865796774625778,0.09099658578634262,0.09177651256322861,0.09077989310026169,0.08866158872842789,2,0.09069667011499405,0.09049578756093979,0.09138817340135574,0.09168445318937302,0.08838033676147461,0.08961381763219833,0.09037894755601883,0.0,0.5,0.5,973.49,0.09015467017889023,0.08928952366113663,0.0,393216,,0.09180110692977905,0.08807310461997986,0.0922175943851471,0.0922175943851471,0.08920115232467651,0.08716896921396255,74,1.2835045956825644,2.375,,696.1857299804688,0.09191249310970306,0.08892998844385147,0.08841001242399216,0.09208716452121735,0.08716896921396255,0.2,2780,1,4,0.0,0.1,0.5,1,1.0,1e-05,1,1.0,0.10706710815429688,0.0023409529,-0.0036492506666036205,0.0,1,0.09014841169118881,24.714937479794024,0.3283360004425049,0.8830586671829224,0.07398140888253693,2,1.0
5146,0.09146082401275635,1.4063870967741947,0.08996211737394333,4,0.08870434015989304,0.09111112356185913,0.09203338623046875,0.09099578112363815,0.0888078436255455,39,0.09081417322158813,0.09071725606918335,0.0916472002863884,0.09184108674526215,0.0885615423321724,0.08988583832979202,0.09066905826330185,0.8974358974358975,0.036290322580645164,0.9637096774193549,1000.0,0.09044869989156723,0.08943501859903336,0.0,524288,0.96,0.09207390248775482,0.08821188658475876,0.0924893319606781,0.09242679178714752,0.08952270448207855,0.08734381943941116,101,1.0551195259171824,1.9758064516129032,25,711.0953369140625,0.09215854108333588,0.08913931250572205,0.08870228379964828,0.0924893319606781,0.08734381943941116,0.2,2790,34,239,0.0,0.1,0.8947368421052632,36,1.0,1e-05,30,1.0,0.10993576049804688,0.0022867322,-0.002958170796955528,1.0,46,0.09036654978990555,24.6545302093029,0.3026954233646393,0.7325072288513184,0.07971660041657742,38,1.0
5120,0.091666579246521,1.367304347826088,0.09010221809148788,5,0.08887316286563873,0.09119990468025208,0.09233706444501877,0.0911870077252388,0.0890309065580368,7,0.09101728349924088,0.09087856858968735,0.09190162271261215,0.0920814573764801,0.08866354823112488,0.09002760052680969,0.09079059958457947,0.14285714285714285,0.4782608695652174,0.5217391304347826,928.32,0.09058842062950134,0.08946670591831207,0.0,655360,1.0,0.09212583303451538,0.08834907412528992,0.09275423735380173,0.09263315051794052,0.08975143730640411,0.08750394731760025,127,1.2469354907027685,2.347826086956522,1,658.7647094726562,0.09234219044446945,0.08936521410942078,0.0889829695224762,0.09275423735380173,0.08750394731760025,0.2,2800,3,12,0.0,0.1,0.2857142857142857,1,1.0,1e-05,2,1.0,0.1064422607421875,0.0021814744,-0.0031621677901966906,1.0,2,0.09054481983184814,24.60059015005827,0.3261706233024597,0.8454949855804443,0.041711192768707404,7,1.0
5069,0.0918671041727066,1.4182403433476407,0.09031345695257187,6,0.08921206742525101,0.09140495210886002,0.092559814453125,0.09134149551391602,0.08933530747890472,33,0.09120660275220871,0.0911807268857956,0.09209781140089035,0.09223116934299469,0.08888810127973557,0.09023481607437134,0.09096871316432953,0.9393939393939394,0.03862660944206009,0.9613733905579399,1000.0,0.09066244214773178,0.08968519419431686,0.0,786432,1.0,0.09217970818281174,0.08860430121421814,0.09301921725273132,0.09289401769638062,0.08997762203216553,0.087713822722435,155,1.0400281764041297,2.0085836909871246,21,715.915771484375,0.09251546859741211,0.08961424976587296,0.08934629708528519,0.09301921725273132,0.087713822722435,0.2,2810,29,224,0.0,0.1,0.8108108108108109,41,1.0,1e-05,27,1.0,0.1180419921875,0.0024078228,-0.003100242934306152,1.0,45,0.0907621756196022,24.545428243279456,0.3572707176208496,0.834715723991394,0.08658356243686285,37,1.0
5054,0.09215786308050156,1.3924000000000012,0.09051600098609924,7,0.0895039364695549,0.09164027124643326,0.09286327660083771,0.09150057286024094,0.08961296826601028,5,0.09131109714508057,0.09130322188138962,0.09234967827796936,0.0926320031285286,0.08916832506656647,0.09051412343978882,0.09123643487691879,0.2,0.22857142857142856,0.7714285714285715,950.33,0.09089196473360062,0.08982513844966888,0.0,917504,1.0,0.09237563610076904,0.08885078877210617,0.09334483742713928,0.09315861761569977,0.09029150009155273,0.08780279010534286,181,1.111774938089116,1.8857142857142857,3,676.5474243164062,0.09266924858093262,0.08978289365768433,0.08962944149971008,0.09334483742713928,0.08780279010534286,0.2,2820,5,27,0.0,0.1,0.42857142857142855,3,1.0,1e-05,5,1.0,0.1126678466796875,0.0024007577,-0.003302459257974988,1.0,7,0.09099730104207993,24.48346033245325,0.27419084310531616,0.8165841102600098,0.07028186595707667,7,1.0
5023,0.09234566986560822,1.4155446428571439,0.09074413776397705,8,0.08970704674720764,0.09186480194330215,0.09318757802248001,0.09169933199882507,0.0897522047162056,31,0.09152016043663025,0.09155678004026413,0.09258006513118744,0.0929039865732193,0.08926387131214142,0.09075696766376495,0.09151829779148102,0.9354838709677419,0.03125,0.96875,1000.0,0.091175377368927,0.09006120264530182,0.0,1048576,0.9512195121951219,0.09258576482534409,0.08906572312116623,0.0935947448015213,0.09337882697582245,0.09055422991514206,0.08799821883440018,208,0.9946507875688576,1.5669642857142858,41,716.6558837890625,0.0929027646780014,0.08993324637413025,0.08979473263025284,0.0935947448015213,0.08799821883440018,0.2,2830,28,217,0.0,0.1,0.8421052631578947,27,1.0,1e-05,31,1.0,0.11621551513671875,0.0023587444,-0.003283310251572402,1.0,47,0.09121783077716827,24.421005798876287,0.30872291326522827,0.7753962278366089,0.07863471426971955,19,1.0
5017,0.09258151054382324,1.435050000000001,0.09092621505260468,9,0.08992818742990494,0.09207648783922195,0.09333299845457077,0.09182634949684143,0.09001895040273666,7,0.09180137515068054,0.0918046161532402,0.09287917613983154,0.09310883283615112,0.0895981416106224,0.09098983556032181,0.09169989824295044,0.42857142857142855,0.175,0.825,962.86,0.09135323017835617,0.09027806669473648,0.0,1179648,1.0,0.09287525713443756,0.08929071575403214,0.09384605288505554,0.09367296099662781,0.09078822284936905,0.08823946118354797,235,1.0651452070149632,1.9,7,688.05859375,0.09312767535448074,0.09020745754241943,0.09011609852313995,0.09384605288505554,0.08823946118354797,0.2,2840,6,33,0.0,0.1,0.7,2,1.0,1e-05,1,1.0,0.11509552001953124,0.002353256,-0.003351702480449603,1.0,7,0.09145471453666687,24.3582680657506,0.28434547781944275,0.8301131129264832,0.052145075125736184,10,1.0
4993,0.09284119307994843,1.4194930875576046,0.09114342927932739,10,0.09020186215639114,0.09233686327934265,0.0935809463262558,0.09212471544742584,0.09019889682531357,24,0.09199494868516922,0.09201917052268982,0.09319256246089935,0.09333740174770355,0.08982580900192261,0.09117596596479416,0.09193573147058487,0.9166666666666666,0.02304147465437788,0.9769585253456221,1000.0,0.09155036509037018,0.09037993103265762,0.0,1310720,0.9666666666666667,0.09315921366214752,0.08945544809103012,0.09415680915117264,0.09380535781383514,0.09105995297431946,0.08844631165266037,262,1.052277452123,1.8894009216589862,30,715.640869140625,0.09330900758504868,0.09043873846530914,0.09031487256288528,0.09415680915117264,0.08844631165266037,0.2,2850,32,212,0.0,0.1,0.9230769230769231,31,1.0,1e-05,37,1.0,0.11010055541992188,0.0023170412,-0.003348792579618021,1.0,37,0.0916794165968895,24.294767738878726,0.33366793394088745,0.8015232682228088,0.06528428668825655,26,1.0
