time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/clip_range,train/learning_rate,train/explained_variance,train/loss,train/std,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range_vf,train/approx_kl,train/value_loss
1,165.84,6.995419979095459,11,131072,11438,,,,,,,,,,,,
2,164.76,6.437391757965088,25,262144,10205,0.1,1e-05,-0.08056437969207764,5.087651252746582,0.05020170658826828,10,37.83982905745506,-0.001132962535120896,0.15002593994140626,0.2,0.0035000714,2.7414370813407003
3,144.78,5.6340250968933105,40,393216,9797,0.1,1e-05,0.014068782329559326,2.6788101196289062,0.0505828782916069,20,37.64718324244022,-0.0015266499295648827,0.136260986328125,0.2,0.003153278,0.8471535825636238
4,167.34,6.536585807800293,54,524288,9594,0.1,1e-05,0.09003448486328125,2.6440887451171875,0.05097556114196777,30,37.461925727128985,-0.001449404019240319,0.1370452880859375,0.2,0.0032168846,0.7901491358410567
5,161.87,6.32075309753418,69,655360,9486,0.1,1e-05,0.18788737058639526,2.557934284210205,0.05137715861201286,40,37.27401422560215,-0.0014141437922262413,0.13882064819335938,0.2,0.003204824,0.7422979118302464
6,151.01,5.941705703735352,83,786432,9446,0.1,1e-05,0.24635577201843262,2.5468156337738037,0.05178765207529068,50,37.08373793661595,-0.0014556323388205783,0.13877410888671876,0.2,0.0031930334,0.7051936623640358
7,166.53,6.393991470336914,97,917504,9405,0.1,1e-05,0.3396143913269043,2.5350608825683594,0.05219864845275879,60,36.8935479670763,-0.001389282759919297,0.14059219360351563,0.2,0.0032849512,0.6684601549524813
8,160.58,6.289918899536133,112,1048576,9351,0.1,1e-05,0.3713703155517578,2.489823341369629,0.05261840671300888,70,36.70230640172959,-0.001454112622559478,0.14002532958984376,0.2,0.0032092226,0.6700017204042524
9,156.71,6.226980209350586,126,1179648,9343,0.1,1e-05,0.4230765104293823,2.4834351539611816,0.05304183065891266,80,36.510144713521,-0.001469321577133087,0.13739852905273436,0.2,0.0032135136,0.6636839935090393
10,155.48,6.138178825378418,140,1310720,9343,0.1,1e-05,0.4679417014122009,2.465501308441162,0.053464412689208984,90,36.31876181066036,-0.001444895446911687,0.13459014892578125,0.2,0.0031780107,0.6667644273489713
11,155.53,6.185614585876465,154,1441792,9324,0.1,1e-05,0.521949052810669,2.4937591552734375,0.05389409884810448,100,36.127072530984876,-0.0016453318102321647,0.13682174682617188,0.2,0.003169992,0.6530751589685678
12,165.26,6.389803409576416,169,1572864,9294,0.1,1e-05,0.561278223991394,2.387037992477417,0.054326146841049194,110,35.9353198736906,-0.0014748951783985832,0.13600311279296876,0.2,0.0031778482,0.6468495756387711
13,156.19,6.134418964385986,183,1703936,9296,0.1,1e-05,0.591854453086853,2.3526859283447266,0.05476871877908707,120,35.74202527105808,-0.001772185315076058,0.13682327270507813,0.2,0.003165563,0.6363775953184814
14,170.28,6.707988262176514,198,1835008,9259,0.1,1e-05,0.6173890233039856,2.3884682655334473,0.05519932508468628,130,35.55149790048599,-0.001414504036983999,0.131939697265625,0.2,0.0030907649,0.6445216048974544
15,163.82,6.3600311279296875,212,1966080,9259,0.1,1e-05,0.6342251300811768,2.3796744346618652,0.055642180144786835,140,35.361215469241145,-0.0013784509243123465,0.1288726806640625,0.2,0.003090823,0.6343585735652596
16,171.74,6.779783248901367,226,2097152,9261,0.1,1e-05,0.6590137481689453,2.366488456726074,0.05609890818595886,150,35.16710999310017,-0.0017159298731712624,0.13072509765625,0.2,0.0030753443,0.6112764382734894
17,163.57,6.322265148162842,240,2228224,9270,0.1,1e-05,0.6723539233207703,2.3485727310180664,0.05654311180114746,160,34.97517930567265,-0.0012890052596048918,0.12626571655273439,0.2,0.0029642715,0.6067331586498768
18,155.8,5.939845085144043,254,2359296,9279,0.1,1e-05,0.6824154257774353,2.298865795135498,0.05698167532682419,170,34.78765005767345,-0.0016209912560952943,0.13045196533203124,0.2,0.0030647048,0.596675273310393
19,159.15,6.207195281982422,268,2490368,9283,0.1,1e-05,0.697128176689148,2.290675163269043,0.05744786188006401,180,34.59628752171993,-0.001762784683614882,0.12838897705078126,0.2,0.0030752225,0.5796435963595286
20,158.26,6.312476634979248,282,2621440,9286,0.1,1e-05,0.6961736679077148,2.3164093494415283,0.05789792537689209,190,34.40585767030716,-0.0014284095465882274,0.12298202514648438,0.2,0.0029237266,0.5991296945139766
21,175.32,6.840546131134033,296,2752512,9274,0.1,1e-05,0.7180052995681763,2.251854181289673,0.058354269713163376,200,34.217684626579285,-0.0014964872794735128,0.12199020385742188,0.2,0.00293817,0.567042485694401
