rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/std,train/loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/clip_range_vf,train/value_loss
25.970603942871094,956.4,1,7069,18,131072,,,,,,,,,,,,
17.799734115600586,868.24,2,7064,37,262144,8.715368679591588,1,0.3,0.003888497847531523,-1.3353118896484375,0.13535736501216888,0.8407798409461975,0.032589285714285716,0.0001,0.00829213,0.3,0.9559977735791888
12.656108856201172,836.33,3,7177,54,393216,8.710982721905376,2,0.3,-0.0004681648123402928,-0.4555532932281494,0.13541102409362793,0.5300256013870239,0.021984011627906978,0.0001,0.0060001467,0.3,0.5492007559122041
10.986435890197754,795.63,4,7249,72,524288,8.70561368841874,3,0.3,0.0011557645262464096,0.2555187940597534,0.13545387983322144,0.3223245441913605,0.01069078947368421,0.0001,0.004810903,0.3,0.3367199850709815
10.56053352355957,784.8,5,7287,89,655360,8.699765572181114,4,0.3,-0.0002371426791143723,0.5779634118080139,0.1355016976594925,0.24940231442451477,0.029246794871794872,0.0001,0.0070733866,0.3,0.2515133802707379
8.579651832580566,722.06,6,7321,107,786432,8.694766208103724,5,0.3,-0.0007164426414029938,0.6961445808410645,0.13553759455680847,0.2881219983100891,0.021651785714285714,0.0001,0.0061871614,0.3,0.21694414360182626
11.050276756286621,751.59,7,7337,125,917504,8.692756123012966,6,0.3,0.0014106051582429143,0.76967453956604,0.13556376099586487,0.23517072200775146,0.02829861111111111,0.0001,0.007452706,0.3,0.2004627032412423
12.433126449584961,720.17,8,7357,142,1048576,8.688177866094252,7,0.3,-0.00395994633436203,0.7991997003555298,0.13560396432876587,0.27368831634521484,0.025275735294117647,0.0001,0.0067172283,0.3,0.2110944307025741
15.642951965332031,771.62,9,7379,159,1179648,8.685955377725454,8,0.3,-0.0008323446919138615,0.8136381506919861,0.1356073021888733,0.2722342312335968,0.021634615384615384,0.0001,0.00593295,0.3,0.25302604413949525
16.292573928833008,759.23,10,7400,177,1310720,8.684299537113734,9,0.3,-0.0017168443300761282,0.8152146935462952,0.13564029335975647,0.312311053276062,0.018415178571428572,0.0001,0.005911153,0.3,0.26847604821835247
18.44999885559082,770.0,11,7411,194,1441792,8.682860897433374,10,0.3,-0.0018934028358348915,0.7827882170677185,0.13563896715641022,0.32697346806526184,0.015120967741935484,0.0001,0.005051053,0.3,0.31909277746754305
19.37854766845703,776.42,12,7420,211,1572864,8.68074631690979,11,0.3,-0.0037140125641599298,0.7898802757263184,0.1356624960899353,0.4067278504371643,0.0185546875,0.0001,0.005609252,0.3,0.35940829167763394
19.235801696777344,741.24,13,7427,229,1703936,8.678978248878762,12,0.3,-0.0011605239921697863,0.7827897071838379,0.13567501306533813,0.48698651790618896,0.022858796296296297,0.0001,0.0062918495,0.3,0.4310169716676076
20.1638126373291,806.88,14,7434,246,1835008,8.677590413527055,13,0.3,-0.003070388857105916,0.7526686191558838,0.13568539917469025,0.5149677991867065,0.016335227272727272,0.0001,0.0050280388,0.3,0.4493043625896627
22.170520782470703,824.24,15,7439,264,1966080,8.676605081558227,14,0.3,-0.002207649918273091,0.780617356300354,0.13569742441177368,0.5134326219558716,0.01875,0.0001,0.0054197167,0.3,0.47274928241968156
21.571086883544922,795.26,16,7440,281,2097152,8.674423967088972,15,0.3,0.0013253548116024052,0.767195463180542,0.13572129607200623,0.4591987133026123,0.023995535714285716,0.0001,0.0067994082,0.3,0.4756309666803905
23.563247680664062,856.28,17,7440,299,2228224,8.672989580366346,16,0.3,-0.0001761940721836355,0.7858075499534607,0.1357261687517166,0.5687793493270874,0.020833333333333332,0.0001,0.0057094656,0.3,0.4593801663981544
23.677288055419922,884.2,18,7429,317,2359296,8.671520025833793,17,0.3,0.0021360302951348863,0.7691436409950256,0.13574819266796112,0.6454601883888245,0.018342391304347828,0.0001,0.0052783843,0.3,0.5008616693641829
24.24217987060547,886.34,19,7418,335,2490368,8.668504883261289,18,0.3,0.005166238721679239,0.8076473474502563,0.13576647639274597,0.47364044189453125,0.03262867647058824,0.0001,0.007845522,0.3,0.46100904222796946
24.95859146118164,870.2,20,7405,353,2621440,8.669202058211617,19,0.3,0.0013203268222834754,0.7606821060180664,0.13575054705142975,0.39531436562538147,0.021059782608695652,0.0001,0.005704692,0.3,0.4721560802148736
25.253110885620117,905.46,21,7399,371,2752512,8.669682820638021,20,0.3,-0.004072364057517714,0.7475451231002808,0.13575772941112518,0.4436708390712738,0.021267361111111112,0.0001,0.005482761,0.3,0.44902555810080635
26.364574432373047,915.5,22,7396,389,2883584,8.667995395082416,21,0.3,0.002111051217511748,0.796029269695282,0.13577724993228912,0.6520012021064758,0.028409090909090908,0.0001,0.0076677953,0.3,0.4176683579430436
26.82773208618164,912.84,23,7397,407,3014656,8.66768205165863,22,0.3,-0.0007921346987131983,0.7453311681747437,0.13576644659042358,0.5342991948127747,0.02880859375,0.0001,0.007218693,0.3,0.4497831705957651
26.816268920898438,905.93,24,7399,425,3145728,8.667370748519897,23,0.3,-0.0011908315354958177,0.7379697561264038,0.13578367233276367,0.44289958477020264,0.01640625,0.0001,0.004809023,0.3,0.49188377559185026
27.20232391357422,912.67,25,7402,442,3276800,8.665830314159393,24,0.3,0.0024019747143029235,0.7419387102127075,0.13579870760440826,0.5040466785430908,0.027099609375,0.0001,0.006647431,0.3,0.46753006242215633
