train/action_std_19,train/action_std_17,train/action_std_22,train/action_std_16,train/action_std_03,rollout/recovery_noforce,train/action_std_00,train/action_std_20,rollout/episodes_noforce,train/action_std_01,train/action_std_05,train/action_std_13,time/iterations,rollout/ep_rew_mean,train/action_std_04,train/action_std_08,train/action_std_07,train/action_std_14,train/action_std_24,rollout/is_timeout_mean,train/std_min,train/action_std_06,time/time_elapsed,train/std_max,train/action_std_11,train/action_std_15,rollout/is_fall_mean,time/total_timesteps,train/action_std_18,rollout/force_onset_mean,train/action_std_23,train/action_std_12,rollout/force_requested_impulse_mean,rollout/force_direction_mean,rollout/action_saturation_fraction,rollout/ep_len_mean,train/action_std_09,train/action_std_10,train/action_std_21,train/action_std_02,time/fps,train/n_updates,rollout/timeouts,train/clip_fraction,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/clip_range_vf,rollout/timeout_without_onset_fraction,train/loss,train/approx_kl,train/entropy_loss,train/std,train/explained_variance
0.0699029192328453,0.07054408639669418,0.06987537443637848,0.07097891718149185,0.07158220559358597,0.0,0.0692969262599945,0.06949443370103836,2,0.06988092511892319,0.0706467255949974,0.07003813236951828,1,282.2633972167969,0.0700094923377037,0.06989851593971252,0.07028690725564957,0.06970163434743881,0.07065623998641968,0.0,0.0689530149102211,0.0706852525472641,24,0.07158220559358597,0.06972704827785492,0.0699203833937645,1.0,131072,0.0689530149102211,1.5140000000000011,0.07054299861192703,0.07091368734836578,0.0,-1.0,0.0,407.0,0.07097292691469193,0.07002116739749908,0.06978746503591537,0.06935752928256989,5311,,,,,,,,,,,,,,
0.06990973651409149,0.07055170834064484,0.06989968568086624,0.07098788768053055,0.0716109499335289,0.9724409448818898,0.06930030137300491,0.06951380521059036,254,0.06990756839513779,0.0706719234585762,0.07004456967115402,2,703.3970947265625,0.07002891600131989,0.06992312520742416,0.07031327486038208,0.06972993910312653,0.07067373394966125,0.9724409448818898,0.06897951662540436,0.07068756967782974,54,0.0716109499335289,0.06975158303976059,0.0699412077665329,0.027559055118110236,262144,0.06897951662540436,1.4313228346456703,0.07055730372667313,0.07093358039855957,0.0,-1.0,0.0,1000.0,0.07099736481904984,0.0700431540608406,0.06981194764375687,0.06937357038259506,4816,2310,247,0.026433563232421874,0.05867416130786296,1e-06,-0.002419688615373161,0.1,0.2,0.0,0.37793076038360596,0.001269299,30.953234754502773,0.07016575336456299,0.8256044983863831
0.069926418364048,0.07058027386665344,0.06992563605308533,0.07101068645715714,0.07163673639297485,0.4,0.06931893527507782,0.06953071057796478,5,0.06991993635892868,0.07068667560815811,0.07006044685840607,3,688.3875732421875,0.07004088908433914,0.06994915008544922,0.07033747434616089,0.06974737346172333,0.07068203389644623,0.4,0.06899203360080719,0.07070111483335495,83,0.07163673639297485,0.06975635886192322,0.06996337324380875,0.6,393216,0.06899203360080719,1.409600000000001,0.07058035582304001,0.07093273103237152,0.0,-1.0,0.0,978.23,0.07102008908987045,0.07006192952394485,0.06983541697263718,0.06939538568258286,4717,2320,2,0.031640625,0.08882397231063806,1e-06,-0.0024642534926897497,0.1,0.2,0.0,0.37565797567367554,0.0013640418,30.946727335453033,0.07018368691205978,0.8129925727844238
0.06994888186454773,0.0705994963645935,0.06993573904037476,0.07103019207715988,0.07165983319282532,0.9681274900398407,0.06933439522981644,0.06954397261142731,251,0.06994161754846573,0.07069689780473709,0.07007181644439697,4,704.467041015625,0.07005240768194199,0.06998310983181,0.07034508138895035,0.06976635754108429,0.07070811092853546,0.9681274900398407,0.06899639219045639,0.07071126997470856,113,0.07165983319282532,0.06978417187929153,0.06998710334300995,0.03187250996015936,524288,0.06899639219045639,1.4249402390438257,0.07060500979423523,0.07095717638731003,0.0,-1.0,0.0,1000.0,0.07104306668043137,0.07007595896720886,0.06985541433095932,0.06940750032663345,4613,2330,243,0.0310699462890625,0.05868653593643103,1e-06,-0.0022763274767385157,0.1,0.2,0.0,0.3552001118659973,0.001347905,30.940286660194396,0.07020163536071777,0.80280601978302
0.06995528936386108,0.07061903923749924,0.06996814906597137,0.07104717940092087,0.07168860733509064,0.45454545454545453,0.0693412721157074,0.0695488452911377,11,0.06996390968561172,0.07073229551315308,0.07008690387010574,5,680.8973999023438,0.07006655633449554,0.06999984383583069,0.07036788016557693,0.06977450102567673,0.07074379175901413,0.45454545454545453,0.06901776045560837,0.07072857767343521,142,0.07168860733509064,0.06980863213539124,0.07000841200351715,0.5454545454545454,655360,0.06901776045560837,1.5038181818181828,0.07062141597270966,0.07096902281045914,0.0,-1.0,0.0,965.3,0.07106681913137436,0.07009828835725784,0.06986979395151138,0.06941115111112595,4583,2340,5,0.0280853271484375,0.09271148042753338,1e-06,-0.002318573792854295,0.1,0.2,0.0,0.43198272585868835,0.0013470775,30.933834098279476,0.07022015750408173,0.8493491411209106
0.06997250020503998,0.07064197212457657,0.06999335438013077,0.07107825577259064,0.07170677930116653,0.983739837398374,0.06934163719415665,0.06956417113542557,246,0.06997662037611008,0.07076116651296616,0.07010107487440109,6,707.3616943359375,0.07008183002471924,0.07001705467700958,0.07038574665784836,0.06978432089090347,0.07075943052768707,0.983739837398374,0.06902561336755753,0.07073798775672913,173,0.07170677930116653,0.06983425468206406,0.0700220838189125,0.016260162601626018,786432,0.06902561336755753,1.422430894308944,0.07063911110162735,0.07098903506994247,0.0,-1.0,0.0,1000.0,0.07107546180486679,0.07010619342327118,0.06987599283456802,0.06942873448133469,4533,2350,242,0.030987548828125,0.08989485545462231,1e-06,-0.0023452351545529384,0.1,0.2,0.0,0.44699734449386597,0.0013170182,30.92773644030094,0.07023601233959198,0.770506739616394
0.06998815387487411,0.07066015154123306,0.07001792639493942,0.07109172642230988,0.07172955572605133,0.9166666666666666,0.06935122609138489,0.06957518309354782,12,0.06998948752880096,0.07078919559717178,0.07012046873569489,7,703.6738891601562,0.07010284811258316,0.0700295940041542,0.07039860635995865,0.06981224566698074,0.07077717781066895,0.9166666666666666,0.06903240084648132,0.07076513767242432,203,0.07172955572605133,0.06986003369092941,0.07004724442958832,0.08333333333333333,917504,0.06903240084648132,1.424000000000001,0.07065369933843613,0.07100729644298553,0.0,-1.0,0.0,994.58,0.07110589742660522,0.07012486457824707,0.06990103423595428,0.0694575086236,4517,2360,11,0.029462432861328124,0.06503044050914468,1e-06,-0.002600092960801703,0.1,0.2,0.0,0.3392964005470276,0.0013261612,30.921427050232886,0.07025554776191711,0.803472638130188
0.0699995830655098,0.07068392634391785,0.07002882659435272,0.07110710442066193,0.07175228744745255,0.9795081967213115,0.06936127692461014,0.06958883255720139,244,0.07001173496246338,0.07081490755081177,0.07014817744493484,8,705.2747802734375,0.07012183219194412,0.07005017250776291,0.07042640447616577,0.06982887536287308,0.0708029568195343,0.9795081967213115,0.06905423849821091,0.07079267501831055,233,0.07175228744745255,0.06988193839788437,0.07005754858255386,0.020491803278688523,1048576,0.06905423849821091,1.4218934426229517,0.07066058367490768,0.07102755457162857,0.0,-1.0,0.0,1000.0,0.07112883776426315,0.07012923061847687,0.06991499662399292,0.06947824358940125,4481,2370,239,0.030875396728515626,0.051882942012161946,1e-06,-0.00227281918787412,0.1,0.2,0.0,0.36501333117485046,0.0013412165,30.9145781442523,0.07027410715818405,0.762678861618042
0.07002034783363342,0.07070298492908478,0.07002879679203033,0.07111809402704239,0.07177720218896866,0.8235294117647058,0.06936796009540558,0.06961341202259064,17,0.0700269266963005,0.07084061950445175,0.07016674429178238,9,692.8148193359375,0.07014922797679901,0.07006986439228058,0.07045445591211319,0.06985023617744446,0.07082513719797134,0.8235294117647058,0.06906653940677643,0.07081213593482971,263,0.07177720218896866,0.06989408284425735,0.07007107138633728,0.17647058823529413,1179648,0.06906653940677643,1.436470588235295,0.07067499309778214,0.07104308158159256,0.0,-1.0,0.0,983.41,0.07114847004413605,0.0701514184474945,0.06993032246828079,0.06949789077043533,4472,2380,14,0.0305816650390625,0.049723187084600794,1e-06,-0.0024434530500911933,0.1,0.2,0.0,0.3663007318973541,0.0013277526,30.908124709129332,0.07029207795858383,0.868061900138855
0.0700429230928421,0.07072144746780396,0.07005403935909271,0.07114473730325699,0.07177762687206268,0.9748953974895398,0.069383904337883,0.0696195513010025,239,0.07004846632480621,0.07086222618818283,0.07019925117492676,10,706.0828247070312,0.07016568630933762,0.07008019089698792,0.07045821100473404,0.06987335532903671,0.07084878534078598,0.9748953974895398,0.06908414512872696,0.0708334669470787,295,0.07177762687206268,0.06991986930370331,0.07008535414934158,0.02510460251046025,1310720,0.06908414512872696,1.4261338912133905,0.07069285959005356,0.07105522602796555,0.0,-1.0,0.0,1000.0,0.07116298377513885,0.07016553729772568,0.06993725895881653,0.06951088458299637,4440,2390,233,0.02825469970703125,0.07768461732048308,1e-06,-0.0023066720428687403,0.1,0.2,0.0,0.39860665798187256,0.0013190934,30.901918770372866,0.070309117436409,0.7665696740150452
