train/action_std_22,rollout/force_onset_mean,train/action_std_10,time/time_elapsed,train/action_std_05,rollout/episodes_noforce,train/action_std_07,train/action_std_03,train/action_std_16,train/action_std_08,train/action_std_13,rollout/force_requested_impulse_mean,train/action_std_06,train/action_std_09,rollout/recovery_noforce,train/std_max,train/action_std_20,train/action_std_14,rollout/action_saturation_fraction,time/iterations,time/fps,train/action_std_02,train/action_std_21,rollout/ep_rew_mean,train/action_std_01,train/action_std_23,rollout/force_direction_mean,rollout/is_fall_mean,train/std_min,train/action_std_15,train/action_std_24,rollout/is_timeout_mean,train/action_std_12,train/action_std_00,train/action_std_04,train/action_std_18,train/action_std_17,train/action_std_19,train/action_std_11,rollout/ep_len_mean,time/total_timesteps,train/loss,train/learning_rate,train/clip_fraction,train/clip_range_vf,train/std,train/value_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl
0.0711565762758255,1.4395667311412004,0.07150007784366608,23,0.07220128923654556,517,0.07168803364038467,0.07306970655918121,0.07228698581457138,0.0713871642947197,0.07133106887340546,0.0,0.07200703024864197,0.07244773954153061,0.0,0.07306970655918121,0.07080148160457611,0.07118961215019226,0.0,1,5568,0.07091910392045975,0.07116883993148804,139.17652893066406,0.07140941172838211,0.07203009724617004,-1.0,1.0,0.07021524012088776,0.07138694077730179,0.07221079617738724,0.0,0.0723932608962059,0.07058914750814438,0.07148910313844681,0.07021524012088776,0.07202810794115067,0.07138814777135849,0.07115757465362549,211.91,131072,,,,,,,,,,,,
0.0712864100933075,1.4345855161787378,0.07165592163801193,51,0.07236114889383316,649,0.07182333618402481,0.07327062636613846,0.07245314121246338,0.07158338278532028,0.07147817313671112,0.0,0.07212621718645096,0.07260739058256149,0.0,0.07327062636613846,0.07092694938182831,0.0713208019733429,0.0,2,5122,0.07101529091596603,0.07131300866603851,138.68438720703125,0.07157941162586212,0.0721995010972023,-1.0,1.0,0.07042570412158966,0.07151518017053604,0.07238151133060455,0.0,0.0725090503692627,0.070806123316288,0.0716252252459526,0.07042570412158966,0.07218600809574127,0.07157527655363083,0.07137730717658997,208.15,262144,6.979979038238525,1e-05,0.10072097778320313,0.2,0.07173608243465424,6.815758489817381,3080,30.421451127529146,0.6349490880966187,0.1,-0.005109860727316118,0.0022044764
0.0714745968580246,1.4479492868462767,0.07177463173866272,79,0.07254212349653244,631,0.07200157642364502,0.07342135906219482,0.07260371744632721,0.07176238298416138,0.071556456387043,0.0,0.07234614342451096,0.0727463960647583,0.0,0.07342135906219482,0.07109358161687851,0.071357361972332,0.0,3,4974,0.07117561250925064,0.07139596343040466,136.22964477539062,0.07169955223798752,0.07243310660123825,-1.0,1.0,0.0704437717795372,0.0716637670993805,0.07259885966777802,0.0,0.07270468771457672,0.07092798501253128,0.07178270816802979,0.0704437717795372,0.07227228581905365,0.07170231640338898,0.07153632491827011,201.59,393216,7.574697971343994,1e-05,0.1018890380859375,0.2,0.07188069075345993,7.200815527886152,3090,30.369119772315024,0.6504976153373718,0.1,-0.0050471741105866386,0.002282272
0.07160673290491104,1.4461444270015709,0.07193495333194733,106,0.0726708248257637,637,0.07208885252475739,0.07351069897413254,0.07266644388437271,0.07187632471323013,0.07172521948814392,0.0,0.07249433547258377,0.07284729927778244,0.0,0.07351069897413254,0.07126008719205856,0.07149520516395569,0.0,4,4902,0.07134708762168884,0.07153327763080597,139.05345153808594,0.0718497484922409,0.07252232730388641,-1.0,1.0,0.07056427747011185,0.07178685814142227,0.07277226448059082,0.0,0.07283174246549606,0.07109745591878891,0.07198585569858551,0.07056427747011185,0.07242356240749359,0.07181604206562042,0.07174815237522125,204.37,524288,6.904224395751953,1e-05,0.10267868041992187,0.2,0.07201822847127914,6.431387305259705,3100,30.31999963670969,0.657307505607605,0.1,-0.004605559026094852,0.002269154
0.07175877690315247,1.459310872894335,0.07206267863512039,135,0.07280686497688293,653,0.07229042798280716,0.07369393110275269,0.07291875779628754,0.07209090143442154,0.071844182908535,0.0,0.07254169136285782,0.07295642048120499,0.0,0.07369393110275269,0.07139711827039719,0.0716838389635086,0.0,5,4852,0.07146383076906204,0.07167444378137589,136.51522827148438,0.07201600074768066,0.07259722054004669,-1.0,1.0,0.07067651301622391,0.07184573262929916,0.07292993366718292,0.0,0.0729375034570694,0.07123851031064987,0.07214374095201492,0.07067651301622391,0.07247631251811981,0.0719664990901947,0.07192540168762207,201.02,655360,6.058849811553955,1e-05,0.10431442260742188,0.2,0.07215748727321625,5.717461443319917,3110,30.271597041189672,0.6860746145248413,0.1,-0.0048307059347280305,0.0022726525
0.07190965861082077,1.4471149606299223,0.07217498123645782,163,0.07291875779628754,635,0.07250230759382248,0.07393275946378708,0.07298609614372253,0.07222353667020798,0.07202784717082977,0.0,0.0726996511220932,0.0730917900800705,0.0,0.07393275946378708,0.0715959295630455,0.07176345586776733,0.0,6,4815,0.07159857451915741,0.07182188332080841,136.7752685546875,0.07225126773118973,0.07276254892349243,-1.0,1.0,0.07082868367433548,0.07203107327222824,0.07313185930252075,0.0,0.07307673245668411,0.07130258530378342,0.07231151312589645,0.07082868367433548,0.0726080909371376,0.07208961248397827,0.07207955420017242,204.16,786432,5.971571922302246,1e-05,0.10172042846679688,0.2,0.07230882346630096,5.525671743229031,3120,30.220892748236658,0.6827937364578247,0.1,-0.004197366526932455,0.0022532
0.07214722782373428,1.451000000000001,0.07236922532320023,191,0.07302916795015335,644,0.07263140380382538,0.07407906651496887,0.07321798801422119,0.07246076315641403,0.07218731194734573,0.0,0.07283136248588562,0.07316862791776657,0.0,0.07407906651496887,0.07173041254281998,0.07191682606935501,0.0,7,4789,0.07175040990114212,0.0719098299741745,138.87660217285156,0.07231324166059494,0.07290685176849365,-1.0,1.0,0.07093459367752075,0.07214077562093735,0.07331668585538864,0.0,0.07316908240318298,0.07152688503265381,0.07243074476718903,0.07093459367752075,0.07272988557815552,0.07224161922931671,0.07225660979747772,209.73,917504,5.5181684494018555,1e-05,0.102105712890625,0.2,0.07245586812496185,4.983270878344774,3130,30.169109961390497,0.6906875371932983,0.1,-0.00419553236279171,0.00226588
0.072331003844738,1.4549655172413805,0.07253094017505646,219,0.07315180450677872,638,0.0727686733007431,0.0742228552699089,0.0733848586678505,0.07251931726932526,0.0722256526350975,0.0,0.07297856360673904,0.07333611696958542,0.0,0.0742228552699089,0.07180310040712357,0.0720306858420372,0.0,8,4767,0.07183751463890076,0.07203277945518494,137.0850372314453,0.07251973450183868,0.07315615564584732,-1.0,1.0,0.07105150073766708,0.0723097026348114,0.07353504002094269,0.0,0.0732620432972908,0.07173632830381393,0.07253088802099228,0.07105150073766708,0.07291273772716522,0.07239310443401337,0.0724186897277832,208.3,1048576,4.403711318969727,1e-05,0.1031036376953125,0.2,0.07259919494390488,4.578112841397524,3140,30.119553457200528,0.7041351795196533,0.1,-0.004146081345879793,0.002259736
0.0724511444568634,1.453112500000001,0.07273752987384796,248,0.07334566116333008,640,0.07294616103172302,0.0743517205119133,0.07348055392503738,0.07271219789981842,0.07236380875110626,0.0,0.07308606803417206,0.07349690049886703,0.0,0.0743517205119133,0.07192260026931763,0.07215889543294907,0.0,9,4748,0.07198531925678253,0.07215623557567596,136.78228759765625,0.07259079068899155,0.07331200689077377,-1.0,1.0,0.07111646234989166,0.0724174976348877,0.07372922450304031,0.0,0.07346955686807632,0.07184932380914688,0.07261869311332703,0.07111646234989166,0.07313874363899231,0.0725298821926117,0.0725928246974945,203.74,1179648,4.551989555358887,1e-05,0.10302276611328125,0.2,0.07274239510297775,4.229062065295875,3150,30.06985251009464,0.7134431600570679,0.1,-0.003911713118941407,0.002271947
0.07257842272520065,1.4523442879499229,0.07279938459396362,276,0.07349132746458054,639,0.07310403883457184,0.07441151887178421,0.07366538792848587,0.07285001873970032,0.07249974459409714,0.0,0.07324310392141342,0.07359804958105087,0.0,0.07441151887178421,0.07203613966703415,0.07227275520563126,0.0,10,4736,0.07221665233373642,0.0723361223936081,132.55239868164062,0.07279209792613983,0.07346776127815247,-1.0,1.0,0.0712772011756897,0.07254830002784729,0.0739162266254425,0.0,0.07361901551485062,0.07199250161647797,0.07270476222038269,0.0712772011756897,0.07319331169128418,0.0726689025759697,0.07265628129243851,192.61,1310720,4.1089887619018555,1e-05,0.10314865112304687,0.2,0.07287755608558655,3.8782327979803086,3160,30.02248490601778,0.7129892110824585,0.1,-0.0037186008057688014,0.0022416734
