rollout/episodes_fwd,time/time_elapsed,train/action_std_03,train/action_std_09,rollout/action_saturation_fraction,train/action_std_23,rollout/is_timeout_mean,rollout/is_fall_mean,train/action_std_05,train/action_std_10,train/action_std_17,train/action_std_21,rollout/force_requested_impulse_mean,train/action_std_01,train/std_max,time/total_timesteps,train/action_std_06,train/action_std_04,train/action_std_08,time/fps,train/action_std_18,train/action_std_16,rollout/recovery_right,rollout/episodes_right,rollout/recovery_fwd,rollout/recovery_up,time/iterations,train/action_std_15,train/action_std_00,train/action_std_07,train/std_min,train/action_std_24,rollout/episodes_left,rollout/recovery_left,rollout/ep_rew_mean,rollout/force_onset_mean,train/action_std_12,train/action_std_13,rollout/episodes_up,train/action_std_20,train/action_std_19,rollout/force_direction_mean,rollout/ep_len_mean,train/action_std_22,rollout/recovery_back,rollout/episodes_back,train/action_std_11,train/action_std_14,train/action_std_02,train/entropy_loss,train/n_updates,rollout/timeouts,train/policy_gradient_loss,train/clip_fraction,rollout/recovery_noforce,train/approx_kl,train/learning_rate,train/explained_variance,train/std,rollout/recovery_down,rollout/timeout_without_onset_fraction,rollout/episodes_down,train/clip_range_vf,train/clip_range,train/loss,rollout/episodes_noforce,train/value_loss
17,22,0.09125185757875443,0.09080807864665985,0.0,0.0900103896856308,0.0,1.0,0.08914025127887726,0.08803611248731613,0.09168760478496552,0.08898065239191055,2.4998563558868354,0.09163190424442291,0.09168760478496552,131072,0.09076288342475891,0.08769518882036209,0.09002682566642761,5853,0.08815278857946396,0.08975659310817719,0.0,35,0.0,0.0,1,0.09032973647117615,0.08820841461420059,0.08856526017189026,0.08674445748329163,0.0915672779083252,40,0.0,195.70419311523438,1.4057837837837848,0.09137305617332458,0.08674445748329163,17,0.08996237069368362,0.09096547961235046,2.2972972972972974,302.73,0.08928269147872925,0.0,2,0.09134966135025024,0.0882166400551796,0.08883100003004074,,,,,,,,,,,,,,,,,,
40,48,0.09125738590955734,0.09084207564592361,0.0,0.0900362953543663,0.3347457627118644,0.6652542372881356,0.08917225897312164,0.08804304152727127,0.09170610457658768,0.08900407701730728,2.151635229459612,0.09164699912071228,0.09170610457658768,262144,0.09079326689243317,0.08772484958171844,0.09005773812532425,5401,0.08818068355321884,0.08979139477014542,0.15789473684210525,57,0.3,0.35135135135135137,2,0.09035471081733704,0.08821015805006027,0.0885971337556839,0.08676475286483765,0.09159068763256073,54,0.14814814814814814,617.4441528320312,1.4227203389830516,0.09140277653932571,0.08676475286483765,37,0.08996810019016266,0.09098941832780838,1.9364406779661016,913.35,0.0893053412437439,0.5833333333333334,24,0.09139037877321243,0.0882268026471138,0.08885197341442108,24.799263636767865,2770,79,-0.0021765786151263455,0.02195281982421875,1.0,0.0012727361,1e-06,0.7845817804336548,0.08975633233785629,0.8,0.0,5,0.2,0.1,0.9222581386566162,19,0.8263046876061708
16,74,0.09128670394420624,0.09087636321783066,0.0,0.09004878997802734,0.2517482517482518,0.7482517482517482,0.08918565511703491,0.08806198090314865,0.09171025454998016,0.08902440965175629,2.1874251612900353,0.09168548882007599,0.09171025454998016,393216,0.09082552790641785,0.08776233345270157,0.09009723365306854,5264,0.08819495141506195,0.08981996029615402,0.02702702702702703,37,0.0625,0.17647058823529413,3,0.09038107097148895,0.08822164684534073,0.08861559629440308,0.08678939193487167,0.0916290208697319,40,0.1,432.0380859375,1.3979020979020989,0.09144733101129532,0.08678939193487167,17,0.09001051634550095,0.09102524816989899,2.06993006993007,643.19,0.08932720869779587,0.7058823529411765,17,0.09141905605792999,0.0882490947842598,0.0888722687959671,24.792374531924725,2780,36,-0.002217211819606746,0.023474884033203126,0.9,0.0012868029,1e-06,0.7979351282119751,0.08978267759084702,1.0,0.0,6,0.2,0.1,1.2471256256103516,10,0.9328029065858573
33,101,0.09132949262857437,0.0909070074558258,0.0,0.09006937593221664,0.47368421052631576,0.5263157894736842,0.0892113670706749,0.08808593451976776,0.09174129366874695,0.08904705941677094,2.0595034371250103,0.0917176902294159,0.09174129366874695,524288,0.0908505991101265,0.08777634799480438,0.09012918174266815,5179,0.08820649981498718,0.08986099809408188,0.41935483870967744,31,0.45454545454545453,0.26666666666666666,4,0.09039885550737381,0.08824615180492401,0.08862177282571793,0.08680430799722672,0.09165316820144653,43,0.16279069767441862,523.6114501953125,1.415492822966508,0.09147845208644867,0.08680430799722672,45,0.09003812074661255,0.0910460576415062,2.287081339712919,763.09,0.08934974670410156,0.6923076923076923,13,0.0914396345615387,0.08826389163732529,0.08889982104301453,24.78532734811306,2790,99,-0.0022385907524949287,0.022763824462890624,1.0,0.0013153874,1e-06,0.7669472694396973,0.08980690687894821,0.96,0.0,25,0.2,0.1,0.9022984504699707,19,0.7358044759836048
24,127,0.09134584665298462,0.0909225270152092,0.0,0.09010013937950134,0.3005464480874317,0.6994535519125683,0.08924008160829544,0.0880974680185318,0.09173531830310822,0.08907438814640045,2.22929269217734,0.09174837172031403,0.09174837172031403,655360,0.09087254852056503,0.08777175098657608,0.09014968574047089,5124,0.08821922540664673,0.08989567309617996,0.13333333333333333,45,0.375,0.2222222222222222,5,0.09042530506849289,0.08826643973588943,0.08864738047122955,0.08682598173618317,0.09169375151395798,37,0.10810810810810811,446.3330993652344,1.4104699453551923,0.09150377660989761,0.08682598173618317,45,0.0900486409664154,0.09107222408056259,2.3551912568306013,662.17,0.08937064558267593,0.6153846153846154,13,0.09145860373973846,0.08828060328960419,0.08892972767353058,24.77909795790911,2800,55,-0.0023125268766307273,0.019903564453125,1.0,0.0012495179,1e-06,0.798236608505249,0.08982784301042557,0.875,0.0,8,0.2,0.1,1.1912585496902466,11,0.7144276242703199
33,154,0.09136510640382767,0.09094496071338654,0.0,0.0901322141289711,0.3482587064676617,0.6517412935323383,0.08926817029714584,0.08813560009002686,0.09175673872232437,0.08909192681312561,2.1187125729024765,0.09178856760263443,0.09178856760263443,786432,0.09090479463338852,0.08778400719165802,0.09018921852111816,5088,0.08825015276670456,0.0899285078048706,0.2619047619047619,42,0.3333333333333333,0.18181818181818182,6,0.0904584676027298,0.08828604966402054,0.08866384625434875,0.08684910833835602,0.09170936048030853,36,0.1111111111111111,453.4764404296875,1.4257611940298518,0.09153781086206436,0.08684910833835602,33,0.09007131308317184,0.091118723154068,1.9651741293532339,672.96,0.08941275626420975,0.44,25,0.09148852527141571,0.08829240500926971,0.08894277364015579,24.772411073744298,2810,70,-0.002192273181208293,0.019321441650390625,0.9,0.0012267013,1e-06,0.7947434186935425,0.08985485136508942,0.75,0.0,12,0.2,0.1,0.9331042766571045,20,0.7267366680782288
19,181,0.09138075262308121,0.09096736460924149,0.0,0.090163953602314,0.33152173913043476,0.6684782608695652,0.08928520232439041,0.08816897124052048,0.09175211936235428,0.08912033587694168,2.126713876988828,0.09182439744472504,0.09182439744472504,917504,0.09091660380363464,0.08781249821186066,0.0902128517627716,5056,0.08826953172683716,0.08996010571718216,0.061224489795918366,49,0.2631578947368421,0.3235294117647059,7,0.09047984331846237,0.08830270171165466,0.08869890868663788,0.0868830531835556,0.09172304719686508,40,0.175,445.8272399902344,1.399195652173914,0.09155672043561935,0.0868830531835556,34,0.09010625630617142,0.09115136414766312,2.1793478260869565,663.99,0.08943989872932434,0.46153846153846156,13,0.09151149541139603,0.0883137509226799,0.088948093354702,24.765439106523992,2820,61,-0.002355839939446014,0.023218536376953126,1.0,0.0013138815,1e-06,0.7780987024307251,0.08987799286842346,1.0,0.0,9,0.2,0.1,0.9184073805809021,20,0.7829786723479628
26,208,0.09141349792480469,0.09100550413131714,0.0,0.09017016738653183,0.37222222222222223,0.6277777777777778,0.08930904418230057,0.08819884806871414,0.09177388995885849,0.08913471549749374,2.07825636246229,0.09185050427913666,0.09185050427913666,1048576,0.09096428006887436,0.08784489333629608,0.09024705737829208,5034,0.0882832482457161,0.09001465886831284,0.16666666666666666,42,0.19230769230769232,0.32142857142857145,8,0.09050312638282776,0.08832744508981705,0.08870099484920502,0.08690706640481949,0.09176044911146164,40,0.275,461.0426940917969,1.4110222222222233,0.09157365560531616,0.08690706640481949,28,0.09012147039175034,0.09117531031370163,1.988888888888889,684.2,0.08946432173252106,0.6,15,0.09152906388044357,0.08832087367773056,0.08898256719112396,24.75870535373688,2830,67,-0.0022917007891010144,0.023150634765625,0.85,0.0012957933,1e-06,0.7947258353233337,0.08990306407213211,1.0,0.0,9,0.2,0.1,0.9595109224319458,20,0.7425180057995021
34,235,0.0914495587348938,0.09103047847747803,0.0,0.09018824994564056,0.34234234234234234,0.6576576576576577,0.08933831006288528,0.08822507411241531,0.09180345386266708,0.08916551619768143,2.1717291915752877,0.09187150746583939,0.09187150746583939,1179648,0.09099859744310379,0.08788170665502548,0.0902804359793663,5016,0.08831615746021271,0.09004023671150208,0.18181818181818182,44,0.23529411764705882,0.3157894736842105,9,0.09053346514701843,0.08835861831903458,0.08873219043016434,0.08694721013307571,0.09178189933300018,59,0.11864406779661017,405.87432861328125,1.4116036036036046,0.09159322082996368,0.08694721013307571,38,0.09012456238269806,0.09119416028261185,2.220720720720721,604.56,0.08947648108005524,0.6666666666666666,15,0.09155193716287613,0.08834174275398254,0.08901309967041016,24.75152003020048,2840,76,-0.002192764666142466,0.022640228271484375,1.0,0.0012873781,1e-06,0.7822144627571106,0.08992951363325119,0.9444444444444444,0.0,18,0.2,0.1,0.9976077675819397,14,0.6988065994344652
32,261,0.0914648175239563,0.09106025844812393,0.0,0.09020130336284637,0.4166666666666667,0.5833333333333334,0.08936838805675507,0.08825214952230453,0.09182687103748322,0.08918597549200058,2.047043438659197,0.09189088642597198,0.09189088642597198,1310720,0.09101036190986633,0.08789651840925217,0.09028860926628113,5009,0.0883290022611618,0.09006736427545547,0.38461538461538464,26,0.3125,0.22727272727272727,10,0.09056427329778671,0.08839091658592224,0.08874429762363434,0.08697478473186493,0.09180419892072678,36,0.19444444444444445,483.7367858886719,1.4103076923076934,0.09163222461938858,0.08697478473186493,22,0.09015780687332153,0.09122451394796371,1.794871794871795,718.46,0.08951324224472046,0.7647058823529411,17,0.0915861651301384,0.08835459500551224,0.08904542028903961,24.744542255997658,2850,65,-0.0022023745030764984,0.0234100341796875,0.9333333333333333,0.0013058032,1e-06,0.7792524695396423,0.08995340019464493,0.75,0.0,8,0.2,0.1,1.032576560974121,15,0.8015665471553802
