rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/clip_fraction,train/loss,train/entropy_loss,train/clip_range_vf,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
6.324654579162598,213.91,12189,131072,10,1,,,,,,,,,,,,
6.6173930168151855,214.97,10771,262144,24,2,0.08562469482421875,0.62017822265625,3.5122844092547894,0.2,0.002392038,-0.002479476571534178,0.1,0.2097329944372177,6220,0.7956024408340454,1e-05,0.5158359908033162
6.97598123550415,227.12,10391,393216,37,3,0.08757705688476562,0.6344627737998962,3.3332721522077917,0.2,0.0025027632,-0.002455204225043417,0.1,0.21134868264198303,6230,0.8139253854751587,1e-05,0.4670268455287442
7.148439407348633,234.83,10203,524288,51,4,0.0939666748046875,0.611177921295166,3.147872406616807,0.2,0.002627905,-0.0025373693782057673,0.1,0.21298253536224365,6240,0.8262794017791748,1e-05,0.44500388132873925
6.80955696105957,218.41,10169,655360,64,5,0.09297866821289062,0.558984100818634,2.9575579026713967,0.2,0.0026296296,-0.002369912485664827,0.1,0.2147044986486435,6250,0.8308584690093994,1e-05,0.4313527265563607
7.341868877410889,242.95,10097,786432,77,6,0.09323501586914062,0.5742479562759399,2.7656925851479173,0.2,0.0026394716,-0.0024073797058008495,0.1,0.21642053127288818,6260,0.8277320861816406,1e-05,0.43041897821240127
7.000327110290527,232.29,10036,917504,91,7,0.08936386108398438,0.5211313962936401,2.5766366647556422,0.2,0.002547935,-0.002156647344963858,0.1,0.21813027560710907,6270,0.8355385065078735,1e-05,0.4064503613160923
7.725343704223633,254.66,9981,1048576,105,8,0.08746185302734374,0.48766887187957764,2.38497263956815,0.2,0.0025585205,-0.0020973617221898165,0.1,0.21988898515701294,6280,0.8444167971611023,1e-05,0.3921916178194806
7.606142520904541,241.25,9940,1179648,118,9,0.0926727294921875,0.4921620190143585,2.193630557321012,0.2,0.0026131556,-0.002339938546901976,0.1,0.22163741290569305,6290,0.8463084697723389,1e-05,0.4001537303440273
7.9632768630981445,259.4,9896,1310720,132,10,0.08930282592773438,0.5039413571357727,2.0006943964399397,0.2,0.0026291078,-0.0021959845653327648,0.1,0.22344693541526794,6300,0.8404442071914673,1e-05,0.407192738680169
7.854406833648682,258.98,9890,1441792,145,11,0.08877639770507813,0.46266114711761475,1.8095956431701778,0.2,0.0026018843,-0.002170437017321092,0.1,0.22521142661571503,6310,0.8434450030326843,1e-05,0.4068074923707172
7.695872783660889,246.32,9902,1572864,158,12,0.094342041015625,0.45177391171455383,1.6189258144237102,0.2,0.0027188037,-0.0024523170624888733,0.1,0.22702008485794067,6320,0.8462852239608765,1e-05,0.3942487075924873
8.3523588180542,269.74,9904,1703936,172,13,0.0870025634765625,0.45142340660095215,1.4298963663168252,0.2,0.002549911,-0.002005838462355314,0.1,0.22879934310913086,6330,0.8471652865409851,1e-05,0.40425813288893553
