train/action_std_06,train/action_std_10,rollout/episodes_noforce,train/action_std_13,train/std_min,train/action_std_08,train/action_std_14,train/action_std_04,train/action_std_17,train/action_std_02,train/action_std_09,train/action_std_20,train/action_std_01,train/action_std_07,rollout/force_requested_impulse_mean,train/action_std_24,time/iterations,rollout/ep_rew_mean,train/action_std_03,rollout/ep_len_mean,train/action_std_23,train/action_std_18,train/action_std_11,train/action_std_05,rollout/action_saturation_fraction,train/action_std_12,time/time_elapsed,train/action_std_19,train/action_std_22,time/total_timesteps,train/action_std_16,rollout/recovery_noforce,time/fps,rollout/is_timeout_mean,rollout/force_direction_mean,train/std_max,rollout/is_fall_mean,train/action_std_21,train/action_std_00,train/action_std_15,rollout/force_onset_mean,train/learning_rate,train/loss,train/clip_range,train/clip_range_vf,train/value_loss,train/entropy_loss,train/std,rollout/timeouts,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/clip_fraction,rollout/timeout_without_onset_fraction
0.04999999701976776,0.04999999701976776,61,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.0,0.04999999701976776,1,212.540283203125,0.04999999701976776,332.1803278688525,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.0,0.04999999701976776,41,0.04999999701976776,0.04999999701976776,131072,0.04999999701976776,0.0,3181,0.0,-1.0,0.04999999701976776,1.0,0.04999999701976776,0.04999999701976776,0.04999999701976776,1.159868852459017,,,,,,,,,,,,,,
0.050010643899440765,0.05001193284988403,215,0.05001220852136612,0.0500064492225647,0.05001743137836456,0.05001016706228256,0.05002118647098541,0.05000868812203407,0.05002205818891525,0.05000866577029228,0.05001046508550644,0.05001560598611832,0.05001202970743179,0.0,0.05001041665673256,2,665.8738403320312,0.050008226186037064,1000.0,0.0500166080892086,0.050010014325380325,0.050009679049253464,0.050015177577733994,0.0,0.05000985786318779,100,0.05000847578048706,0.0500064492225647,262144,0.05001462623476982,0.5581395348837209,2596,0.5581395348837209,-1.0,0.05002205818891525,0.4418604651162791,0.050013087689876556,0.05001112073659897,0.050008535385131836,1.3934976744186056,1e-06,3.894942045211792,0.1,0.2,3.0537991425022484,39.41678967177868,0.05001213401556015,120,-0.002055547765303345,-0.1506786346435547,10,0.0012560658,0.02822723388671875,0.0
0.05002683773636818,0.05003010854125023,115,0.05002359673380852,0.05001417547464371,0.05003199353814125,0.05002724379301071,0.0500362254679203,0.05001809820532799,0.05003734678030014,0.05002540722489357,0.05002310499548912,0.05002753064036369,0.05002216249704361,0.0,0.05002185329794884,3,441.4155578613281,0.0500342957675457,676.72,0.05002472922205925,0.050023894757032394,0.05003156140446663,0.050033506006002426,0.0,0.05001417547464371,160,0.050019241869449615,0.05002639815211296,393216,0.05002453923225403,0.3130434782608696,2452,0.3130434782608696,-1.0,0.05003734678030014,0.6869565217391305,0.05002444237470627,0.05003480613231659,0.050026435405015945,1.349495652173914,1e-06,1.754341959953308,0.1,0.2,1.4876245146617293,39.41016662418842,0.050026778131723404,36,-0.0024151086077836225,-0.4791189432144165,20,0.0012199683,0.026908111572265626,0.0
0.05003641918301582,0.050044696778059006,187,0.0500352717936039,0.05003054812550545,0.05004173889756203,0.05003499984741211,0.05005491152405739,0.05003399774432182,0.05005442351102829,0.05004661902785301,0.05003390088677406,0.050043992698192596,0.05003054812550545,0.0,0.050030726939439774,4,605.4842529296875,0.05004196614027023,914.32,0.05003659799695015,0.05004101246595383,0.050040069967508316,0.05004569888114929,0.0,0.050031229853630066,220,0.050040628761053085,0.05003691837191582,524288,0.05004351586103439,0.5775401069518716,2373,0.5775401069518716,-1.0,0.05005491152405739,0.42245989304812837,0.05004386231303215,0.05004407837986946,0.0500391386449337,1.4015614973262043,1e-06,1.9021570682525635,0.1,0.2,1.6063715860247612,39.40311162471771,0.05004027858376503,108,-0.0023182743160305107,-0.28605151176452637,30,0.0012331381,0.02867889404296875,0.0
0.05004948377609253,0.05005380138754845,148,0.05004550889134407,0.05004029721021652,0.05006086826324463,0.05004825443029404,0.050070248544216156,0.05004426836967468,0.05006859079003334,0.0500572994351387,0.050049781799316406,0.05005534365773201,0.05004291981458664,0.0,0.05004029721021652,5,479.61468505859375,0.050056248903274536,741.67,0.050055891275405884,0.0500464029610157,0.050054147839546204,0.05005898326635361,0.0,0.05004601180553436,281,0.05006233602762222,0.05004663020372391,655360,0.05006096512079239,0.4391891891891892,2328,0.4391891891891892,-1.0,0.050070248544216156,0.5608108108108109,0.050058361142873764,0.050058744847774506,0.0500548779964447,1.391500000000001,1e-06,1.9252288341522217,0.1,0.2,1.6278856020420789,39.39632433056831,0.050053853541612625,65,-0.0023696076252235796,0.0006272196769714355,40,0.0012790749,0.03213577270507813,0.0
0.05005934089422226,0.05007045343518257,169,0.050058670341968536,0.050048455595970154,0.05007143318653107,0.05006451904773712,0.0500812828540802,0.05006086826324463,0.050083789974451065,0.05006861314177513,0.050066858530044556,0.050072770565748215,0.05005491152405739,0.0,0.05005565285682678,6,527.6602172851562,0.050059232860803604,808.25,0.05006861314177513,0.05006352812051773,0.05006454512476921,0.050071731209754944,0.0,0.050048455595970154,342,0.05008111521601677,0.05006304010748863,786432,0.05007374659180641,0.46745562130177515,2299,0.46745562130177515,-1.0,0.050083789974451065,0.5325443786982249,0.050062742084264755,0.05007397383451462,0.05006136745214462,1.3831597633136103,1e-06,1.9731619358062744,0.1,0.2,1.6595016499049962,39.38979416489601,0.05006645247340202,79,-0.0022815143782736413,0.2689419388771057,50,0.0012122719,0.026276397705078124,0.0
0.050071194767951965,0.05007709190249443,169,0.050070155411958694,0.050046809017658234,0.05008137598633766,0.0500696636736393,0.05009753629565239,0.05008208006620407,0.05010393634438515,0.05008460208773613,0.05008571222424507,0.05008239299058914,0.05006566643714905,0.0,0.050072792917490005,7,489.1239318847656,0.05007230490446091,748.5,0.05008344352245331,0.05007084831595421,0.05008259415626526,0.0500841848552227,0.0,0.050046809017658234,402,0.05009092018008232,0.05008005350828171,917504,0.05008438602089882,0.4437869822485207,2276,0.4437869822485207,-1.0,0.05010393634438515,0.5562130177514792,0.050076924264431,0.050082799047231674,0.0500754676759243,1.3931479289940838,1e-06,1.8878060579299927,0.1,0.2,1.6230846223421396,39.383531019091606,0.050078991800546646,75,-0.0025352576236400636,0.40410709381103516,60,0.0012999746,0.033245849609375,0.0
0.05007730424404144,0.05008634552359581,165,0.05008191615343094,0.05006386339664459,0.050096768885850906,0.05008186772465706,0.0501115582883358,0.050104547291994095,0.05011472478508949,0.050102777779102325,0.05010387673974037,0.050093941390514374,0.050074417144060135,0.0,0.05008245259523392,8,529.999267578125,0.050087012350559235,812.72,0.05009526386857033,0.05008753761649132,0.05009213835000992,0.05009269714355469,0.0,0.05006386339664459,463,0.05010424926877022,0.05010061711072922,1048576,0.0500941202044487,0.4727272727272727,2261,0.4727272727272727,-1.0,0.05011472478508949,0.5272727272727272,0.05009051412343979,0.050102803856134415,0.050087012350559235,1.4073454545454556,1e-06,1.9349217414855957,0.1,0.2,1.6254430300556124,39.376982393860814,0.050092410296201706,78,-0.002402970939874649,0.44383907318115234,70,0.0012838097,0.0324951171875,0.0
0.05009089410305023,0.050093259662389755,171,0.05009020119905472,0.05007652938365936,0.05010863393545151,0.0500943586230278,0.050118643790483475,0.05012337863445282,0.050133489072322845,0.05011719837784767,0.050120316445827484,0.05011291056871414,0.05008869618177414,0.0,0.050094906240701675,9,504.66534423828125,0.050095003098249435,770.38,0.05010750889778137,0.050100233405828476,0.05010554939508438,0.05011177435517311,0.0,0.05007652938365936,524,0.05011427029967308,0.050116170197725296,1179648,0.050113290548324585,0.4619883040935672,2248,0.4619883040935672,-1.0,0.050133489072322845,0.5380116959064327,0.050100818276405334,0.05011758208274841,0.050103724002838135,1.3772280701754398,1e-06,1.9221067428588867,0.1,0.2,1.6274525049142539,39.37028190195561,0.050105974078178406,79,-0.002133557216347981,0.526914119720459,80,0.0011620296,0.025177764892578124,0.0
0.05010819062590599,0.0501006543636322,167,0.05010238289833069,0.05008488893508911,0.0501125268638134,0.050113316625356674,0.05013207718729973,0.050140637904405594,0.05014948174357414,0.05012776330113411,0.050135135650634766,0.05012365058064461,0.05009813234210014,0.0,0.050108619034290314,10,527.2488403320312,0.05010571703314781,807.56,0.050119709223508835,0.050113290548324585,0.0501234233379364,0.05012553930282593,0.0,0.05008488893508911,585,0.05013033375144005,0.05012916028499603,1310720,0.05012497678399086,0.5269461077844312,2238,0.5269461077844312,-1.0,0.05014948174357414,0.47305389221556887,0.05011112987995148,0.05014118552207947,0.050115276128053665,1.358802395209582,1e-06,1.8864541053771973,0.1,0.2,1.6189075984992087,39.363642141222954,0.05011909082531929,88,-0.002186684720618359,0.5609467029571533,90,0.0011991855,0.02696075439453125,0.0
