rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/loss,train/std,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates,train/clip_range_vf,train/clip_fraction,train/entropy_loss,train/value_loss
3.3206543922424316,9666,13,131072,1,94.33,,,,,,,,,,,,
3.3882901668548584,8535,30,262144,2,97.65,-0.0011026283679711924,-0.17375600337982178,1.250422716140747,1.0097241401672363,0.1,1e-05,0.002753342,10,0.2,0.060437774658203124,-34.181492164731026,2.493797987792641
3.6695752143859863,8354,47,393216,3,104.14,-0.0012234531336616783,-0.1193075180053711,-0.8736647367477417,1.0189344882965088,0.1,1e-05,0.0024972982,20,0.2,0.05370407104492188,-34.40844333767891,0.889863884402439
3.241056442260742,8263,63,524288,4,93.55,-0.0012409153025146225,0.1376820206642151,-1.0211349725723267,1.0277435779571533,0.1,1e-05,0.002338721,30,0.2,0.045941925048828124,-34.61788001060486,0.7420928905252367
3.9435737133026123,8209,79,655360,5,113.56,-0.0013644427469444054,0.25363999605178833,-1.0413199663162231,1.036420226097107,0.1,1e-05,0.00227224,40,0.2,0.04420394897460937,-34.82242062389851,0.7318025167565793
3.615952253341675,8145,96,786432,6,104.64,-0.001333495204926294,0.3143382668495178,-0.9902039766311646,1.0451812744140625,0.1,1e-05,0.002226008,50,0.2,0.04274063110351563,-35.02485149502754,0.7619109896942973
3.967226982116699,8076,113,917504,7,111.02,-0.0013083538009595942,0.3476400375366211,-0.9967151284217834,1.0538244247436523,0.1,1e-05,0.002196608,60,0.2,0.04102935791015625,-35.224946963787076,0.770652415510267
3.70833158493042,8032,130,1048576,8,106.1,-0.0013587347995780874,0.3564823865890503,-1.0123409032821655,1.0627926588058472,0.1,1e-05,0.0022673334,70,0.2,0.044705963134765624,-35.42621144354344,0.7952663150150329
3.569666862487793,8002,147,1179648,9,102.58,-0.001337856416375871,0.3658343553543091,-0.9893741607666016,1.0719116926193237,0.1,1e-05,0.0022541943,80,0.2,0.043499755859375,-35.63063246309757,0.806281209969893
4.0823445320129395,8039,163,1310720,10,114.62,-0.001309033972211182,0.3829706907272339,-1.074786901473999,1.0811115503311157,0.1,1e-05,0.00222255,90,0.2,0.042352294921875,-35.83579269945621,0.819678939320147
3.7603871822357178,8067,178,1441792,11,106.48,-0.0012972467789950314,0.3986196517944336,-1.0073318481445312,1.0901638269424438,0.1,1e-05,0.002202916,100,0.2,0.041591644287109375,-36.038597694039346,0.8187093068379909
3.889591693878174,8072,194,1572864,12,107.28,-0.0011957345748669467,0.4238484501838684,-1.0410377979278564,1.0991895198822021,0.1,1e-05,0.0021844567,110,0.2,0.04171905517578125,-36.23726962804794,0.8065132337156683
3.907665729522705,8074,211,1703936,13,108.52,-0.0013108429562635137,0.42862069606781006,-1.0759934186935425,1.1084697246551514,0.1,1e-05,0.002236232,120,0.2,0.04487152099609375,-36.43810801804066,0.8085727381985635
3.5284812450408936,8079,227,1835008,14,100.16,-0.0013127882319167838,0.43052488565444946,-0.9306498765945435,1.117864966392517,0.1,1e-05,0.0022597858,130,0.2,0.04470138549804688,-36.64020200073719,0.8124605000950396
