time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/clip_range_vf,train/clip_fraction,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/std,train/value_loss
131072,294.9270833333333,4125,31,28.71565055847168,1,,,,,,,,,,,,
262144,986.92,3194,82,61.257144927978516,2,0.2,0.14947967529296874,0.1,-0.017168641090393066,-0.0005872013010957744,5.267690658569336,37.837715280056,0.0035771448,1e-05,10,0.050214577466249466,2.7631237296387554
393216,665.72,2979,131,25.44226837158203,3,0.2,0.12407684326171875,0.1,-0.15540146827697754,-0.0020231444780165475,2.6810760498046875,37.63554075360298,0.003001398,1e-05,20,0.05061478540301323,0.8398348355200141
524288,887.29,2880,182,35.776241302490234,4,0.2,0.13193130493164062,0.1,-0.3347194194793701,-0.0020999167988520638,2.5981931686401367,37.441948014497754,0.003128619,1e-05,30,0.05102555453777313,0.8194010001607239
655360,733.21,2822,232,29.64630889892578,5,0.2,0.1302734375,0.1,-0.11480522155761719,-0.0018102562612057227,2.631948471069336,37.2479369699955,0.0031018052,1e-05,40,0.05144020542502403,0.798232881212607
786432,767.34,2776,283,31.655075073242188,6,0.2,0.12912673950195314,0.1,0.06319284439086914,-0.0020003404974886507,2.568953514099121,37.05437847673893,0.003162084,1e-05,50,0.05185703933238983,0.7542533103376627
917504,738.51,2747,333,30.344192504882812,7,0.2,0.13049087524414063,0.1,0.20232617855072021,-0.0019115374067041556,2.500272274017334,36.86146892607212,0.0031896825,1e-05,60,0.05227331817150116,0.6916751669719815
1048576,744.81,2724,384,30.956682205200195,8,0.2,0.13069381713867187,0.1,0.2755274772644043,-0.0019326424444443546,2.4464035034179688,36.66629519462585,0.003143347,1e-05,70,0.05270640179514885,0.6426787059754133
1179648,710.61,2705,435,29.717741012573242,9,0.2,0.13521270751953124,0.1,0.3423137068748474,-0.002050540471873319,2.413642168045044,36.46543589234352,0.0032868017,1e-05,80,0.05315336212515831,0.5919087383896112
1310720,690.64,2692,486,28.442522048950195,10,0.2,0.13445281982421875,0.1,0.4412819743156433,-0.0018917889820841082,2.3619284629821777,36.26611803174019,0.0032415933,1e-05,90,0.05359415337443352,0.5489505958044901
1441792,763.12,2680,537,32.296546936035156,11,0.2,0.132452392578125,0.1,0.5098451375961304,-0.0016624229775061394,2.2835893630981445,36.06854094266892,0.0031817704,1e-05,100,0.05403532087802887,0.5168587642721831
1572864,607.31,2670,588,24.741374969482422,12,0.2,0.13731002807617188,0.1,0.5253009796142578,-0.0017252424918297038,2.2552852630615234,35.869351506233215,0.0032433996,1e-05,110,0.0544893741607666,0.5044825843069702
1703936,757.15,2663,639,31.84815216064453,13,0.2,0.13246994018554686,0.1,0.5942369699478149,-0.0015970512230978784,2.2608118057250977,35.674409264326094,0.0031350749,1e-05,120,0.054925307631492615,0.4808709540870041
1835008,710.75,2656,690,29.994489669799805,14,0.2,0.13889846801757813,0.1,0.5580546855926514,-0.0017288191764237126,2.2629921436309814,35.47682851552963,0.0032834318,1e-05,130,0.055388469249010086,0.482747103064321
1966080,690.43,2651,741,28.799884796142578,15,0.2,0.13437652587890625,0.1,0.6437164545059204,-0.0017860012641904178,2.1909236907958984,35.27662031054497,0.0032129632,1e-05,140,0.055850643664598465,0.4698023955570534
2097152,740.34,2647,792,31.286943435668945,16,0.2,0.13313140869140624,0.1,0.6677207946777344,-0.001531178195909888,2.189647912979126,35.079874742031095,0.0032071886,1e-05,150,0.05630756542086601,0.4742634878028184
2228224,713.7,2641,843,30.103239059448242,17,0.2,0.14229583740234375,0.1,0.5994446873664856,-0.001515972462038917,2.237738609313965,34.88109911084175,0.003360521,1e-05,160,0.05678027868270874,0.4901263121515512
2359296,671.44,2638,894,27.43868637084961,18,0.2,0.13349838256835939,0.1,0.6927002668380737,-0.0015282471845239343,2.1975784301757812,34.68727638721466,0.0031225588,1e-05,170,0.05723133310675621,0.5236152980243787
2490368,715.61,2634,945,29.4935302734375,19,0.2,0.14288253784179689,0.1,0.7390090227127075,-0.002143956425061333,2.1379315853118896,34.49263837337494,0.0033328943,1e-05,180,0.057705413550138474,0.453429450513795
2621440,673.08,2631,996,27.71977996826172,20,0.2,0.1445404052734375,0.1,0.7232627868652344,-0.0018839496227883502,2.2134323120117188,34.29347122907639,0.0033826625,1e-05,190,0.05818908289074898,0.5310909375315532
2752512,722.15,2628,1047,30.315401077270508,21,0.2,0.13957672119140624,0.1,0.7130661010742188,-0.0017596560322999722,2.201305866241455,34.09500268101692,0.0032854327,1e-05,200,0.05866953730583191,0.5146229188656435
2883584,710.43,2626,1097,29.764978408813477,22,0.2,0.14166183471679689,0.1,0.6875531673431396,-0.001582838119338703,2.2146246433258057,33.89443380534649,0.0033233338,1e-05,210,0.05916665866971016,0.5825583603931591
3014656,680.88,2624,1148,28.35625457763672,23,0.2,0.1418487548828125,0.1,0.7248116731643677,-0.0016819408918308909,2.149287223815918,33.69494591653347,0.0033449023,1e-05,220,0.059657055884599686,0.5445289158960804
