time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/loss,train/learning_rate,train/clip_range,train/approx_kl,train/value_loss,train/clip_range_vf,train/explained_variance,train/clip_fraction
9,41.584716796875,510.2,13482,131072,1,,,,,,,,,,,,
27,55.73763656616211,936.04,9612,262144,2,0.04988937824964523,10,-0.0013030635375798738,39.49804255962372,3.6465694904327393,1e-05,0.1,0.0023366115,2.7849106857553125,0.2,-0.12240338325500488,0.11563186645507813
44,24.92776870727539,608.19,8873,393216,3,0.049989789724349976,20,-0.0026263779026976406,39.44741547703743,1.4856042861938477,1e-05,0.1,0.0021705949,1.1532685757614671,0.2,0.04408293962478638,0.10273818969726563
61,33.730323791503906,803.99,8515,524288,4,0.05008729547262192,30,-0.002458726971190117,39.397655287384985,1.438779354095459,1e-05,0.1,0.0021861065,1.0958288826048375,0.2,0.16735082864761353,0.10191192626953124
78,35.033267974853516,816.46,8331,655360,5,0.050189532339572906,40,-0.0026263231455686763,39.34742667973042,1.3697105646133423,1e-05,0.1,0.00215072,0.9953055845573544,0.2,0.15750515460968018,0.10262527465820312
95,33.48381042480469,753.05,8199,786432,6,0.050282109528779984,50,-0.002158084085408518,39.29957264363766,1.3142074346542358,1e-05,0.1,0.0021375432,0.9517451203428209,0.2,0.23436450958251953,0.10392837524414063
112,32.957462310791016,728.54,8128,917504,7,0.050385236740112305,60,-0.002321532272071636,39.250479662418364,1.331174373626709,1e-05,0.1,0.002181954,0.9639193414244801,0.2,0.25885093212127686,0.10516891479492188
130,27.355134963989258,614.29,8065,1048576,8,0.05049634352326393,70,-0.002749735305360446,39.19721148908138,1.2491774559020996,1e-05,0.1,0.0021943245,0.9076692305970937,0.2,0.29831695556640625,0.10615005493164062
147,32.64778137207031,744.69,8011,1179648,9,0.0506124310195446,80,-0.0026642117119081376,39.14093844294548,1.265285849571228,1e-05,0.1,0.0021459418,0.8647749047260731,0.2,0.4678184390068054,0.09747543334960937
164,29.281234741210938,660.69,7972,1310720,10,0.05070885643362999,90,-0.0029487449918633502,39.08935286700726,1.0943723917007446,1e-05,0.1,0.002243868,0.7319442312698812,0.2,0.5146912932395935,0.11181793212890626
181,32.19697570800781,731.23,7947,1441792,11,0.05082012340426445,100,-0.003022485846940981,39.03740991055965,1.1053147315979004,1e-05,0.1,0.0022155268,0.6985128758475184,0.2,0.5706954598426819,0.10592041015625
198,28.15335464477539,628.83,7914,1572864,12,0.05092823877930641,110,-0.0028265645465126,38.983423575758934,1.0304856300354004,1e-05,0.1,0.0022018966,0.6656311560887843,0.2,0.5850789546966553,0.10691680908203124
216,26.73394775390625,604.74,7886,1703936,13,0.0510270781815052,120,-0.0030978193758528505,38.93334667980671,0.9614464044570923,1e-05,0.1,0.0022152443,0.6194295709021389,0.2,0.682755708694458,0.106817626953125
233,27.173784255981445,621.49,7862,1835008,14,0.05112641677260399,130,-0.0027827061166135537,38.88472264707089,0.9392703771591187,1e-05,0.1,0.002183579,0.5844666775316,0.2,0.699661135673523,0.10164718627929688
250,29.918981552124023,681.38,7852,1966080,15,0.05123419314622879,140,-0.002937545447321099,38.833215293288234,0.9300068616867065,1e-05,0.1,0.002246126,0.5533193590352312,0.2,0.7539353370666504,0.10532150268554688
267,31.674888610839844,725.48,7825,2097152,16,0.05133877322077751,150,-0.0027682645315508124,38.78222290575504,0.8415613174438477,1e-05,0.1,0.0022289539,0.4809080980252475,0.2,0.7574323415756226,0.10633773803710937
285,28.959489822387695,655.11,7817,2228224,17,0.05145929381251335,160,-0.002801455646294926,38.72681239545345,0.8559484481811523,1e-05,0.1,0.0022246437,0.49437510801944884,0.2,0.7879270911216736,0.10615158081054688
302,33.566925048828125,754.95,7809,2359296,18,0.05156003311276436,170,-0.0026272329339917634,38.67380844950676,0.8118950128555298,1e-05,0.1,0.002166045,0.4563873941777274,0.2,0.7934585213661194,0.10406036376953125
319,35.387794494628906,787.22,7805,2490368,19,0.05167144164443016,180,-0.002363904441926934,38.621901565790175,0.8656097650527954,1e-05,0.1,0.0021458075,0.5042899327585474,0.2,0.7965046763420105,0.10380630493164063
336,37.925777435302734,842.03,7799,2621440,20,0.05178643763065338,190,-0.0024129286278366637,38.56700656414032,0.8933017253875732,1e-05,0.1,0.0021564804,0.4627574492245913,0.2,0.7568413019180298,0.10854415893554688
353,34.45029067993164,767.43,7792,2752512,21,0.05189961567521095,200,-0.0020418366153990065,38.5120938628912,0.8821840286254883,1e-05,0.1,0.0022226437,0.539004355832003,0.2,0.7220226526260376,0.1113555908203125
370,34.83319854736328,783.88,7787,2883584,22,0.052003856748342514,210,-0.0024635254287659336,38.460072138905524,0.8438553810119629,1e-05,0.1,0.0022185354,0.49598524449393155,0.2,0.7951088547706604,0.10936965942382812
387,32.932716369628906,746.51,7785,3014656,23,0.052108392119407654,220,-0.002594989505087142,38.409755259752274,0.8386428356170654,1e-05,0.1,0.0022306745,0.4756234051892534,0.2,0.8213363885879517,0.11172256469726563
404,32.67170715332031,733.0,7781,3145728,24,0.0522075854241848,230,-0.002781064921100551,38.36113954782486,0.8079416751861572,1e-05,0.1,0.0022496586,0.4746296686353162,0.2,0.8427091836929321,0.10890045166015624
