train/action_std_09,train/action_std_05,rollout/force_direction_mean,train/action_std_01,rollout/force_requested_impulse_mean,time/total_timesteps,rollout/is_fall_mean,train/action_std_11,train/std_max,rollout/action_saturation_fraction,time/fps,train/action_std_12,train/action_std_08,train/action_std_22,rollout/recovery_right,train/action_std_03,time/iterations,train/action_std_15,train/std_min,train/action_std_14,rollout/episodes_right,train/action_std_10,train/action_std_20,rollout/ep_rew_mean,train/action_std_17,train/action_std_19,train/action_std_24,rollout/is_timeout_mean,train/action_std_00,train/action_std_18,rollout/ep_len_mean,train/action_std_02,rollout/recovery_left,rollout/force_onset_mean,rollout/episodes_left,train/action_std_06,train/action_std_23,time/time_elapsed,train/action_std_16,train/action_std_07,train/action_std_13,train/action_std_04,train/action_std_21,train/n_updates,rollout/episodes_fwd,rollout/recovery_down,train/policy_gradient_loss,train/std,train/clip_fraction,train/entropy_loss,train/explained_variance,train/approx_kl,rollout/recovery_up,train/clip_range_vf,rollout/timeout_without_onset_fraction,rollout/episodes_up,train/value_loss,train/learning_rate,rollout/episodes_noforce,rollout/episodes_down,train/loss,train/clip_range,rollout/timeouts,rollout/recovery_noforce,rollout/recovery_fwd,rollout/recovery_back,rollout/episodes_back
0.09080807864665985,0.08914025127887726,2.272727272727273,0.09163190424442291,1.6524402066795536,131072,1.0,0.09134966135025024,0.09168760478496552,0.0,5923,0.09137305617332458,0.09002682566642761,0.08928269147872925,0.0,0.09125185757875443,1,0.09032973647117615,0.08674445748329163,0.0882166400551796,3,0.08803611248731613,0.08996237069368362,226.07159423828125,0.09168760478496552,0.09096547961235046,0.0915672779083252,0.0,0.08820841461420059,0.08815278857946396,354.6363636363636,0.08883100003004074,0.0,1.418727272727274,8,0.09076288342475891,0.0900103896856308,22,0.08975659310817719,0.08856526017189026,0.08674445748329163,0.08769518882036209,0.08898065239191055,,,,,,,,,,,,,,,,,,,,,,,,
0.09111490100622177,0.08935978263616562,1.7479674796747968,0.09179887920618057,1.0898821599539295,262144,0.11788617886178862,0.09165270626544952,0.09190728515386581,0.0,5386,0.09161124378442764,0.09026491641998291,0.08947782963514328,0.696969696969697,0.09144153445959091,2,0.09055135399103165,0.08696562051773071,0.08850491791963577,33,0.08807665854692459,0.0901331976056099,695.5873413085938,0.09190728515386581,0.09120359271764755,0.09172733873128891,0.8821138211382114,0.08829211443662643,0.08843718469142914,1000.0,0.08903508633375168,0.6904761904761905,1.4185934959349604,42,0.09089671075344086,0.09018562734127045,48,0.09002967923879623,0.08877032995223999,0.08696562051773071,0.08787864446640015,0.08903402835130692,2770,34,1.0,-0.0032504145555321885,0.08993404358625412,0.10477523803710938,24.772965383529662,0.7796456813812256,0.0022591718,0.96875,0.2,0.0,32,0.1301914040959673,1e-05,45,26,0.3456721305847168,0.1,217,1.0,0.8823529411764706,0.9705882352941176,34
0.09130112826824188,0.08941314369440079,2.44,0.09210031479597092,1.4513510631261417,393216,0.44,0.09194543957710266,0.09210031479597092,0.0,5281,0.09195050597190857,0.09044074267148972,0.08972514420747757,0.36363636363636365,0.0917680412530899,3,0.09071682393550873,0.08720464259386063,0.08868420124053955,11,0.0882858857512474,0.09031124413013458,642.408447265625,0.09185998141765594,0.09152891486883163,0.09182990342378616,0.56,0.08846641331911087,0.08870167285203934,928.58,0.08924035727977753,0.3333333333333333,1.422480000000001,6,0.09112697839736938,0.0903836190700531,74,0.0900832936167717,0.08904851973056793,0.08720464259386063,0.08820145577192307,0.08932171761989594,2780,2,1.0,-0.0033165744453071966,0.09014560282230377,0.12060165405273438,24.715778663754463,0.8138218522071838,0.0024663995,1.0,0.2,0.0,2,0.19345068193506448,1e-05,,1,0.378173828125,0.1,14,,1.0,1.0,3
0.09154420346021652,0.08966582268476486,2.0987124463519313,0.09231428056955338,1.0510016087558518,524288,0.06866952789699571,0.09218941628932953,0.09231428056955338,0.0,5183,0.09222298115491867,0.09069802612066269,0.08990482240915298,0.7586206896551724,0.09206180274486542,4,0.09094197303056717,0.0874643549323082,0.0888727530837059,29,0.08861228078603745,0.09044140577316284,689.1197509765625,0.09207429736852646,0.09168553352355957,0.09213154017925262,0.9313304721030042,0.08863385021686554,0.08893813192844391,995.13,0.08950186520814896,0.7741935483870968,1.4145836909871257,31,0.09122579544782639,0.09067357331514359,101,0.09028097242116928,0.08922168612480164,0.0874643549323082,0.0883205309510231,0.08947566896677017,2790,31,1.0,-0.0035193077930671278,0.09036389738321304,0.10923843383789063,24.6552120372653,0.7883367538452148,0.0022475768,1.0,0.2,0.0,28,0.11348210656724404,1e-05,37,47,0.3604017496109009,0.1,217,0.972972972972973,0.967741935483871,1.0,30
0.09172581136226654,0.08994114398956299,2.1315789473684212,0.0925995260477066,1.1425047281487466,655360,0.42105263157894735,0.09243038296699524,0.09262339025735855,0.0,5152,0.09262339025735855,0.09099002927541733,0.09011968970298767,0.4,0.09222301095724106,5,0.09130807220935822,0.0877825915813446,0.08904648572206497,5,0.0888860672712326,0.09061688929796219,618.2623291015625,0.09234417229890823,0.0919104591012001,0.09232033044099808,0.5789473684210527,0.08874351531267166,0.08917853236198425,896.49,0.08971510827541351,0.23076923076923078,1.396578947368422,13,0.0914139598608017,0.09094249457120895,127,0.09051401913166046,0.08960775285959244,0.0877825915813446,0.0885026603937149,0.08975815773010254,2800,2,0.8333333333333334,-0.0033954496637306876,0.09060976654291153,0.12308349609375,24.591188077628612,0.824460506439209,0.0025462275,0.5,0.2,0.0,4,0.11274488258350175,1e-05,7,6,0.3955969214439392,0.1,22,1.0,1.0,1.0,1
0.09202075004577637,0.09015209227800369,1.7837837837837838,0.0928739532828331,1.0403541697993672,786432,0.04954954954954955,0.09271419793367386,0.0928739532828331,0.0,5105,0.09285962581634521,0.09130765497684479,0.09038316458463669,0.875,0.09237903356552124,6,0.09153508394956589,0.08802860230207443,0.08921205252408981,32,0.08898583054542542,0.09084241837263107,694.89892578125,0.09250911325216293,0.0921473428606987,0.09245112538337708,0.9504504504504504,0.08901827782392502,0.08945248275995255,996.63,0.08998513221740723,0.7407407407407407,1.4104144144144155,27,0.09170252084732056,0.09120690077543259,154,0.09079157561063766,0.08979205787181854,0.08802860230207443,0.08865074068307877,0.08995087444782257,2810,33,1.0,-0.003591848072301218,0.09083810448646545,0.11411666870117188,24.526256729662418,0.8397806882858276,0.002403514,1.0,0.2,0.0,28,0.11954205745423678,1e-05,44,30,0.41223588585853577,0.1,211,1.0,1.0,1.0,28
0.09226199984550476,0.09019847959280014,1.7954545454545454,0.09313990920782089,0.9987569108023486,917504,0.25,0.09299630671739578,0.09313990920782089,0.0,5092,0.0930570513010025,0.09144426137208939,0.09059605747461319,0.5454545454545454,0.09265024214982986,7,0.09160907566547394,0.0881531834602356,0.0893491879105568,11,0.08912339061498642,0.0911082997918129,650.7689208984375,0.09277831763029099,0.09241262823343277,0.09276492148637772,0.75,0.08929108083248138,0.08968963474035263,934.01,0.09020785987377167,0.16666666666666666,1.41809090909091,6,0.09195243567228317,0.09141073375940323,180,0.09108225256204605,0.0900815799832344,0.0881531834602356,0.08888157457113266,0.09020885080099106,2820,2,1.0,-0.0028998745236094694,0.09105796366930008,0.11646652221679688,24.4643665894866,0.7593047022819519,0.002422397,0.8571428571428571,0.2,0.0,7,0.12434327831724659,1e-05,12,3,0.3124827444553375,0.1,33,1.0,1.0,1.0,3
0.09252667427062988,0.09043093025684357,1.9074074074074074,0.09327315539121628,1.055720076750764,1048576,0.07407407407407407,0.09321500360965729,0.09327315539121628,0.0,5062,0.09319229423999786,0.09164922684431076,0.09091038256883621,0.9375,0.09296934306621552,8,0.09184040874242783,0.08828862011432648,0.0894821286201477,16,0.08934800326824188,0.09132882207632065,699.3253173828125,0.0929630771279335,0.09252657741308212,0.09292061626911163,0.9259259259259259,0.08950430154800415,0.08992231637239456,1000.0,0.09043129533529282,0.6857142857142857,1.4257407407407419,35,0.0921090692281723,0.0916241705417633,207,0.09137322753667831,0.09035968035459518,0.08828862011432648,0.0891602486371994,0.09046407788991928,2830,22,1.0,-0.0033011166783580848,0.09127254039049149,0.1076629638671875,24.40436582714319,0.8072597980499268,0.0022836765,0.9459459459459459,0.2,0.0,37,0.10377499871829059,1e-05,42,31,0.3425925374031067,0.1,200,1.0,0.9545454545454546,0.9696969696969697,33
0.09271108359098434,0.09057857096195221,1.671875,0.0934404730796814,1.1463506392829486,1179648,0.34375,0.09329597651958466,0.0934404730796814,0.0,5052,0.09339094161987305,0.09186430275440216,0.0911598801612854,0.45454545454545453,0.09311217814683914,9,0.09211122244596481,0.08850186318159103,0.08971568197011948,11,0.08963055163621902,0.09145808219909668,601.4690551757812,0.09312150627374649,0.09268568456172943,0.09312568604946136,0.65625,0.08967462182044983,0.09011916816234589,868.92,0.09071440249681473,0.2857142857142857,1.400062500000001,21,0.09236733615398407,0.09173201769590378,233,0.09161601960659027,0.0905330553650856,0.08850186318159103,0.08937925100326538,0.09063665568828583,2840,8,1.0,-0.003702884645645099,0.09146704524755478,0.11136856079101562,24.34932961165905,0.8137589693069458,0.0023408541,1.0,0.2,0.0,2,0.11801694503228646,1e-05,7,4,0.3474692702293396,0.1,42,0.8571428571428571,1.0,1.0,11
0.09281560033559799,0.09070802479982376,1.6865671641791045,0.0936286449432373,1.059644062195456,1310720,0.06467661691542288,0.0935262143611908,0.09370816498994827,0.0,5030,0.09370816498994827,0.09213002771139145,0.09145738184452057,0.8275862068965517,0.09346887469291687,10,0.09223046153783798,0.08876407891511917,0.08985628932714462,29,0.08988696336746216,0.09175872057676315,693.8379516601562,0.09334094077348709,0.09289543330669403,0.09325019270181656,0.9353233830845771,0.08998322486877441,0.09033159911632538,1000.0,0.09085994213819504,0.8,1.3990646766169166,30,0.09260616451501846,0.09192238003015518,260,0.0917619839310646,0.09082011133432388,0.08876407891511917,0.08955621719360352,0.09094274789094925,2850,37,1.0,-0.003223104240714747,0.09168840944766998,0.12203750610351563,24.291674824059008,0.8091605305671692,0.002486182,1.0,0.2,0.0,25,0.16318464430805762,1e-05,38,22,0.3443177044391632,0.1,188,1.0,0.972972972972973,0.95,20
