train/action_std_08,train/action_std_24,train/action_std_02,train/action_std_12,rollout/ep_len_mean,rollout/recovery_noforce,train/action_std_09,train/action_std_11,train/action_std_05,train/std_min,train/action_std_00,train/action_std_06,train/action_std_19,train/action_std_01,rollout/action_saturation_fraction,train/action_std_07,train/action_std_23,train/action_std_17,train/action_std_20,time/total_timesteps,time/time_elapsed,rollout/is_fall_mean,train/action_std_10,rollout/force_direction_mean,train/action_std_13,train/action_std_03,train/std_max,train/action_std_16,train/action_std_04,rollout/episodes_noforce,rollout/force_onset_mean,rollout/is_timeout_mean,rollout/force_requested_impulse_mean,time/fps,train/action_std_18,train/action_std_21,train/action_std_22,time/iterations,rollout/ep_rew_mean,train/action_std_15,train/action_std_14,train/policy_gradient_loss,train/clip_fraction,rollout/timeouts,train/std,train/entropy_loss,train/approx_kl,train/explained_variance,train/clip_range_vf,train/n_updates,rollout/timeout_without_onset_fraction,train/clip_range,train/loss,train/value_loss,train/learning_rate
0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,399.25,0.0,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.0,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,131072,22,1.0,0.05000000074505806,-1.0,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,8,1.4522500000000012,0.0,0.0,5882,0.05000000074505806,0.05000000074505806,0.05000000074505806,1,268.495361328125,0.05000000074505806,0.05000000074505806,,,,,,,,,,,,,,
0.050088003277778625,0.05008922517299652,0.0501210018992424,0.05007294937968254,1000.0,0.9717741935483871,0.05014176294207573,0.05001192167401314,0.05006878450512886,0.05001192167401314,0.05013009533286095,0.05014488101005554,0.05007711797952652,0.05007912218570709,0.0,0.05015076324343681,0.05009372532367706,0.050124574452638626,0.050078414380550385,262144,48,0.028225806451612902,0.05007431283593178,-1.0,0.050124023109674454,0.05005143955349922,0.05015076324343681,0.05007408186793327,0.05006614327430725,248,1.40275806451613,0.9717741935483871,0.0,5370,0.050116971135139465,0.050081320106983185,0.05008265748620033,2,680.6978759765625,0.05013209953904152,0.05008848384022713,-0.0021787820307508808,0.12749252319335938,241,0.05009455606341362,39.39326309561729,0.0025021778,-0.17246615886688232,0.2,10,0.0,0.1,3.7211899757385254,2.9156618570908903,1e-05
0.050225816667079926,0.05018608644604683,0.05017475783824921,0.05015541613101959,987.28,0.8,0.05020368844270706,0.05010975897312164,0.05016317591071129,0.05009616166353226,0.05018862336874008,0.050316423177719116,0.05009616166353226,0.050114333629608154,0.0,0.050188153982162476,0.050240401178598404,0.050188932567834854,0.05017649009823799,393216,74,0.2,0.05018077418208122,-1.0,0.05026056244969368,0.05020730569958687,0.050316423177719116,0.05019281059503555,0.05014543980360031,10,1.4182000000000008,0.8,0.0,5275,0.0501616932451725,0.05016973242163658,0.050153035670518875,3,671.521728515625,0.050164561718702316,0.05018856003880501,-0.001526573193132208,0.1075775146484375,8,0.05018210783600807,39.347309306263924,0.0021537626,-1.1241099834442139,0.2,20,0.0,0.1,1.836220622062683,1.4620278237387538,1e-05
0.050346337258815765,0.05032777413725853,0.05022527649998665,0.05025038123130798,1000.0,0.9473684210526315,0.050339244306087494,0.05024229362607002,0.050274331122636795,0.0501861572265625,0.05025460943579674,0.05035562068223953,0.05022173002362251,0.050242699682712555,0.0,0.05026570335030556,0.0502740815281868,0.05028372257947922,0.0502556748688221,524288,101,0.05263157894736842,0.050237130373716354,-1.0,0.05034025385975838,0.050303731113672256,0.05035562068223953,0.050329968333244324,0.050247300416231155,247,1.3967125506072884,0.9473684210526315,0.0,5169,0.05026252940297127,0.050310879945755005,0.05025644227862358,4,685.3956298828125,0.0501861572265625,0.05022866278886795,-0.0014731361356098206,0.10763778686523437,234,0.050274498760700226,39.302565693855286,0.0021189195,-2.469191312789917,0.2,30,0.0,0.1,1.8287053108215332,1.4889249596744776,1e-05
0.05048267915844917,0.050472039729356766,0.050308145582675934,0.05029512569308281,914.63,0.43478260869565216,0.050484247505664825,0.05032144859433174,0.050355907529592514,0.050259388983249664,0.050343651324510574,0.050439175218343735,0.05028047412633896,0.05032296106219292,0.0,0.050355471670627594,0.050354573875665665,0.050374675542116165,0.05032172426581383,655360,127,0.5652173913043478,0.05033884942531586,-1.0,0.05045180395245552,0.05040698125958443,0.050484247505664825,0.050377894192934036,0.05030179023742676,23,1.2010434782608705,0.43478260869565216,0.0,5142,0.05034773051738739,0.05033338814973831,0.050351645797491074,5,625.0555419921875,0.050259388983249664,0.05029069632291794,-0.0018333949641601067,0.1119537353515625,10,0.05035889893770218,39.25934253931045,0.002202068,-1.0781176090240479,0.2,40,0.0,0.1,1.8673021793365479,1.5250550494529307,1e-05
0.05059324577450752,0.050471749156713486,0.050408124923706055,0.05037818104028702,1000.0,0.9539748953974896,0.05058670789003372,0.05039338767528534,0.05046927183866501,0.050369150936603546,0.050478897988796234,0.05058100074529648,0.05037586763501167,0.0504058301448822,0.0,0.050439514219760895,0.050467830151319504,0.050389088690280914,0.05038285627961159,786432,154,0.04602510460251046,0.05039244145154953,-1.0,0.050524380058050156,0.05048307776451111,0.05059324577450752,0.05051130801439285,0.050422895699739456,239,1.3859665271966537,0.9539748953974896,0.0,5092,0.05049667879939079,0.05043382570147514,0.05047764629125595,6,684.5399780273438,0.050369150936603546,0.05042004585266113,-0.0018347158046708501,0.1106536865234375,228,0.050454121083021164,39.214206925034524,0.002182185,-1.2314038276672363,0.2,50,0.0,0.1,1.8440706729888916,1.4510760966688394,1e-05
0.0506909117102623,0.050540100783109665,0.05048360675573349,0.05045584589242935,989.22,0.9166666666666666,0.05073663964867592,0.050479695200920105,0.050530578941106796,0.050419483333826065,0.05058695748448372,0.05068628489971161,0.05045956373214722,0.05049001798033714,0.0,0.050525255501270294,0.050553709268569946,0.05048992484807968,0.05047236755490303,917504,180,0.08333333333333333,0.050419483333826065,-1.0,0.050597064197063446,0.0506197027862072,0.05073663964867592,0.050651561468839645,0.0505317747592926,24,1.386000000000001,0.9166666666666666,0.0,5083,0.05062911659479141,0.050555888563394547,0.050571464002132416,7,675.14599609375,0.05049096420407295,0.050508346408605576,-0.002038611833631876,0.11443634033203125,22,0.05055026710033417,39.166491255164146,0.0021898905,-0.7999309301376343,0.2,60,0.0,0.1,1.7536280155181885,1.365732185356319,1e-05
0.050738684833049774,0.050642795860767365,0.05053764209151268,0.05053943768143654,1000.0,0.9656652360515021,0.050816260278224945,0.05057690292596817,0.05062291398644447,0.050521835684776306,0.05066204443573952,0.05076160281896591,0.0505361370742321,0.05056705325841904,0.0,0.050635404884815216,0.05061638355255127,0.050620924681425095,0.050568412989377975,1048576,207,0.034334763948497854,0.050521835684776306,-1.0,0.05064056068658829,0.050706010311841965,0.050816260278224945,0.05069057270884514,0.050597161054611206,233,1.3852703862660956,0.9656652360515021,0.0,5051,0.05075434222817421,0.050676338374614716,0.050607673823833466,8,678.8311157226562,0.05057457461953163,0.05057293549180031,-0.001546618232896435,0.10716018676757813,225,0.050631385296583176,39.123159271478656,0.0021586223,-1.75146484375,0.2,70,0.0,0.1,1.7275840044021606,1.3666462951339782,1e-05
0.05079405754804611,0.050726525485515594,0.05058165267109871,0.05059794709086418,950.28,0.6764705882352942,0.050895266234874725,0.050624046474695206,0.05066915974020958,0.05058165267109871,0.050743330270051956,0.05085504427552223,0.05058669298887253,0.05066748335957527,0.0,0.05073535442352295,0.05059950426220894,0.05067291483283043,0.050655219703912735,1179648,233,0.3235294117647059,0.050594475120306015,-1.0,0.050768282264471054,0.050814297050237656,0.050895266234874725,0.050776947289705276,0.05064203217625618,34,1.3771176470588244,0.6764705882352942,0.0,5045,0.05082182213664055,0.05077751725912094,0.05068032443523407,9,646.5970458984375,0.05063331872224808,0.0506533607840538,-0.001583164712155849,0.11007232666015625,23,0.05070266127586365,39.08625181615353,0.002249424,-1.111567497253418,0.2,80,0.0,0.1,1.7362052202224731,1.3202092376537622,1e-05
0.050869036465883255,0.05085311830043793,0.05076691135764122,0.05064080283045769,1000.0,0.9821428571428571,0.051005709916353226,0.050687164068222046,0.05079242214560509,0.05064080283045769,0.050805456936359406,0.050928376615047455,0.05070662498474121,0.05076825991272926,0.0,0.05089680477976799,0.050699733197689056,0.050753701478242874,0.05073108896613121,1310720,261,0.017857142857142856,0.050699055194854736,-1.0,0.05087810009717941,0.050932712852954865,0.051005709916353226,0.05085994303226471,0.05071662366390228,224,1.387580357142858,0.9821428571428571,0.0,5020,0.05087313801050186,0.05084824189543724,0.05079428479075432,10,678.3408813476562,0.050728004425764084,0.050784431397914886,-0.0019427704498411913,0.10755233764648438,220,0.05080078914761543,39.043463569879535,0.002142732,-1.7597265243530273,0.2,90,0.0,0.1,1.6656087636947632,1.289470890723169,1e-05
