time/time_elapsed,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/std,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/entropy_loss,train/loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/clip_range_vf
7,1,16785,131072,336.87,9.573662757873535,,,,,,,,,,,,
19,2,13182,262144,903.57,33.388336181640625,2.5794754e-05,0.26235678791999817,0.1,0.9290912747383118,0.0,8670,-1.935864661913365,0.19211846590042114,1e-07,0.28344588292529804,-0.0001654773023801681,0.2
31,3,12513,393216,651.89,22.621349334716797,2.0452197e-05,0.2623904049396515,0.1,0.8487275242805481,0.0,8680,-1.9388479512184857,0.5536661744117737,1e-07,0.5932564802234992,-0.00013538238235923927,0.2
42,4,12203,524288,805.45,29.684524536132812,2.3065466e-05,0.2624243497848511,0.1,0.8744674324989319,0.0,8690,-1.9419368578121066,0.33906465768814087,1e-07,0.432071771658957,-0.00013399257231867524,0.2
54,5,12014,655360,724.87,24.202930450439453,2.6030506e-05,0.26245754957199097,0.1,0.8185477256774902,0.0,8700,-1.945006987079978,0.44687619805336,1e-07,0.5944893769687042,-0.00011595640453379019,0.2
66,6,11888,786432,652.35,21.934127807617188,2.8588114e-05,0.2624898850917816,0.1,0.8631117343902588,0.0,8710,-1.947973396629095,0.32211247086524963,1e-07,0.49406116001773626,-0.00014753932828170946,0.2
77,7,11824,917504,633.27,21.303813934326172,1.2177339e-05,0.26252299547195435,0.1,0.8774341940879822,0.0,8720,-1.950989683996886,0.38539987802505493,1e-07,0.5111591470660641,-0.00010836301762537915,0.2
88,8,11812,1048576,594.53,19.206836700439453,1.9537169e-05,0.2625555992126465,0.1,0.8751619458198547,0.0,8730,-1.9539785609580576,0.30019935965538025,1e-07,0.484309607790783,-0.00011500894379423698,0.2
100,9,11780,1179648,671.88,22.682575225830078,1.35501905e-05,0.2625882029533386,0.1,0.8819716572761536,0.0,8740,-1.9569650906138123,0.4068153500556946,1e-07,0.5301282915053889,-0.00010996320197591558,0.2
111,10,11729,1310720,784.03,28.650041580200195,2.0780906e-05,0.2626202702522278,0.1,0.874471127986908,0.0,8750,-1.9599199693650007,0.35178041458129883,1e-07,0.42609073529019953,-0.0001197825795316021,0.2
123,11,11681,1441792,564.17,18.472200393676758,2.3758374e-05,0.26265543699264526,0.1,0.821716845035553,0.0,8760,-1.9630057689733804,0.41144922375679016,1e-07,0.6033813622780144,-0.00012809915097022895,0.2
135,12,11646,1572864,626.7,21.101665496826172,1.7091306e-05,0.262686163187027,0.1,0.877738893032074,0.0,8770,-1.9659752652980387,0.4818652272224426,1e-07,0.5328256700187921,-0.0001339096103038173,0.2
146,13,11622,1703936,747.15,26.808687210083008,1.9155272e-05,0.26272034645080566,0.1,0.8758255243301392,0.0,8780,-1.9689799253828824,0.36675435304641724,1e-07,0.47730318217072637,-0.00013512578752852277,0.2
157,14,11619,1835008,648.18,21.92108154296875,2.684278e-05,0.2627536654472351,0.1,0.8556644916534424,0.0,8790,-1.9720460154116153,0.5263245105743408,1e-07,0.5363563854712993,-0.00014978836406953633,0.2
