time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/std,train/clip_range_vf,train/clip_fraction,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/clip_range,train/policy_gradient_loss
131072,131.84,12,10741,1,5.415548324584961,,,,,,,,,,,,
262144,138.68,27,9536,2,5.647630214691162,2.709081173222512,0.0034019775,0.05019417405128479,0.2,0.14511032104492189,-0.12663793563842773,1e-05,10,37.84121911227703,5.242234230041504,0.1,-0.0012267763406271115
393216,138.07,42,9236,3,5.6798415184021,0.8809934716206044,0.003066877,0.05058899521827698,0.2,0.13146743774414063,-0.010161995887756348,1e-05,20,37.64497739374637,2.741472005844116,0.1,-0.0015550828327832277
524288,137.52,57,9040,4,5.622673511505127,0.7670010543428362,0.0031235074,0.050984080880880356,0.2,0.13587265014648436,0.22991585731506348,1e-05,30,37.45705216526985,2.6384310722351074,0.1,-0.0015793122667673743
655360,133.27,72,8995,5,5.535023212432861,0.6877134093549102,0.003077101,0.05138619989156723,0.2,0.12973556518554688,0.34080690145492554,1e-05,40,37.268897238373754,2.5752146244049072,0.1,-0.0013683142871741439
