train/action_std_03,rollout/episodes_down,train/action_std_04,rollout/ep_rew_mean,time/fps,train/action_std_11,train/action_std_16,train/action_std_12,train/action_std_18,train/action_std_06,train/action_std_21,time/total_timesteps,train/std_min,rollout/force_requested_impulse_mean,train/action_std_01,train/action_std_13,rollout/force_direction_mean,rollout/action_saturation_fraction,rollout/is_timeout_mean,rollout/force_onset_mean,train/action_std_05,rollout/episodes_noforce,rollout/recovery_down,rollout/ep_len_mean,train/action_std_20,rollout/recovery_noforce,train/action_std_24,train/action_std_00,train/action_std_17,train/action_std_14,train/action_std_22,train/action_std_23,time/time_elapsed,train/action_std_10,train/action_std_19,rollout/is_fall_mean,train/action_std_02,train/action_std_07,train/action_std_08,train/action_std_15,time/iterations,train/action_std_09,train/std_max,train/clip_range,rollout/recovery_left,train/approx_kl,rollout/episodes_back,train/learning_rate,rollout/episodes_up,train/loss,train/explained_variance,train/std,rollout/episodes_left,train/entropy_loss,rollout/timeout_without_onset_fraction,rollout/episodes_right,train/clip_range_vf,rollout/recovery_fwd,rollout/episodes_fwd,rollout/recovery_back,rollout/recovery_up,rollout/timeouts,train/clip_fraction,rollout/recovery_right,train/policy_gradient_loss,train/value_loss,train/n_updates
0.04999999701976776,2,0.04999999701976776,84.37496948242188,12552,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,131072,0.04999999701976776,0.4071451931551597,0.04999999701976776,0.04999999701976776,3.0,0.0,0.0,1.4053333333333342,0.04999999701976776,1,0.0,194.33333333333334,0.04999999701976776,0.0,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,10,0.04999999701976776,0.04999999701976776,1.0,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,1,0.04999999701976776,0.04999999701976776,,,,,,,,,,,,,,,,,,,,,,,,
0.05045940726995468,29,0.05042746290564537,741.6671752929688,9216,0.05042540654540062,0.05045469105243683,0.05042146518826485,0.050436925143003464,0.050451889634132385,0.050458889454603195,262144,0.05041533336043358,0.5196885618985158,0.05043477565050125,0.05043474957346916,1.7519685039370079,0.0,1.0,1.403055118110237,0.05043400451540947,48,1.0,1000.0,0.05042117461562157,1.0,0.050441063940525055,0.05044228956103325,0.050432778894901276,0.05045238137245178,0.05046350881457329,0.0504266582429409,28,0.05045526847243309,0.05043235793709755,0.0,0.05044294148683548,0.05045120418071747,0.05042901635169983,0.05041533336043358,2,0.050480861216783524,0.050480861216783524,0.1,1.0,0.0038749343,41,1e-05,39,5.340526580810547,-0.24436521530151367,0.050441060215234756,32,39.304846432805064,0.0,29,0.2,1.0,36,1.0,1.0,254,0.16094589233398438,1.0,-0.0017701901871532756,3.101872181519866,10
0.050849780440330505,,0.05085841566324234,741.556396484375,8674,0.050772614777088165,0.05086769163608551,0.050822146236896515,0.05085911601781845,0.05081530287861824,0.05085329711437225,393216,0.050772614777088165,0.25661372045372605,0.050834737718105316,0.05081450194120407,1.5,0.0,1.0,1.4050000000000011,0.050840675830841064,1,,1000.0,0.050850462168455124,1.0,0.05080505460500717,0.05079067870974541,0.05082777142524719,0.050840023905038834,0.05080533027648926,0.0508427619934082,45,0.05083111301064491,0.050821688026189804,0.0,0.05086713284254074,0.0508711114525795,0.05080274119973183,0.05082126334309578,3,0.05084076151251793,0.0508711114525795,0.1,,0.0031340832,,1e-05,1,3.307403326034546,-1.025883674621582,0.05083225294947624,,39.09288567602634,0.0,,0.2,,,,1.0,2,0.1351959228515625,,-0.0008334688171999005,1.349693928938359,20
0.05123753100633621,50,0.051306843757629395,740.3451538085938,8290,0.051160335540771484,0.051251985132694244,0.05124083161354065,0.05123851075768471,0.05120391398668289,0.05125385522842407,524288,0.051160335540771484,0.51030234632133,0.051201704889535904,0.05120285227894783,1.9645669291338583,0.0,1.0,1.3977322834645678,0.05124794319272041,47,1.0,1000.0,0.051280390471220016,1.0,0.0512651726603508,0.051163434982299805,0.05122038349509239,0.051262155175209045,0.05119597911834717,0.051250018179416656,63,0.05125909671187401,0.05123462527990341,0.0,0.05126465857028961,0.05125626176595688,0.05122716352343559,0.05123913288116455,4,0.05122365802526474,0.051306843757629395,0.1,1.0,0.0031416838,34,1e-05,29,3.111815929412842,-1.75996994972229,0.051235537976026535,28,38.89649963974953,0.0,30,0.2,1.0,36,1.0,1.0,254,0.13429107666015624,1.0,-0.0005999694766614993,1.2474719449877738,30
0.051640525460243225,,0.05169088393449783,740.742919921875,8182,0.05155032128095627,0.05162468180060387,0.05158592760562897,0.05163968726992607,0.051618196070194244,0.05164165794849396,655360,0.05155032128095627,0.3602712917886972,0.05165914446115494,0.05161527916789055,1.5,0.0,1.0,1.4290000000000012,0.05168038234114647,,,1000.0,0.05164126306772232,,0.051655363291502,0.05160549655556679,0.051638003438711166,0.05166035145521164,0.051621679216623306,0.05165652185678482,80,0.05168112367391586,0.051622629165649414,0.0,0.05165541172027588,0.05169800668954849,0.0516255684196949,0.05164797604084015,5,0.05159147456288338,0.05169800668954849,0.1,,0.0030996574,,1e-05,,3.224677562713623,-0.36558735370635986,0.05163790285587311,,38.70063045620918,0.0,1,0.2,1.0,1,,,2,0.13367385864257814,1.0,-0.0009096796060021006,1.3311536532826722,40
0.05201195552945137,31,0.052088163793087006,735.0429077148438,8024,0.05193984881043434,0.052000537514686584,0.05198158323764801,0.052084922790527344,0.05206440016627312,0.052015576511621475,786432,0.05193984881043434,0.9394725548884674,0.052029505372047424,0.0520549900829792,1.6274509803921569,0.0,0.9686274509803922,1.3945254901960795,0.05210329219698906,60,1.0,990.72,0.052076131105422974,0.9833333333333333,0.052104707807302475,0.05203944444656372,0.05204194784164429,0.05206097289919853,0.05202929675579071,0.052122946828603745,97,0.052086349576711655,0.05206488445401192,0.03137254901960784,0.05207820609211922,0.052058082073926926,0.051968932151794434,0.05205226317048073,6,0.05198274925351143,0.052122946828603745,0.1,0.9,0.0031254836,34,1e-05,31,3.2037291526794434,-2.361241102218628,0.05204566568136215,30,38.50332305431366,0.0,34,0.2,0.9714285714285714,35,1.0,1.0,247,0.13397750854492188,0.9117647058823529,-0.000660704947222257,1.299508099630475,50
0.052417293190956116,2,0.052506912499666214,515.2457885742188,7981,0.05233056843280792,0.052392203360795975,0.052383773028850555,0.052520595490932465,0.0524984747171402,0.052417002618312836,917504,0.05233056843280792,1.5667222772048623,0.05242781341075897,0.05243239179253578,2.1555555555555554,0.0,0.044444444444444446,1.322311111111112,0.05249283090233803,1,1.0,705.32,0.05248689651489258,0.0,0.052552737295627594,0.052449531853199005,0.052447255700826645,0.05246072635054588,0.05244824290275574,0.052518755197525024,114,0.05248945206403732,0.05246694013476372,0.9555555555555556,0.05245096981525421,0.05244090408086777,0.05239684879779816,0.052459537982940674,7,0.05235860124230385,0.052552737295627594,0.1,0.0,0.0031496729,3,1e-05,,3.202225923538208,-1.0086865425109863,0.052449893206357956,20,38.31011485159397,0.0,15,0.2,0.0,4,0.0,,2,0.133758544921875,0.0,-0.0011695076121668534,1.3813527153804899,60
0.05285130813717842,25,0.05293145775794983,708.2269287109375,7911,0.05271817371249199,0.05282972753047943,0.05284232646226883,0.05297864228487015,0.05291770398616791,0.052821073681116104,1048576,0.05271817371249199,1.1006279722832075,0.05286720022559166,0.052857961505651474,1.8552036199095023,0.0,0.832579185520362,1.4106606334841638,0.052941933274269104,36,0.96,983.83,0.052922941744327545,1.0,0.05296822264790535,0.052866797894239426,0.05288466066122055,0.05286667123436928,0.052888091653585434,0.05297395586967468,132,0.05290579795837402,0.05288950353860855,0.167420814479638,0.052884623408317566,0.05291350558400154,0.05280619114637375,0.05285574495792389,8,0.05277569591999054,0.05297864228487015,0.1,0.5333333333333333,0.0033207317,32,1e-05,28,2.9491920471191406,-0.5195837020874023,0.052878398448228836,45,38.110878041386606,0.0,29,0.2,0.8461538461538461,26,1.0,0.9642857142857143,184,0.13770904541015624,0.6551724137931034,-0.001965015341738763,1.1019654446281493,70
0.053284648805856705,6,0.05336179584264755,524.538330078125,7888,0.053131621330976486,0.053275033831596375,0.05325278639793396,0.053417522460222244,0.053349658846855164,0.053267478942871094,1179648,0.053131621330976486,1.3573401518890775,0.053294114768505096,0.053260188549757004,2.3205128205128207,0.0,0.47435897435897434,1.382923076923078,0.05338190123438835,4,1.0,734.31,0.05333424359560013,1.0,0.0533660426735878,0.053304776549339294,0.05326882377266884,0.053372595459222794,0.053329095244407654,0.05337931588292122,149,0.05333802103996277,0.05333168804645538,0.5256410256410257,0.053347013890743256,0.053338758647441864,0.05322817340493202,0.053280215710401535,9,0.05318322777748108,0.053417522460222244,0.1,0.11538461538461539,0.003234147,7,1e-05,9,2.973729133605957,-0.6135401725769043,0.05330715328454971,26,37.908239901065826,0.0,20,0.2,0.6666666666666666,6,0.8571428571428571,1.0,37,0.13429412841796876,0.25,-0.0016906194579860312,1.1425351159647108,80
0.05371113494038582,19,0.053762879222631454,711.0179443359375,7845,0.05351001396775246,0.05373229458928108,0.05367197468876839,0.053845953196287155,0.05378725379705429,0.053668443113565445,1310720,0.05351001396775246,1.1025248067120053,0.05375396087765694,0.05367136001586914,1.694300518134715,0.0,0.8031088082901554,1.3924663212435244,0.05380083620548248,38,1.0,985.03,0.05376940593123436,0.9736842105263158,0.05378367751836777,0.05370672792196274,0.05369439721107483,0.053811609745025635,0.05378992110490799,0.05379055067896843,167,0.05377655848860741,0.05371763929724693,0.19689119170984457,0.053785290569067,0.05376864969730377,0.053700633347034454,0.05372241511940956,10,0.053583305329084396,0.053845953196287155,0.1,0.5294117647058824,0.0032094852,19,1e-05,24,2.8881616592407227,-0.366060733795166,0.053732678294181824,34,37.70771813392639,0.0,29,0.2,1.0,30,0.8947368421052632,0.9583333333333334,155,0.13340835571289061,0.3793103448275862,-0.001631367667505401,1.0084908684249967,90
