time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/clip_range_vf,train/entropy_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/std,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,train/adaptive_lr
38,428.75,3417,1,37.53132247924805,131072,,,,,,,,,,,,,
95,724.55,2735,2,42.87864685058594,262144,0.2,39.497702690958974,0.002282341,0.11428298950195312,-0.001212027667043003,0.04989122226834297,2.894622034672648,3.8318052291870117,1e-05,0.1,-0.09127771854400635,10,6.6666666666666675e-06
154,562.52,2551,3,22.575666427612305,393216,0.2,39.45266681909561,0.0019142957,0.08250885009765625,-0.002854901613864058,0.04997299611568451,1.283983709104359,1.630355954170227,6.6666666666666675e-06,0.1,-0.388232946395874,20,6.6666666666666675e-06
213,474.64,2459,4,19.525285720825195,524288,0.2,39.41244702637196,0.0018364079,0.07733840942382812,-0.002677638786190073,0.05005181208252907,1.1247608349192888,1.4918609857559204,6.6666666666666675e-06,0.1,-0.5640445947647095,30,6.6666666666666675e-06
272,503.59,2402,5,19.73169708251953,655360,0.2,39.37208232581615,0.0018230877,0.07783203125,-0.00293610543790237,0.05013548955321312,1.0254672951996326,1.388990044593811,6.6666666666666675e-06,0.1,-0.2178645133972168,40,6.6666666666666675e-06
332,571.89,2367,6,22.802793502807617,786432,0.2,39.3316899985075,0.001866468,0.08080215454101562,-0.0031963272281245736,0.05021398887038231,0.9422157197259367,1.3845294713974,6.6666666666666675e-06,0.1,0.07231426239013672,50,6.6666666666666675e-06
391,445.89,2340,7,17.568384170532227,917504,0.2,39.29239110946655,0.0019037214,0.0826751708984375,-0.0031490217485043103,0.050292275846004486,0.8189027931075543,1.1832334995269775,6.6666666666666675e-06,0.1,0.21334946155548096,60,6.6666666666666675e-06
452,597.79,2319,8,22.970314025878906,1048576,0.2,39.25108347535134,0.001813686,0.07729873657226563,-0.0030742191094759617,0.050379570573568344,0.7676453154999763,1.1486926078796387,6.6666666666666675e-06,0.1,0.3616734743118286,70,6.6666666666666675e-06
511,633.81,2305,9,24.90314483642578,1179648,0.2,39.21182946264744,0.0018076028,0.07551345825195313,-0.0028967101043235743,0.05045237019658089,0.712075316766277,1.0853488445281982,6.6666666666666675e-06,0.1,0.42128920555114746,80,6.6666666666666675e-06
571,477.99,2292,10,18.91206169128418,1310720,0.2,39.17281811237335,0.0018383674,0.08033447265625,-0.0029033757009528927,0.05053601413965225,0.6289681538939476,0.9787760972976685,6.6666666666666675e-06,0.1,0.5121761560440063,90,6.6666666666666675e-06
632,518.87,2280,11,20.5230712890625,1441792,0.2,39.13025558590889,0.0018722224,0.08015594482421876,-0.0031353581396615484,0.05062435194849968,0.6130877955816686,1.0056734085083008,6.6666666666666675e-06,0.1,0.5889041423797607,100,6.6666666666666675e-06
