rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/std,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_range_vf,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/clip_fraction,train/approx_kl
114.36,131072,1,9566,13,4.167687892913818,,,,,,,,,,,,
103.52,262144,2,8781,29,3.5920398235321045,1.009626865386963,-0.10726773738861084,10,0.1,-0.0009933866502251476,0.2,2.3900032797828317,1e-05,-34.178834456205365,1.20047128200531,0.06053848266601562,0.0027516182
116.44,393216,3,8647,45,4.142410755157471,1.018761157989502,0.07730591297149658,20,0.1,-0.0012306472399359336,0.2,0.8128493623342365,1e-05,-34.40342941880226,-0.9855597019195557,0.050640869140625,0.002457317
103.83,524288,4,8454,62,3.6527140140533447,1.0277036428451538,0.21387165784835815,30,0.1,-0.0011065787336519862,0.2,0.7286106743849814,1e-05,-34.61509532928467,-1.023019790649414,0.0436614990234375,0.0022987118
94.09,655360,5,8371,78,3.2519116401672363,1.0362935066223145,0.29740482568740845,40,0.1,-0.0012549507073345012,0.2,0.7226563886273653,1e-05,-34.82135441601277,-1.0052039623260498,0.044451904296875,0.0022542714
102.81,786432,6,8363,94,3.579415798187256,1.0453848838806152,0.3270324468612671,50,0.1,-0.001277685151580954,0.2,0.747151575004682,1e-05,-35.02614399194717,-1.042600393295288,0.04412384033203125,0.002289815
100.72,917504,7,8356,109,3.5440268516540527,1.054215431213379,0.3179493546485901,60,0.1,-0.0012025290600831795,0.2,0.811844895221293,1e-05,-35.23101998269558,-0.9736762046813965,0.04268798828125,0.0022446946
110.33,1048576,8,8343,125,3.8726794719696045,1.062923789024353,0.33265602588653564,70,0.1,-0.0013138902754690207,0.2,0.8501671004109085,1e-05,-35.430748066306116,-0.9077035188674927,0.040254974365234376,0.0021623024
116.52,1179648,9,8345,141,4.046113014221191,1.0717196464538574,0.36609768867492676,80,0.1,-0.0012664296878028836,0.2,0.8545179883949459,1e-05,-35.62918687164783,-0.9448258280754089,0.04043731689453125,0.0021603343
98.74,1310720,10,8322,157,3.4745588302612305,1.0808026790618896,0.39469224214553833,90,0.1,-0.0013582085019152145,0.2,0.8305012544151396,1e-05,-35.83054730594158,-1.01969575881958,0.044416046142578124,0.0022518942
90.73,1441792,11,8302,173,3.1818430423736572,1.089945673942566,0.4017912745475769,100,0.1,-0.0012461555879781372,0.2,0.8196553552057594,1e-05,-36.03262368738651,-0.948508620262146,0.04442596435546875,0.0022431905
92.97,1572864,12,8288,189,3.2838797569274902,1.0990829467773438,0.41166263818740845,110,0.1,-0.0013902486328333907,0.2,0.8105870391707868,1e-05,-36.23460755348206,-1.060760736465454,0.04481964111328125,0.0022459743
98.65,1703936,13,8272,205,3.458380699157715,1.1085615158081055,0.43327856063842773,120,0.1,-0.001141166120669368,0.2,0.799838088080287,1e-05,-36.437908267974855,-1.0253435373306274,0.042423248291015625,0.002219766
104.1,1835008,14,8271,221,3.691262722015381,1.117964267730713,0.4518827795982361,130,0.1,-0.0014619311155001924,0.2,0.7754348025191575,1e-05,-36.642320168018344,-1.0586137771606445,0.046933746337890624,0.0022800008
116.42,1966080,15,8274,237,4.246618747711182,1.1275502443313599,0.46043217182159424,140,0.1,-0.0014487605958493077,0.2,0.7711224043741822,1e-05,-36.84618954360485,-1.0720298290252686,0.04782180786132813,0.0023013586
106.6,2097152,16,8278,253,3.8747429847717285,1.1370218992233276,0.4758521318435669,150,0.1,-0.001312161133319023,0.2,0.7709766237065196,1e-05,-37.04804980456829,-1.1026452779769897,0.045873260498046874,0.0022591408
97.82,2228224,17,8264,269,3.552380323410034,1.146560549736023,0.45149070024490356,160,0.1,-0.0011822076983662555,0.2,0.7796864708419889,1e-05,-37.2493222206831,-1.082200288772583,0.044397735595703126,0.0022186935
121.25,2359296,18,8264,285,4.452314853668213,1.156183123588562,0.4717743992805481,170,0.1,-0.0013786797591819778,0.2,0.7739798839669675,1e-05,-37.45006233155728,-1.109316110610962,0.04713363647460937,0.0022713316
117.67,2490368,19,8256,301,4.286986827850342,1.165813684463501,0.47512519359588623,180,0.1,-0.0012816514677979284,0.2,0.775273616751656,1e-05,-37.64940963089466,-1.072265625,0.04740753173828125,0.0022423097
106.97,2621440,20,8263,317,3.9616434574127197,1.1755192279815674,0.47855859994888306,190,0.1,-0.0013899637044232805,0.2,0.7775468375533819,1e-05,-37.84852886199951,-1.1493775844573975,0.04868927001953125,0.002244453
124.92,2752512,21,8268,332,4.674363613128662,1.185368537902832,0.5027819871902466,200,0.1,-0.001253040228766622,0.2,0.7688784442376345,1e-05,-38.04802737236023,-1.1436402797698975,0.045896148681640624,0.002240373
97.31,2883584,22,8266,348,3.5169622898101807,1.195432186126709,0.5125194787979126,210,0.1,-0.0015347826065408299,0.2,0.747661404358223,1e-05,-38.25019406676292,-1.1998991966247559,0.0523162841796875,0.0022949493
110.85,3014656,23,8273,364,4.136845588684082,1.2054393291473389,0.5208393335342407,220,0.1,-0.001430824447015766,0.2,0.7492782823275774,1e-05,-38.45113582611084,-1.1831116676330566,0.05029220581054687,0.002278066
117.33,3145728,24,8274,380,4.292318344116211,1.2152814865112305,0.5221982002258301,230,0.1,-0.0011716142789737205,0.2,0.7383784524165093,1e-05,-38.64794750511646,-1.2501819133758545,0.046382904052734375,0.0021924314
111.37,3276800,25,8276,395,4.241053581237793,1.2255322933197021,0.535608172416687,240,0.1,-0.0014545031075613225,0.2,0.7508289444725961,1e-05,-38.84754717350006,-1.196401596069336,0.052947998046875,0.0023012448
115.77,3407872,26,8277,411,4.367690563201904,1.235804557800293,0.5465517044067383,250,0.1,-0.0015953408354107523,0.2,0.7318189865443856,1e-05,-39.048366656899454,-1.253103494644165,0.0529510498046875,0.0022930542
123.31,3538944,27,8277,427,4.772918224334717,1.2461847066879272,0.5421988368034363,260,0.1,-0.0015866119155361958,0.2,0.7428529052063823,1e-05,-39.24895577430725,-1.2072093486785889,0.05270309448242187,0.0022914372
117.74,3670016,28,8273,443,4.460880279541016,1.2565736770629883,0.5420405864715576,270,0.1,-0.0014500333688374667,0.2,0.741455734660849,1e-05,-39.44832891523838,-1.284114122390747,0.0510345458984375,0.002249041
111.87,3801088,29,8275,459,4.3421783447265625,1.2673819065093994,0.5641873478889465,280,0.1,-0.0014919458632903116,0.2,0.7347322191577405,1e-05,-39.651552045345305,-1.3047821521759033,0.052326202392578125,0.0023283132
111.74,3932160,30,8290,474,4.299912929534912,1.2780189514160156,0.5636895895004272,290,0.1,-0.001683003787547932,0.2,0.7325587366707623,1e-05,-39.854087406396864,-1.2553091049194336,0.054692840576171874,0.0023120074
114.73,4063232,31,8294,489,4.462328910827637,1.2886090278625488,0.5727638006210327,300,0.1,-0.0015060698922752635,0.2,0.7198582843877375,1e-05,-40.05304963290691,-1.2924745082855225,0.05185546875,0.0022572263
109.44,4194304,32,8300,505,4.32463264465332,1.2991969585418701,0.5706222057342529,310,0.1,-0.0014893896280227636,0.2,0.740938969841227,1e-05,-40.2499130398035,-1.2820377349853516,0.05356292724609375,0.0022570286
122.59,4325376,33,8302,520,4.887334823608398,1.3100717067718506,0.5828115940093994,320,0.1,-0.0013579149705037707,0.2,0.7337413616944104,1e-05,-40.44832423329353,-1.324580192565918,0.05136871337890625,0.0022440592
117.77,4456448,34,8305,536,4.700088977813721,1.32081937789917,0.5916503667831421,330,0.1,-0.001572894408400316,0.2,0.7413028436712921,1e-05,-40.64638774991035,-1.3070645332336426,0.0563751220703125,0.0022897848
121.95,4587520,35,8319,551,4.890295505523682,1.331850290298462,0.6041844487190247,340,0.1,-0.001714403402638709,0.2,0.7318460199516267,1e-05,-40.84458266198635,-1.2744970321655273,0.059552001953125,0.0023477117
117.53,4718592,36,8323,566,4.744430065155029,1.342895269393921,0.6114695072174072,350,0.1,-0.0015478607918339548,0.2,0.7135380320250988,1e-05,-41.043355748057365,-1.3907415866851807,0.05483245849609375,0.0022912396
131.54,4849664,37,8335,581,5.373401641845703,1.3541538715362549,0.6272242069244385,360,0.1,-0.0014008601073328465,0.2,0.7236876259092242,1e-05,-41.242384588718416,-1.3020766973495483,0.05527420043945312,0.0022859774
119.4,4980736,38,8346,596,4.923791408538818,1.3654906749725342,0.6220184564590454,370,0.1,-0.0013360936325625516,0.2,0.7156075006816536,1e-05,-41.442529052495956,-1.3403513431549072,0.05096359252929687,0.0022240942
144.5,5111808,39,8354,611,5.743474006652832,1.377079963684082,0.626252293586731,380,0.1,-0.0016943002620791957,0.2,0.7151116552297025,1e-05,-41.64421067535877,-1.342939853668213,0.055850982666015625,0.0023350168
134.91,5242880,40,8360,627,5.563720226287842,1.3886421918869019,0.6432254314422607,390,0.1,-0.0015857459000471863,0.2,0.720493495510891,1e-05,-41.84568314254284,-1.413630723953247,0.05524520874023438,0.0023127093
118.41,5373952,41,8361,642,4.906649112701416,1.4002971649169922,0.6467612981796265,400,0.1,-0.0015622004306351301,0.2,0.7024181771557778,1e-05,-42.04671775400639,-1.3926043510437012,0.056524658203125,0.0023076623
134.21,5505024,42,8367,657,5.515260219573975,1.411982536315918,0.6521410346031189,410,0.1,-0.0014187601655066828,0.2,0.7190693389624357,1e-05,-42.24603467583656,-1.4281145334243774,0.05309600830078125,0.002240702
123.92,5636096,43,8372,673,5.223801136016846,1.4239909648895264,0.6497173309326172,420,0.1,-0.001604302480154729,0.2,0.7094807481393218,1e-05,-42.4476696074009,-1.4492666721343994,0.05412445068359375,0.0022518528
