Wall time,Step,Value
1760866400.2704878,524288,14.589977264404297
1760866449.0621643,1048576,11.759441375732422
1760866498.4602985,1572864,10.931255340576172
1760866548.0369444,2097152,7.363893985748291
1760866597.710635,2621440,9.084114074707031
1760866647.4265068,3145728,8.797296524047852
1760866697.1463394,3670016,9.810894966125488
1760866746.6431348,4194304,8.960759162902832
1760866796.6312592,4718592,12.700765609741211
1760866846.6936812,5242880,14.01111125946045
1760866897.0158837,5767168,12.291604995727539
1760866949.3760798,6291456,13.11709976196289
1760866999.094277,6815744,15.069432258605957
1760867048.2847273,7340032,14.804878234863281
1760867097.7117772,7864320,14.909693717956543
1760867147.178025,8388608,14.716954231262207
1760867196.5647411,8912896,15.739794731140137
1760867246.6482112,9437184,13.556375503540039
1760867297.083934,9961472,15.32107162475586
1760867346.9702048,10485760,16.22312355041504
1760867397.1082976,11010048,14.766741752624512
1760867446.5226247,11534336,14.677385330200195
1760867496.3902345,12058624,15.774331092834473
1760867546.8139396,12582912,17.139829635620117
1760867596.3122249,13107200,15.302606582641602
1760867645.9963932,13631488,15.220669746398926
1760867695.550324,14155776,17.322473526000977
1760867744.983771,14680064,16.782869338989258
1760867796.1825252,15204352,15.961568832397461
1760867847.0487866,15728640,17.920034408569336
1760867897.5563262,16252928,16.751611709594727
1760867948.2363033,16777216,18.164857864379883
1760867998.6423783,17301504,18.878541946411133
1760868049.488309,17825792,15.700760841369629
1760868100.3372784,18350080,15.198902130126953
1760868151.208734,18874368,16.52324867248535
