Wall time,Step,Value
1760858875.723559,131072,956.4000244140625
1760858894.2902353,262144,868.239990234375
1760858911.966089,393216,836.3300170898438
1760858929.5020192,524288,795.6300048828125
1760858947.1094358,655360,784.7999877929688
1760858964.5919647,786432,722.0599975585938
1760858982.2230551,917504,751.5900268554688
1760858999.7065113,1048576,720.1699829101562
1760859017.0318751,1179648,771.6199951171875
1760859034.2968411,1310720,759.22998046875
1760859051.709217,1441792,770.0
1760859069.1344886,1572864,776.4199829101562
1760859086.5867727,1703936,741.239990234375
1760859104.0034432,1835008,806.8800048828125
1760859121.472452,1966080,824.239990234375
1760859139.0567682,2097152,795.260009765625
1760859156.6755633,2228224,856.280029296875
1760859174.7457905,2359296,884.2000122070312
1760859192.891917,2490368,886.3400268554688
1760859211.178015,2621440,870.2000122070312
1760859229.1556654,2752512,905.4600219726562
1760859247.0588746,2883584,915.5
1760859264.7194297,3014656,912.8400268554688
1760859282.2948186,3145728,905.9299926757812
1760859299.8672552,3276800,912.6699829101562
1760859317.587151,3407872,948.6599731445312
1760859335.284967,3538944,931.4199829101562
1760859352.8940258,3670016,949.5399780273438
1760859370.5205898,3801088,936.3599853515625
1760859388.2242978,3932160,973.5399780273438
1760859405.860658,4063232,968.52001953125
1760859423.5452287,4194304,944.969970703125
1760859441.1837857,4325376,960.27001953125
1760859458.7361581,4456448,961.780029296875
1760859476.3743987,4587520,964.8900146484375
1760859494.0204623,4718592,983.1900024414062
1760859511.6199634,4849664,969.1900024414062
1760859529.2485209,4980736,973.4000244140625
1760859546.8644989,5111808,951.0999755859375
1760859564.3724997,5242880,966.9600219726562
1760859581.8894587,5373952,972.3099975585938
1760859599.5457315,5505024,986.5800170898438
1760859617.031063,5636096,986.4199829101562
1760859634.5995765,5767168,997.6799926757812
1760859652.1830761,5898240,987.2000122070312
1760859670.1109939,6029312,990.0599975585938
1760859689.13939,6160384,990.0499877929688
1760859707.1766846,6291456,993.3499755859375
1760859726.7290885,6422528,995.9099731445312
1760859746.2790594,6553600,999.4500122070312
1760859763.9124546,6684672,997.6799926757812
1760859781.3354094,6815744,992.5999755859375
1760859799.0054367,6946816,1000.0
1760859816.730259,7077888,1000.0
1760859834.105558,7208960,1000.0
1760859851.7638216,7340032,1000.0
1760859869.2081056,7471104,1000.0
1760859886.938143,7602176,1000.0
1760859904.7482924,7733248,1000.0
1760859922.3743162,7864320,1000.0
1760859940.1130736,7995392,1000.0
1760859957.6461704,8126464,1000.0
1760859975.383771,8257536,1000.0
1760859992.9209468,8388608,1000.0
1760860010.547136,8519680,1000.0
1760860028.1343687,8650752,1000.0
1760860045.5477962,8781824,1000.0
1760860063.18096,8912896,1000.0
1760860080.5642457,9043968,1000.0
1760860098.1984658,9175040,1000.0
1760860115.684866,9306112,1000.0
1760860133.0465157,9437184,1000.0
1760860150.694431,9568256,1000.0
1760860168.1787932,9699328,1000.0
1760860185.75522,9830400,1000.0
1760860203.2601178,9961472,1000.0
1760860220.8838642,10092544,1000.0
1760860238.4904964,10223616,1000.0
1760860256.0281637,10354688,1000.0
1760860273.639752,10485760,1000.0
1760860291.2681863,10616832,1000.0
1760860308.9988325,10747904,1000.0
1760860326.608754,10878976,1000.0
1760860344.1444159,11010048,1000.0
1760860361.803538,11141120,1000.0
1760860379.3509316,11272192,1000.0
1760860396.893355,11403264,1000.0
1760860414.1403408,11534336,1000.0
1760860431.9111893,11665408,1000.0
1760860449.7244647,11796480,1000.0
1760860467.2624319,11927552,1000.0
1760860484.9970043,12058624,1000.0
1760860502.6145055,12189696,1000.0
1760860520.3809326,12320768,1000.0
1760860537.9282084,12451840,1000.0
1760860555.2901907,12582912,1000.0
1760860572.8954735,12713984,1000.0
1760860590.1728318,12845056,1000.0
1760860608.2086678,12976128,1000.0
1760860626.7652643,13107200,1000.0
1760860644.1009438,13238272,1000.0
1760860662.0000188,13369344,1000.0
1760860679.6486566,13500416,1000.0
1760860697.1084955,13631488,1000.0
1760860714.678584,13762560,1000.0
1760860732.751825,13893632,1000.0
1760860750.9953413,14024704,1000.0
1760860768.6893332,14155776,1000.0
1760860786.1647217,14286848,1000.0
1760860803.637072,14417920,1000.0
1760860821.0840673,14548992,1000.0
1760860838.6378834,14680064,1000.0
1760860856.2805731,14811136,1000.0
1760860873.7988086,14942208,1000.0
1760860891.298515,15073280,1000.0
1760860908.7231128,15204352,1000.0
1760860926.1981735,15335424,1000.0
1760860943.655477,15466496,1000.0
1760860961.0209565,15597568,1000.0
1760860978.4972646,15728640,1000.0
1760860995.929099,15859712,1000.0
1760861013.424768,15990784,1000.0
1760861030.9681554,16121856,1000.0
1760861048.432418,16252928,1000.0
1760861065.9913237,16384000,1000.0
1760861083.600561,16515072,1000.0
1760861101.1323743,16646144,1000.0
1760861118.7012098,16777216,1000.0
1760861136.1724505,16908288,1000.0
1760861153.5998175,17039360,1000.0
1760861171.0513144,17170432,1000.0
1760861188.5385928,17301504,1000.0
1760861206.0027394,17432576,1000.0
1760861223.4960103,17563648,1000.0
1760861241.0008333,17694720,1000.0
1760861258.5252755,17825792,1000.0
1760861276.0177648,17956864,1000.0
1760861293.525132,18087936,1000.0
1760861311.011891,18219008,1000.0
1760861328.540462,18350080,1000.0
1760861346.0667655,18481152,1000.0
1760861363.5244377,18612224,1000.0
1760861380.9820635,18743296,1000.0
1760861398.4365373,18874368,1000.0
1760861415.880013,19005440,1000.0
1760861433.3386447,19136512,1000.0
1760861450.808242,19267584,1000.0
1760861468.1730928,19398656,1000.0
1760861485.6311598,19529728,1000.0
1760861503.073705,19660800,1000.0
1760861520.5008674,19791872,1000.0
1760861537.8318732,19922944,1000.0
1760861555.1448598,20054016,1000.0
1760861572.6804724,20185088,1000.0
1760861590.0633967,20316160,1000.0
1760861607.4519672,20447232,1000.0
1760861624.8131492,20578304,1000.0
1760861642.2361393,20709376,1000.0
1760861659.7030838,20840448,1000.0
1760861677.1898901,20971520,1000.0
1760861694.6233687,21102592,1000.0
1760861712.1181538,21233664,1000.0
1760861729.5379243,21364736,1000.0
1760861746.8808265,21495808,1000.0
1760861764.3604465,21626880,1000.0
1760861782.123168,21757952,1000.0
1760861799.6080875,21889024,1000.0
1760861817.0309005,22020096,1000.0
1760861834.4499655,22151168,1000.0
1760861851.7780194,22282240,1000.0
1760861869.3247468,22413312,1000.0
1760861886.9462464,22544384,1000.0
1760861904.400167,22675456,1000.0
1760861921.7748694,22806528,1000.0
1760861939.2757533,22937600,1000.0
1760861956.7472172,23068672,1000.0
1760861974.1800487,23199744,1000.0
1760861991.4594707,23330816,1000.0
1760862008.796904,23461888,1000.0
1760862026.157348,23592960,1000.0
1760862043.5574243,23724032,1000.0
1760862060.964585,23855104,1000.0
1760862078.2676058,23986176,1000.0
1760862095.7264645,24117248,1000.0
1760862113.328774,24248320,1000.0
1760862130.758044,24379392,1000.0
1760862148.1007497,24510464,1000.0
1760862165.4924867,24641536,1000.0
1760862182.9524,24772608,1000.0
1760862200.5166936,24903680,1000.0
1760862218.1415155,25034752,1000.0
1760862235.7749846,25165824,1000.0
1760862253.3509417,25296896,1000.0
1760862270.863161,25427968,1000.0
1760862288.528114,25559040,1000.0
1760862306.1830559,25690112,1000.0
1760862323.723472,25821184,1000.0
1760862341.308045,25952256,1000.0
1760862359.0405211,26083328,1000.0
1760862376.7438369,26214400,1000.0
1760862394.1748204,26345472,1000.0
1760862411.7249024,26476544,1000.0
1760862429.2661512,26607616,1000.0
1760862446.8835354,26738688,1000.0
