rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/clip_range_vf,train/loss,train/value_loss,train/std,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/learning_rate
295.66,8,131072,1,14970,8.185822486877441,,,,,,,,,,,,
787.73,20,262144,2,12728,28.241722106933594,0.9362839460372925,6220,0.2,0.49852973222732544,0.3462334890384227,0.20845907926559448,0.1,-0.0014635226475547825,0.00080185203,3.5913596792146563,0.00396728515625,1e-06
495.64,32,393216,3,12181,16.772035598754883,0.8895812034606934,6230,0.2,0.6885221004486084,0.4903961820527911,0.2086605429649353,0.1,-0.0012392582459142432,0.00089158193,3.568872299976647,0.00572509765625,1e-06
592.48,43,524288,4,11940,20.809049606323242,0.8791956901550293,6240,0.2,0.6798783540725708,0.5920905886916443,0.20886127650737762,0.1,-0.0013073861792690876,0.0009796442,3.545742269232869,0.009037017822265625,1e-06
523.29,55,655360,5,11747,17.925996780395508,0.8882344961166382,6250,0.2,0.7636496424674988,0.5212127133272588,0.20905640721321106,0.1,-0.0011930697764910292,0.0008836308,3.5230381892994047,0.00655517578125,1e-06
544.78,67,786432,6,11649,18.05447006225586,0.8861361145973206,6260,0.2,0.7792378664016724,0.5969165089540184,0.20925447344779968,0.1,-0.0013245240967080462,0.0009602528,3.500488939508796,0.008728790283203124,1e-06
495.71,79,917504,7,11612,16.17740821838379,0.8977040648460388,6270,0.2,0.8853884935379028,0.5590482806786895,0.20944713056087494,0.1,-0.001488699896435719,0.0009828982,3.4780915876850487,0.00860443115234375,1e-06
481.28,91,1048576,8,11516,15.394381523132324,0.904779851436615,6280,0.2,0.726469874382019,0.4766051763901487,0.20963875949382782,0.1,-0.001155627760272182,0.00075501064,3.4560762191191317,0.00312042236328125,1e-06
412.66,102,1179648,9,11485,12.767678260803223,0.9012746214866638,6290,0.2,0.6826993227005005,0.5356331973802299,0.2098323106765747,0.1,-0.0013143803608727466,0.00087748194,3.434055257588625,0.005132293701171875,1e-06
553.29,114,1310720,10,11450,19.35788917541504,0.9183313846588135,6300,0.2,0.5464922189712524,0.44530486592557283,0.21002861857414246,0.1,-0.0012419704466992698,0.0008225152,3.4117077914997935,0.00446319580078125,1e-06
564.65,126,1441792,11,11433,19.316312789916992,0.8921773433685303,6310,0.2,0.6897382736206055,0.5345719420816749,0.2102324664592743,0.1,-0.0012809598252715658,0.0009975198,3.3887685423716905,0.008274078369140625,1e-06
491.07,137,1572864,12,11420,15.7990140914917,0.8986972570419312,6320,0.2,0.6422744989395142,0.511366302613169,0.21042810380458832,0.1,-0.0012640323339837777,0.0008546077,3.3660734672099353,0.005538177490234375,1e-06
524.91,149,1703936,13,11416,17.715679168701172,0.9091360569000244,6330,0.2,0.7310577630996704,0.4926594820804894,0.2106211632490158,0.1,-0.0011571362292670528,0.00069721555,3.3439132565632463,0.0023284912109375,1e-06
510.95,160,1835008,14,11407,16.946239471435547,0.9056688547134399,6340,0.2,0.5725764632225037,0.474619349045679,0.21082286536693573,0.1,-0.0013708956001210026,0.0009209504,3.321350849792361,0.006906890869140625,1e-06
547.67,172,1966080,15,11411,18.492563247680664,0.8986703157424927,6350,0.2,0.7259595990180969,0.5326001922832801,0.2110244482755661,0.1,-0.0013875956319679972,0.00090740394,3.298419880867004,0.006067657470703125,1e-06
511.11,183,2097152,16,11403,17.373830795288086,0.8988756537437439,6360,0.2,0.6445622444152832,0.48974021812900903,0.21122515201568604,0.1,-0.0011662642915325704,0.0007374877,3.275587565265596,0.002651214599609375,1e-06
593.75,195,2228224,17,11407,20.585966110229492,0.886850118637085,6370,0.2,0.7136830687522888,0.5489569046068936,0.21142655611038208,0.1,-0.0011864202435390326,0.0008580445,3.2527284627780317,0.005313873291015625,1e-06
617.9,206,2359296,18,11421,21.815773010253906,0.8948954343795776,6380,0.2,0.6202594041824341,0.5195752821397036,0.21162322163581848,0.1,-0.0011832708050860674,0.00087041385,3.2301506701856852,0.00531768798828125,1e-06
559.7,218,2490368,19,11410,19.612483978271484,0.8932586312294006,6390,0.2,0.7158580422401428,0.524605826055631,0.21182577311992645,0.1,-0.0011722065838512207,0.0008858479,3.2074994461610915,0.006031036376953125,1e-06
