time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/loss,train/n_updates,train/adaptive_lr,train/approx_kl,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/std,train/clip_range_vf,train/clip_fraction
1,36.994598388671875,426.1212121212121,131072,3424,38,,,,,,,,,,,,,
2,43.15447235107422,727.11,262144,2723,96,3.8703794479370117,10,1.5000000000000002e-05,0.0023725163,0.1,1e-05,2.841198136191815,-0.05612051486968994,39.49565736949444,-0.0011683065871693544,0.04989877715706825,0.2,0.11509475708007813
3,22.79086685180664,564.95,393216,2552,154,1.446298599243164,20,2.2500000000000005e-05,0.002840408,0.1,1.5000000000000002e-05,1.0825909845065325,0.025853335857391357,39.43555286228657,-0.0021447653404720766,0.0500166080892086,0.2,0.14300155639648438
4,19.303203582763672,473.62,524288,2458,213,1.2722914218902588,30,3.375000000000001e-05,0.0034655333,0.1,2.2500000000000005e-05,0.900256915576756,0.08650863170623779,39.365809524059294,-0.0006982427195453056,0.05015740543603897,0.2,0.18021163940429688
5,18.480369567871094,463.91,655360,2405,272,1.2437411546707153,40,5.062500000000001e-05,0.0049349805,0.1,3.375000000000001e-05,0.8168344172183424,0.23723405599594116,39.2877173602581,0.0011068017571233212,0.05030650272965431,0.2,0.24501190185546876
6,21.964946746826172,548.96,786432,2370,331,1.174511194229126,50,5.062500000000001e-05,0.0069599315,0.1,5.062500000000001e-05,0.771577129047364,0.3618120551109314,39.20823535323143,0.0044691029469504425,0.05045144259929657,0.2,0.31739959716796873
7,18.03649139404297,454.47,917504,2340,391,1.0205281972885132,60,5.062500000000001e-05,0.0069604786,0.1,5.062500000000001e-05,0.6240554390475154,0.4836399555206299,39.13854701519013,0.004129063214168127,0.050595808774232864,0.2,0.3165374755859375
8,23.90727996826172,616.37,1048576,2316,452,0.9648239612579346,70,5.062500000000001e-05,0.006795887,0.1,5.062500000000001e-05,0.6045059147756546,0.5875829458236694,39.05856577754021,0.003702077723119146,0.05076022073626518,0.2,0.307843017578125
9,24.356008529663086,619.6,1179648,2303,512,0.9229273796081543,80,5.062500000000001e-05,0.00665105,0.1,5.062500000000001e-05,0.5484948750119656,0.616097092628479,38.9806095123291,0.003912794855523316,0.05091804638504982,0.2,0.3046897888183594
10,20.01971435546875,495.67,1310720,2290,572,0.8674109578132629,90,5.062500000000001e-05,0.0066297227,0.1,5.062500000000001e-05,0.5035443012369797,0.6818829774856567,38.898999720811844,0.003485125866609451,0.05108995363116264,0.2,0.31169586181640624
11,22.98819351196289,583.94,1441792,2276,633,0.8567086458206177,100,5.062500000000001e-05,0.006516813,0.1,5.062500000000001e-05,0.4798047739546746,0.717136025428772,38.82567167878151,0.003220052211509028,0.051235049962997437,0.2,0.3001838684082031
12,19.6500186920166,498.8,1572864,2256,696,0.8003742098808289,110,5.062500000000001e-05,0.0068494505,0.1,5.062500000000001e-05,0.4242436046944931,0.7910462021827698,38.74905306696892,0.0032567670801654457,0.05138696730136871,0.2,0.30699615478515624
13,18.289308547973633,465.16,1703936,2246,758,0.7837448120117188,120,5.062500000000001e-05,0.006639146,0.1,5.062500000000001e-05,0.41777090057730676,0.804596483707428,38.67436873316765,0.0032632501576699722,0.05154258757829666,0.2,0.2993141174316406
14,19.979249954223633,508.92,1835008,2230,822,0.7911611199378967,130,5.062500000000001e-05,0.006697708,0.1,5.062500000000001e-05,0.39654171753209083,0.8220670223236084,38.59136840701103,0.003121840294852518,0.05171993747353554,0.2,0.30068206787109375
15,19.420377731323242,507.64,1966080,2213,888,0.765017032623291,140,5.062500000000001e-05,0.0066800867,0.1,5.062500000000001e-05,0.39888000732753426,0.8206917643547058,38.51655064821243,0.0029711370740187703,0.051871996372938156,0.2,0.3003105163574219
