rollout/force_direction_mean,train/action_std_10,train/std_max,train/action_std_15,train/action_std_05,rollout/is_timeout_mean,train/action_std_08,rollout/recovery_noforce,train/action_std_17,train/action_std_02,time/time_elapsed,train/action_std_24,rollout/episodes_noforce,rollout/ep_rew_mean,train/action_std_22,train/std_min,train/action_std_03,rollout/force_requested_impulse_mean,train/action_std_19,train/action_std_18,rollout/ep_len_mean,train/action_std_06,train/action_std_16,train/action_std_11,train/action_std_14,train/action_std_12,time/fps,rollout/force_onset_mean,train/action_std_13,train/action_std_01,time/total_timesteps,train/action_std_20,train/action_std_23,train/action_std_04,rollout/action_saturation_fraction,train/action_std_21,time/iterations,train/action_std_07,train/action_std_09,rollout/is_fall_mean,train/action_std_00,train/learning_rate,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/std,rollout/timeouts,train/explained_variance,train/clip_range_vf,rollout/timeout_without_onset_fraction,train/loss,train/value_loss
-1.0,0.06867562234401703,0.07013538479804993,0.068603515625,0.06917599588632584,0.0,0.0685226321220398,0.0,0.06912874430418015,0.06801695376634598,24,0.06911351531744003,3,231.3850555419922,0.06852459907531738,0.06756757944822311,0.07013538479804993,0.0,0.06844692677259445,0.06756757944822311,349.0,0.06928934901952744,0.06960758566856384,0.06836720556020737,0.06844431161880493,0.06947582960128784,5324,1.5020000000000013,0.0687170922756195,0.06846059858798981,131072,0.06816694140434265,0.06904803216457367,0.06864435970783234,0.0,0.06848327815532684,1,0.06886786222457886,0.06968212127685547,1.0,0.06811090558767319,,,,,,,,,,,,,,
-1.0,0.06868856400251389,0.07014424353837967,0.06862139701843262,0.06919795274734497,0.9802371541501976,0.06853613257408142,0.9802371541501976,0.06915200501680374,0.06804072856903076,55,0.06914417445659637,253,677.2009887695312,0.06853362917900085,0.06759461015462875,0.07014424353837967,0.0,0.06846436113119125,0.06759461015462875,1000.0,0.06931363791227341,0.06962665915489197,0.06838350743055344,0.06846518814563751,0.06948995590209961,4743,1.410007905138341,0.06872513890266418,0.06847726553678513,262144,0.068184033036232,0.06905190646648407,0.06866565346717834,0.0,0.06849080324172974,2,0.06889853626489639,0.06970319151878357,0.019762845849802372,0.06812627613544464,1e-06,1540,0.1,31.44852496981621,-0.002377193247775722,0.031818389892578125,0.0013833076,0.06878878176212311,248,0.8328701257705688,0.2,0.0,0.37419745326042175,0.049920718470821156
-1.0,0.0687006488442421,0.07017020136117935,0.06863456964492798,0.06921955198049545,0.25,0.06854912638664246,0.25,0.06917355954647064,0.06805870682001114,84,0.06916389614343643,12,639.5011596679688,0.06855501979589462,0.06759956479072571,0.07017020136117935,0.0,0.06848333775997162,0.06759956479072571,944.5,0.06933595985174179,0.06963271647691727,0.06840447336435318,0.06848123669624329,0.06949508935213089,4657,1.4370000000000012,0.0687367245554924,0.06848877668380737,393216,0.06820890307426453,0.0690750852227211,0.06869316846132278,0.0,0.06850136816501617,3,0.06892075389623642,0.06972377002239227,0.75,0.06814392656087875,1e-06,1550,0.1,31.442253495752812,-0.002560697280387103,0.029029083251953126,0.0013330274,0.0688060000538826,3,0.7641614675521851,0.2,0.0,0.35319316387176514,0.06708420528302668
-1.0,0.06871400028467178,0.07020236551761627,0.06864266842603683,0.0692472979426384,0.9510204081632653,0.0685897022485733,0.9510204081632653,0.0691971480846405,0.06807128340005875,116,0.06918754428625107,245,680.7846069335938,0.06856080889701843,0.06761953234672546,0.07020236551761627,0.0,0.06850358843803406,0.06761953234672546,1000.0,0.0693504810333252,0.06965677440166473,0.06843264400959015,0.06850370019674301,0.06952138245105743,4506,1.3931102040816337,0.06875790655612946,0.06851489096879959,524288,0.06821999698877335,0.06910392642021179,0.06870484352111816,0.0,0.06852288544178009,4,0.06894773244857788,0.0697530210018158,0.04897959183673469,0.06816796958446503,1e-06,1560,0.1,31.435118302702904,-0.002274083053725917,0.02754364013671875,0.001355699,0.06882776319980621,233,0.8197059035301208,0.2,0.0,0.39150142669677734,0.0988898681171122
-1.0,0.06872358173131943,0.07022262364625931,0.06866162270307541,0.06925652921199799,0.65,0.06859441101551056,0.65,0.06922626495361328,0.0680897906422615,146,0.06921359151601791,20,649.9402465820312,0.06857948005199432,0.06764889508485794,0.07022262364625931,0.0,0.06852225959300995,0.06764889508485794,954.99,0.06937228888273239,0.06968725472688675,0.06845389306545258,0.06852580606937408,0.06952832639217377,4486,1.312600000000001,0.06878266483545303,0.0685378685593605,655360,0.06821763515472412,0.06912417709827423,0.06872112303972244,0.0,0.06854018568992615,5,0.06896611303091049,0.06978268921375275,0.35,0.06819651275873184,1e-06,1570,0.1,31.42769225090742,-0.0024800141357445684,0.0340728759765625,0.0014378193,0.06884702295064926,13,0.8270936608314514,0.2,0.0,0.4754427671432495,0.10463166356203146
-1.0,0.06873457878828049,0.07023452967405319,0.06867323070764542,0.06928198039531708,0.9746835443037974,0.0686241164803505,0.9746835443037974,0.06924694031476974,0.0681191235780716,177,0.06922876089811325,237,683.3712768554688,0.06859689950942993,0.06766583770513535,0.07023452967405319,0.0,0.06853284686803818,0.06766583770513535,1000.0,0.06939780712127686,0.06969566643238068,0.06846961379051208,0.0685347318649292,0.06955166161060333,4443,1.400126582278482,0.06879325956106186,0.06854657828807831,786432,0.06823401898145676,0.06915213167667389,0.06874541193246841,0.0,0.06855735927820206,6,0.06899562478065491,0.06979703158140182,0.02531645569620253,0.06821975111961365,1e-06,1580,0.1,31.420952992141245,-0.0023801734013431997,0.02628173828125,0.0012995971,0.06886518001556396,231,0.7088856101036072,0.2,0.0,0.369239866733551,0.10166052440472413
-1.0,0.06876755505800247,0.07024258375167847,0.06869731098413467,0.06930793821811676,0.7777777777777778,0.0686466321349144,0.7777777777777778,0.06927629560232162,0.06814170628786087,206,0.06925471127033234,27,655.364990234375,0.06861119717359543,0.06768661737442017,0.07024258375167847,0.0,0.06853054463863373,0.06768661737442017,964.9,0.06942270696163177,0.06972205638885498,0.0684821605682373,0.06854651123285294,0.06956604868173599,4433,1.4163703703703712,0.0688195526599884,0.06856821477413177,917504,0.06824398785829544,0.06917467713356018,0.06877052783966064,0.0,0.06857457756996155,7,0.0690176859498024,0.06983072310686111,0.2222222222222222,0.06824024766683578,1e-06,1590,0.1,31.413918961584567,-0.0023194456989585888,0.02573394775390625,0.0012797285,0.06888570636510849,21,0.7952936887741089,0.2,0.0,0.3604726791381836,0.08396803268697113
-1.0,0.06878048181533813,0.07025577872991562,0.06871321052312851,0.06933584809303284,0.9826086956521739,0.06867115944623947,0.9826086956521739,0.06929564476013184,0.06816253811120987,237,0.06927173584699631,230,682.4799194335938,0.0686175748705864,0.06770960241556168,0.07025577872991562,0.0,0.06855620443820953,0.06770960241556168,1000.0,0.06945168226957321,0.06973254680633545,0.06849733740091324,0.06856940686702728,0.06958600133657455,4407,1.4027739130434793,0.06883210688829422,0.06858739256858826,1048576,0.0682682991027832,0.06919127702713013,0.0687863677740097,0.0,0.06859315186738968,8,0.06903970241546631,0.06984405964612961,0.017391304347826087,0.06825070828199387,1e-06,1600,0.1,31.406849560141563,-0.0023423602071488856,0.028363037109375,0.0013051577,0.06890399008989334,226,0.7834993600845337,0.2,0.0,0.3494186997413635,0.07719803918589604
-1.0,0.06878984719514847,0.07027578353881836,0.06872943043708801,0.06935567408800125,0.7297297297297297,0.06868758052587509,0.7297297297297297,0.06931682676076889,0.06817179173231125,267,0.06929492950439453,37,651.2222290039062,0.06863506138324738,0.06771042197942734,0.07027578353881836,0.0,0.06857405602931976,0.06771042197942734,958.02,0.06946691125631332,0.06974155455827713,0.06851690262556076,0.06858881562948227,0.06960348784923553,4404,1.4478918918918928,0.06885392218828201,0.06861258298158646,1179648,0.06829255819320679,0.0692131519317627,0.06880485266447067,0.0,0.06862322986125946,9,0.06906206160783768,0.06985446810722351,0.2702702702702703,0.06825508922338486,1e-06,1610,0.1,31.40035899877548,-0.002337629784778983,0.02928009033203125,0.0012878174,0.06892123818397522,27,0.8566622138023376,0.2,0.0,0.34519144892692566,0.0507328516425332
-1.0,0.06881231814622879,0.07029195874929428,0.06874410063028336,0.06937742233276367,0.9681818181818181,0.0686996653676033,0.9681818181818181,0.069339819252491,0.06818848103284836,298,0.06931757181882858,220,681.1782836914062,0.06866154819726944,0.06773774325847626,0.07029195874929428,0.0,0.068599171936512,0.06773774325847626,994.65,0.06948740780353546,0.06977307051420212,0.0685378834605217,0.06860227882862091,0.06962163001298904,4387,1.3954000000000013,0.06887390464544296,0.06863228231668472,1310720,0.06830886006355286,0.0692359060049057,0.06882520020008087,0.0,0.06865180283784866,10,0.06908068060874939,0.06987067312002182,0.031818181818181815,0.06827616691589355,1e-06,1620,0.1,31.39349655508995,-0.002522317955754261,0.030322265625,0.0013900372,0.06894189864397049,213,0.7882548570632935,0.2,0.0,0.4131259322166443,0.13373689066793304
