train/action_std_20,train/action_std_23,rollout/recovery_noforce,train/action_std_16,train/action_std_22,train/action_std_04,rollout/is_fall_mean,time/fps,train/action_std_13,rollout/ep_len_mean,time/time_elapsed,train/action_std_03,train/action_std_21,train/action_std_24,train/std_max,train/action_std_18,rollout/force_requested_impulse_mean,train/action_std_01,train/action_std_12,train/action_std_05,rollout/force_direction_mean,train/action_std_00,train/action_std_07,train/action_std_10,rollout/is_timeout_mean,train/action_std_08,train/action_std_09,time/total_timesteps,rollout/action_saturation_fraction,rollout/ep_rew_mean,train/action_std_14,train/action_std_17,rollout/force_onset_mean,train/action_std_15,train/action_std_19,train/action_std_06,train/action_std_02,time/iterations,train/std_min,train/action_std_11,rollout/episodes_noforce,rollout/timeouts,train/clip_fraction,train/n_updates,train/explained_variance,train/value_loss,train/loss,train/clip_range_vf,train/policy_gradient_loss,rollout/timeout_without_onset_fraction,train/approx_kl,train/std,train/entropy_loss,train/learning_rate,train/clip_range
0.0689486712217331,0.06835497915744781,0.0,0.0689069926738739,0.06853801012039185,0.06926117092370987,1.0,12775,0.07053038477897644,376.57142857142856,10,0.06891895830631256,0.06952419131994247,0.07033828645944595,0.07066159695386887,0.068891242146492,0.0,0.0689423605799675,0.0688466802239418,0.07066159695386887,-1.0,0.06932161748409271,0.06981445848941803,0.06939252465963364,0.0,0.06884577870368958,0.06990256905555725,131072,0.0,254.97398376464844,0.06972849369049072,0.06906143575906754,1.3514285714285723,0.06899098306894302,0.06935902684926987,0.06888353824615479,0.06891410797834396,1,0.06835497915744781,0.07022932171821594,7,,,,,,,,,,,,,,
0.06897056847810745,0.06837103515863419,0.964,0.06893464922904968,0.0685548484325409,0.06928549706935883,0.036,9245,0.07054218649864197,1000.0,28,0.0689486414194107,0.06954110413789749,0.07035361975431442,0.07069607824087143,0.06890033930540085,0.0,0.0689697340130806,0.06887536495923996,0.07069607824087143,-1.0,0.06933770328760147,0.06982848048210144,0.06942956149578094,0.964,0.06887040287256241,0.06991900503635406,262144,0.0,681.724609375,0.06975012272596359,0.06908293813467026,1.401096000000001,0.06902147084474564,0.06938491761684418,0.06889715790748596,0.06893820315599442,2,0.06837103515863419,0.07024528086185455,250,241,0.03138046264648438,1540,0.8233227729797363,0.08573205792781664,0.3836864233016968,0.2,-0.0021476609991168518,0.0,0.0013800728,0.06934595853090286,31.24762853085995,1e-06,0.1
0.06899268925189972,0.0683927983045578,0.25,0.06894275546073914,0.06857907027006149,0.06930902600288391,0.75,8646,0.07055389881134033,913.08,45,0.06895981729030609,0.06956256181001663,0.07036348432302475,0.07071133702993393,0.06891267746686935,0.0,0.06898599863052368,0.06889856606721878,0.07071133702993393,-1.0,0.06936147809028625,0.06984726339578629,0.06944867968559265,0.25,0.0688881054520607,0.06992281973361969,393216,0.0,619.5818481445312,0.06976963579654694,0.06909992545843124,1.369000000000001,0.06903868168592453,0.06940397620201111,0.06892240792512894,0.06895452737808228,3,0.0683927983045578,0.07026780396699905,20,5,0.028818511962890626,1550,0.8753300905227661,0.11901642975280993,0.38127461075782776,0.2,-0.002702323613493718,0.0,0.0013404966,0.06936360150575638,31.2406169205904,1e-06,0.1
0.06901916116476059,0.06841083616018295,0.9449152542372882,0.0689503625035286,0.06860383599996567,0.0693264901638031,0.05508474576271186,8235,0.0705646425485611,1000.0,63,0.0689845010638237,0.0695817843079567,0.0703754797577858,0.07072798907756805,0.06893014907836914,0.0,0.06899881362915039,0.06892728805541992,0.07072798907756805,-1.0,0.06938526034355164,0.06986922770738602,0.06946860253810883,0.9449152542372882,0.068903349339962,0.06994222849607468,524288,0.0,684.1200561523438,0.06978928297758102,0.06912129372358322,1.394228813559323,0.06906270235776901,0.06940264999866486,0.06894339621067047,0.06897202134132385,4,0.06841083616018295,0.07028022408485413,236,223,0.02926483154296875,1560,0.8802245855331421,0.1324542823364027,0.47104060649871826,0.2,-0.0025714677398809725,0.0,0.0013532612,0.06938166916370392,31.2341029971838,1e-06,0.1
0.06904329359531403,0.06843840330839157,0.7407407407407407,0.06897152215242386,0.06861837208271027,0.06934264302253723,0.25925925925925924,8116,0.0705760046839714,963.21,80,0.06899848580360413,0.06958267837762833,0.07040036469697952,0.07073891907930374,0.06895046681165695,0.0,0.06900899857282639,0.06894554942846298,0.07073891907930374,-1.0,0.06938765943050385,0.06990128755569458,0.06948082894086838,0.7407407407407407,0.06892157346010208,0.06997764110565186,655360,0.0,657.195068359375,0.0698167085647583,0.06914933025836945,1.3699259259259269,0.06908109784126282,0.06942835450172424,0.06895794719457626,0.06898710131645203,5,0.06843840330839157,0.07030663639307022,27,20,0.02869110107421875,1570,0.8864597082138062,0.1317625115509145,0.4007701575756073,0.2,-0.0024620845822937555,0.0,0.0013641203,0.06940047442913055,31.2274817481637,1e-06,0.1
0.06905467063188553,0.06846418976783752,0.9401709401709402,0.06898193806409836,0.06863010674715042,0.06935998797416687,0.05982905982905983,7951,0.07059405744075775,995.06,98,0.06900807470083237,0.06961150467395782,0.07042635232210159,0.07075833529233932,0.06896526366472244,0.0,0.06903333216905594,0.0689755231142044,0.07075833529233932,-1.0,0.06939927488565445,0.06992115080356598,0.0695045217871666,0.9401709401709402,0.06893526017665863,0.06999839842319489,786432,0.0,680.1808471679688,0.06984134763479233,0.06916981190443039,1.3910170940170952,0.0691012591123581,0.0694504901766777,0.06896895915269852,0.06901485472917557,6,0.06846418976783752,0.07032819837331772,234,220,0.03304214477539062,1580,0.8600931763648987,0.11019874012854416,0.38789835572242737,0.2,-0.002512382670693114,0.0,0.0014026474,0.06941986829042435,31.220513877272605,1e-06,0.1
0.06907332688570023,0.06849491596221924,0.7352941176470589,0.06900162249803543,0.06863746792078018,0.06938135623931885,0.2647058823529412,7912,0.07061360031366348,940.26,115,0.0690276250243187,0.06962107867002487,0.0704473927617073,0.07078512758016586,0.06897886097431183,0.0,0.0690581426024437,0.06899678707122803,0.07078512758016586,-1.0,0.06941358745098114,0.06993269175291061,0.06951781362295151,0.7352941176470589,0.06895578652620316,0.07003282010555267,917504,0.0,641.5437622070312,0.0698491781949997,0.06919175386428833,1.4196470588235304,0.06912220269441605,0.06946519017219543,0.06898835301399231,0.0690334290266037,7,0.06849491596221924,0.0703582838177681,34,25,0.029084014892578124,1590,0.9050241708755493,0.11678361984668299,0.47876930236816406,0.2,-0.002625319143771776,0.0,0.001351492,0.06943913549184799,31.213618092238903,1e-06,0.1
0.06908063590526581,0.06852252036333084,0.9774774774774775,0.06900572031736374,0.06864813715219498,0.06941075623035431,0.02252252252252252,7830,0.07064163684844971,1000.0,133,0.06903547048568726,0.06963813304901123,0.07047060877084732,0.0708051472902298,0.06899750977754593,0.0,0.06907376646995544,0.06900552660226822,0.0708051472902298,-1.0,0.06943671405315399,0.06994851678609848,0.06954392045736313,0.9774774774774775,0.06898374110460281,0.07005369663238525,1048576,0.0,684.0781860351562,0.06987689435482025,0.06921463459730148,1.3946396396396408,0.0691339373588562,0.06949044018983841,0.06900078803300858,0.06904923170804977,8,0.06852252036333084,0.07037582993507385,222,217,0.03229446411132812,1600,0.8499669432640076,0.12377038050326519,0.38904428482055664,0.2,-0.0025665365338227277,0.0,0.0013438053,0.0694577619433403,31.206763872504233,1e-06,0.1
0.06909994035959244,0.06854415684938431,0.6530612244897959,0.0690230280160904,0.06865568459033966,0.06943103671073914,0.3469387755102041,7808,0.07066623121500015,923.41,151,0.0690414160490036,0.06965158134698868,0.07048443704843521,0.07081669569015503,0.06902028620243073,0.0,0.0690922960639,0.06901692599058151,0.07081669569015503,-1.0,0.06944989413022995,0.06996726244688034,0.06956955790519714,0.6530612244897959,0.06900404393672943,0.0700765922665596,1179648,0.0,626.04833984375,0.06988930702209473,0.06921691447496414,1.398326530612246,0.06915350258350372,0.06951119750738144,0.06901752203702927,0.06907263398170471,9,0.06854415684938431,0.07038762420415878,49,32,0.03208084106445312,1610,0.8882041573524475,0.07033151034265757,0.38793250918388367,0.2,-0.0026549489667104355,0.0,0.0013653464,0.06947439163923264,31.200452868640422,1e-06,0.1
0.06911934912204742,0.06856756657361984,0.9761904761904762,0.06905093044042587,0.06867937743663788,0.06943972408771515,0.023809523809523808,7757,0.07068420946598053,994.87,168,0.06905736774206161,0.06966906785964966,0.07049855589866638,0.07084033638238907,0.06903315335512161,0.0,0.06911752372980118,0.0690317377448082,0.07084033638238907,-1.0,0.06945575028657913,0.06998873502016068,0.06958497315645218,0.9761904761904762,0.06901427358388901,0.07008922845125198,1310720,0.0,682.6422729492188,0.06990738213062286,0.06922896206378937,1.3839904761904773,0.06917834281921387,0.06952666491270065,0.06904265284538269,0.06908758729696274,10,0.06856756657361984,0.07040662318468094,210,205,0.028165435791015624,1620,0.8884411454200745,0.17219919228809885,0.44826215505599976,0.2,-0.0025705144333642237,0.0,0.0013228087,0.06949200481176376,31.194300906360148,1e-06,0.1
