time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/loss,train/n_updates,train/std,train/clip_range_vf,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction
22,2883584,1126,2558,0.7673814766574651,0.3847557604312897,4630,0.3297605514526367,0.2,0.1,0.8424457311630249,-7.377203122898936,5e-06,0.001641483,-0.002425125124045735,21.153236389160156,545.4,0.0439788818359375
23,3014656,1177,2560,0.8168390542734414,0.3169592320919037,4640,0.331302672624588,0.2,0.1,0.7945225238800049,-7.487044476717711,5e-06,0.0016549323,-0.002336565212817732,20.224193572998047,528.17,0.04604263305664062
24,3145728,1227,2561,0.9025870205834507,0.6238593459129333,4650,0.332820326089859,0.2,0.1,0.7773450016975403,-7.597759226709604,5e-06,0.0016041584,-0.002096923494627845,19.16498565673828,489.04,0.04048233032226563
25,3276800,1278,2563,1.0382584082894026,0.7907949686050415,4660,0.33436110615730286,0.2,0.1,0.7288618087768555,-7.708053045719862,5e-06,0.001616528,-0.0020160825246421155,18.363174438476562,463.02,0.040903472900390626
26,3407872,1328,2564,1.0361111948266626,0.7161412239074707,4670,0.335898756980896,0.2,0.1,0.7233589887619019,-7.818407722562552,5e-06,0.0016451364,-0.002040081138466121,17.315980911254883,446.3,0.04463958740234375
27,3538944,1379,2564,0.953715471131727,0.488873153924942,4680,0.33742842078208923,0.2,0.1,0.7774834036827087,-7.927954726293683,5e-06,0.001613813,-0.001969737835588603,16.81736946105957,442.44,0.0401214599609375
28,3670016,1429,2566,0.8826151796616614,0.48113465309143066,4690,0.338987797498703,0.2,0.1,0.8107072710990906,-8.037910110130905,5e-06,0.0016399634,-0.002202348060836812,18.26251983642578,479.66,0.04428253173828125
29,3801088,1480,2567,0.7879535445477813,0.2504495084285736,4700,0.34049057960510254,0.2,0.1,0.8117395639419556,-8.146236791461707,5e-06,0.0016435302,-0.0020663878173763804,21.019641876220703,568.5,0.04483489990234375
30,3932160,1530,2568,0.6656008753692731,0.3051934242248535,4710,0.3420485556125641,0.2,0.1,0.8472235202789307,-8.254295495152473,5e-06,0.0016940738,-0.0024434401989310572,20.9232177734375,563.01,0.04838485717773437
31,4063232,1581,2569,0.7113797253463418,0.1877344250679016,4720,0.3435974419116974,0.2,0.1,0.8408891558647156,-8.363332492858172,5e-06,0.0016657196,-0.0022022972187642153,17.25383758544922,450.48,0.045825958251953125
32,4194304,1631,2570,0.8516138380859047,0.4201964735984802,4730,0.3451979458332062,0.2,0.1,0.8210449814796448,-8.473389492928982,5e-06,0.0016602504,-0.0022137180342724607,16.740222930908203,429.98,0.04441909790039063
33,4325376,1682,2571,0.8488562942482532,0.34689855575561523,4740,0.34677496552467346,0.2,0.1,0.8160826563835144,-8.583703394979239,5e-06,0.0016142337,-0.0021557337850936164,18.043197631835938,468.12,0.04287261962890625
34,4456448,1732,2571,0.7017137801274658,0.2818557620048523,4750,0.34835779666900635,0.2,0.1,0.8429635763168335,-8.693087069690227,5e-06,0.001621438,-0.002000986437451502,20.921977996826172,553.13,0.04232177734375
35,4587520,1783,2572,0.6094690229976549,0.2839709520339966,4760,0.3499166965484619,0.2,0.1,0.8703687191009521,-8.80124174579978,5e-06,0.0016282469,-0.00226950322785342,21.77706527709961,581.82,0.04511337280273438
36,4718592,1834,2572,0.5765588057227433,0.1258346140384674,4770,0.3514719009399414,0.2,0.1,0.8562551140785217,-8.908066390454769,5e-06,0.0016355631,-0.002270955213361958,22.832195281982422,607.75,0.04427642822265625
37,4849664,1884,2573,0.6068783573806286,0.1364365518093109,4780,0.35306164622306824,0.2,0.1,0.8532899022102356,-9.015365128964186,5e-06,0.0016009128,-0.0021906761967784407,22.772367477416992,603.19,0.04114227294921875
38,4980736,1935,2573,0.6735595006961376,0.20514008402824402,4790,0.354678750038147,0.2,0.1,0.8405925035476685,-9.124472706764937,5e-06,0.0016116754,-0.002189900459507044,19.517047882080078,510.6,0.04319915771484375
39,5111808,1985,2574,0.7998321673832833,0.36309149861335754,4800,0.35628247261047363,0.2,0.1,0.8279950618743896,-9.233444313704968,5e-06,0.0016171363,-0.0019332424582898966,17.90412139892578,464.83,0.042383575439453126
40,5242880,2036,2574,0.8016557143535465,0.3906601667404175,4810,0.35792991518974304,0.2,0.1,0.8195273280143738,-9.342868545651436,5e-06,0.0016207638,-0.001988991674488716,18.58078956604004,488.56,0.04222259521484375
41,5373952,2086,2575,0.7680074132513255,0.211978018283844,4820,0.35958683490753174,0.2,0.1,0.8416496515274048,-9.453689681738615,5e-06,0.001576825,-0.002039514000443887,17.020170211791992,433.54,0.040538787841796875
42,5505024,2137,2575,0.7886209985706956,0.28864404559135437,4830,0.3612237870693207,0.2,0.1,0.835559070110321,-9.563534414023161,5e-06,0.0016606294,-0.0021018460692630468,17.701488494873047,445.39,0.04492645263671875
43,5636096,2187,2576,0.8287528587970883,0.39755508303642273,4840,0.36289262771606445,0.2,0.1,0.8313628435134888,-9.673450293391943,5e-06,0.0016733175,-0.0021029619893852213,17.56017303466797,449.42,0.04586334228515625
44,5767168,2238,2576,0.8702680168207735,0.3891946077346802,4850,0.36451706290245056,0.2,0.1,0.8194720149040222,-9.782172878831625,5e-06,0.001585348,-0.0018033018256573996,17.450014114379883,441.71,0.040265655517578124
45,5898240,2288,2577,0.893967394437641,0.39440011978149414,4860,0.3661889135837555,0.2,0.1,0.8031889796257019,-9.890955785661935,5e-06,0.0016531722,-0.002036633751413319,19.23931312561035,504.48,0.04523468017578125
46,6029312,2339,2577,0.7788058008998633,0.37927693128585815,4870,0.36783644556999207,0.2,0.1,0.8388747572898865,-9.99955780133605,5e-06,0.0015672075,-0.0018820250766111712,20.299484252929688,533.05,0.04044342041015625
47,6160384,2389,2578,0.661268581240438,0.06600552797317505,4880,0.3695126473903656,0.2,0.1,0.8629692196846008,-10.108125220239163,5e-06,0.0016199339,-0.002104441564597437,19.275615692138672,517.49,0.04139251708984375
48,6291456,2439,2578,0.6961371339391917,0.1936711072921753,4890,0.37116560339927673,0.2,0.1,0.8608438968658447,-10.216147301346064,5e-06,0.001543035,-0.001981372547470528,18.197694778442383,483.19,0.03965606689453125
49,6422528,2490,2579,0.7279385108966381,0.21136051416397095,4900,0.3728504180908203,0.2,0.1,0.8507083058357239,-10.324173571169377,5e-06,0.0016395506,-0.0021544326170442217,18.128015518188477,483.05,0.0457122802734375
50,6553600,2540,2579,0.7823209518101066,0.13921862840652466,4910,0.3745175302028656,0.2,0.1,0.8405593037605286,-10.43202446103096,5e-06,0.0016605917,-0.0020403551256094944,17.7275333404541,471.53,0.044933319091796875
51,6684672,2591,2579,0.7923781591001898,0.30252236127853394,4920,0.3762400448322296,0.2,0.1,0.8366288542747498,-10.540757770836354,5e-06,0.0016233048,-0.001919992465809628,16.608308792114258,431.9,0.041034698486328125
52,6815744,2641,2579,0.8174654693342746,0.18672782182693481,4930,0.37795737385749817,0.2,0.1,0.8293720483779907,-10.650302919745446,5e-06,0.0016066855,-0.001962901298111319,16.85480308532715,453.15,0.040317535400390625
53,6946816,2692,2580,0.7811931340955198,0.17939049005508423,4940,0.3796946704387665,0.2,0.1,0.8382717370986938,-10.759938604384661,5e-06,0.0016109477,-0.0019709653615791467,16.75037384033203,442.6,0.041473388671875
54,7077888,2743,2580,0.768863393412903,0.15664172172546387,4950,0.38142213225364685,0.2,0.1,0.8370777368545532,-10.869295059889556,5e-06,0.0015772893,-0.0019383488757284794,16.881811141967773,455.83,0.038022613525390624
55,7208960,2793,2580,0.7109190916176885,0.14565932750701904,4960,0.38318517804145813,0.2,0.1,0.8465060591697693,-10.97941908016801,5e-06,0.0016221019,-0.002101805034044446,16.878341674804688,447.75,0.04082412719726562
56,7340032,2843,2581,0.7132068007718771,0.05806577205657959,4970,0.3849087059497833,0.2,0.1,0.8418083786964417,-11.088347175717354,5e-06,0.001616101,-0.002033042263064999,18.75164222717285,502.45,0.041303253173828124
57,7471104,2894,2581,0.7800934453960509,0.12698203325271606,4980,0.3866751194000244,0.2,0.1,0.8274180889129639,-11.197369862347841,5e-06,0.0016758386,-0.0021206006115789934,17.774158477783203,478.07,0.04386749267578125
58,7602176,2944,2581,0.7130504142493009,0.184594988822937,4990,0.3884510099887848,0.2,0.1,0.8365922570228577,-11.307350924611091,5e-06,0.0016562232,-0.0021657936595147476,18.380338668823242,486.73,0.0438323974609375
59,7733248,2994,2582,0.7087786201387644,0.16072487831115723,5000,0.39020678400993347,0.2,0.1,0.8332815170288086,-11.416171526163817,5e-06,0.001574766,-0.0019300357405427349,18.85276222229004,495.7,0.03905792236328125
60,7864320,3045,2582,0.7089037247933447,0.18012595176696777,5010,0.39197659492492676,0.2,0.1,0.8268076181411743,-11.524631947278976,5e-06,0.0015663657,-0.0019449420824912522,19.77113914489746,517.83,0.038549041748046874
61,7995392,3095,2583,0.7764353352598846,0.11729466915130615,5020,0.39383041858673096,0.2,0.1,0.8085485696792603,-11.63571601510048,5e-06,0.0016478301,-0.002191142002993729,17.5545597076416,453.61,0.042223358154296876
62,8126464,3145,2583,0.7939453857950867,0.2542310357093811,5030,0.3956258296966553,0.2,0.1,0.8089336156845093,-11.746737486124038,5e-06,0.0016551523,-0.0020823733133966014,18.726890563964844,496.13,0.04247207641601562
63,8257536,3195,2583,0.7748182005248964,0.13603359460830688,5040,0.3974193036556244,0.2,0.1,0.8057332634925842,-11.85562730282545,5e-06,0.0016190452,-0.002132342955246713,17.683744430541992,464.91,0.043201446533203125
64,8388608,3246,2584,0.8207447071559727,0.13446670770645142,5050,0.3992283046245575,0.2,0.1,0.8062796592712402,-11.964415366947652,5e-06,0.0016128612,-0.0020469955399221363,17.443679809570312,461.73,0.04072494506835937
65,8519680,3296,2584,0.8419644137844443,0.16855591535568237,5060,0.4010116159915924,0.2,0.1,0.8198550939559937,-12.07241712808609,5e-06,0.0015788741,-0.0019208156103104556,16.524944305419922,442.54,0.0385711669921875
66,8650752,3347,2584,0.7584399569779634,0.13052666187286377,5070,0.4028208553791046,0.2,0.1,0.8343150019645691,-12.180139826983213,5e-06,0.0016201407,-0.0020473202225730347,17.68647003173828,472.88,0.04263381958007813
67,8781824,3397,2584,0.7271872658282519,0.04667961597442627,5080,0.40466031432151794,0.2,0.1,0.8474062085151672,-12.288553125411273,5e-06,0.0015902114,-0.001958181559803052,16.91855812072754,449.02,0.03943328857421875
68,8912896,3448,2584,0.7419558023102582,0.11081093549728394,5090,0.4064715802669525,0.2,0.1,0.8476027846336365,-12.396810486912727,5e-06,0.001557271,-0.0017365173737744044,18.233989715576172,489.89,0.03664321899414062
69,9043968,3498,2584,0.671864743437618,0.12672680616378784,5100,0.4083425998687744,0.2,0.1,0.851978063583374,-12.505868183076382,5e-06,0.0016894413,-0.002274346251442694,18.661951065063477,503.35,0.04464645385742187
70,9175040,3549,2585,0.6432984467130154,-0.06775355339050293,5110,0.4101947844028473,0.2,0.1,0.8571692705154419,-12.615005608648062,5e-06,0.0016578387,-0.0022016258303210632,19.273141860961914,517.46,0.04492111206054687
71,9306112,3599,2585,0.6619746753713116,0.03385812044143677,5120,0.41204214096069336,0.2,0.1,0.8577227592468262,-12.723170670866967,5e-06,0.0015814858,-0.0020425088625870558,18.414880752563477,490.88,0.03758926391601562
72,9437184,3649,2585,0.6919151639565826,0.09430599212646484,5130,0.41389766335487366,0.2,0.1,0.8452016115188599,-12.830909625440835,5e-06,0.0016010178,-0.002102294348378564,17.634681701660156,481.19,0.04046630859375
73,9568256,3700,2585,0.6684573899721726,-0.02229863405227661,5140,0.4158118665218353,0.2,0.1,0.8525412082672119,-12.940642433613538,5e-06,0.001605216,-0.0021665169112566217,16.238927841186523,434.29,0.04151611328125
74,9699328,3751,2585,0.7553988140542061,0.1002236008644104,5150,0.4176955223083496,0.2,0.1,0.8390164375305176,-13.049898612499238,5e-06,0.0016024949,-0.002016472246759804,15.898943901062012,423.9,0.039759063720703126
75,9830400,3801,2585,0.7450605370104313,0.025170207023620605,5160,0.4196152687072754,0.2,0.1,0.8385173082351685,-13.159315263479948,5e-06,0.0015936852,-0.0019695797372150992,16.87348175048828,450.56,0.0396240234375
76,9961472,3852,2585,0.7954893407877535,0.13437438011169434,5170,0.4214837849140167,0.2,0.1,0.8301023244857788,-13.267437952011823,5e-06,0.0015984513,-0.0018354080800691008,15.4401216506958,414.0,0.040737152099609375
77,10092544,3902,2586,0.8006047503091395,0.05469173192977905,5180,0.42342230677604675,0.2,0.1,0.8312329053878784,-13.376085088402032,5e-06,0.0015829949,-0.0019256604181464355,16.356035232543945,445.99,0.03762664794921875
78,10223616,3953,2586,0.8060971794184297,0.11503255367279053,5190,0.42533138394355774,0.2,0.1,0.8262071013450623,-13.484895512461662,5e-06,0.0016388078,-0.001962557952174393,16.15389633178711,429.69,0.04129104614257813
79,10354688,4003,2586,0.7644931904971599,0.08428323268890381,5200,0.4272918701171875,0.2,0.1,0.8326192498207092,-13.594269795715809,5e-06,0.0015732415,-0.002053499029352679,17.804771423339844,482.1,0.039531707763671875
80,10485760,4054,2586,0.7536787480115891,0.05594587326049805,5210,0.4292260408401489,0.2,0.1,0.840776801109314,-13.70352139249444,5e-06,0.0016358721,-0.0020792598817024554,16.76373291015625,456.16,0.04041595458984375
81,10616832,4105,2586,0.7213236180599779,0.001594841480255127,5220,0.43119868636131287,0.2,0.1,0.8358489871025085,-13.812781189382076,5e-06,0.0015764812,-0.002007606779307025,16.093772888183594,433.02,0.039713287353515626
82,10747904,4155,2586,0.7243464448023588,0.047993242740631104,5230,0.433162122964859,0.2,0.1,0.8329417109489441,-13.92224466651678,5e-06,0.0015977218,-0.0020026863900056923,15.655900001525879,417.37,0.03813629150390625
83,10878976,4206,2586,0.7602799053303897,-0.02861332893371582,5240,0.4351785480976105,0.2,0.1,0.8155174851417542,-14.032725068181753,5e-06,0.0015985603,-0.0021019634994900115,15.451817512512207,417.08,0.03886566162109375
84,11010048,4256,2586,0.7327825922518969,0.11281216144561768,5250,0.4371255338191986,0.2,0.1,0.8372311592102051,-14.141724067181348,5e-06,0.0015225003,-0.0017853761984952144,16.057785034179688,424.69,0.035746002197265626
85,11141120,4307,2586,0.7910158734302968,0.0852249264717102,5260,0.439079612493515,0.2,0.1,0.8088083863258362,-14.248919110745192,5e-06,0.0015695413,-0.0018671592307100582,15.628399848937988,417.43,0.03658981323242187
86,11272192,4358,2586,0.755574514484033,0.06274563074111938,5270,0.44106554985046387,0.2,0.1,0.8165774345397949,-14.356555473804473,5e-06,0.0015840246,-0.001977215436363622,16.975749969482422,454.39,0.03615646362304688
87,11403264,4408,2586,0.7386723500210792,0.12041479349136353,5280,0.4430692195892334,0.2,0.1,0.811689555644989,-14.465102284401656,5e-06,0.0015594,-0.0017769440894426225,18.004989624023438,494.03,0.035044097900390626
88,11534336,4459,2586,0.6782045366242528,0.021165072917938232,5290,0.4450824558734894,0.2,0.1,0.8368328809738159,-14.574065481126308,5e-06,0.0015976572,-0.0020453657981761354,17.277996063232422,461.55,0.040296173095703124
89,11665408,4509,2586,0.67404748511035,-0.0901532769203186,5300,0.4470839202404022,0.2,0.1,0.8259838819503784,-14.682106086611748,5e-06,0.0015420525,-0.0019024140861802151,18.641494750976562,505.65,0.036090087890625
90,11796480,4560,2586,0.6062463928945363,-0.18106317520141602,5310,0.44912371039390564,0.2,0.1,0.8523281812667847,-14.790598592162132,5e-06,0.0015670503,-0.002001096036110539,17.877416610717773,484.49,0.0360595703125
91,11927552,4611,2586,0.6805102838668973,-0.06643044948577881,5320,0.4511317312717438,0.2,0.1,0.8324489593505859,-14.89885296151042,5e-06,0.0015495655,-0.0019027312451726174,17.373010635375977,470.03,0.03722076416015625
92,12058624,4661,2586,0.705535147478804,0.05540889501571655,5330,0.4532006084918976,0.2,0.1,0.8381643295288086,-15.007198888808489,5e-06,0.0015384657,-0.001942545501196946,17.017972946166992,457.29,0.03656463623046875
93,12189696,4712,2586,0.7522672407329083,-0.05685114860534668,5340,0.4552309513092041,0.2,0.1,0.8242614269256592,-15.115679093450307,5e-06,0.0015700423,-0.001957802517017626,15.792872428894043,415.15,0.037752532958984376
94,12320768,4764,2586,0.8184185951948166,0.14601051807403564,5350,0.4572843313217163,0.2,0.1,0.8142613768577576,-15.223115195333957,5e-06,0.0015436786,-0.0018228256584734482,15.759125709533691,418.53,0.03616180419921875
95,12451840,4815,2586,0.7929012697655707,0.12505602836608887,5360,0.45936381816864014,0.2,0.1,0.81086266040802,-15.331859225779771,5e-06,0.0016164964,-0.0019849752894515404,15.263154029846191,421.12,0.039647674560546874
96,12582912,4865,2586,0.8184106770437211,-0.03874021768569946,5370,0.46143102645874023,0.2,0.1,0.8106368780136108,-15.440205240249634,5e-06,0.0015943898,-0.001882731855766906,15.496271133422852,410.67,0.039064788818359376
