rollout/action_saturation_fraction,train/std_max,train/action_std_22,rollout/recovery_noforce,train/action_std_05,train/action_std_09,time/time_elapsed,train/action_std_17,rollout/is_fall_mean,train/action_std_08,time/total_timesteps,train/action_std_01,train/action_std_07,train/action_std_15,train/action_std_18,rollout/ep_rew_mean,train/action_std_00,time/iterations,rollout/ep_len_mean,train/action_std_21,train/action_std_24,train/action_std_02,train/action_std_23,rollout/force_onset_mean,train/action_std_03,train/action_std_06,train/action_std_12,train/action_std_19,rollout/is_timeout_mean,train/action_std_20,train/action_std_16,train/action_std_04,train/action_std_11,train/action_std_13,rollout/force_requested_impulse_mean,time/fps,rollout/episodes_noforce,train/action_std_10,rollout/force_direction_mean,train/std_min,train/action_std_14,train/n_updates,train/approx_kl,train/clip_fraction,train/loss,train/explained_variance,train/learning_rate,train/value_loss,train/clip_range_vf,train/entropy_loss,train/clip_range,train/policy_gradient_loss,rollout/timeouts,rollout/timeout_without_onset_fraction,train/std
0.0,0.07099983841180801,0.06893619894981384,0.9581151832460733,0.0703110620379448,0.07083643227815628,466,0.06934208422899246,0.041884816753926704,0.06956081837415695,2097152,0.07016440480947495,0.06885521858930588,0.07047618925571442,0.0697900578379631,674.5382690429688,0.06913486123085022,16,988.7,0.0701872706413269,0.06927284598350525,0.06893560290336609,0.06993500888347626,1.405350785340315,0.07068770378828049,0.07008664309978485,0.06900905817747116,0.06965677440166473,0.9581151832460733,0.06956931203603745,0.06881069391965866,0.07099983841180801,0.06951242685317993,0.06940776109695435,0.0,4495,191,0.06970937550067902,-1.0,0.06881069391965866,0.06994399428367615,1680,0.0013167792,0.029114532470703124,0.460099995136261,0.755211591720581,1e-06,0.11697471151710488,0.2,31.110592415928842,0.1,-0.0024339473304280544,183,0.0,0.06972526758909225
0.0,0.07102614641189575,0.06895164400339127,0.8481012658227848,0.07033119350671768,0.07084698975086212,495,0.06935478001832962,0.1518987341772152,0.06958110630512238,2228224,0.07019428163766861,0.06888342648744583,0.07048822194337845,0.06979608535766602,631.2200927734375,0.06915061920881271,17,924.1,0.07020252197980881,0.06928582489490509,0.0689653605222702,0.0699499323964119,1.3954430379746847,0.07069673389196396,0.07010891288518906,0.06903489679098129,0.06966491788625717,0.8481012658227848,0.06959407776594162,0.06883542239665985,0.07102614641189575,0.06952926516532898,0.06941400468349457,0.0,4495,79,0.06972139328718185,-1.0,0.06883542239665985,0.06994785368442535,1690,0.0013974621,0.031444549560546875,0.4393802583217621,0.8053345680236816,1e-06,0.11513525067130104,0.2,31.104355630278587,0.1,-0.0023531096489023185,67,0.0,0.06974221765995026
0.0,0.07105430960655212,0.06896989792585373,0.9725274725274725,0.07035323232412338,0.07087977975606918,526,0.06937570124864578,0.027472527472527472,0.06961318105459213,2359296,0.07020531594753265,0.0689077377319336,0.0705052986741066,0.06981462240219116,675.5077514648438,0.06916846334934235,18,987.55,0.0702294334769249,0.0693051740527153,0.06899475306272507,0.0699649453163147,1.4115714285714298,0.07072155177593231,0.07012628763914108,0.06906457990407944,0.06968067586421967,0.9725274725274725,0.06961333006620407,0.06885097920894623,0.07105430960655212,0.06955317407846451,0.06942743062973022,0.0,4484,182,0.06973309814929962,-1.0,0.06885097920894623,0.0699729472398758,1700,0.001357911,0.03000030517578125,0.4378315508365631,0.7825381755828857,1e-06,0.14409096206654795,0.2,31.097553981840612,0.1,-0.0023725049550193944,177,0.0,0.0697634294629097
0.0,0.0710708498954773,0.06899090111255646,0.9135802469135802,0.07038267701864243,0.07091112434864044,555,0.06940276175737381,0.08641975308641975,0.06964367628097534,2490368,0.07023666799068451,0.0689283087849617,0.07052174210548401,0.06983231753110886,659.6296997070312,0.06919019669294357,19,962.99,0.07024551182985306,0.06933280825614929,0.06902243942022324,0.06998815387487411,1.4005925925925935,0.07073672860860825,0.07013716548681259,0.06908564269542694,0.06971286237239838,0.9135802469135802,0.06963671743869781,0.06885545700788498,0.0710708498954773,0.06956622749567032,0.06944833695888519,0.0,4483,81,0.06974669545888901,-1.0,0.06885545700788498,0.07000172138214111,1710,0.0013061782,0.03012542724609375,0.3846625089645386,0.8407973647117615,1e-06,0.08568155879911502,0.2,31.089753368496893,0.1,-0.0024895499404919974,74,0.0,0.06978511065244675
0.0,0.07108753174543381,0.06901866942644119,0.9405405405405406,0.07041311264038086,0.07094382494688034,585,0.06942537426948547,0.05945945945945946,0.0696786642074585,2621440,0.07025989890098572,0.06895143538713455,0.07054289430379868,0.06984540820121765,677.1883544921875,0.06920641660690308,20,982.27,0.07026948034763336,0.06935110688209534,0.06903507560491562,0.07000561058521271,1.3869621621621633,0.07076295465230942,0.0701594352722168,0.06911083310842514,0.06973017007112503,0.9405405405405406,0.06964439153671265,0.06887146830558777,0.07108753174543381,0.0695798322558403,0.06947050988674164,0.0,4474,185,0.06976734101772308,-1.0,0.06887146830558777,0.07002502679824829,1720,0.0012960944,0.027692413330078124,0.36853352189064026,0.7848957777023315,1e-06,0.09692872823216021,0.2,31.08214561343193,0.1,-0.0022486424848466415,174,0.0,0.06980626285076141
0.0,0.07110076397657394,0.06904367357492447,0.9047619047619048,0.0704297423362732,0.07097223401069641,615,0.06944457441568375,0.09523809523809523,0.06969797611236572,2752512,0.07028042525053024,0.06897129118442535,0.07055626064538956,0.0698566883802414,643.7589111328125,0.06922855228185654,21,942.3,0.07027292251586914,0.06937581300735474,0.06905297189950943,0.07001223415136337,1.4064523809523821,0.07079020887613297,0.07016823440790176,0.06913220882415771,0.06974774599075317,0.9047619047619048,0.06965675950050354,0.06889572739601135,0.07110076397657394,0.069590263068676,0.06949473172426224,0.0,4473,84,0.06978724896907806,-1.0,0.06889572739601135,0.07003306597471237,1730,0.0013753844,0.030698394775390624,0.39457055926322937,0.8586724996566772,1e-06,0.0989365899353288,0.2,31.075231835246086,0.1,-0.0024450436567349243,76,0.0,0.06982368975877762
0.0,0.07112322747707367,0.0690561980009079,0.9491525423728814,0.07044314593076706,0.07097455114126205,645,0.0694543644785881,0.05084745762711865,0.06970319151878357,2883584,0.0702994167804718,0.06899391114711761,0.07057192921638489,0.06987742334604263,686.3560791015625,0.06923521310091019,22,998.02,0.07028709352016449,0.06940606981515884,0.06907407939434052,0.07003282010555267,1.3882824858757072,0.07080696523189545,0.07018730789422989,0.0691538006067276,0.06976956129074097,0.9491525423728814,0.06966923177242279,0.06890410929918289,0.07112322747707367,0.06962008774280548,0.0695016011595726,0.0,4466,177,0.06981369853019714,-1.0,0.06890410929918289,0.07004889845848083,1740,0.0014110159,0.030670928955078124,0.43944475054740906,0.7888461947441101,1e-06,0.1260075915022753,0.2,31.069139349460603,0.1,-0.002458688581100432,168,0.0,0.06984031200408936
0.0,0.07115073502063751,0.06907131522893906,0.8421052631578947,0.07044798880815506,0.07099728286266327,675,0.06947686523199081,0.15789473684210525,0.06973103433847427,3014656,0.07031770050525665,0.06899987906217575,0.07058257609605789,0.06989255547523499,634.843505859375,0.06926478445529938,23,926.64,0.07029438018798828,0.06941976398229599,0.06910890340805054,0.07004604488611221,1.3985684210526326,0.07083109766244888,0.07020249962806702,0.06918033212423325,0.06979713588953018,0.8421052631578947,0.06968556344509125,0.06891398131847382,0.07115073502063751,0.06963152438402176,0.0695180743932724,0.0,4465,95,0.0698232352733612,-1.0,0.06891398131847382,0.07007890194654465,1750,0.0013439765,0.03227081298828125,0.4736759066581726,0.8541388511657715,1e-06,0.10196857286500745,0.2,31.062893144786358,0.1,-0.0023879009735537694,80,0.0,0.06985855847597122
0.0,0.0711728110909462,0.06909346580505371,0.953757225433526,0.07045682519674301,0.07103242725133896,705,0.06949459761381149,0.046242774566473986,0.06976138055324554,3145728,0.07034990936517715,0.06901613622903824,0.07058614492416382,0.06991248577833176,667.4989013671875,0.06927725672721863,24,968.75,0.07032281905412674,0.06946247816085815,0.06914247572422028,0.07007806748151779,1.405815028901735,0.07085318863391876,0.07021025568246841,0.06920148432254791,0.06982313841581345,0.953757225433526,0.06971278041601181,0.06893044710159302,0.0711728110909462,0.06965843588113785,0.06952632963657379,0.0,4458,173,0.06984391063451767,-1.0,0.06893044710159302,0.0700908675789833,1760,0.0013681389,0.028730010986328124,0.4722093641757965,0.8114275336265564,1e-06,0.14900871899153573,0.2,31.055714552104472,0.1,-0.002295393750864605,165,0.0,0.0698803961277008
0.0,0.07118450105190277,0.06909874081611633,0.9285714285714286,0.07046988606452942,0.07104462385177612,735,0.06951556354761124,0.07142857142857142,0.0697769820690155,3276800,0.07036348432302475,0.06904014945030212,0.07059600949287415,0.06992165744304657,670.6878051757812,0.06928686797618866,25,975.94,0.0703447163105011,0.06947887688875198,0.06916085630655289,0.07010085880756378,1.3970408163265318,0.07087206095457077,0.07023345679044724,0.06922867894172668,0.06984265893697739,0.9285714285714286,0.06972835212945938,0.0689370334148407,0.07118450105190277,0.06967572867870331,0.06953881680965424,0.0,4457,98,0.06986456364393234,-1.0,0.0689370334148407,0.07011079043149948,1770,0.0013541742,0.028359222412109374,0.3824426531791687,0.8504393100738525,1e-06,0.0854218545166077,0.2,31.048891513049604,0.1,-0.0025569965243448676,91,0.0,0.0698966383934021
0.0,0.07121473550796509,0.06910865753889084,0.953757225433526,0.07049551606178284,0.07105980068445206,765,0.06953921169042587,0.046242774566473986,0.06979460269212723,3407872,0.07037628442049026,0.06905364990234375,0.07060404121875763,0.06993827223777771,673.053955078125,0.06929893046617508,26,980.4,0.07036915421485901,0.06949390470981598,0.0691853016614914,0.07011580467224121,1.3752254335260126,0.07089191675186157,0.0702470913529396,0.06925784796476364,0.06986679136753082,0.953757225433526,0.06975056976079941,0.06895791739225388,0.07121473550796509,0.06969518214464188,0.06955136358737946,0.0,4452,173,0.06987864524126053,-1.0,0.06895791739225388,0.07011651992797852,1780,0.0013873542,0.031629180908203124,0.42355895042419434,0.8291987180709839,1e-06,0.09967842313053552,0.2,31.042789950966835,0.1,-0.0023870156379416584,165,0.0,0.06991446763277054
0.0,0.07123134285211563,0.06912561506032944,0.88,0.07052364200353622,0.07108566164970398,794,0.0695539265871048,0.12,0.06981737166643143,3538944,0.07038877159357071,0.06906484812498093,0.07063630223274231,0.06995836645364761,656.2135009765625,0.0693044513463974,27,953.13,0.07037975639104843,0.06950828433036804,0.0691995844244957,0.07012728601694107,1.3969400000000007,0.07089629769325256,0.07025065273046494,0.06927420198917389,0.06987704336643219,0.88,0.06976216286420822,0.06896963715553284,0.07123134285211563,0.06971324980258942,0.0695769414305687,0.0,4451,100,0.06991405040025711,-1.0,0.06896963715553284,0.07012537866830826,1790,0.0013589726,0.03069305419921875,0.44351130723953247,0.7893118858337402,1e-06,0.10643186095403508,0.2,31.036760780215264,0.1,-0.00249425285783218,88,0.0,0.06993059068918228
0.0,0.0712508112192154,0.0691484585404396,0.975609756097561,0.07054533064365387,0.07111240923404694,825,0.06956977397203445,0.024390243902439025,0.0698406994342804,3670016,0.07040951400995255,0.06908562779426575,0.07065308839082718,0.06997863948345184,675.47412109375,0.06932470947504044,28,984.83,0.07039598375558853,0.06952624768018723,0.06922699511051178,0.0701514482498169,1.4052682926829279,0.07092813402414322,0.07026366889476776,0.06930482387542725,0.06989847123622894,0.975609756097561,0.06979204714298248,0.06899221241474152,0.0712508112192154,0.06974656134843826,0.06958956271409988,0.0,4447,164,0.06992623955011368,-1.0,0.06899221241474152,0.07015165686607361,1800,0.0013926948,0.03138046264648438,0.4803367257118225,0.7968366146087646,1e-06,0.13022758433653508,0.2,31.029942859709262,0.1,-0.0024506014822691215,160,0.0,0.06995252519845963
0.0,0.07126008719205856,0.06916637718677521,0.9150943396226415,0.07055918127298355,0.07112646847963333,854,0.0695832148194313,0.08490566037735849,0.06986169517040253,3801088,0.07042472809553146,0.06909459084272385,0.07068159431219101,0.06998308002948761,666.6654663085938,0.06934131681919098,29,966.49,0.07041260600090027,0.06954819709062576,0.0692453384399414,0.0701703205704689,1.4010754716981142,0.07093919813632965,0.07028144598007202,0.06932035088539124,0.06991363316774368,0.9150943396226415,0.06981299072504044,0.06901360303163528,0.07126008719205856,0.06976567208766937,0.06960684061050415,0.0,4446,106,0.06994546204805374,-1.0,0.06901360303163528,0.07017219066619873,1810,0.001295627,0.029715728759765626,0.3627704977989197,0.8021245002746582,1e-06,0.07551462246919982,0.2,31.022990007698535,0.1,-0.002349374023378914,97,0.0,0.06996920704841614
0.0,0.07128956913948059,0.06918977200984955,0.9625,0.07056841254234314,0.07113885134458542,884,0.06960851699113846,0.0375,0.06987649202346802,3932160,0.07044195383787155,0.06911793351173401,0.07070239633321762,0.07000328600406647,669.728271484375,0.06937198340892792,30,973.18,0.07042863965034485,0.06956493109464645,0.0692664384841919,0.07019025087356567,1.3925000000000012,0.07096632570028305,0.07029242068529129,0.0693492740392685,0.06994174420833588,0.9625,0.06982579827308655,0.06904298067092896,0.07128956913948059,0.06979986280202866,0.06962171196937561,0.0,4443,160,0.06995315104722977,-1.0,0.06904298067092896,0.0702013447880745,1820,0.0013786303,0.03135223388671875,0.4259209632873535,0.790708065032959,1e-06,0.11055645735759753,0.2,31.01625576019287,0.1,-0.0024326582089997826,154,0.0,0.06999015808105469
0.0,0.07130685448646545,0.06920895725488663,0.9357798165137615,0.07057194411754608,0.07115818560123444,914,0.06962800770998001,0.06422018348623854,0.06989868730306625,4063232,0.07043994218111038,0.0691380724310875,0.07070238143205643,0.070015087723732,661.5245361328125,0.06938666850328445,31,964.75,0.07044476270675659,0.06958984583616257,0.06927568465471268,0.07021678239107132,1.3949908256880745,0.07098231464624405,0.07031907141208649,0.06936972588300705,0.06995910406112671,0.9357798165137615,0.06985220313072205,0.06906130164861679,0.07130685448646545,0.06982336938381195,0.06964917480945587,0.0,4441,109,0.06996212899684906,-1.0,0.06906130164861679,0.07021576166152954,1830,0.0013398891,0.02950897216796875,0.3577548563480377,0.7501780986785889,1e-06,0.11021687268803362,0.2,31.009546193480492,0.1,-0.002380091228224046,102,0.0,0.07000703364610672
0.0,0.0713285505771637,0.0692259892821312,0.9567901234567902,0.07058458775281906,0.07118692994117737,945,0.06964115053415298,0.043209876543209874,0.06991270184516907,4194304,0.07045828551054001,0.06916286796331406,0.07071428000926971,0.07002702355384827,670.652587890625,0.06940072774887085,32,972.64,0.07046407461166382,0.06960148364305496,0.0692850649356842,0.07022886723279953,1.402395061728396,0.07100497931241989,0.07034120708703995,0.06939627975225449,0.06997498869895935,0.9567901234567902,0.0698775053024292,0.06907670199871063,0.0713285505771637,0.06984230130910873,0.0696759968996048,0.0,4438,162,0.06998803466558456,-1.0,0.06907670199871063,0.0702306404709816,1840,0.0012796521,0.027053070068359376,0.3591664731502533,0.7741975784301758,1e-06,0.10111415229039267,0.2,31.003324830532073,0.1,-0.002423144520162168,155,0.0,0.0700252428650856
0.0,0.07136483490467072,0.06924065947532654,0.9326923076923077,0.070606529712677,0.07120225578546524,974,0.06966802477836609,0.0673076923076923,0.06993549317121506,4325376,0.07047534734010696,0.06918671727180481,0.07073431462049484,0.07004311680793762,674.45849609375,0.0694195106625557,33,978.35,0.07048953324556351,0.06961673498153687,0.06930293887853622,0.07024233043193817,1.3942115384615394,0.0710068792104721,0.0703597143292427,0.06941107660531998,0.0699944719672203,0.9326923076923077,0.06990336626768112,0.0690876692533493,0.07136483490467072,0.06987457722425461,0.06968468427658081,0.0,4437,104,0.07000409066677094,-1.0,0.0690876692533493,0.0702478364109993,1850,0.00133923,0.029064178466796875,0.4030037522315979,0.8137650489807129,1e-06,0.09407596681558061,0.2,30.996671988070013,0.1,-0.0024670269483976883,97,0.0,0.07004410773515701
0.0,0.07137899845838547,0.06926201283931732,0.9457831325301205,0.07062353193759918,0.07122280448675156,1004,0.06968599557876587,0.05421686746987952,0.06995802372694016,4456448,0.07050783932209015,0.06921149790287018,0.07076127082109451,0.07004791498184204,661.993408203125,0.0694526731967926,34,960.58,0.0705164298415184,0.06965236365795135,0.0693272054195404,0.0702625960111618,1.394144578313254,0.07103102654218674,0.07037623226642609,0.06943197548389435,0.0700220987200737,0.9457831325301205,0.06992213428020477,0.06910425424575806,0.07137899845838547,0.06989053636789322,0.06970594823360443,0.0,4435,166,0.07002056390047073,-1.0,0.06910425424575806,0.0702664852142334,1860,0.0014100242,0.03290252685546875,0.3612726032733917,0.833832859992981,1e-06,0.08206389140541433,0.2,30.989430229365826,0.1,-0.0025602709136364867,157,0.0,0.0700656995177269
0.0,0.07139664143323898,0.06928247213363647,0.9223300970873787,0.07063136249780655,0.07125123590230942,1034,0.0697089433670044,0.07766990291262135,0.06997999548912048,4587520,0.07051350176334381,0.06923777610063553,0.07077386975288391,0.07006587088108063,676.7568969726562,0.06947201490402222,35,980.85,0.07052293419837952,0.06966108083724976,0.06934479624032974,0.0702870786190033,1.3813980582524286,0.07105258852243423,0.07039341330528259,0.06943908333778381,0.07003302127122879,0.9223300970873787,0.06995119899511337,0.06912719458341599,0.07139664143323898,0.06991026550531387,0.06972210854291916,0.0,4434,103,0.07004179060459137,-1.0,0.06912719458341599,0.07028423249721527,1870,0.0013634842,0.02841644287109375,0.41496461629867554,0.8352056741714478,1e-06,0.12558390101767145,0.2,30.98241018354893,0.1,-0.0022734802649210907,95,0.0,0.0700833797454834
0.0,0.07142093777656555,0.06930418312549591,0.95,0.07065586745738983,0.0712658241391182,1064,0.06972666084766388,0.05,0.07000604271888733,4718592,0.07054309546947479,0.069261834025383,0.07079039514064789,0.07008720934391022,675.9310302734375,0.0694986879825592,36,977.34,0.07053667306900024,0.0696679875254631,0.06936470419168472,0.07030916959047318,1.405600000000001,0.07107178121805191,0.07041654735803604,0.06946158409118652,0.07004687935113907,0.95,0.06997355073690414,0.06915894150733948,0.07142093777656555,0.0699257031083107,0.0697498545050621,0.0,4432,160,0.07006797939538956,-1.0,0.06915894150733948,0.07030373811721802,1880,0.0012670311,0.02685699462890625,0.514788806438446,0.7524601221084595,1e-06,0.10499517610587646,0.2,30.97550566792488,0.1,-0.002339589147686638,152,0.0,0.07010463625192642
0.0,0.07144024968147278,0.06932966411113739,0.9351851851851852,0.07066916674375534,0.07127411663532257,1094,0.06974615156650543,0.06481481481481481,0.07002455741167068,4849664,0.07055468112230301,0.06928122043609619,0.07081058621406555,0.07010604441165924,677.2513427734375,0.0695243775844574,37,983.01,0.07055764645338058,0.06968674063682556,0.06938486546278,0.07033393532037735,1.3960185185185194,0.0710950568318367,0.07043750584125519,0.06947603821754456,0.07007552683353424,0.9351851851851852,0.0699891671538353,0.0691726803779602,0.07144024968147278,0.06994754821062088,0.06976562738418579,0.0,4431,108,0.07007447630167007,-1.0,0.0691726803779602,0.07032971829175949,1890,0.0013736212,0.030294036865234374,0.4007584750652313,0.7775158286094666,1e-06,0.10466431955137523,0.2,30.96838172227144,0.1,-0.002465478560861811,101,0.0,0.07012348622083664
