rollout/ep_len_mean,rollout/force_direction_mean,rollout/is_fall_mean,train/action_std_11,time/fps,train/action_std_09,train/action_std_18,rollout/recovery_noforce,train/action_std_12,train/action_std_01,train/action_std_04,train/action_std_19,train/action_std_17,train/action_std_08,train/action_std_13,train/action_std_23,train/action_std_20,time/time_elapsed,train/action_std_16,rollout/episodes_noforce,train/action_std_00,train/action_std_03,time/iterations,train/action_std_07,train/action_std_06,rollout/is_timeout_mean,rollout/force_onset_mean,train/std_max,train/action_std_24,train/std_min,train/action_std_22,time/total_timesteps,train/action_std_10,train/action_std_14,train/action_std_02,rollout/action_saturation_fraction,train/action_std_15,train/action_std_21,rollout/ep_rew_mean,train/action_std_05,rollout/force_requested_impulse_mean,train/policy_gradient_loss,train/std,train/explained_variance,train/learning_rate,train/clip_range,train/approx_kl,train/clip_fraction,train/clip_range_vf,train/n_updates,rollout/timeout_without_onset_fraction,train/loss,train/value_loss,train/entropy_loss,rollout/timeouts
387.8,-1.0,1.0,0.05000000074505806,5566,0.05000000074505806,0.05000000074505806,0.0,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,23,0.05000000074505806,10,0.05000000074505806,0.05000000074505806,1,0.05000000074505806,0.05000000074505806,0.0,1.365600000000001,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,131072,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.0,0.05000000074505806,0.05000000074505806,259.2788391113281,0.05000000074505806,0.0,,,,,,,,,,,,,,
1000.0,-1.0,0.056910569105691054,0.050012312829494476,5030,0.05015195906162262,0.05010005831718445,0.943089430894309,0.05007476359605789,0.05007285252213478,0.0500723272562027,0.050106994807720184,0.05012016370892525,0.05009539797902107,0.05013369023799896,0.050091277807950974,0.0500347837805748,52,0.050088636577129364,246,0.05011255294084549,0.050060711801052094,2,0.05014542117714882,0.05015995725989342,0.943089430894309,1.4060000000000012,0.05015995725989342,0.050089966505765915,0.050012312829494476,0.05007563531398773,262144,0.050072938203811646,0.05009030923247337,0.050108250230550766,0.0,0.05013496056199074,0.05008123442530632,686.4947509765625,0.050065211951732635,0.0,-0.0023043420308567876,0.05009409412741661,-0.17379999160766602,1e-05,0.1,0.0025990386,0.13211593627929688,0.2,10,0.0,4.057195663452148,2.933798539545387,39.39350834786892,232
878.01,-1.0,0.6551724137931034,0.050093501806259155,4901,0.050259966403245926,0.05018046125769615,0.3448275862068966,0.05017603561282158,0.05013545975089073,0.050174910575151443,0.050149936228990555,0.050152212381362915,0.050213877111673355,0.050277549773454666,0.05021657049655914,0.05009470507502556,80,0.050199031829833984,29,0.05016833171248436,0.05025216192007065,3,0.05018765106797218,0.05028707906603813,0.3448275862068966,1.4084827586206905,0.05028707906603813,0.05020060017704964,0.050093501806259155,0.05015305057168007,393216,0.05017923191189766,0.050177961587905884,0.05016658455133438,0.0,0.050168152898550034,0.05019073933362961,599.9827880859375,0.05018584430217743,0.0,-0.001616509653194953,0.050185661762952805,-1.0981898307800293,1e-05,0.1,0.0021278856,0.106976318359375,0.2,20,0.0,1.8266676664352417,1.453841949813068,39.3466500878334,10
1000.0,-1.0,0.06521739130434782,0.050229188054800034,4743,0.050385016947984695,0.05023672431707382,0.9347826086956522,0.05028066411614418,0.0502312146127224,0.05031294375658035,0.050245434045791626,0.05022990703582764,0.0503399521112442,0.050347983837127686,0.050245050340890884,0.05020180717110634,110,0.05032737925648689,230,0.05021734908223152,0.050325553864240646,4,0.050301406532526016,0.05039951950311661,0.9347826086956522,1.3960956521739138,0.05039951950311661,0.050370484590530396,0.05020180717110634,0.05028980225324631,524288,0.05020427703857422,0.050258517265319824,0.050242699682712555,0.0,0.05023949220776558,0.05034410580992699,688.3025512695312,0.05030207708477974,0.0,-0.0018783585656819922,0.05028434097766876,-1.7905192375183105,1e-05,0.1,0.0022528237,0.11294097900390625,0.2,30,0.0,1.75062096118927,1.4530091037973762,39.29908017218113,215
894.44,-1.0,0.4318181818181818,0.05034323036670685,4714,0.050454750657081604,0.05031939968466759,0.5681818181818182,0.0503326952457428,0.0503227598965168,0.05033916234970093,0.050342172384262085,0.050342485308647156,0.050451960414648056,0.050460513681173325,0.0502966083586216,0.050285615026950836,139,0.050432465970516205,44,0.05026597902178764,0.05045892670750618,5,0.05038262531161308,0.050490885972976685,0.5681818181818182,1.4051363636363645,0.050508372485637665,0.050508372485637665,0.05026597902178764,0.05042683705687523,655360,0.05030936002731323,0.050351787358522415,0.05030559375882149,0.0,0.05030745267868042,0.050383225083351135,612.6906127929688,0.05038939043879509,0.0,-0.001995585371969355,0.0503721684217453,-1.0971338748931885,1e-05,0.1,0.0021993653,0.11228790283203124,0.2,40,0.0,1.8360810279846191,1.4739003070630132,39.25310339033604,25
992.68,-1.0,0.09722222222222222,0.05042775347828865,4667,0.05055537074804306,0.05046050250530243,0.9027777777777778,0.050410814583301544,0.05039757490158081,0.05042644217610359,0.050413828343153,0.05038667097687721,0.050555042922496796,0.05055635794997215,0.050394196063280106,0.05035541579127312,168,0.050549887120723724,216,0.05036189779639244,0.050557609647512436,6,0.05047667399048805,0.05058673024177551,0.9027777777777778,1.3886018518518528,0.05058673024177551,0.05054430663585663,0.05035541579127312,0.05055875703692436,786432,0.05037149041891098,0.050444770604372025,0.0504060797393322,0.0,0.05046583339571953,0.05050807073712349,680.3604736328125,0.05051565542817116,0.0,-0.0020472571069149125,0.050467509776353836,-1.1368708610534668,1e-05,0.1,0.0022441107,0.11080093383789062,0.2,50,0.0,1.753124713897705,1.3995837441645562,39.20757313966751,195
888.9,-1.0,0.3,0.05058100074529648,4649,0.05067378655076027,0.05060090497136116,0.7,0.05049483850598335,0.05051712691783905,0.05056978762149811,0.05049995332956314,0.05046948790550232,0.05061551555991173,0.05063525214791298,0.050481513142585754,0.050499968230724335,197,0.05065882205963135,60,0.05046561360359192,0.05065517500042915,7,0.050547149032354355,0.05069870874285698,0.7,1.393766666666668,0.05069870874285698,0.0505622997879982,0.050375230610370636,0.05065719410777092,917504,0.050375230610370636,0.05045956373214722,0.05052083358168602,0.0,0.050602156668901443,0.05058938264846802,609.4703369140625,0.05064735934138298,0.0,-0.0018836396413462353,0.05056314170360565,-0.7861865758895874,1e-05,0.1,0.0022044685,0.108294677734375,0.2,60,0.0,1.7384045124053955,1.3416371500119566,39.16024521291256,42
982.74,-1.0,0.08823529411764706,0.05067506805062294,4619,0.05076267942786217,0.05069313570857048,0.9117647058823529,0.05057726427912712,0.05061925947666168,0.05072808638215065,0.050617579370737076,0.05056081712245941,0.050680067390203476,0.050669148564338684,0.050533074885606766,0.05062310770153999,226,0.050686269998550415,204,0.050565458834171295,0.05077250674366951,8,0.050656117498874664,0.05079187825322151,0.9117647058823529,1.3914019607843147,0.05079187825322151,0.05071566626429558,0.050487156957387924,0.05072101205587387,1048576,0.050487156957387924,0.05055651441216469,0.050632018595933914,0.0,0.050604838877916336,0.05061677098274231,673.529296875,0.05070319026708603,0.0,-0.0020640484813156945,0.05064994841814041,-1.1481893062591553,1e-05,0.1,0.002212773,0.1099700927734375,0.2,70,0.0,1.708949327468872,1.3280005170963705,39.11558630764485,186
832.98,-1.0,0.3023255813953488,0.05073455721139908,4592,0.05086490139365196,0.05076510086655617,0.6976744186046512,0.05064070597290993,0.05068574100732803,0.050834644585847855,0.05070415884256363,0.050650063902139664,0.05078074708580971,0.05077825486660004,0.050569821149110794,0.05068441852927208,256,0.05077885836362839,86,0.05067199841141701,0.0509418323636055,9,0.05074688419699669,0.05089486390352249,0.6976744186046512,1.3812558139534894,0.0509418323636055,0.05085262283682823,0.050569821149110794,0.05075565725564957,1179648,0.05058309808373451,0.05067785829305649,0.05068879574537277,0.0,0.050681836903095245,0.05072283744812012,567.9347534179688,0.05079198628664017,0.0,-0.0018548116276178917,0.050739288330078125,-0.9112061262130737,1e-05,0.1,0.0021864595,0.10948333740234376,0.2,80,0.0,1.6569675207138062,1.2684706334024667,39.071940371394156,60
955.45,-1.0,0.11764705882352941,0.050783488899469376,4566,0.0509675033390522,0.05083092302083969,0.8823529411764706,0.050758540630340576,0.05073901265859604,0.05092842876911163,0.05080599710345268,0.05072454363107681,0.05087053030729294,0.05086725577712059,0.05073976144194603,0.050817664712667465,287,0.05087512731552124,187,0.05069853365421295,0.051012761890888214,10,0.050815969705581665,0.0509464368224144,0.8823529411764706,1.3606951871657766,0.051012761890888214,0.05096998065710068,0.05063372850418091,0.050900667905807495,1310720,0.05063372850418091,0.05075191706418991,0.05076524242758751,0.0,0.0507652685046196,0.05080386996269226,653.1488647460938,0.0509304516017437,0.0,-0.002185675310101942,0.05082814022898674,-0.8506143093109131,1e-05,0.1,0.0021496296,0.10836868286132813,0.2,90,0.0,1.6218726634979248,1.2260646406561135,39.02810389399529,165
